Name,StatVar,Chart Title,ConciseChartTitleOld,ConciseChartTitle
Number of Severely Food Insecure People With Age = 15 Years Old And Over,dc/topic/sdgAGPRDFIESSN_age-SDGAgeEnumYGE15,,Population Age 15 and Over With Severe Food Insecurity,Population Age 15 and Over With Severe Food Insecurity
Prevalence of Severe Food Insecurity With Age = 15 Years Old And Over,dc/topic/sdgAGPRDFIESS_age-SDGAgeEnumYGE15,,Severe Food Insecurity in Population Age 15 or Older,Severe Food Insecurity in Population Age 15 or Older
"Number of Moderately or Severely Food Insecure People With Age = 15 Years Old And Over, Gender",dc/topic/sdgAGPRDFIESMSN_age-SDGAgeEnumYGE15_gender,,Population Age 15 and Over With Moderate or Severe Food Insecurity by Gender,Population Age 15 and Over With Moderate or Severe Food Insecurity by Gender
"Prevalence of Moderate or Severe Food Insecurity With Age = 15 Years Old And Over, Gender",dc/topic/sdgAGPRDFIESMS_age-SDGAgeEnumYGE15_gender,,Moderate or Severe Food Insecurity in Population Age 15 or Older by Gender,Moderate or Severe Food Insecurity in Population Age 15 or Older by Gender
"Number of Severely Food Insecure People With Age = 15 Years Old And Over, Gender",dc/topic/sdgAGPRDFIESSN_age-SDGAgeEnumYGE15_gender,,Population Age 15 and Over With Severe Food Insecurity by Gender,Population Age 15 and Over With Severe Food Insecurity by Gender
"Prevalence of Severe Food Insecurity With Age = 15 Years Old And Over, Gender",dc/topic/sdgAGPRDFIESS_age-SDGAgeEnumYGE15_gender,,Severe Food Insecurity in Population Age 15 or Older by Gender,Severe Food Insecurity in Population Age 15 or Older by Gender
Number of undernourished people,sdg/SN_ITK_DEFCN,,Undernourished Population,Undernourished Population
Prevalence of undernourishment,sdg/SN_ITK_DEFC,,Undernourishment,Undernourishment
Children moderately or severely stunted [Age = under 5 years old],sdg/SH_STA_STNTN.AGE--Y0T4,,Children Under 5 With Moderate or Severe Stunting,Children Under 5 With Moderate or Severe Stunting
Proportion of children moderately or severely stunted [Age = under 5 years old],sdg/SH_STA_STNT.AGE--Y0T4,,Moderate or Severe Stunting in Population Under 5,Moderate or Severe Stunting in Population Under 5
Children moderately or severely overweight [Age = under 5 years old],sdg/SN_STA_OVWGTN.AGE--Y0T4,,Overweight Children Under 5,Overweight Children Under 5
Children moderately or severely wasted [Age = under 5 years old],sdg/SH_STA_WASTN.AGE--Y0T4,,Children Under 5 With Wasting,Children Under 5 With Wasting
Proportion of children moderately or severely overweight [Age = under 5 years old],sdg/SN_STA_OVWGT.AGE--Y0T4,,Overweight Prevalence of Children Under 5,Overweight Prevalence of Children Under 5
Proportion of children moderately or severely wasted [Age = under 5 years old],sdg/SH_STA_WAST.AGE--Y0T4,,Wasting Prevalence of Children Under 5,Wasting Prevalence of Children Under 5
Proportion of women aged 15-49 years with anaemia [Age = 15 to 49 years old | Sex = Female],sdg/SH_STA_ANEM.AGE--Y15T49__SEX--F,,Anemia in Women Age 15 to 49,Anemia in Women Age 15 to 49
"Proportion of women aged 15-49 years with anaemia, non-pregnant [Age = 15 to 49 years old | Sex = Female]",sdg/SH_STA_ANEM_NPRG.AGE--Y15T49__SEX--F,,Anemia in Non-Pregnant Women Age 15 to 49,Anemia in Non-Pregnant Women Age 15 to 49
"Proportion of women aged 15-49 years with anaemia, pregnant [Age = 15 to 49 years old | Sex = Female]",sdg/SH_STA_ANEM_PREG.AGE--Y15T49__SEX--F,,Anemia in Pregnant Women Age 15 to 49,Anemia in Pregnant Women Age 15 to 49
Proportion of agricultural area under productive and sustainable agriculture,sdg/AG_LND_SUST,,Farmland Using Productive and Sustainable Practices,Farmland Using Productive and Sustainable Practices
Proportion of agricultural land area that has achieved an acceptable or desirable level of farm output value per hectare,sdg/AG_LND_FOVH,,Farmland With Desired Farm Output Value Per Hectare,Farmland With Desired Farm Output Value Per Hectare
Proportion of agricultural land area that has achieved an acceptable or desirable level of food security,sdg/AG_LND_FIES,,Farmland Ensuring Adequate Food Security,Farmland Ensuring Adequate Food Security
Proportion of agricultural land area that has achieved an acceptable or desirable level of management of fertilizers,sdg/AG_LND_FERTMG,,Farmland Practicing Responsible Fertilizer Management,Farmland Practicing Responsible Fertilizer Management
Proportion of agricultural land area that has achieved an acceptable or desirable level of management of pesticides,sdg/AG_LND_PSTCDSMG,,Farmland Using Safe Pesticide Practices,Farmland Using Safe Pesticide Practices
Proportion of agricultural land area that has achieved an acceptable or desirable level of net farm income,sdg/AG_LND_NFI,,Farmland Achieving Positive Net Farm Income,Farmland Achieving Positive Net Farm Income
Proportion of agricultural land area that has achieved an acceptable or desirable level of risk mitigation mechanisms,sdg/AG_LND_RMM,,Farmland Implementing Effective Risk Mitigation,Farmland Implementing Effective Risk Mitigation
Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land,sdg/AG_LND_LNDSTR,,Farmland With Secure Tenure Rights,Farmland With Secure Tenure Rights
Proportion of agricultural land area that has achieved an acceptable or desirable level of soil degradation,sdg/AG_LND_SDGRD,,Farmland Managing Soil Degradation Effectively,Farmland Managing Soil Degradation Effectively
Proportion of agricultural land area that has achieved an acceptable or desirable level of use of agro-biodiversity supportive practices,sdg/AG_LND_AGRBIO,,Farmland Promoting Agro-Biodiversity,Farmland Promoting Agro-Biodiversity
Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability,sdg/AG_LND_H2OAVAIL,,Farmland Managing Water Availability,Farmland Managing Water Availability
Proportion of agricultural land area that has achieved an acceptable or desirable level of wage rate in agriculture,sdg/AG_LND_AGRWAG,,Farmland With Fair Wage Rates,Farmland With Fair Wage Rates
Number of local breeds for which sufficient genetic resources are stored for reconstitution,sdg/ER_GRF_ANIMRCNTN,,Local Breeds With Adequate Genetic Resources for Reconstitution,Local Breeds With Adequate Genetic Resources for Reconstitution
Number of local breeds kept in the country,sdg/ER_GRF_ANIMKPT,,Local Breeds in the Country,Local Breeds in the Country
Number of transboundary breeds,sdg/ER_GRF_ANIMKPT_TRB,,Transboundary Breeds,Transboundary Breeds
Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution,sdg/ER_GRF_ANIMRCNTN_TRB,,Transboundary Breeds With Adequate Genetic Resources for Reconstitution,Transboundary Breeds With Adequate Genetic Resources for Reconstitution
Plant genetic resources accessions stored ex situ,sdg/ER_GRF_PLNTSTOR,,Ex Situ Stored Plant Genetic Resources,Ex Situ Stored Plant Genetic Resources
Number of local breeds,sdg/ER_NOEX_LBREDN,,Local Breeds,Local Breeds
Number of local breeds with unknown risk status,sdg/ER_UNK_LBREDN,,Local Breeds With Unknown Risk Status,Local Breeds With Unknown Risk Status
Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk,sdg/ER_RSK_LBREDS,,At-Risk Local Breeds Among Known Extinction Risk Levels,At-Risk Local Breeds Among Known Extinction Risk Levels
Agriculture orientation index for government expenditures,sdg/AG_PRD_ORTIND,,Agriculture Orientation Index for Government Expenditures,Agriculture Orientation Index for Government Expenditures
Agriculture share of Government Expenditure,sdg/AG_XPD_AGSGB,,Agriculture Share of Government Expenditure,Agriculture Share of Government Expenditure
Agriculture value added share of GDP,sdg/AG_PRD_AGVAS,,Agriculture Value Added Share of GDP,Agriculture Value Added Share of GDP
Total official flows for agriculture,sdg/DC_TOF_AGRL,,Total Official Flows for Agriculture,Total Official Flows for Agriculture
Agricultural export subsidies,sdg/AG_PRD_XSUBDY,,Agricultural Export Subsidies,Agricultural Export Subsidies
Indicator of Food Price Anomalies,sdg/AG_FPA_CFPI,,Indicator of Food Price Anomalies,Indicator of Food Price Anomalies
"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies",sdg/AG_FPA_HMFP,,Countries With High Food Prices,Countries With High Food Prices
Prevalence of moderate or severe food insecurity,sdg/AG_PRD_FIESMS,,Moderate or Severe Food Insecurity,Moderate or Severe Food Insecurity
Number of moderately or severely food insecure people,sdg/AG_PRD_FIESMSN,,Population With Moderate or Severe Food Insecurity,Population With Moderate or Severe Food Insecurity
Prevalence of severe food insecurity,sdg/AG_PRD_FIESS,,Severe Food Insecurity,Severe Food Insecurity
Number of severely food insecure people,sdg/AG_PRD_FIESSN,,Population With Severe Food Insecurity,Population With Severe Food Insecurity
Productivity of large-scale food producers,sdg/PD_AGR_LSFP,,Productivity of Large-Scale Food Producers,Productivity of Large-Scale Food Producers
Productivity of small-scale food producers,sdg/PD_AGR_SSFP,,Productivity of Small-Scale Food Producers,Productivity of Small-Scale Food Producers
"Average income of large-scale food producers, PPP",sdg/SI_AGR_LSFP,,Average Earnings of Large-Scale Food Producers,Average Earnings of Large-Scale Food Producers
"Average income of small-scale food producers, PPP",sdg/SI_AGR_SSFP,,Average Earnings of Small-Scale Food Producers,Average Earnings of Small-Scale Food Producers
Indicator of Food Price Anomalies [Type of product = Maize],sdg/AG_FPA_COMM.PRODUCT--CPC2_1_112,,Maize Food Price Anomalies,Maize Food Price Anomalies
Indicator of Food Price Anomalies [Type of product = Millet],sdg/AG_FPA_COMM.PRODUCT--CPC2_1_118,,Millet Food Price Anomalies,Millet Food Price Anomalies
Indicator of Food Price Anomalies [Type of product = Rice],sdg/AG_FPA_COMM.PRODUCT--CPC2_1_113,,Rice Food Price Anomalies,Rice Food Price Anomalies
Indicator of Food Price Anomalies [Type of product = Sorghum],sdg/AG_FPA_COMM.PRODUCT--CPC2_1_114,,Sorghum Food Price Anomalies,Sorghum Food Price Anomalies
Indicator of Food Price Anomalies [Type of product = Wheat],sdg/AG_FPA_COMM.PRODUCT--CPC2_1_111,,Wheat Food Price Anomalies,Wheat Food Price Anomalies
"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies [Severity of price levels = Abnormal: High food prices]",sdg/AG_FPA_HMFP.SEVERITY_OF_PRICE_LEVELS--SPL_A,,Countries With Abnormally High Food Prices,Countries With Abnormally High Food Prices
"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies [Severity of price levels = Moderate: Moderately high food prices]",sdg/AG_FPA_HMFP.SEVERITY_OF_PRICE_LEVELS--SPL_M,,Countries With Moderately High Food Prices,Countries With Moderately High Food Prices
Number of moderately or severely food insecure people [Age = 15 years old and over | Sex = Female],sdg/AG_PRD_FIESMSN.AGE--Y_GE15__SEX--F,,Women Age 15 and Over With Moderate or Severe Food Insecurity,Women Age 15 and Over With Moderate or Severe Food Insecurity
Number of moderately or severely food insecure people [Age = 15 years old and over | Sex = Male],sdg/AG_PRD_FIESMSN.AGE--Y_GE15__SEX--M,,Men Age 15 and Over With Moderate or Severe Food Insecurity,Men Age 15 and Over With Moderate or Severe Food Insecurity
Prevalence of moderate or severe food insecurity [Age = 15 years old and over | Sex = Female],sdg/AG_PRD_FIESMS.AGE--Y_GE15__SEX--F,,Moderate or Severe Food Insecurity in Women Age 15 or Older,Moderate or Severe Food Insecurity in Women Age 15 or Older
Prevalence of moderate or severe food insecurity [Age = 15 years old and over | Sex = Male],sdg/AG_PRD_FIESMS.AGE--Y_GE15__SEX--M,,Moderate or Severe Food Insecurity in Men Age 15 or Older,Moderate or Severe Food Insecurity in Men Age 15 or Older
Number of severely food insecure people [Age = 15 years old and over | Sex = Female],sdg/AG_PRD_FIESSN.AGE--Y_GE15__SEX--F,,Women Age 15 and Over With Severe Food Insecurity,Women Age 15 and Over With Severe Food Insecurity
Number of severely food insecure people [Age = 15 years old and over | Sex = Male],sdg/AG_PRD_FIESSN.AGE--Y_GE15__SEX--M,,Men Age 15 and Over With Severe Food Insecurity,Men Age 15 and Over With Severe Food Insecurity
Prevalence of severe food insecurity [Age = 15 years old and over | Sex = Female],sdg/AG_PRD_FIESS.AGE--Y_GE15__SEX--F,,Severe Food Insecurity in Women Age 15 or Older,Severe Food Insecurity in Women Age 15 or Older
Prevalence of severe food insecurity [Age = 15 years old and over | Sex = Male],sdg/AG_PRD_FIESS.AGE--Y_GE15__SEX--M,,Severe Food Insecurity in Men Age 15 or Older,Severe Food Insecurity in Men Age 15 or Older
Productivity of large-scale food producers [Sex = Female],sdg/PD_AGR_LSFP.SEX--F,,Productivity of Large-Scale Female Food Producers,Productivity of Large-Scale Female Food Producers
Productivity of large-scale food producers [Sex = Male],sdg/PD_AGR_LSFP.SEX--M,,Productivity of Large-Scale Male Food Producers,Productivity of Large-Scale Male Food Producers
Productivity of small-scale food producers [Sex = Female],sdg/PD_AGR_SSFP.SEX--F,,Productivity of Small-Scale Female Food Producers,Productivity of Small-Scale Female Food Producers
Productivity of small-scale food producers [Sex = Male],sdg/PD_AGR_SSFP.SEX--M,,Productivity of Small-Scale Male Food Producers,Productivity of Small-Scale Male Food Producers
"Average income of large-scale food producers, PPP [Sex = Female]",sdg/SI_AGR_LSFP.SEX--F,,Average Earnings of Large-Scale Female Food Producers,Average Earnings of Large-Scale Female Food Producers
"Average income of large-scale food producers, PPP [Sex = Male]",sdg/SI_AGR_LSFP.SEX--M,,Average Earnings of Large-Scale Male Food Producers,Average Earnings of Large-Scale Male Food Producers
"Average income of small-scale food producers, PPP [Sex = Female]",sdg/SI_AGR_SSFP.SEX--F,,Average Earnings of Small-Scale Female Food Producers,Average Earnings of Small-Scale Female Food Producers
"Average income of small-scale food producers, PPP [Sex = Male]",sdg/SI_AGR_SSFP.SEX--M,,Average Earnings of Small-Scale Male Food Producers,Average Earnings of Small-Scale Male Food Producers
Maternal mortality ratio [Sex = Female],sdg/SH_STA_MORT.SEX--F,,Maternal mortality ratio,Maternal mortality ratio
Neonatal mortality rate [Age = under 1 month old],sdg/SH_DYN_NMRT.AGE--M0,,Neonatal mortality rate,Neonatal mortality rate
Tuberculosis incidence,sdg/SH_TBS_INCD,,Incidence of Tuberculosis,Incidence of Tuberculosis
Prevalence of hepatitis B surface antigen [Age = under 5 years old],sdg/SH_HAP_HBSAG.AGE--Y0T4,,Prevalence of hepatitis B in children under 5 years,Prevalence of hepatitis B in children under 5 years
Number of people requiring interventions against neglected tropical diseases,sdg/SH_TRP_INTVN,,Need for intervention against neglected tropical diseases,Need for intervention against neglected tropical diseases
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods [Age = 15 to 49 years old | Sex = Female],sdg/SH_FPL_MTMM.AGE--Y15T49__SEX--F,,Access to modern family planning for adult women,Access to modern family planning for adult women
Universal health coverage service coverage index,sdg/SH_ACS_UNHC,,Universal health coverage index,Universal health coverage index
Proportion of population with large household expenditures on health as a share of total household expenditure or income,sdg/SH_XPD_EARN10,,Population with health spending over 10% of household expenditure or income,Population with health spending over 10% of household expenditure or income
Proportion of population with large household expenditures on health as a share of total household expenditure or income,sdg/SH_XPD_EARN25,,Population with health spending over 25% of household expenditure or income,Population with health spending over 25% of household expenditure or income
"Number of new HIV infections per 1,000 uninfected population",sdg/SH_HIV_INCD,,Incidence of HIV infections,Incidence of HIV infections
Infant mortality rate [Age = under 1 year old | Sex = Female],sdg/SH_DYN_IMRT.AGE--Y0__SEX--F,,Infant mortality rate,Infant mortality rate
Under-five mortality rate [Age = under 5 years old | Sex = Female],sdg/SH_DYN_MORT.AGE--Y0T4__SEX--F,,Mortality rate for children under 5 years,Mortality rate for children under 5 years
Health worker density [Type of occupation = Dentists],sdg/SH_MED_DEN.OCCUPATION--ISCO08_2261,,Density of dentists,Density of dentists
Health worker density [Type of occupation = Medical doctors],sdg/SH_MED_DEN.OCCUPATION--ISCO08_221,,Density of medical doctors,Density of medical doctors
Health worker density [Type of occupation = Nursing and midwifery personnel],sdg/SH_MED_DEN.OCCUPATION--ISCO08_222_322,,Density of nurses and midwives,Density of nurses and midwives
Health worker density [Type of occupation = Pharmacists],sdg/SH_MED_DEN.OCCUPATION--ISCO08_2262,,Density of pharmacists,Density of pharmacists
Adolescent birth rate [Age = 15 to 19 years old | Sex = Female],sdg/SP_DYN_ADKL.AGE--Y15T19__SEX--F,,Birth rate for adolescent women,Birth rate for adolescent women
Age-standardized prevalence of current tobacco use among persons aged 15 years and older [Age = 15 years old and over],sdg/SH_PRV_SMOK.AGE--Y_GE15,,Prevalence of tobacco use among 15 years or older,Prevalence of tobacco use among 15 years or older
"Alcohol use disorders, 12-month prevalence [Age = 15 years old and over]",sdg/SH_SUD_ALCOL.AGE--Y_GE15,,Prevalence of alcohol use disorder among 15 years or older,Prevalence of alcohol use disorder among 15 years or older
