dcid,year,unemploymentPercentOfLaborForce
country/GBR,2026,4.2
country/GBR,2027,4.2
country/GBR,2028,4.2
country/AUT,1980,1.6
country/AUT,1981,2.2
country/AUT,1982,3.1
country/AUT,1983,3.7
country/AUT,1984,3.8
country/AUT,1985,3.6
country/AUT,1986,3.1
country/AUT,1987,3.8
country/AUT,1988,2.676
country/AUT,1989,2.348
country/AUT,1990,2.723
country/AUT,1991,3.151
country/AUT,1992,3.29
country/AUT,1993,3.958
country/AUT,1994,3.85
country/AUT,1995,4.242
country/AUT,1996,4.717
country/AUT,1997,4.758
country/AUT,1998,4.708
country/AUT,1999,4.142
country/AUT,2000,3.883
country/AUT,2001,4.008
country/AUT,2002,4.392
country/AUT,2003,4.792
country/AUT,2004,5.883
country/AUT,2005,6.042
country/AUT,2006,5.617
country/AUT,2007,5.192
country/AUT,2008,4.433
country/AUT,2009,5.717
country/AUT,2010,5.183
country/AUT,2011,4.9
country/AUT,2012,5.242
country/AUT,2013,5.35
country/AUT,2014,6.058
country/AUT,2015,6.15
country/AUT,2016,6.475
country/AUT,2017,5.908
country/AUT,2018,5.225
country/AUT,2019,4.808
country/AUT,2020,5.475
country/AUT,2021,6.183
country/AUT,2022,4.767
country/AUT,2023,5.107
country/AUT,2024,5.371
country/AUT,2025,5.272
country/AUT,2026,5.061
country/AUT,2027,4.995
country/AUT,2028,4.977
country/BEL,1980,8.3
country/BEL,1981,10.0
country/BEL,1982,11.5
country/BEL,1983,10.742
country/BEL,1984,10.825
country/BEL,1985,10.117
country/BEL,1986,10.05
country/BEL,1987,9.808
country/BEL,1988,8.833
country/BEL,1989,7.367
country/BEL,1990,6.558
country/BEL,1991,6.45
country/BEL,1992,7.092
country/BEL,1993,8.625
country/BEL,1994,9.75
country/BEL,1995,9.683
country/BEL,1996,9.55
country/BEL,1997,9.217
country/BEL,1998,9.342
country/BEL,1999,8.425
country/BEL,2000,6.858
country/BEL,2001,6.567
country/BEL,2002,7.525
country/BEL,2003,8.175
country/BEL,2004,8.383
country/BEL,2005,8.475
country/BEL,2006,8.267
country/BEL,2007,7.492
country/BEL,2008,6.967
country/BEL,2009,7.992
country/BEL,2010,8.375
country/BEL,2011,7.217
country/BEL,2012,7.65
country/BEL,2013,8.55
country/BEL,2014,8.667
country/BEL,2015,8.658
country/BEL,2016,7.85
country/BEL,2017,7.108
country/BEL,2018,5.975
country/BEL,2019,5.375
country/BEL,2020,5.575
country/BEL,2021,6.267
country/BEL,2022,5.558
country/BEL,2023,5.659
country/BEL,2024,5.744
country/BEL,2025,5.655
country/BEL,2026,5.546
country/BEL,2027,5.461
country/BEL,2028,5.402
country/DNK,1980,5.287
country/DNK,1981,7.133
country/DNK,1982,7.602
country/DNK,1983,8.375
country/DNK,1984,7.925
country/DNK,1985,6.617
country/DNK,1986,4.983
country/DNK,1987,5.0
country/DNK,1988,5.658
country/DNK,1989,6.825
country/DNK,1990,7.167
country/DNK,1991,7.867
country/DNK,1992,8.608
country/DNK,1993,9.533
country/DNK,1994,7.733
country/DNK,1995,6.758
country/DNK,1996,6.317
country/DNK,1997,5.242
country/DNK,1998,4.883
country/DNK,1999,5.108
country/DNK,2000,4.317
country/DNK,2001,4.508
country/DNK,2002,4.642
country/DNK,2003,5.433
country/DNK,2004,5.517
country/DNK,2005,4.8
country/DNK,2006,3.9
country/DNK,2007,3.775
country/DNK,2008,3.7
country/DNK,2009,6.442
country/DNK,2010,7.75
country/DNK,2011,7.758
country/DNK,2012,7.792
country/DNK,2013,7.367
country/DNK,2014,6.917
country/DNK,2015,6.267
country/DNK,2016,5.983
country/DNK,2017,5.825
country/DNK,2018,5.125
country/DNK,2019,5.0
country/DNK,2020,5.625
country/DNK,2021,5.083
country/DNK,2022,4.45
country/DNK,2023,5.0
country/DNK,2024,5.0
country/DNK,2025,5.0
country/DNK,2026,5.0
country/DNK,2027,5.0
country/DNK,2028,5.0
country/FRA,1980,6.349
country/FRA,1981,7.438
country/FRA,1982,8.069
country/FRA,1983,7.383
country/FRA,1984,8.458
country/FRA,1985,8.7
country/FRA,1986,8.875
country/FRA,1987,9.15
country/FRA,1988,8.842
country/FRA,1989,8.7
country/FRA,1990,8.4
country/FRA,1991,8.617
country/FRA,1992,9.442
country/FRA,1993,10.267
country/FRA,1994,10.667
country/FRA,1995,10.508
country/FRA,1996,10.833
country/FRA,1997,10.892
country/FRA,1998,10.692
country/FRA,1999,10.442
country/FRA,2000,9.175
country/FRA,2001,8.458
country/FRA,2002,8.275
country/FRA,2003,8.525
country/FRA,2004,8.875
country/FRA,2005,8.875
country/FRA,2006,8.85
country/FRA,2007,8.017
country/FRA,2008,7.442
country/FRA,2009,9.117
country/FRA,2010,9.267
country/FRA,2011,9.208
country/FRA,2012,9.767
country/FRA,2013,10.3
country/FRA,2014,10.258
country/FRA,2015,10.342
country/FRA,2016,10.067
country/FRA,2017,9.408
country/FRA,2018,9.017
country/FRA,2019,8.425
country/FRA,2020,8.025
country/FRA,2021,7.858
country/FRA,2022,7.317
country/FRA,2023,7.356
country/FRA,2024,7.267
country/FRA,2025,6.929
country/FRA,2026,6.813
country/FRA,2027,6.716
country/FRA,2028,6.66
country/DEU,1980,3.359
country/DEU,1981,4.831
country/DEU,1982,6.734
country/DEU,1983,8.099
country/DEU,1984,8.058
country/DEU,1985,8.124
country/DEU,1986,7.834
country/DEU,1987,7.843
country/DEU,1988,7.735
country/DEU,1989,6.79
country/DEU,1990,6.155
country/DEU,1991,5.47
country/DEU,1992,6.592
country/DEU,1993,7.775
country/DEU,1994,8.425
country/DEU,1995,8.233
country/DEU,1996,8.908
country/DEU,1997,9.658
country/DEU,1998,9.383
country/DEU,1999,8.558
country/DEU,2000,7.95
country/DEU,2001,7.8
country/DEU,2002,8.6
country/DEU,2003,9.708
country/DEU,2004,10.333
country/DEU,2005,11.008
country/DEU,2006,10.042
country/DEU,2007,8.542
country/DEU,2008,7.425
country/DEU,2009,7.225
country/DEU,2010,6.575
country/DEU,2011,5.517
country/DEU,2012,5.083
country/DEU,2013,4.95
country/DEU,2014,4.708
country/DEU,2015,4.367
country/DEU,2016,3.908
country/DEU,2017,3.567
country/DEU,2018,3.208
country/DEU,2019,2.975
country/DEU,2020,3.625
country/DEU,2021,3.575
country/DEU,2022,3.067
country/DEU,2023,3.264
country/DEU,2024,3.322
country/DEU,2025,3.113
country/DEU,2026,3.044
country/DEU,2027,2.992
country/DEU,2028,2.954
country/SMR,2001,3.54
country/SMR,2002,3.921
country/SMR,2003,4.119
country/SMR,2004,3.362
country/SMR,2005,3.56
country/SMR,2006,3.313
country/SMR,2007,3.021
country/SMR,2008,3.114
country/SMR,2009,4.483
country/SMR,2010,4.945
country/SMR,2011,5.469
country/SMR,2012,6.95
country/SMR,2013,8.079
country/SMR,2014,8.739
country/SMR,2015,9.183
country/SMR,2016,8.597
country/SMR,2017,8.095
country/SMR,2018,8.009
country/SMR,2019,7.663
country/SMR,2020,7.342
country/SMR,2021,5.238
country/SMR,2022,4.318
country/SMR,2023,4.037
country/SMR,2024,3.945
country/SMR,2025,3.945
country/SMR,2026,3.945
country/SMR,2027,3.945
country/SMR,2028,3.945
country/ITA,1980,7.37
country/ITA,1981,7.649
country/ITA,1982,8.288
country/ITA,1983,7.367
country/ITA,1984,7.833
country/ITA,1985,8.167
country/ITA,1986,8.867
country/ITA,1987,9.617
country/ITA,1988,9.683
country/ITA,1989,9.667
country/ITA,1990,8.858
country/ITA,1991,8.533
country/ITA,1992,8.808
country/ITA,1993,9.833
country/ITA,1994,10.633
country/ITA,1995,11.15
country/ITA,1996,11.15
country/ITA,1997,11.242
country/ITA,1998,11.333
country/ITA,1999,10.942
country/ITA,2000,10.1
country/ITA,2001,9.1
country/ITA,2002,8.608
country/ITA,2003,8.45
country/ITA,2004,8.033
country/ITA,2005,7.758
country/ITA,2006,6.867
country/ITA,2007,6.2
country/ITA,2008,6.792
country/ITA,2009,7.867
country/ITA,2010,8.5
country/ITA,2011,8.583
country/ITA,2012,10.892
country/ITA,2013,12.35
country/ITA,2014,12.792
country/ITA,2015,12.033
country/ITA,2016,11.717
country/ITA,2017,11.3
country/ITA,2018,10.608
country/ITA,2019,9.9
country/ITA,2020,9.342
country/ITA,2021,9.517
country/ITA,2022,8.117
country/ITA,2023,7.9
country/ITA,2024,8.0
country/ITA,2025,8.1
country/ITA,2026,8.2
country/ITA,2027,8.2
country/ITA,2028,8.25
country/LUX,1980,0.723
country/LUX,1981,1.015
country/LUX,1982,1.33
country/LUX,1983,1.615
country/LUX,1984,1.748
country/LUX,1985,1.667
country/LUX,1986,1.458
country/LUX,1987,1.669
country/LUX,1988,1.536
country/LUX,1989,1.402
country/LUX,1990,1.256
country/LUX,1991,1.38
country/LUX,1992,1.634
country/LUX,1993,2.105
country/LUX,1994,2.732
country/LUX,1995,2.961
country/LUX,1996,3.241
country/LUX,1997,3.302
country/LUX,1998,3.057
country/LUX,1999,2.89
country/LUX,2000,2.4
country/LUX,2001,2.217
country/LUX,2002,2.5
country/LUX,2003,3.292
country/LUX,2004,3.692
country/LUX,2005,4.083
country/LUX,2006,4.233
country/LUX,2007,4.183
country/LUX,2008,4.142
country/LUX,2009,5.483
country/LUX,2010,5.817
country/LUX,2011,5.667
country/LUX,2012,6.099
country/LUX,2013,6.83
country/LUX,2014,7.092
country/LUX,2015,6.648
country/LUX,2016,6.263
country/LUX,2017,5.843
country/LUX,2018,5.103
country/LUX,2019,5.403
country/LUX,2020,6.363
country/LUX,2021,5.744
country/LUX,2022,4.806
country/LUX,2023,5.237
country/LUX,2024,5.755
country/LUX,2025,5.885
country/LUX,2026,5.82
country/LUX,2027,5.661
country/LUX,2028,5.615
country/NLD,1980,3.354
country/NLD,1981,4.583
country/NLD,1982,6.525
country/NLD,1983,8.254
country/NLD,1984,8.09
country/NLD,1985,7.327
country/NLD,1986,6.52
country/NLD,1987,6.337
country/NLD,1988,6.247
country/NLD,1989,5.674
country/NLD,1990,5.112
country/NLD,1991,4.799
country/NLD,1992,4.865
country/NLD,1993,5.53
country/NLD,1994,6.193
country/NLD,1995,7.733
country/NLD,1996,7.099
country/NLD,1997,6.101
country/NLD,1998,4.93
country/NLD,1999,4.139
country/NLD,2000,3.66
country/NLD,2001,3.137
country/NLD,2002,3.665
country/NLD,2003,5.921
country/NLD,2004,6.773
country/NLD,2005,6.961
country/NLD,2006,6.079
country/NLD,2007,5.295
country/NLD,2008,4.77
country/NLD,2009,5.422
country/NLD,2010,6.082
country/NLD,2011,6.05
country/NLD,2012,6.823
country/NLD,2013,8.204
country/NLD,2014,8.338
country/NLD,2015,7.887
country/NLD,2016,7.005
country/NLD,2017,5.873
country/NLD,2018,4.881
country/NLD,2019,4.436
country/NLD,2020,4.851
country/NLD,2021,4.226
country/NLD,2022,3.537
country/NLD,2023,3.7
country/NLD,2024,4.1
country/NLD,2025,4.5
country/NLD,2026,4.7
country/NLD,2027,4.9
country/NLD,2028,5.2
country/NOR,1980,1.65
country/NOR,1981,2.001
country/NOR,1982,2.606
country/NOR,1983,3.426
country/NOR,1984,3.147
country/NOR,1985,2.588
country/NOR,1986,1.962
country/NOR,1987,2.084
country/NOR,1988,3.149
country/NOR,1989,4.908
country/NOR,1990,5.229
country/NOR,1991,5.469
country/NOR,1992,5.915
country/NOR,1993,5.948
country/NOR,1994,5.393
country/NOR,1995,4.906
country/NOR,1996,4.833
country/NOR,1997,4.034
country/NOR,1998,3.186
country/NOR,1999,3.172
country/NOR,2000,3.426
country/NOR,2001,3.546
country/NOR,2002,3.889
country/NOR,2003,4.494
country/NOR,2004,4.471
country/NOR,2005,4.616
country/NOR,2006,3.444
country/NOR,2007,2.539
country/NOR,2008,2.747
country/NOR,2009,3.266
country/NOR,2010,3.794
country/NOR,2011,3.364
country/NOR,2012,3.294
country/NOR,2013,3.773
country/NOR,2014,3.617
country/NOR,2015,4.531
country/NOR,2016,4.74
country/NOR,2017,4.216
country/NOR,2018,3.854
country/NOR,2019,3.728
country/NOR,2020,4.595
country/NOR,2021,4.41
country/NOR,2022,3.252
country/NOR,2023,3.6
country/NOR,2024,3.8
country/NOR,2025,3.8
country/NOR,2026,3.8
country/NOR,2027,3.8
country/NOR,2028,3.8
country/SWE,1980,2.7
country/SWE,1981,3.417
country/SWE,1982,4.342
country/SWE,1983,4.758
country/SWE,1984,4.233
country/SWE,1985,3.85
country/SWE,1986,3.608
country/SWE,1987,2.867
country/SWE,1988,2.35
country/SWE,1989,2.025
country/SWE,1990,2.242
country/SWE,1991,4.0
country/SWE,1992,7.1
country/SWE,1993,11.15
country/SWE,1994,10.783
country/SWE,1995,10.417
country/SWE,1996,10.883
country/SWE,1997,10.875
country/SWE,1998,8.817
country/SWE,1999,7.55
country/SWE,2000,6.342
country/SWE,2001,6.033
country/SWE,2002,6.15
country/SWE,2003,6.75
country/SWE,2004,7.583
country/SWE,2005,7.85
country/SWE,2006,7.242
country/SWE,2007,6.317
country/SWE,2008,6.35
country/SWE,2009,8.483
country/SWE,2010,8.775
country/SWE,2011,7.95
country/SWE,2012,8.15
country/SWE,2013,8.208
country/SWE,2014,8.1
country/SWE,2015,7.592
country/SWE,2016,7.15
country/SWE,2017,6.858
country/SWE,2018,6.517
country/SWE,2019,6.975
country/SWE,2020,8.542
country/SWE,2021,8.8
country/SWE,2022,7.467
country/SWE,2023,7.547
country/SWE,2024,8.077
country/SWE,2025,8.2
country/SWE,2026,7.7
country/SWE,2027,7.5
country/SWE,2028,7.5
country/CHE,1980,0.209
country/CHE,1981,0.19
country/CHE,1982,0.428
country/CHE,1983,0.85
country/CHE,1984,1.138
country/CHE,1985,0.982
country/CHE,1986,0.832
country/CHE,1987,0.798
country/CHE,1988,0.72
country/CHE,1989,0.564
country/CHE,1990,0.501
country/CHE,1991,1.083
country/CHE,1992,2.549
country/CHE,1993,4.504
country/CHE,1994,4.723
country/CHE,1995,4.233
country/CHE,1996,4.656
country/CHE,1997,5.199
country/CHE,1998,3.856
country/CHE,1999,2.723
country/CHE,2000,1.824
country/CHE,2001,1.703
country/CHE,2002,2.546
country/CHE,2003,3.691
country/CHE,2004,3.879
country/CHE,2005,3.763
country/CHE,2006,3.332
country/CHE,2007,2.766
country/CHE,2008,2.577
country/CHE,2009,3.701
country/CHE,2010,3.516
country/CHE,2011,2.843
country/CHE,2012,2.905
country/CHE,2013,3.158
country/CHE,2014,3.044
country/CHE,2015,3.178
country/CHE,2016,3.323
country/CHE,2017,3.088
country/CHE,2018,2.547
country/CHE,2019,2.306
country/CHE,2020,3.17
country/CHE,2021,2.993
country/CHE,2022,2.166
country/CHE,2023,2.051
country/CHE,2024,2.34
country/CHE,2025,2.4
country/CHE,2026,2.4
country/CHE,2027,2.4
country/CHE,2028,2.4
country/CAN,1980,7.517
country/CAN,1981,7.617
country/CAN,1982,11.1
country/CAN,1983,12.0
country/CAN,1984,11.375
country/CAN,1985,10.508
country/CAN,1986,9.608
country/CAN,1987,8.8
country/CAN,1988,7.775
country/CAN,1989,7.508
country/CAN,1990,8.15
country/CAN,1991,10.317
country/CAN,1992,11.217
country/CAN,1993,11.375
country/CAN,1994,10.392
country/CAN,1995,9.467
country/CAN,1996,9.608
country/CAN,1997,9.092
country/CAN,1998,8.292
country/CAN,1999,7.567
country/CAN,2000,6.833
country/CAN,2001,7.225
country/CAN,2002,7.683
country/CAN,2003,7.592
country/CAN,2004,7.15
country/CAN,2005,6.75
country/CAN,2006,6.45
country/CAN,2007,6.158
country/CAN,2008,6.308
country/CAN,2009,8.458
country/CAN,2010,8.142
country/CAN,2011,7.617
country/CAN,2012,7.408
country/CAN,2013,7.175
country/CAN,2014,7.033
country/CAN,2015,6.95
country/CAN,2016,7.033
country/CAN,2017,6.408
country/CAN,2018,5.85
country/CAN,2019,5.7
country/CAN,2020,9.725
country/CAN,2021,7.508
country/CAN,2022,5.275
country/CAN,2023,5.527
country/CAN,2024,6.252
country/CAN,2025,6.023
country/CAN,2026,5.973
country/CAN,2027,5.995
country/CAN,2028,5.999
country/JPN,1980,2.017
country/JPN,1981,2.208
country/JPN,1982,2.35
country/JPN,1983,2.658
country/JPN,1984,2.708
country/JPN,1985,2.625
country/JPN,1986,2.767
country/JPN,1987,2.85
country/JPN,1988,2.517
country/JPN,1989,2.25
country/JPN,1990,2.1
country/JPN,1991,2.092
country/JPN,1992,2.15
country/JPN,1993,2.5
country/JPN,1994,2.892
country/JPN,1995,3.15
country/JPN,1996,3.367
country/JPN,1997,3.4
country/JPN,1998,4.1
country/JPN,1999,4.667
country/JPN,2000,4.733
country/JPN,2001,5.042
country/JPN,2002,5.358
country/JPN,2003,5.242
country/JPN,2004,4.733
country/JPN,2005,4.425
country/JPN,2006,4.117
country/JPN,2007,3.833
country/JPN,2008,3.983
country/JPN,2009,5.075
country/JPN,2010,5.058
country/JPN,2011,4.583
country/JPN,2012,4.325
country/JPN,2013,4.008
country/JPN,2014,3.583
country/JPN,2015,3.375
country/JPN,2016,3.108
country/JPN,2017,2.825
country/JPN,2018,2.442
country/JPN,2019,2.358
country/JPN,2020,2.783
country/JPN,2021,2.808
country/JPN,2022,2.592
country/JPN,2023,2.45
country/JPN,2024,2.3
country/JPN,2025,2.3
country/JPN,2026,2.3
country/JPN,2027,2.3
country/JPN,2028,2.3
country/AND,2010,3.225
country/AND,2011,3.975
country/AND,2012,6.175
country/AND,2013,6.325
country/AND,2014,5.8
country/AND,2015,3.575
country/AND,2016,3.025
country/AND,2017,1.725
country/AND,2018,1.525
country/AND,2019,1.775
country/AND,2020,2.85
country/AND,2021,2.875
country/AND,2022,2.05
country/AND,2023,1.9
country/AND,2024,1.675
country/AND,2025,1.675
country/AND,2026,1.675
country/AND,2027,1.675
country/AND,2028,1.675
country/FIN,1980,5.288
country/FIN,1981,5.743
country/FIN,1982,6.076
country/FIN,1983,6.147
country/FIN,1984,5.928
country/FIN,1985,6.049
country/FIN,1986,6.665
country/FIN,1987,4.9
country/FIN,1988,4.208
country/FIN,1989,3.108
country/FIN,1990,3.2
country/FIN,1991,6.7
country/FIN,1992,11.8
country/FIN,1993,16.5
country/FIN,1994,16.7
country/FIN,1995,15.5
country/FIN,1996,14.6
country/FIN,1997,12.7
country/FIN,1998,11.5
country/FIN,1999,10.275
country/FIN,2000,9.875
country/FIN,2001,9.2
country/FIN,2002,9.175
country/FIN,2003,9.075
country/FIN,2004,8.875
country/FIN,2005,8.475
country/FIN,2006,7.775
country/FIN,2007,6.95
country/FIN,2008,6.425
country/FIN,2009,8.325
country/FIN,2010,8.5
country/FIN,2011,7.9
country/FIN,2012,7.8
country/FIN,2013,8.325
country/FIN,2014,8.825
country/FIN,2015,9.575
country/FIN,2016,8.975
country/FIN,2017,8.825
country/FIN,2018,7.425
country/FIN,2019,6.725
country/FIN,2020,7.767
country/FIN,2021,7.617
country/FIN,2022,6.767
country/FIN,2023,7.3
country/FIN,2024,7.448
country/FIN,2025,7.31
country/FIN,2026,7.046
country/FIN,2027,6.936
country/FIN,2028,6.84
country/GRC,1980,2.663
country/GRC,1981,4.0
country/GRC,1982,5.8
country/GRC,1983,7.9
country/GRC,1984,8.1
country/GRC,1985,7.8
country/GRC,1986,7.4
country/GRC,1987,7.4
country/GRC,1988,7.7
country/GRC,1989,7.5
country/GRC,1990,7.0
country/GRC,1991,7.7
country/GRC,1992,8.7
country/GRC,1993,9.7
country/GRC,1994,9.6
country/GRC,1995,10.0
country/GRC,1996,10.3
country/GRC,1997,10.3
country/GRC,1998,11.2
country/GRC,1999,12.125
country/GRC,2000,11.35
country/GRC,2001,10.775
country/GRC,2002,10.35
country/GRC,2003,9.775
country/GRC,2004,10.6
country/GRC,2005,10.0
country/GRC,2006,9.0
country/GRC,2007,8.4
country/GRC,2008,7.75
country/GRC,2009,9.6
country/GRC,2010,12.725
country/GRC,2011,17.85
country/GRC,2012,24.425
country/GRC,2013,27.475
country/GRC,2014,26.5
country/GRC,2015,24.9
country/GRC,2016,23.55
country/GRC,2017,21.45
country/GRC,2018,19.3
country/GRC,2019,17.325
country/GRC,2020,16.325
country/GRC,2021,14.775
country/GRC,2022,12.425
country/GRC,2023,10.826
country/GRC,2024,9.255
country/GRC,2025,8.048
country/GRC,2026,7.155
country/GRC,2027,6.445
country/GRC,2028,5.727
country/ISL,1980,0.313
country/ISL,1981,0.365
country/ISL,1982,0.67
country/ISL,1983,1.022
country/ISL,1984,1.254
country/ISL,1985,0.906
country/ISL,1986,0.656
country/ISL,1987,0.441
country/ISL,1988,0.636
country/ISL,1989,1.658
country/ISL,1990,2.594
country/ISL,1991,2.925
country/ISL,1992,4.665
country/ISL,1993,5.764
country/ISL,1994,5.776
country/ISL,1995,5.25
country/ISL,1996,4.153
country/ISL,1997,4.204
country/ISL,1998,3.314
country/ISL,1999,2.489
country/ISL,2000,2.633
country/ISL,2001,2.791
country/ISL,2002,3.515
country/ISL,2003,3.525
country/ISL,2004,3.417
country/ISL,2005,2.883
country/ISL,2006,3.2
country/ISL,2007,2.492
country/ISL,2008,3.325
country/ISL,2009,8.008
country/ISL,2010,8.317
country/ISL,2011,7.7
country/ISL,2012,6.617
country/ISL,2013,5.833
country/ISL,2014,5.417
country/ISL,2015,4.5
country/ISL,2016,3.342
country/ISL,2017,3.283
country/ISL,2018,3.1
country/ISL,2019,3.925
country/ISL,2020,6.433
country/ISL,2021,6.017
country/ISL,2022,3.75
country/ISL,2023,3.388
country/ISL,2024,3.793
country/ISL,2025,3.946
country/ISL,2026,3.944
country/ISL,2027,3.983
country/ISL,2028,3.976
country/IRL,1985,17.7
country/IRL,1986,18.1
country/IRL,1987,18.8
country/IRL,1988,18.4
country/IRL,1989,17.9
country/IRL,1990,17.2
country/IRL,1991,19.0
country/IRL,1992,16.3
country/IRL,1993,16.7
country/IRL,1994,15.1
country/IRL,1995,14.1
country/IRL,1996,11.8
country/IRL,1997,9.858
country/IRL,1998,7.55
country/IRL,1999,5.908
country/IRL,2000,4.392
country/IRL,2001,4.175
country/IRL,2002,4.725
country/IRL,2003,4.85
country/IRL,2004,4.75
country/IRL,2005,4.633
country/IRL,2006,4.775
country/IRL,2007,5.0
country/IRL,2008,6.8
country/IRL,2009,12.65
country/IRL,2010,14.6
country/IRL,2011,15.4
country/IRL,2012,15.492
country/IRL,2013,13.775
country/IRL,2014,11.9
country/IRL,2015,9.933
country/IRL,2016,8.383
country/IRL,2017,6.758
country/IRL,2018,5.783
country/IRL,2019,4.983
country/IRL,2020,5.842
country/IRL,2021,6.258
country/IRL,2022,4.492
country/IRL,2023,4.06
country/IRL,2024,4.226
country/IRL,2025,4.387
country/IRL,2026,4.419
country/IRL,2027,4.597
country/IRL,2028,4.591
country/MLT,1983,12.5
country/MLT,1984,12.5
country/MLT,1985,12.2
country/MLT,1986,11.0
country/MLT,1987,8.2
country/MLT,1988,6.2
country/MLT,1989,4.636
country/MLT,1990,4.8
country/MLT,1991,4.4
country/MLT,1992,4.9
country/MLT,1993,5.4
country/MLT,1994,5.4
country/MLT,1995,4.9
country/MLT,1996,5.2
country/MLT,1997,6.2
country/MLT,1998,6.6
country/MLT,1999,7.1
country/MLT,2000,6.758
country/MLT,2001,7.617
country/MLT,2002,7.025
country/MLT,2003,7.567
country/MLT,2004,7.217
country/MLT,2005,6.942
country/MLT,2006,6.817
country/MLT,2007,6.467
country/MLT,2008,5.975
country/MLT,2009,6.883
country/MLT,2010,6.842
country/MLT,2011,6.392
country/MLT,2012,6.2
country/MLT,2013,6.108
country/MLT,2014,5.733
country/MLT,2015,5.392
country/MLT,2016,4.7
country/MLT,2017,4.0
country/MLT,2018,3.658
country/MLT,2019,3.633
country/MLT,2020,4.358
country/MLT,2021,3.408
country/MLT,2022,2.917
country/MLT,2023,3.1
country/MLT,2024,3.2
country/MLT,2025,3.3
country/MLT,2026,3.3
country/MLT,2027,3.3
country/MLT,2028,3.3
country/PRT,1980,7.824
country/PRT,1981,8.29
country/PRT,1982,7.457
country/PRT,1983,7.945
country/PRT,1984,10.503
country/PRT,1985,8.674
country/PRT,1986,8.603
country/PRT,1987,7.126
country/PRT,1988,7.069
country/PRT,1989,5.059
country/PRT,1990,4.225
country/PRT,1991,4.138
country/PRT,1992,3.86
country/PRT,1993,5.127
country/PRT,1994,6.34
country/PRT,1995,7.917
country/PRT,1996,8.015
country/PRT,1997,7.51
country/PRT,1998,5.72
country/PRT,1999,5.169
country/PRT,2000,4.717
country/PRT,2001,4.801
country/PRT,2002,5.779
country/PRT,2003,7.038
country/PRT,2004,7.392
country/PRT,2005,8.343
country/PRT,2006,8.408
country/PRT,2007,8.722
country/PRT,2008,8.315
country/PRT,2009,10.177
country/PRT,2010,11.506
country/PRT,2011,13.445
country/PRT,2012,16.516
country/PRT,2013,17.092
country/PRT,2014,14.535
country/PRT,2015,12.939
country/PRT,2016,11.452
country/PRT,2017,9.233
country/PRT,2018,7.167
country/PRT,2019,6.675
country/PRT,2020,7.125
country/PRT,2021,6.567
country/PRT,2022,6.05
country/PRT,2023,6.568
country/PRT,2024,6.475
country/PRT,2025,6.335
country/PRT,2026,6.241
country/PRT,2027,6.241
country/PRT,2028,6.241
country/ESP,1980,11.011
country/ESP,1981,13.755
country/ESP,1982,15.77
country/ESP,1983,17.215
country/ESP,1984,19.937
country/ESP,1985,21.305
country/ESP,1986,20.907
country/ESP,1987,20.223
country/ESP,1988,19.238
country/ESP,1989,17.24
