dcid,year,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDNorway,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDUnitedKingdom,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDUnitedStates
country/BIH,2021,,,,,,,26165904.456204996,,,,22241998.68,,,,,
country/BLR,2019,,,,,,,,,,,94870.94,,,,,
country/BLR,2020,,,,,,,1435897.0018381719,,,,,,,,,
country/BLR,2021,,,,,,,21556212.027595308,,,,,,,,,
country/BLZ,2015,,,,,,,,,,,855097.8,,,,,
country/BLZ,2016,,,,,,,,,,300000.0,482000.0,,,,,
country/BLZ,2017,,,,,,,,,,1200000.0,,,,,,
country/BLZ,2018,,,,,,,,,,1183196.0,2982300.0,,,,,
country/BLZ,2019,,,,,,,,,,1112075.0,1350588.8,,,,,
country/BLZ,2020,,,,,,,,,,7802953.3725,9841553.0,,,,,
country/BLZ,2021,,,,,,,,,,1406898.0425,11245911.2,,,,,
country/BOL,2015,,,,,,,,,,,80400000.0,,,,,
country/BOL,2017,,,,,,,,,,,25000.0,,,,,
country/BOL,2018,,,,,,,,,,5180000.0,3081738.75,,,,,
country/BOL,2019,,,,,,,,,,68710000.0,6400860.5,,,,,
country/BOL,2020,,,,,,,,,,5058254.46,25772489.053600002,1260000.0,,,,
country/BOL,2021,,,,,,,,,,7030000.0,20332732.042,1804375.0,,,,
country/BRA,2013,,,,,,,,,,,22000000.0,,,,,
country/BRA,2014,,,,,,,,,,,6672145.0,,,,,
country/BRA,2015,,,,,,,,,,,2951312.5,,,,,
country/BRA,2016,,,,,,,,,,,7082980.75,,,,,
country/BRA,2017,,,,,,,,,,1158.0,,,,,,
country/BRA,2018,,,,,,,,,,107350.9227,8621803.879999999,,,,,
country/BRA,2019,,,,,,,,,,302145.62,16847744.259999998,,,,,
country/BRA,2020,,,,,,,,,,5330403.89,10892906.66,,,,,
country/BRA,2021,,,,,,,,,,6075262.88,89710356.2383597,,,,,
country/BTN,2015,,639.1,,,,,,,,,,,,,,
country/BTN,2016,,156214.9142,,,,,,,,,,,,,,
country/BWA,2018,,,,,,,,,,,4448362.0,,,,,
country/BWA,2020,,,,,,,,,,,9398532.0,,,,,
country/BWA,2021,,,,,,,,,,,57557141.66336832,,,,,
country/CHN,2013,,,,,,,,,,,9819711.52,,,,,
country/CHN,2014,,15351945.372403566,,,,,,,,,21661402.68,,,,,
country/CHN,2015,,22238820.05368274,,,,,,,,,49986504.04,,,,,
country/CHN,2016,,26585237.794066828,,,,,,,,,73613642.84,,,,,
country/CHN,2017,,20517744.627386216,,,,,,,,,61200.00000000001,,,,,
country/CHN,2018,,21123865.762624756,,,,,,,,,62865457.34,,,,,
country/CHN,2019,,74281000.0953946,,,,,,,,,148927129.3701,,,,,
country/CHN,2020,,59927143.46415608,,,,,,,,,148756807.41730002,,,,,
country/CHN,2021,,85327469.2895535,,,,,,,,,128097620.4842,,,,,
country/CIV,2018,776828.6438466576,,,,,,,,,,2173854.376,,,,,
country/CIV,2019,56403102.37845391,,,,,,,,,,1631930.5552000003,,,,,
country/CIV,2020,17500431.926587198,,,,,,,,,,3408219.3904000004,4805204.4656,,,,
country/CIV,2021,21813709.274308387,,,,,,,,,,4584844.0,3172203.2528,,,,
country/CMR,2017,,,,,,,,,,,22678764.0,,,,,
country/CMR,2018,17616889.00330048,,,,,,,,,,3112270.49,,,,,
country/CMR,2019,265236.29199144605,,,,,,,,,,,,,,,
country/CMR,2020,26333881.517292675,,,,,,,,,,553740.18,,,,,
country/CMR,2021,1430737.502157795,,,,,,,,,,221868.51,,,,,
country/COL,2015,,,,,,,,,,,117367920.0,,,,,
country/COL,2016,,,,,,,,,,,89883495.0,,,,,
country/COL,2018,,,,,,,,,,,91944647.6,,,,,
country/COL,2019,,,,,,,,,,,74334.36,,,,,
country/COL,2020,,,,,,,,,,,79731984.03999999,,,,,
country/COL,2021,,,,,,,,,,,144378644.0932577,,,,,
country/CPV,2019,,,,,,,,,,,25000.0,,,,,
country/CPV,2020,5120680.055805624,,,,,,,,,,,,,,,
country/CRI,2019,,,,,,,,,,183206.0,,,,,,
country/CRI,2020,,,,,,,,,,525985.744,,,,,,
country/CRI,2021,,,,,,,,,,240000.0,2067004.0413088857,,,,,
country/DOM,2020,,,,,,,,,,,150000000.0,,,,,
country/ECU,2016,,,,,,,,,,,56752.5,,,,,
country/ECU,2017,,,,,,,,,,33653.2,,,,,,
country/ECU,2018,,,,,,,,,,,809588.87,,,,,
country/ECU,2019,,,,,,,,,,,14890948.46,,,,,
country/ECU,2020,,,,,,,,,,,58389747.04,,,,,
country/ECU,2021,,,,,,,,,,211828.5292,6888374.030000001,,,,,
country/EGY,2018,9192462.747081244,,,,,,,,,,21828384.3128,,,,,
country/EGY,2019,1499220.5828167447,,,,,,,,,,20294939.946000002,,,,,
country/EGY,2020,24864658.994451962,,,,,,354583.50411854,,9517066.0,,140630036.1778,,,,,
country/EGY,2021,17576162.190314546,,,,,,,,10217220.0,,12086699.836199999,,,,,
country/ETH,2020,,,,,,,,,,,,13542994.08,,,,
country/ETH,2021,,,,,,,,,,,,16133259.84,,,,
country/FJI,2015,,12724.99678701525,,,,,,,,,,,,,,
country/FJI,2016,,65349.90506470729,,,,,,,,,178386.0,,,,,
country/FJI,2019,,839854.7445801898,,,,,,,,,3052840.0,,,,,
country/FJI,2020,,124963.27642192296,,,,,,,,,,,,,,
country/FJI,2021,,1608776.9650683587,,,,,,,,,6498725.292369931,,,,,
country/GAB,2018,,,,,,,,,,,12128407.98,,,,,
country/GAB,2019,223880.29976097675,,,,,,,,,,,,,,,
country/GAB,2020,29725176.171964616,,,,,,,,,,4888574.340000001,,,,,
country/GEO,2016,,305904.0,,,,,,,,,1885254.9900000002,,,,,
country/GEO,2017,,1631958.143405111,,,,,,,,,,,,,,
country/GEO,2018,,2804302.2388680484,,,,,,,,,3133636.55,,,,,
country/GEO,2019,,28769302.287905946,,,,,13356347.986243455,,,,1822413.75,,,,,
country/GEO,2020,,2620074.8934462667,,,,,,,,,2918149.5300000003,,,,,
country/GEO,2021,,26019361.080677375,,,,,8287113.9914645795,,,,3830244.2205,,,,,
country/GNQ,2020,866690.9990225792,,,,,,,,,,,,,,,
country/GNQ,2021,2139045.997587666,,,,,,,,,,,,,,,
country/GRD,2017,,,,,,,,,,,1239.75,,,,,
country/GRD,2019,,,,,,,,,,,31682.5,,,,,
country/GRD,2020,,,,,,,,,,,117056.92000000001,,,,,
country/GRD,2021,,,,,,,,,,,72619.87000000001,,,,,
country/GTM,2019,,,,,,,,,,,195489.58,,,,,
country/GTM,2021,,,,,,,,,,,1441714.1199999999,,,,,
country/HND,2019,,,,,,,,,,,,,,33583.200000000004,,
country/IDN,2014,,,,,,,,,,,120600.00076614607,,,,,
country/IDN,2015,,,,,,,,,,,522600.0033199663,,,,,
country/IDN,2016,,,,,,,,,,,570840.0036264248,,,,,
country/IDN,2018,,,,,,,,,,,20187628.130000003,,,,,
country/IDN,2019,,57300000.0,,,,,,,,,332639969.9145624,,,,,
country/IDN,2020,,2407640.8044,,,,,,,,,181650920.3472,,,,,
country/IDN,2021,,71536564.9544,,,,,,,,,111377416.9708778,,,,,
country/IND,2014,,845607.5507609921,,,,,,,,,,,,,,
country/IND,2015,,5356260.478382123,,,,,,,,,37000.0,,,,,
country/IND,2016,,27142071.606785174,,,,,,,,,798302.3,,,,,
country/IND,2017,,14961078.898629857,,,,,,,,,2243354.41,,,,,
country/IND,2018,,36340358.25907807,22349929.6568,,,,,,,,75682847.2164,,,,,
country/IND,2019,,78920030.83229999,,,,,,6716668.4,,,151173982.7889,,,,,
country/IND,2020,,88896509.6042,,,,,,,,,202081448.9158,,,,5223464.0,
country/IND,2021,,122460418.4262,273838.0,,,,,,,,336031633.7232,58291971.5,,,1005347.0,2000000.0
country/IRQ,2018,,,,,,,,,,,3407590.0,,,,,
country/IRQ,2019,,,,,,,,,,,8847093.0,,,,,
country/IRQ,2020,,,,,,,,,,,7250154.426200001,,,,,
country/IRQ,2021,,,,,,,,,,,13229293.729,,,,,
country/JAM,2016,,,,,,,,,,,75000.0,,,,,
country/JAM,2017,,,,,,,,,,,5026000.0,,,,,
country/JAM,2018,,,,,,,,,,,1988301.0,,,,,
country/JAM,2019,,,,,,,,,,,4270242.0,,,,,
country/JAM,2020,,,,,,,,,,,31826114.0,,,,,
country/JAM,2021,,,,,,,,,,,18486093.0,,,,,
country/JOR,2016,,,,,,,,,,,81000000.0,,,,,
country/JOR,2017,,,,,,,1354076.447342745,,,,,,,,,
country/JOR,2020,,,,,,,,,,,5650468.67,,,,,
country/JOR,2021,,,,,,,,,,,44933208.848755695,,,,,
country/KAZ,2016,,,,,,,3398662.7409403115,,,,,,,,,
country/KAZ,2018,,,,,,,1180219.52083087,,,,,,,,,
country/KAZ,2019,,,,,,,17438243.99849825,,,,,,,,,
country/KAZ,2020,,,,,,,11482260.99901117,,,,,,,,,
country/KAZ,2021,,4091341.1278280783,,,,,,,,,,,,,,
country/KEN,2016,282459.2160858355,,,,,,,,,,,,,,,
country/KEN,2017,297356.906632594,,,,,,,,,,,,,,,
country/KEN,2018,1661021.0475600895,,,,,,,,,,,,,,,
country/KEN,2019,1960819.9220454115,,,,,,,,,,,,,,,
country/KEN,2020,75046300.44790728,,,,,,,,,,23200000.0,426949.61,,,,
country/KEN,2021,12126801.846912405,,,,,,,,,,,1909826.6600000001,,,,
country/KGZ,2016,,,,,,,730377.18784253,,,,,,,,,
country/KGZ,2020,,,,,,,11395.997509974535,,,,,,,,,
country/KGZ,2021,,,,,,,853151.71668829,,,,,,,,,
country/KHM,2019,,,,,,,,3999999.2,,,,,,,,
country/LAO,2018,,,,,,,,,,,,,3980.0,,,
country/LAO,2020,,,2742475.0,,,,,,,,,,,,,
country/LAO,2021,,,3659000.0,,,,,,,,,,,,,
country/LBN,2016,,,,,,,,,,,20354697.0,,,,,
country/LBN,2018,,,,,,,,,,,24447368.26,,,,,
country/LBN,2019,,,,,,,,,,,13633312.85,,,,,
country/LBN,2020,,,,,,,,,,,10564316.29,,,,,
country/LBN,2021,,,,,,,,,,,13163269.620000001,,,,,
country/LBR,2021,,,,,,,,,,,,895478.8367999999,,,,
country/LKA,2014,,24823.089285714286,,,,,,,,,510000.0,,,,,
country/LKA,2015,,4841163.985571429,,,,,,,,,,,,,,
country/LKA,2016,,10097770.256271427,,,,,,,,,84236703.0,,,,,
country/LKA,2017,,6509847.622485714,,,,,,,,,,,,,,
country/LKA,2018,,7042691.231714286,,,,,,,,,,,,,,
country/LKA,2019,,8138485.027328571,8436.96,,,,,,,,1388260.35,,,,,
country/LKA,2020,,26016944.77117143,62745.119999999995,,,,,,,,1245574.8800000001,1537888.1284,,,,
country/LKA,2021,,47399665.31855714,91770.0,,,,,,,,6312523.3064,7778580.8096,,,,
country/MAR,2013,,,,,,,,,,,63671055.0,,,,,
country/MAR,2016,,,,,,,,,,,110338287.0,,,,,
country/MAR,2017,,,,,,,3444561.9441802725,,,,11306950.0,,,,,
country/MAR,2018,120051765.15406804,,,,,,,,,,52719155.47,,,,,
country/MAR,2019,2172955.482213022,,,,,,,,,,136414615.58,,,,,
country/MAR,2020,89075620.11723801,,,,,,73073928.93179253,,,,157374716.43,,,,,
country/MAR,2021,18221773.56334735,,,,,,58733771.25754577,,,,142294809.13221246,,,,,
country/MDA,2016,,,,,,,,,,,2219520.0,,,,,
country/MDG,2021,,,,,,,,,,,,100181.21999999999,,,,
country/MEX,2018,,,,,,,,,,,1064774.16,,,,,
country/MEX,2019,,,,,,,,,,,56002331.44,,,,,
country/MEX,2020,,,,,,,,,,52920000.0,13117877.84,,,,,
country/MEX,2021,,,,,,,,,,,311189411.88,,,,,
country/MKD,2014,,,,,,,,,,,6374.96,,,,,
country/MKD,2015,,,,,,,,,,,304398.8,,,,,
country/MKD,2016,,,,,,,,,,,622234.0,,,,,
country/MKD,2018,,,,,,,,,,,233157.56,,,,,
country/MKD,2019,,,,,,,,,,,696332.7300000001,,,,,
country/MKD,2020,,,,,,,,,,,7276.0,,,,,
country/MKD,2021,,,,,,,,,,,378301.39,,,,,
country/MNE,2018,,,,,,,578897.674967544,,,,248863.12003566397,,,,,
country/MNE,2019,,,,,,,464569.27012361726,,,,172445.76362471542,,,,,
country/MNE,2020,,,,,,,15888295.266228281,,,,248148.10903556235,,,,,
country/MNE,2021,,,,,,,2563076.346961404,,,,717982.6416318631,,,,,
country/MNG,2016,,,,,,,730377.18784253,,,,,,,,,
country/MNG,2018,,2310000.0,,,,,,,,,,,,,,
country/MNG,2019,,6254065.4261,,,,,,,,,,,,,,
country/MNG,2020,,2004598.6805999998,,,,,1731106.9941450367,,,,,,,,,
country/MNG,2021,,1283543.2995999998,,,,,3696898.587496321,,,,,,,,,
country/NAM,2018,585754.1669338655,,,,,,,,,,,,,,,
country/NAM,2019,508169.4287123841,,,,,,,,,,,,,,,
country/NAM,2020,3735456.0970431184,,,,,,,,,,,,,,,
country/NAM,2021,3377699.3477569446,,,,,,,,,,,,,,,
country/NER,2021,,,,,,,,,,,,1917669.81,,,,
country/NGA,2020,91923147.02409905,,,,,,,,,,,28722000.0,,,,
country/NGA,2021,291511.2013857805,,,,,,,,,,,35404576.3654,,,,
country/NIC,2020,,,,,,,,,,,,1744184.645,,,,
country/NIC,2021,,,,,,,,,,,,3758205.1025,,,,
country/NPL,2020,,,233247.1,,,,,,,,,173112.77,,,,
country/PAK,2015,,1071.241210712412,,,,,,,,,,,,,,
country/PAK,2016,,1539747.9035552035,,,,,,,,,,,,,,
country/PAK,2017,,2571499.1397440606,,,,,,,,,,,,,,
country/PAK,2018,,9890424.818,,,,,,,,,13174210.0,,,,,
country/PAK,2019,,3023658.291,,,,,,,,,10448295.96,,,,,
country/PAK,2020,,13210735.806599999,75950.0,,,,,,,,10902171.8,,,,,
country/PAK,2021,,8881437.305,140000.0,,,,,4000000.0,,,14812350.6,,,,,
country/PAN,2018,,,,,,,,,,,38583.25,,,,,
country/PAN,2019,,,,,,,,,,17920.0,125244.65,,,,,
country/PAN,2020,,,,,,,,,,77224.37120000001,5906801.034,,,,,
country/PAN,2021,,,,,,,,,,401685.8688,368450.907,,,,,
country/PER,2013,,,,,,,,,,6250000.0,,,,,,
country/PER,2014,,,,,,,,,,2082500.0,,,,,,
country/PER,2015,,,,,,,,,,,422554.32,,,,,
country/PER,2016,,,,,,,,,,,1515100.06,,,,,
country/PER,2017,,,,,,,,,,,12076.800000000001,,,,,
country/PER,2018,,,,,,,,,,,17273050.36,,,,,
country/PER,2019,,,,,,,,,,,13275547.262,,,,,
country/PER,2020,,,,,,,,,,,17273073.714,,,,,
country/PER,2021,,,,,,,,,,,57481433.86798061,,,,,
country/PHL,2016,,,,,,,,,,,2500000.0,,,,,
country/PHL,2018,,33900.712,4769008.0,,,,,,,,499959376.83408016,,,,,
country/PHL,2019,,756713.4826000001,,,,,,,,,91131754.28142694,,,,,
country/PHL,2020,,118235630.015,,,,,,,,,374849194.0412598,,,,,
country/PHL,2021,,57198107.0594,,,,,,,,,372449712.2365928,,,,,
country/PLW,2020,,1500000.0,,,,,,,,,,,,,,
country/PLW,2021,,12500.0,,,,,,,,,,,,,,
country/PNG,2014,,4619.247130434783,,,,,,,,,,,,,,
country/PNG,2015,,440477.9778260869,,,,,,,,,,,,,,
country/PNG,2016,,1678627.1568260868,,,,,,,,,,,,,,
country/PNG,2017,,2013262.0077217391,,,,,,,,,,,,,,
country/PNG,2018,,1691597.767173913,,,,,,,,,,,,,,
country/PNG,2019,,1314547.0244130434,,,,,,,,,,,,,,
country/PNG,2021,,210.89060869565216,,,,,,,,,,,,,,
country/PRY,2018,,,,,,,,,,,577948.5599999999,,,,,
country/PRY,2019,,,,,,,,,,1511004.1423,,,,,,
country/PRY,2020,,,,,,,,,,3377944.8787999996,6220702.82,,,,,
country/PRY,2021,,,,,,,,,,11938942.115,3804768.02,,,,,
country/RWA,2018,154027.9294405025,,,,,,,,,,,,,,,
country/RWA,2019,415551.0604815661,,,,,,,,,,,,,,,
country/RWA,2020,900596.7541482041,,,,,,,,,,,,,,,
country/RWA,2021,1559643.0022295457,,,,,,,,,,,,,,,
country/SDN,2020,16922474.090633772,,,,,,,,,,,,,,,
country/SEN,2016,4411.117319061811,,,,,,,,,,,,,,,
country/SEN,2018,1189941.9887098589,,,,,,,,,,,,,,,
country/SEN,2019,1073883.0075497204,,,,,,,,,,,,,,,
country/SEN,2020,25958011.571500447,,,,,,,,,,,735468.8816036892,,,,
country/SEN,2021,14992841.333342666,,,,,,,,,,,9084141.09377965,,,,
country/SLV,2020,,,,,,,,,,,1500.0,,,,,
country/SLV,2021,,,,,,,,,,,3629318.75,,,,,
country/SRB,2015,,,,,,,,,,,12582220.000000002,,,,,
country/SRB,2016,,,,,,,,,,,921471.8800000001,,,,,
country/SRB,2018,,,,,,,834167.355128054,,,,40425579.09,,,,,
country/SRB,2019,,,,,,,,,,,18646340.43,,,,,
country/SRB,2020,,,,,,,170940.00336979714,,,,27333929.0,,,,,
country/SRB,2021,,,,,591296.0,,1470665.597967023,,,,18527586.2335,,,,,
country/SUR,2017,,,,,,,,,,434326.42799999996,,,,,,
country/SUR,2019,,,,,,,,,,4652.5,46360.5,,,,,
country/SUR,2020,,,,,,,,,,37333.9691,,,,,,
country/SUR,2021,,,,,,,,,,929447.86,,,,,,
country/SWZ,2020,170173.99923463265,,,,,,,,,,2740.0,,,,,
country/SWZ,2021,,,,,,,,,,,338788.99,,,,,
country/SYC,2015,,,,,,,,,,,23450.0,,,,,
country/SYC,2016,175825.90597429927,,,,,,,,,,,,,,,
country/TJK,2017,,,,,,,892952.0310336275,,,,,,,,,
country/TJK,2020,,,,,,,1549362.1131522264,,,,,,,,,
country/TJK,2021,,,,,,,7791048.260913115,,,,,,,,,
country/TKM,2021,,,,,,,,,,,495180.906,,,,,
country/TLS,2016,,232927.174,,,,,,,,,88.0,,,,,
country/TLS,2018,,,,,,,,,,,234247.0,,,,,
country/TLS,2019,,223043.87900000002,,,,,,,,,318590.0,,,,,
country/TLS,2020,,221730.372,,,,,,,,,126281.0,,,,,
country/TLS,2021,,59603.651,,,,,,,,,9882.0,,,,,
country/TUN,2013,15491406.291305915,,,,,,,,,,,,,,,
country/TUN,2014,7738848.675259486,,,,,,,,,,,,,,,
country/TUN,2015,8247259.373533274,,,,,,,,,,,,,,,
country/TUN,2016,6705145.119210107,,,,,,,,,,,,,,,
country/TUN,2017,4790740.294300537,,,,,,,,,,39026.78,,,,,
country/TUN,2018,8352405.758978798,,,,,,,,,,784146.89,,,,,
country/TUN,2019,10609635.73344685,,,,,,,,,,2132065.8479,,,,,
country/TUN,2020,47431549.54089494,,,,,,580056.9976171254,,,,14786806.5731,,,,,
country/TUN,2021,2530448.8677019877,,,,,,,,,,36202466.0016,,,,,
country/TUR,2016,,,,,,,8543711.009471519,,,,,,,,,
country/TUR,2017,,,,,,,3017546.29793339,,,,,,,,,
country/TUR,2018,,,,,,,2832526.8499940997,,,,36453.502819912,,,,,
country/TUR,2019,,,,,,,,,,,3867218.6021047905,,,,,
country/TUR,2020,,,,,,,,,,,3345563.9,,,,,
country/TUR,2021,,,,,,,,,,,5108965.90387316,,,,,
country/TZA,2020,609581.4004420773,,,,,,,,,,,,,,,
country/TZA,2021,674912.1004894562,,,,,,,,,,,,,,,
country/UGA,2021,116880.14984789318,,,,,,,,,,,,,,,
country/UKR,2017,,,,,,,5899503.882822718,,,,,,,,,
country/UKR,2019,,,,,,882523.3133298772,,,,,,,,,,
country/UKR,2020,,,,,,,,,,,709175.48,,,,,
country/UKR,2021,,,,,,,606876.0383441423,,,,5725059.08,,,,,
country/UZB,2015,,3.9884899432039034,,,,,,,,,134843.9998469759,,,,,
country/UZB,2016,,0.31269761154718606,,,,,,,,,10566040.5,,,,,
country/UZB,2017,,1495.4625025294279,,,,,,,,,,,,,,
country/UZB,2018,,680.7354373009382,,,,,,,,,38392135.56,,,,,
country/UZB,2019,,903.409306695442,,,,,,,,,38766135.256,,,,,
country/UZB,2020,,8340294.424748964,,,,,,,,,33617736.2552,7405950.0,,,,
country/UZB,2021,,64675.3445898411,,,,,,,,,17822089.519500002,395751.72,,,,
country/VNM,2014,,985929.2780487804,,,,,,,,,,,,,,
country/VNM,2015,,583949.6341463415,,,,,,,,,,,,,,
country/VNM,2016,,553007.8207317073,,,,,,,,,,,,,,
