dcid,year,inflationPercentAverageConsumerPrices
country/AUT,1989,2.249
country/AUT,1990,2.777
country/AUT,1991,3.116
country/AUT,1992,3.426
country/AUT,1993,3.234
country/AUT,1994,2.711
country/AUT,1995,1.611
country/AUT,1996,1.771
country/AUT,1997,1.166
country/AUT,1998,0.818
country/AUT,1999,0.516
country/AUT,2000,1.957
country/AUT,2001,2.301
country/AUT,2002,1.682
country/AUT,2003,1.302
country/AUT,2004,1.962
country/AUT,2005,2.103
country/AUT,2006,1.685
country/AUT,2007,2.201
country/AUT,2008,3.229
country/AUT,2009,0.406
country/AUT,2010,1.693
country/AUT,2011,3.542
country/AUT,2012,2.568
country/AUT,2013,2.118
country/AUT,2014,1.465
country/AUT,2015,0.809
country/AUT,2016,0.973
country/AUT,2017,2.228
country/AUT,2018,2.122
country/AUT,2019,1.49
country/AUT,2020,1.386
country/AUT,2021,2.756
country/AUT,2022,8.61
country/AUT,2023,7.84
country/AUT,2024,3.698
country/AUT,2025,2.472
country/AUT,2026,2.058
country/AUT,2027,2.013
country/AUT,2028,2.007
country/BEL,1980,6.656
country/BEL,1981,7.626
country/BEL,1982,8.723
country/BEL,1983,7.663
country/BEL,1984,6.348
country/BEL,1985,4.868
country/BEL,1986,1.296
country/BEL,1987,1.554
country/BEL,1988,1.162
country/BEL,1989,3.105
country/BEL,1990,3.453
country/BEL,1991,3.167
country/BEL,1992,2.258
country/BEL,1993,2.486
country/BEL,1994,2.398
country/BEL,1995,1.265
country/BEL,1996,1.758
country/BEL,1997,1.501
country/BEL,1998,0.903
country/BEL,1999,1.131
country/BEL,2000,2.681
country/BEL,2001,2.442
country/BEL,2002,1.55
country/BEL,2003,1.516
country/BEL,2004,1.858
country/BEL,2005,2.538
country/BEL,2006,2.331
country/BEL,2007,1.82
country/BEL,2008,4.49
country/BEL,2009,0.005
country/BEL,2010,2.33
country/BEL,2011,3.347
country/BEL,2012,2.621
country/BEL,2013,1.249
country/BEL,2014,0.495
country/BEL,2015,0.621
country/BEL,2016,1.773
country/BEL,2017,2.222
country/BEL,2018,2.313
country/BEL,2019,1.256
country/BEL,2020,0.431
country/BEL,2021,3.22
country/BEL,2022,10.324
country/BEL,2023,2.515
country/BEL,2024,4.319
country/BEL,2025,2.054
country/BEL,2026,1.765
country/BEL,2027,1.822
country/BEL,2028,1.959
country/DNK,1980,11.339
country/DNK,1981,11.718
country/DNK,1982,10.146
country/DNK,1983,6.835
country/DNK,1984,6.343
country/DNK,1985,4.662
country/DNK,1986,3.718
country/DNK,1987,3.979
country/DNK,1988,4.525
country/DNK,1989,4.78
country/DNK,1990,2.648
country/DNK,1991,2.167
country/DNK,1992,1.944
country/DNK,1993,0.872
country/DNK,1994,1.841
country/DNK,1995,2.038
country/DNK,1996,2.092
country/DNK,1997,1.933
country/DNK,1998,1.314
country/DNK,1999,2.041
country/DNK,2000,2.751
country/DNK,2001,2.269
country/DNK,2002,2.397
country/DNK,2003,1.961
country/DNK,2004,0.937
country/DNK,2005,1.726
country/DNK,2006,1.844
country/DNK,2007,1.657
country/DNK,2008,3.638
country/DNK,2009,1.042
country/DNK,2010,2.198
country/DNK,2011,2.656
country/DNK,2012,2.354
country/DNK,2013,0.522
country/DNK,2014,0.352
country/DNK,2015,0.226
country/DNK,2016,0.017
country/DNK,2017,1.058
country/DNK,2018,0.709
country/DNK,2019,0.729
country/DNK,2020,0.333
country/DNK,2021,1.944
country/DNK,2022,8.534
country/DNK,2023,4.15
country/DNK,2024,2.8
country/DNK,2025,2.1
country/DNK,2026,2.1
country/DNK,2027,2.0
country/DNK,2028,2.0
country/FRA,1980,13.057
country/FRA,1981,13.333
country/FRA,1982,11.978
country/FRA,1983,9.46
country/FRA,1984,7.674
country/FRA,1985,5.831
country/FRA,1986,2.539
country/FRA,1987,3.289
country/FRA,1988,2.701
country/FRA,1989,6.569
country/FRA,1990,0.323
country/FRA,1991,3.406
country/FRA,1992,2.455
country/FRA,1993,2.234
country/FRA,1994,1.666
country/FRA,1995,1.769
country/FRA,1996,2.081
country/FRA,1997,1.267
country/FRA,1998,0.675
country/FRA,1999,0.576
country/FRA,2000,1.815
country/FRA,2001,1.783
country/FRA,2002,1.939
country/FRA,2003,2.169
country/FRA,2004,2.336
country/FRA,2005,1.887
country/FRA,2006,1.893
country/FRA,2007,1.608
country/FRA,2008,3.16
country/FRA,2009,0.101
country/FRA,2010,1.739
country/FRA,2011,2.286
country/FRA,2012,2.216
country/FRA,2013,0.991
country/FRA,2014,0.611
country/FRA,2015,0.088
country/FRA,2016,0.307
country/FRA,2017,1.165
country/FRA,2018,2.098
country/FRA,2019,1.297
country/FRA,2020,0.526
country/FRA,2021,2.066
country/FRA,2022,5.904
country/FRA,2023,5.634
country/FRA,2024,2.46
country/FRA,2025,1.956
country/FRA,2026,1.981
country/FRA,2027,1.82
country/FRA,2028,1.593
country/DEU,1980,5.447
country/DEU,1981,6.324
country/DEU,1982,5.256
country/DEU,1983,3.284
country/DEU,1984,2.396
country/DEU,1985,2.084
country/DEU,1986,0.125
country/DEU,1987,0.242
country/DEU,1988,1.274
country/DEU,1989,2.778
country/DEU,1990,2.687
country/DEU,1991,3.474
country/DEU,1992,5.046
country/DEU,1993,4.476
country/DEU,1994,2.717
country/DEU,1995,1.733
country/DEU,1996,1.274
country/DEU,1997,1.507
country/DEU,1998,0.596
country/DEU,1999,0.647
country/DEU,2000,1.413
country/DEU,2001,1.9
country/DEU,2002,1.326
country/DEU,2003,1.074
country/DEU,2004,1.78
country/DEU,2005,1.928
country/DEU,2006,1.775
country/DEU,2007,2.271
country/DEU,2008,2.754
country/DEU,2009,0.246
country/DEU,2010,1.119
country/DEU,2011,2.482
country/DEU,2012,2.159
country/DEU,2013,1.607
country/DEU,2014,0.769
country/DEU,2015,0.68
country/DEU,2016,0.367
country/DEU,2017,1.702
country/DEU,2018,1.935
country/DEU,2019,1.354
country/DEU,2020,0.371
country/DEU,2021,3.212
country/DEU,2022,8.666
country/DEU,2023,6.324
country/DEU,2024,3.532
country/DEU,2025,2.198
country/DEU,2026,2.088
country/DEU,2027,2.016
country/DEU,2028,1.991
country/SMR,2003,1.337
country/SMR,2004,1.429
country/SMR,2005,1.687
country/SMR,2006,2.095
country/SMR,2007,2.475
country/SMR,2008,4.096
country/SMR,2009,2.417
country/SMR,2010,2.413
country/SMR,2011,2.179
country/SMR,2012,2.827
country/SMR,2013,1.604
country/SMR,2014,1.113
country/SMR,2015,0.146
country/SMR,2016,0.644
country/SMR,2017,1.014
country/SMR,2018,1.163
country/SMR,2019,0.473
country/SMR,2020,0.133
country/SMR,2021,2.083
country/SMR,2022,5.304
country/SMR,2023,5.869
country/SMR,2024,2.5
country/SMR,2025,2.0
country/SMR,2026,2.0
country/SMR,2027,2.0
country/SMR,2028,2.0
country/ITA,1980,21.8
country/ITA,1981,19.51
country/ITA,1982,16.46
country/ITA,1983,14.7
country/ITA,1984,10.74
country/ITA,1985,8.969
country/ITA,1986,5.82
country/ITA,1987,4.72
country/ITA,1988,5.09
country/ITA,1989,6.245
country/ITA,1990,6.395
country/ITA,1991,6.215
country/ITA,1992,4.982
country/ITA,1993,4.499
country/ITA,1994,4.167
country/ITA,1995,5.387
country/ITA,1996,3.985
country/ITA,1997,1.849
country/ITA,1998,2.031
country/ITA,1999,1.651
country/ITA,2000,2.58
country/ITA,2001,2.324
country/ITA,2002,2.612
country/ITA,2003,2.813
country/ITA,2004,2.257
country/ITA,2005,2.207
country/ITA,2006,2.229
country/ITA,2007,2.025
country/ITA,2008,3.492
country/ITA,2009,0.765
country/ITA,2010,1.62
country/ITA,2011,2.935
country/ITA,2012,3.315
country/ITA,2013,1.245
country/ITA,2014,0.234
country/ITA,2015,0.108
country/ITA,2016,0.05
country/ITA,2017,1.326
country/ITA,2018,1.243
country/ITA,2019,0.634
country/ITA,2020,0.145
country/ITA,2021,1.941
country/ITA,2022,8.736
country/ITA,2023,5.986
country/ITA,2024,2.608
country/ITA,2025,2.162
country/ITA,2026,2.0
country/ITA,2027,2.0
country/ITA,2028,2.0
country/LUX,1980,6.3
country/LUX,1981,8.073
country/LUX,1982,9.357
country/LUX,1983,8.669
country/LUX,1984,5.637
country/LUX,1985,4.094
country/LUX,1986,0.3
country/LUX,1987,0.1
country/LUX,1988,1.4
country/LUX,1989,3.4
country/LUX,1990,3.7
country/LUX,1991,3.1
country/LUX,1992,3.2
country/LUX,1993,3.6
country/LUX,1994,2.2
country/LUX,1995,1.9
country/LUX,1996,1.156
country/LUX,1997,1.371
country/LUX,1998,0.972
country/LUX,1999,1.021
country/LUX,2000,3.781
country/LUX,2001,2.404
country/LUX,2002,2.059
country/LUX,2003,2.529
country/LUX,2004,3.24
country/LUX,2005,3.764
country/LUX,2006,2.958
country/LUX,2007,2.656
country/LUX,2008,4.09
country/LUX,2009,0.012
country/LUX,2010,2.795
country/LUX,2011,3.726
country/LUX,2012,2.888
country/LUX,2013,1.698
country/LUX,2014,0.694
country/LUX,2015,0.061
country/LUX,2016,0.043
country/LUX,2017,2.113
country/LUX,2018,2.02
country/LUX,2019,1.653
country/LUX,2020,0.006
country/LUX,2021,3.47
country/LUX,2022,8.149
country/LUX,2023,3.155
country/LUX,2024,3.321
country/LUX,2025,2.179
country/LUX,2026,2.014
country/LUX,2027,2.015
country/LUX,2028,1.975
country/NLD,1981,6.8
country/NLD,1982,5.9
country/NLD,1983,2.9
country/NLD,1984,3.4
country/NLD,1985,2.3
country/NLD,1987,1.0
country/NLD,1988,0.5
country/NLD,1989,1.1
country/NLD,1990,2.5
country/NLD,1991,3.174
country/NLD,1992,2.841
country/NLD,1993,1.645
country/NLD,1994,2.116
country/NLD,1995,1.349
country/NLD,1996,1.446
country/NLD,1997,1.857
country/NLD,1998,1.784
country/NLD,1999,2.037
country/NLD,2000,2.346
country/NLD,2001,5.114
country/NLD,2002,3.853
country/NLD,2003,2.225
country/NLD,2004,1.383
country/NLD,2005,1.492
country/NLD,2006,1.652
country/NLD,2007,1.588
country/NLD,2008,2.211
country/NLD,2009,0.972
country/NLD,2010,0.93
country/NLD,2011,2.472
country/NLD,2012,2.818
country/NLD,2013,2.554
country/NLD,2014,0.323
country/NLD,2015,0.216
country/NLD,2016,0.113
country/NLD,2017,1.294
country/NLD,2018,1.601
country/NLD,2019,2.673
country/NLD,2020,1.116
country/NLD,2021,2.826
country/NLD,2022,11.625
country/NLD,2023,4.014
country/NLD,2024,4.239
country/NLD,2025,2.18
country/NLD,2026,2.0
country/NLD,2027,2.0
country/NLD,2028,2.0
country/NOR,1980,10.912
country/NOR,1981,13.643
country/NOR,1982,11.341
country/NOR,1983,8.465
country/NOR,1984,6.218
country/NOR,1985,5.715
country/NOR,1986,7.176
country/NOR,1987,8.717
country/NOR,1988,6.676
country/NOR,1989,4.546
country/NOR,1990,4.131
country/NOR,1991,3.438
country/NOR,1992,2.328
country/NOR,1993,2.288
country/NOR,1994,1.376
country/NOR,1995,2.46
country/NOR,1996,1.263
country/NOR,1997,2.567
country/NOR,1998,2.252
country/NOR,1999,2.366
country/NOR,2000,3.086
country/NOR,2001,3.004
country/NOR,2002,1.287
country/NOR,2003,2.488
country/NOR,2004,0.454
country/NOR,2005,1.532
country/NOR,2006,2.329
country/NOR,2007,0.713
country/NOR,2008,3.754
country/NOR,2009,2.197
country/NOR,2010,2.419
country/NOR,2011,1.285
country/NOR,2012,0.697
country/NOR,2013,2.12
country/NOR,2014,2.042
country/NOR,2015,2.171
country/NOR,2016,3.55
country/NOR,2017,1.875
country/NOR,2018,2.765
country/NOR,2019,2.168
country/NOR,2020,1.287
country/NOR,2021,3.484
country/NOR,2022,5.764
country/NOR,2023,5.826
country/NOR,2024,3.669
country/NOR,2025,2.6
country/NOR,2026,2.0
country/NOR,2027,2.0
country/NOR,2028,2.0
country/SWE,1980,17.452
country/SWE,1981,12.108
country/SWE,1982,8.578
country/SWE,1983,8.907
country/SWE,1984,8.021
country/SWE,1985,7.367
country/SWE,1986,4.233
country/SWE,1987,4.222
country/SWE,1988,5.798
country/SWE,1989,6.437
country/SWE,1990,10.47
country/SWE,1991,8.792
country/SWE,1992,1.378
country/SWE,1993,4.689
country/SWE,1994,2.91
country/SWE,1995,2.465
country/SWE,1996,1.02
country/SWE,1997,1.818
country/SWE,1998,1.008
country/SWE,1999,0.57
country/SWE,2000,1.295
country/SWE,2001,2.681
country/SWE,2002,1.936
country/SWE,2003,2.318
country/SWE,2004,1.019
country/SWE,2005,0.835
country/SWE,2006,1.5
country/SWE,2007,1.679
country/SWE,2008,3.347
country/SWE,2009,1.938
country/SWE,2010,1.9
country/SWE,2011,1.36
country/SWE,2012,0.937
country/SWE,2013,0.442
country/SWE,2014,0.209
country/SWE,2015,0.703
country/SWE,2016,1.139
country/SWE,2017,1.867
country/SWE,2018,2.037
country/SWE,2019,1.723
country/SWE,2020,0.657
country/SWE,2021,2.654
country/SWE,2022,8.056
country/SWE,2023,6.918
country/SWE,2024,3.614
country/SWE,2025,2.7
country/SWE,2026,2.3
country/SWE,2027,2.0
country/SWE,2028,2.0
country/CHE,1980,4.022
country/CHE,1981,6.486
country/CHE,1982,5.671
country/CHE,1983,2.95
country/CHE,1984,2.937
country/CHE,1985,3.427
country/CHE,1986,0.743
country/CHE,1987,1.435
country/CHE,1988,1.872
country/CHE,1989,3.154
country/CHE,1990,5.404
country/CHE,1991,5.859
country/CHE,1992,4.037
country/CHE,1993,3.293
country/CHE,1994,0.851
country/CHE,1995,1.798
country/CHE,1996,0.81
country/CHE,1997,0.518
country/CHE,1998,0.019
country/CHE,1999,0.808
country/CHE,2000,1.561
country/CHE,2001,0.991
country/CHE,2002,0.641
country/CHE,2003,0.636
country/CHE,2004,0.801
country/CHE,2005,1.173
country/CHE,2006,1.064
country/CHE,2007,0.735
country/CHE,2008,2.428
country/CHE,2009,0.48
country/CHE,2010,0.688
country/CHE,2011,0.228
country/CHE,2012,0.693
country/CHE,2013,0.216
country/CHE,2014,0.012
country/CHE,2015,1.142
country/CHE,2016,0.434
country/CHE,2017,0.534
country/CHE,2018,0.935
country/CHE,2019,0.361
country/CHE,2020,0.726
country/CHE,2021,0.582
country/CHE,2022,2.835
country/CHE,2023,2.193
country/CHE,2024,1.984
country/CHE,2025,1.67
country/CHE,2026,1.475
country/CHE,2027,1.527
country/CHE,2028,1.527
country/CAN,1980,10.183
country/CAN,1981,12.462
country/CAN,1982,10.803
country/CAN,1983,5.816
country/CAN,1984,4.339
country/CAN,1985,3.951
country/CAN,1986,4.174
country/CAN,1987,4.365
country/CAN,1988,4.031
country/CAN,1989,4.984
country/CAN,1990,4.78
country/CAN,1991,5.626
country/CAN,1992,1.49
country/CAN,1993,1.865
country/CAN,1994,0.166
country/CAN,1995,2.149
country/CAN,1996,1.571
country/CAN,1997,1.621
country/CAN,1998,0.996
country/CAN,1999,1.735
country/CAN,2000,2.719
country/CAN,2001,2.525
country/CAN,2002,2.258
country/CAN,2003,2.759
country/CAN,2004,1.857
country/CAN,2005,2.214
country/CAN,2006,2.002
country/CAN,2007,2.138
country/CAN,2008,2.37
country/CAN,2009,0.299
country/CAN,2010,1.777
country/CAN,2011,2.912
country/CAN,2012,1.516
country/CAN,2013,0.938
country/CAN,2014,1.907
country/CAN,2015,1.125
country/CAN,2016,1.429
country/CAN,2017,1.597
country/CAN,2018,2.268
country/CAN,2019,1.949
country/CAN,2020,0.717
country/CAN,2021,3.401
country/CAN,2022,6.797
country/CAN,2023,3.622
country/CAN,2024,2.432
country/CAN,2025,1.926
country/CAN,2026,1.938
country/CAN,2027,1.96
country/CAN,2028,1.987
country/JPN,1980,7.808
country/JPN,1981,4.936
country/JPN,1982,2.749
country/JPN,1983,1.881
country/JPN,1984,2.251
country/JPN,1985,2.038
country/JPN,1986,0.608
country/JPN,1987,0.128
country/JPN,1988,0.654
country/JPN,1989,2.294
country/JPN,1990,3.071
country/JPN,1991,3.273
country/JPN,1992,1.727
country/JPN,1993,1.254
country/JPN,1994,0.69
country/JPN,1995,0.088
country/JPN,1996,0.138
country/JPN,1997,1.699
country/JPN,1998,0.652
country/JPN,1999,0.346
country/JPN,2000,0.687
country/JPN,2001,0.694
country/JPN,2002,0.897
country/JPN,2003,0.263
country/JPN,2004,0.01
country/JPN,2005,0.288
country/JPN,2006,0.256
country/JPN,2007,0.047
country/JPN,2008,1.383
country/JPN,2009,1.331
country/JPN,2010,0.742
country/JPN,2011,0.278
country/JPN,2012,0.049
country/JPN,2013,0.332
country/JPN,2014,2.758
country/JPN,2015,0.799
country/JPN,2016,0.124
country/JPN,2017,0.486
country/JPN,2018,0.989
country/JPN,2019,0.468
country/JPN,2020,0.026
country/JPN,2021,0.234
country/JPN,2022,2.497
country/JPN,2023,3.214
country/JPN,2024,2.885
country/JPN,2025,1.939
country/JPN,2026,1.635
country/JPN,2027,1.61
country/JPN,2028,1.61
country/AND,2002,3.127
country/AND,2003,3.056
country/AND,2004,2.906
country/AND,2005,3.527
country/AND,2006,3.682
country/AND,2007,2.659
country/AND,2008,4.347
country/AND,2009,1.217
country/AND,2010,1.706
country/AND,2011,2.552
country/AND,2012,1.467
country/AND,2013,0.475
country/AND,2014,0.096
country/AND,2015,1.132
country/AND,2016,0.422
country/AND,2017,2.586
country/AND,2018,0.996
country/AND,2019,0.53
country/AND,2020,0.092
country/AND,2021,1.677
country/AND,2022,6.203
country/AND,2023,5.234
country/AND,2024,3.464
country/AND,2025,2.02
country/AND,2026,1.7
country/AND,2027,1.7
country/AND,2028,1.7
country/FIN,1980,11.602
country/FIN,1981,12.0
country/FIN,1982,9.3
country/FIN,1983,8.4
country/FIN,1984,7.0
country/FIN,1985,5.82
country/FIN,1986,2.9
country/FIN,1987,4.082
country/FIN,1988,5.135
country/FIN,1989,6.572
country/FIN,1990,4.957
country/FIN,1991,4.545
country/FIN,1992,3.254
country/FIN,1993,3.326
country/FIN,1994,1.614
country/FIN,1995,0.398
country/FIN,1996,1.063
country/FIN,1997,1.217
country/FIN,1998,1.349
country/FIN,1999,1.31
country/FIN,2000,2.952
country/FIN,2001,2.665
country/FIN,2002,2.007
country/FIN,2003,1.29
country/FIN,2004,0.147
country/FIN,2005,0.774
country/FIN,2006,1.275
country/FIN,2007,1.583
country/FIN,2008,3.916
country/FIN,2009,1.634
country/FIN,2010,1.686
country/FIN,2011,3.324
country/FIN,2012,3.162
country/FIN,2013,2.216
country/FIN,2014,1.209
country/FIN,2015,0.156
country/FIN,2016,0.389
country/FIN,2017,0.839
country/FIN,2018,1.169
country/FIN,2019,1.137
country/FIN,2020,0.383
country/FIN,2021,2.066
country/FIN,2022,7.167
country/FIN,2023,4.47
country/FIN,2024,1.853
country/FIN,2025,2.0
country/FIN,2026,2.0
country/FIN,2027,2.0
country/FIN,2028,2.0
country/GRC,1980,24.873
country/GRC,1981,24.463
country/GRC,1982,21.125
country/GRC,1983,20.179
country/GRC,1984,18.456
country/GRC,1985,19.315
country/GRC,1986,23.017
country/GRC,1987,16.397
country/GRC,1988,13.518
country/GRC,1989,13.702
country/GRC,1990,20.434
country/GRC,1991,19.456
country/GRC,1992,15.877
country/GRC,1993,14.411
country/GRC,1994,10.873
country/GRC,1995,8.788
country/GRC,1996,7.873
country/GRC,1997,5.441
country/GRC,1998,4.517
country/GRC,1999,2.141
country/GRC,2000,2.897
country/GRC,2001,3.642
country/GRC,2002,3.921
country/GRC,2003,3.45
country/GRC,2004,3.02
country/GRC,2005,3.486
country/GRC,2006,3.314
country/GRC,2007,2.989
country/GRC,2008,4.23
country/GRC,2009,1.347
country/GRC,2010,4.704
country/GRC,2011,3.118
country/GRC,2012,1.035
country/GRC,2013,0.854
country/GRC,2014,1.394
country/GRC,2015,1.094
country/GRC,2016,0.013
country/GRC,2017,1.138
country/GRC,2018,0.774
country/GRC,2019,0.517
country/GRC,2020,1.262
country/GRC,2021,0.574
country/GRC,2022,9.3
country/GRC,2023,4.118
country/GRC,2024,2.834
country/GRC,2025,2.209
country/GRC,2026,2.001
country/GRC,2027,1.9
country/GRC,2028,1.894
country/ISL,1980,58.548
country/ISL,1981,50.864
country/ISL,1982,51.019
country/ISL,1983,84.275
country/ISL,1984,29.17
country/ISL,1985,32.376
country/ISL,1986,21.273
country/ISL,1987,18.763
country/ISL,1988,25.456
country/ISL,1989,14.503
country/ISL,1990,15.513
country/ISL,1991,6.809
country/ISL,1992,3.959
country/ISL,1993,4.083
country/ISL,1994,1.55
country/ISL,1995,1.655
country/ISL,1996,2.252
country/ISL,1997,1.796
country/ISL,1998,1.703
country/ISL,1999,3.22
country/ISL,2000,5.12
country/ISL,2001,6.396
country/ISL,2002,5.177
country/ISL,2003,2.062
country/ISL,2004,3.152
country/ISL,2005,4.0
country/ISL,2006,6.674
country/ISL,2007,5.066
country/ISL,2008,12.68
country/ISL,2009,12.006
country/ISL,2010,5.394
country/ISL,2011,3.99
country/ISL,2012,5.195
country/ISL,2013,3.885
country/ISL,2014,2.035
country/ISL,2015,1.631
country/ISL,2016,1.693
country/ISL,2017,1.768
country/ISL,2018,2.677
country/ISL,2019,3.006
country/ISL,2020,2.848
country/ISL,2021,4.458
country/ISL,2022,8.307
country/ISL,2023,8.644
country/ISL,2024,4.514
country/ISL,2025,3.623
country/ISL,2026,2.622
country/ISL,2027,2.5
country/ISL,2028,2.5
country/IRL,1980,18.345
country/IRL,1981,20.243
country/IRL,1982,17.189
country/IRL,1983,10.397
country/IRL,1984,8.636
country/IRL,1985,5.468
country/IRL,1986,3.041
country/IRL,1987,3.154
country/IRL,1988,2.166
country/IRL,1989,3.99
country/IRL,1990,3.357
country/IRL,1991,3.132
country/IRL,1992,3.15
country/IRL,1993,1.418
country/IRL,1994,2.366
country/IRL,1995,2.518
country/IRL,1996,2.18
country/IRL,1997,1.253
country/IRL,1998,2.13
country/IRL,1999,2.412
country/IRL,2000,5.303
country/IRL,2001,3.998
country/IRL,2002,4.686
country/IRL,2003,4.0
country/IRL,2004,2.31
country/IRL,2005,2.201
country/IRL,2006,2.674
country/IRL,2007,2.889
country/IRL,2008,3.119
country/IRL,2009,1.676
country/IRL,2010,1.636
country/IRL,2011,1.213
country/IRL,2012,1.892
country/IRL,2013,0.538
country/IRL,2014,0.301
country/IRL,2015,0.05
country/IRL,2016,0.183
country/IRL,2017,0.259
country/IRL,2018,0.708
country/IRL,2019,0.877
country/IRL,2020,0.467
country/IRL,2021,2.438
country/IRL,2022,8.065
country/IRL,2023,5.158
country/IRL,2024,3.0
country/IRL,2025,2.4
country/IRL,2026,2.0
country/IRL,2027,2.0
country/IRL,2028,2.0
country/MLT,1980,2.692
country/MLT,1981,11.61
country/MLT,1982,5.817
country/MLT,1983,0.925
country/MLT,1984,0.443
country/MLT,1985,0.236
country/MLT,1986,2.031
country/MLT,1987,0.416
country/MLT,1988,0.946
country/MLT,1989,0.866
country/MLT,1990,2.975
country/MLT,1991,2.552
country/MLT,1992,1.845
country/MLT,1993,4.031
country/MLT,1994,4.128
country/MLT,1995,3.973
country/MLT,1996,1.964
country/MLT,1997,3.919
country/MLT,1998,3.673
country/MLT,1999,2.294
country/MLT,2000,3.03
country/MLT,2001,2.518
country/MLT,2002,2.626
country/MLT,2003,1.939
country/MLT,2004,2.719
country/MLT,2005,2.529
country/MLT,2006,2.57
country/MLT,2007,0.713
country/MLT,2008,4.676
country/MLT,2009,1.836
country/MLT,2010,2.032
country/MLT,2011,2.516
country/MLT,2012,3.225
country/MLT,2013,0.991
country/MLT,2014,0.777
country/MLT,2015,1.168
country/MLT,2016,0.897
country/MLT,2017,1.262
country/MLT,2018,1.735
country/MLT,2019,1.519
country/MLT,2020,0.794
country/MLT,2021,0.715
country/MLT,2022,6.117
country/MLT,2023,5.828
country/MLT,2024,3.085
country/MLT,2025,2.227
country/MLT,2026,2.026
country/MLT,2027,1.998
country/MLT,2028,1.998
country/PRT,1980,5.862
country/PRT,1981,21.152
country/PRT,1982,22.73
country/PRT,1983,25.106
country/PRT,1984,29.3
country/PRT,1985,19.335
