dcid,year,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsCurrentUSD
country/KEN,2020,169795694.96754336
country/KGZ,2015,7732667.7759290105
country/KGZ,2016,3284839.202660617
country/KGZ,2017,2410895.475391727
country/KGZ,2018,6101734.92269562
country/KGZ,2019,5653196.014776668
country/KGZ,2020,455840.455840456
country/KGZ,2021,2601702.93282876
country/LAO,2019,40000000.0
country/LAO,2020,30000000.0
country/LBN,2014,303454800.0
country/LBN,2016,27984000.0
country/LBN,2017,46874720.00000001
country/LBN,2018,15417360.0
country/LBN,2021,53947800.0
country/LBR,2019,3452017.0
country/LBR,2020,4546800.0
country/LBR,2021,23393442.0
country/MDG,2020,1932000.0
country/MWI,2019,10780080.0
country/MLI,2013,17290000.0
country/MLI,2019,6737648.0
country/MLI,2021,1618899.1999999997
country/MRT,2013,12240000.0
country/MRT,2021,837790.8
country/MEX,2017,179652000.0
country/MEX,2018,6720000.0
country/MEX,2019,302040000.0
country/MEX,2020,307112000.0
country/MEX,2021,279306465.23800004
country/MDA,2016,2219520.0
country/MDA,2017,10104760.0
country/MDA,2020,85470.0854700855
country/MDA,2021,119205.298013245
country/MNG,2016,730377.18784253
country/MNG,2018,76255000.0
country/MNG,2019,28154468.656604726
country/MNG,2020,42166884.60398859
country/MNG,2021,82599589.94426
country/MNE,2017,7439972.945552929
country/MNE,2018,4186523.675484544
country/MNE,2019,27874174.467417434
country/MNE,2020,12779200.0
country/MNE,2021,3547776.72658467
country/MAR,2013,67056000.0
country/MAR,2015,253079312.2573489
country/MAR,2016,142282979.9825279
country/MAR,2017,183052235.37369
country/MAR,2018,192706729.81678003
country/MAR,2019,508309404.69
country/MAR,2020,517248883.3522508
country/MAR,2021,467272533.9825261
country/MOZ,2018,30593.600000000002
country/MOZ,2019,22128434.849797383
country/MOZ,2020,115998250.32000001
country/NAM,2018,56341463.219730005
country/NAM,2020,62682687.3
country/NPL,2019,93298840.0
country/NPL,2020,64980000.0
country/NIC,2014,12000000.0
country/NIC,2016,3000000.0
country/NER,2013,21080000.0
country/NER,2019,29978811.67678272
country/NER,2021,96488560.8272
country/NGA,2019,13608645.916804714
country/NGA,2020,92030111.844
country/NGA,2021,31577752.0
country/MKD,2014,2839200.0
country/MKD,2019,29532000.0
country/MKD,2020,22173800.0
country/MKD,2021,30963908.9248439
country/PAK,2014,2889000.0
country/PAK,2016,47299819.794
country/PAK,2017,242345026.5
country/PAK,2018,17347556.0
country/PAK,2019,96102600.0
country/PAK,2020,40965100.0
country/PAK,2021,187569810.90896
country/PLW,2018,1500000.0
country/PLW,2020,5000000.0
country/PAN,2016,39000000.0
country/PAN,2017,242120000.0
country/PAN,2018,106745600.0
country/PAN,2019,1350000.0
country/PAN,2020,5700000.0
country/PAN,2021,77854400.0
country/PNG,2014,5571000.0
country/PNG,2016,2499555.0
country/PNG,2017,44988800.0
country/PNG,2021,57138060.0
country/PRY,2015,43563000.0
country/PRY,2016,9180000.0
country/PRY,2017,7248000.0
country/PRY,2018,25480000.0
country/PRY,2019,65025000.0
country/PRY,2020,26000000.0
country/PRY,2021,8500000.0
country/PER,2013,21163000.0
country/PER,2014,2082500.0
country/PER,2015,80800000.0
country/PER,2016,24640000.0
country/PER,2017,379462000.0
country/PER,2018,194240000.0
country/PER,2019,211180000.0
country/PER,2020,21919637.02697
country/PER,2021,283703138.0
country/PHL,2015,576952400.0
country/PHL,2017,399778282.48230004
country/PHL,2018,83533600.0
country/PHL,2019,225060000.0
country/PHL,2020,880363857.9454
country/PHL,2021,1188894333.3301666
country/RWA,2018,618052.83776
country/RWA,2019,76650529.25999999
country/RWA,2021,150870582.2
country/LCA,2020,11123000.0
country/VCT,2019,141540000.0
country/SEN,2013,18990000.0
country/SEN,2016,5993291.0
country/SEN,2018,37902228.374401
country/SEN,2019,71138082.33704
country/SEN,2020,85306515.122
country/SEN,2021,150932667.6
country/SRB,2014,21000000.000000004
country/SRB,2015,2054510.1132759745
country/SRB,2016,1084314.068643045
country/SRB,2017,89213200.0
country/SRB,2018,834167.355128054
country/SRB,2019,25251671.3310198
country/SRB,2020,105386438.7464388
country/SRB,2021,33205633.6329234
country/SYC,2014,4690000.0
country/SYC,2015,20426000.0
country/SYC,2017,4278000.0
country/SLE,2019,5039153.198236176
country/SLE,2020,7320000.0
country/SLE,2021,1639200.0
country/ZAF,2018,8250000.0
country/ZAF,2020,99499587.33
country/LKA,2014,104203000.0
country/LKA,2015,53003800.0
country/LKA,2016,14983400.0
country/LKA,2017,87110000.0
country/LKA,2018,124618721.6
country/LKA,2019,366293310.896
country/LKA,2020,29910680.0
country/LKA,2021,461198173.0
country/SDN,2019,4757513.567
country/SDN,2020,16891948.188
country/SUR,2017,18344000.0
country/SUR,2018,25100000.0
country/SUR,2019,18719700.0
country/SUR,2020,13000000.0
country/TJK,2014,2183743.31962319
country/TJK,2015,1020832.7900842302
country/TJK,2016,1779865.5342456019
country/TJK,2017,940330.853342352
country/TJK,2020,56008826.604719184
country/TJK,2021,4174647.779091766
country/TZA,2015,56960010.0
country/TZA,2019,31188355.255000003
country/TZA,2021,70009922.4
country/TLS,2013,750000.0
country/TLS,2015,2249980.0
country/TLS,2018,889200.0
country/TLS,2021,2238000.0
country/TON,2019,360000.0
country/TUN,2015,32111329.377448548
country/TUN,2016,19140393.6
country/TUN,2017,14240000.0
country/TUN,2018,90943337.04505046
country/TUN,2019,59142709.971019804
country/TUN,2020,48111985.26
country/TUN,2021,97008038.53999999
country/TKM,2018,1236870.05783076
country/TKM,2020,2947764.565470086
country/TKM,2021,660000.0
country/TUR,2015,47211668.33056018
country/TUR,2016,21868934.928674076
country/TUR,2017,8136050.346648625
country/TUR,2018,55196388.296561405
country/TUR,2019,262966982.0533313
country/TUR,2020,123170641.97195557
country/TUR,2021,190010024.0
country/UGA,2021,103460091.01500002
country/UKR,2017,7356498.70364108
country/UKR,2019,22225634.6034
country/UKR,2020,92417474.72880329
country/UKR,2021,130632130.4334875
country/URY,2014,19500000.0
country/URY,2016,4350000.0
country/URY,2017,12180000.0
country/UZB,2013,100.00000000000001
country/UZB,2014,34489999.9388
country/UZB,2017,8506800.0
country/UZB,2018,147963756.6387348
country/UZB,2019,335757380.17929333
country/UZB,2020,219786833.99169907
country/UZB,2021,78103937.30107534
country/VEN,2015,1274000.0
country/VNM,2013,4500000.0
country/VNM,2016,291625000.0
country/VNM,2017,16953200.0
country/VNM,2018,10682400.0
country/VNM,2020,89614500.0
country/VNM,2021,32485830.0
country/ZMB,2016,11274125.75
