dcid,year,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDBlackSeaTrade&DevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDCentralAmericanBankforEconomicIntegration,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDDenmark,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDNorway,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDSweden,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDSwitzerland,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDUnitedKingdom,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDUnitedStates
country/HND,2019,,,,,,,,,,,,,,,,,,,,,,15133709.0,33583.200000000004,,,,
country/HND,2020,,,,,,,,250000000.0,,,,,,,,,,,,,,,,,,,
country/IDN,2014,,18186123.0,,,,,,,,,,,,,,,,,120600.00076614607,,,,,,,,
country/IDN,2015,,239681010.00000003,,,,,,,,,,,,,,,,,522600.0033199663,,,,,,,,
country/IDN,2016,,64427238.0,,,,,,,,,,,,,,,,,310570840.00362647,,,,,,,,
country/IDN,2017,,86069573.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/IDN,2018,,63257450.0,,,,,,,,,,,,,,,,,50782085.300000004,,,,,,,,11876800.0
country/IDN,2019,,169360921.0,,,278778.0,,,,,,,,,,,,,,386207945.31216246,,,,,,,,
country/IDN,2020,,80107640.8044,,,,,,,,,,,,,,12491071.600000001,,,220227691.4104,,,,,,,,
country/IDN,2021,,108896412.20843178,31000000.0,,1369.0,,,,,,,,,,,,,,306490178.3248778,,,624673.0,,,,,
country/IND,2014,,37033306.63919313,,,,,,,,,,,,,,,,,,,,,,,,,
country/IND,2015,,36999288.35798927,,,,,,,,,,,,,,,,,32355700.0,,,,,,,,
country/IND,2016,,285983175.4757209,,,,,,,,,,,,,,,,,235701897.6,,,,,,,,
country/IND,2017,,243484080.75614414,175000.0,,,,,,,,,,,,,,,,2536738.93,,,,,,,,
country/IND,2018,,377777006.2467923,57135459.5943,,,,,,,,489556.0,,,,12746370.8,,,,350518885.5527,,,,,,,,4000000.0
country/IND,2019,,616445836.4698862,,,1814310.0,,,,,,171711.0,,,6716668.4,,,,,868057478.4122,,,,,,,27732373.0,24000000.0
country/IND,2020,,506553930.6836918,1250000.0,8000000.0,1555135.0,,,,,,194267.0,,,,4711367.0,,,,757238114.229,,,,,,,15388232.0,
country/IND,2021,,634287056.5677658,11572532.0,,3790112.0,,,,,,18489210.0,,,,,,33000000.0,,820992811.986,104872610.0,,78528699.0,,,,63014561.0,304800000.0
country/IRQ,2015,,,,,,,,,,,,,,,,,,,360000000.0,,,,,,,,
country/IRQ,2016,,,,,,,,,,,,,,,,,,,321394316.46,,,,,,,,
country/IRQ,2018,,,,,,,,,,,,,,,,,,,5787652.5,,,,,,,,
country/IRQ,2019,,,,,,,,,,,,,,,,,,,14350306.0,,,,,,,,
country/IRQ,2020,,,,,,,,,,,,,,,,,,,18739006.688699998,,,,,,,,
country/IRQ,2021,,,,,,,,,,,,,,,,,,,32974806.8235,,,,,,,,
country/JAM,2016,,,,,,,,,,,,,,,,,,,75000.0,,,,,,,,
country/JAM,2017,,,,,,,,,,,,,,,,,,139200.0,15526000.0,,,,,,,,
country/JAM,2018,,,,,,,,,,,,,,,,,,1758634.5299999998,1989801.0,,,,,,,,
country/JAM,2019,,,,,,,,,,,,,,,,,,,4391461.32,,,,,,,,
country/JAM,2020,,,,,,,,,,,,,,,,,,190777.95,31938963.36,,,,,,,,
country/JAM,2021,,,,,,,,,,,,,,,,,,1797183.36,26062936.88,,,,,,,,
country/JOR,2015,,,,,,,,,,,,,,,,,,,93750000.0,,,,,,,,
country/JOR,2016,,,,,,,,,,,,,5942159.551525484,,,,,,225000000.0,,,,,,,,
country/JOR,2017,,,,,,,,,,,,,75709432.68838353,,,,,,,,,,,,,,
country/JOR,2018,,,,,,,,,,,,,63895928.45949687,,,,,,2268087.5,,,,,,,,
country/JOR,2019,,,,,,,,,,,,,,184002.0,,,,,131589675.0,,,,,,,,
country/JOR,2020,,,,,,,,,,,,113366.40717477202,,,,8712051.600000001,,,7109750.38,,,,,,,,
country/JOR,2021,,,,,,,,,,,,,,,,,,,61716363.04825795,,,,,,,,
country/KAZ,2016,,,,,,,,,,,,,50575794.775555305,,,,,,,,,,,,,,
country/KAZ,2017,,,,,,,,,,,,,156683619.85037065,,,,,,,,,,,,,,
country/KAZ,2018,,,,,,,,,,,,,34088792.58254936,,,,,,,,,,,,,,
country/KAZ,2019,,25007463.970188912,,,,,,,,,,,47461108.95987745,,,,,,,,,,,,,,
country/KAZ,2020,,12069618.975657383,,,,,,,,,,,11482260.99901117,,,,,,,,,,,,,,
country/KAZ,2021,,4091341.1278280783,,,,,,,,,,,,,,,,,,,,,,,,,
country/KEN,2016,282459.2160858355,,,,,,,,,,,,,,,,,,,,,,,,,,
country/KEN,2017,297356.906632594,,,,,,,,,,,,,,,,,,,,,,,,,,
country/KEN,2018,30571876.421732254,,,,,,,,,,,,,,,,,,,,,,,2358975.6,,,
country/KEN,2019,1960819.9220454115,,,,552701.0,,,,,,,,,,1948465.2000000002,,,,,,,10240738.0,163600.0,,,15807960.0,
country/KEN,2020,78434469.94479127,,,,,,,,,,,,,,,4891720.0,,,48900000.0,508396.39,,5678729.0,,5371152.0,,22513023.0,15750000.0
country/KEN,2021,23136753.829270467,,,,1214574.0,,,,,,,5784261.390305724,,,,,,,,2274153.5300000003,,15006438.0,,,,56727693.0,
country/KGZ,2016,,,,,,,,,,,,,6227839.89203362,,,,,,,,,,,,,,
country/KGZ,2017,,,,,,,,,,,,,11756463.62558669,,,,,,,,,,,,,,
country/KGZ,2018,,,,,,,,,,,,,6698924.110943321,,,,,,,,,,,,,,
country/KGZ,2020,,,,,,,,,,,,,812825.9576542543,,,,,,,,,,,,,,
country/KGZ,2021,,,,,,,,,,,,,2421564.7570019327,,,,,,,,,,,,,,
country/KHM,2017,,3250000.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/KHM,2019,,,,,,,,,,,,,,3999999.2,,,,,,,,,,,,,
country/KHM,2020,,,,336990.0,,,,,,,,,,673980.0,,2661262.4000000004,,,,,,,,,,,
country/KHM,2021,,,,,693244.0,,,,,,,,,,,,,,,,,,,,,,
country/LAO,2018,,,,,,,,,,,,,,,,,,,,,,298571.0,,,,,
country/LAO,2019,,,,,,,,,,,,,,1999999.6,,,,,,,,94720.0,,,,,
country/LAO,2020,,,2742475.0,,,,,,,,,,,1540666.4000000001,3596189.0,,,,,,,130575.0,,,,,
country/LAO,2021,,,3659000.0,,,,,,,,,,,556933.2000000001,1384971.0,,,,,,,58030.0,,,,,
country/LBN,2016,,,,,,,,,,,,,,,,,,,20354697.0,,,,,,,,
country/LBN,2018,,,,,,,,,,,,,113134663.0473268,,,,,,24447368.26,,,,,,,,
country/LBN,2019,,,,,,,,,,,,21841768.032998852,,,,,,,21796312.849999998,,,,,,,,
country/LBN,2020,,,,,,,,,,,,1958911.5796220445,,,,,,,10577996.29,,,,,,,,
country/LBN,2021,,,,,,,,,,,,,,,,,,,13494510.620000001,,,,,,,,
country/LBR,2021,,,,,,,,,,,,,,,,,,,,1974168.1914,,,,,,,
country/LKA,2014,,24823.089285714286,,,,,,,,,,,,,,,,,510000.0,,,,,,,,
country/LKA,2015,,4866484.3827883275,,,,,,,,,,,,,,,,,,,,,,,,,
country/LKA,2016,,12678258.40387993,,,,,,,,,,,,,,,,,84236703.0,,,,,,,,
country/LKA,2017,,12093064.657185055,,,,,,,,,,,,,,,,,,,,,,,,,
country/LKA,2018,,30707152.562016606,,,,,,,,,,,,,,,,,,,,5779.6,,,,,
country/LKA,2019,,53493585.532475024,8436.96,,,,,,,,,,,,,,,,1526251.4300000002,,,,,,,,
country/LKA,2020,,131163014.80992852,62745.119999999995,,,,,,,,,,,,,,,,1245574.8800000001,1571862.8284,,,,,,,
country/LKA,2021,,108387280.82842521,91770.0,,,,,,,,,,,,,,,,8325650.080800001,8016155.2596,,,,,,19785900.8,
country/LSO,2021,,,,,,,,,,,,,,,,,,,,,,12786.0,,,,,
country/MAR,2013,,,,,,,,,,,,,,,,,,,283324792.75,,,,,,,,
country/MAR,2015,,,,,,,,,,,,,,,,,,,17197026.0,,,,,,,,
country/MAR,2016,,,,,,,,,,,,,2408202.844484238,,,,,,246194186.0,,,,,,,,
country/MAR,2017,,,,,,,,,,,,,29350261.959253386,,,,,,19508150.0,,,,,,,,
country/MAR,2018,120051765.15406804,,,,,,,,,,,,12142702.630887995,,4720878.0,,,,151517002.16,,,,,,,,
country/MAR,2019,4885507.570815403,,,,347028.0,,,,,,,,,,,,,,228751784.0,,,,,,,,
country/MAR,2020,89075620.11723801,,,,,,,,,,,1215874.9727452344,81414253.9347437,,,,,,208219883.62,,,,,,,,
country/MAR,2021,18221773.56334735,,,,,,,,,,,,65775880.260037586,,,,,,225974189.60128915,,,,,,,,
country/MDA,2015,,,,,,,,,,,,,,,,,,,2026212.0,,,,,,,,
country/MDA,2016,,,,,,,,,,,,,,,,,,,15055563.0,,,,,,,,
country/MDA,2017,,,,,,,,,,,,,3190701.9447083096,,,,,,,,,,,,,,
country/MDA,2018,,,,,,,,,,,,,,,,,,,1934601.0,,,,,,,,
country/MDA,2019,,,,,,,,,,,,,,,,,,,4507628.0,,,,,,,,
country/MDA,2020,,,,,,,,,,2279202.4,,,15560532.328998877,,,,,,1196298.0,,,,,,,,
country/MDA,2021,,,,,,,,,,,,,,,,,,,342041.39999999997,,,,,,,,
country/MDG,2019,,,,,801184.0,,,,,,,,,,,,,,,,,,,,,,
country/MDG,2020,,,,,,,,,,,,,,,,,,,,,,,,,,1575364.0,
country/MDG,2021,,,,,,,,,,,,,,,,,,,,100181.21999999999,,,,,,,
country/MEX,2013,,,,,,,,,70000000.0,,,,,,,,,,,,,,,,,,
country/MEX,2014,,,,,,,,,,,,,,,,,,50000000.0,,,,,,,,,
country/MEX,2016,,,,,,,,,,,,,,,,,,,250000.0,,,,,,,,
country/MEX,2017,,,,,,,,,,,,,,,,,,,9836518.0,,,,,,,,
country/MEX,2018,,,,,,,,,,,,,,,,,,315780000.0,26427561.58,,,,,,,,
country/MEX,2019,,,,,,,,,,,,,,,,,,360069066.70699996,66288113.92,,,,,,,,
country/MEX,2020,,,,,,,,,,,,,,,,,,511740000.0,30877427.62,,,,,,,,241000000.0
country/MEX,2021,,,,,1702191.0,,,,,,,,,,,,,,684110295.24,,,,,,,,
country/MKD,2014,,,,,,,,,,,,,,,,,,,6374.96,,,,,,,,
country/MKD,2015,,,,,,,,,,,,,,,,,,,304398.8,,,,,,,,
country/MKD,2016,,,,,,,,,,,,,,,,,,,622234.0,,,,,,,,
country/MKD,2017,,,,,,,,,,,,,3716785.4270935035,,,,,,,,,,,,,,
country/MKD,2018,,,,,,,,,,,,,,,,,,,268392.0768,,,,,,,,
country/MKD,2019,,,,,,,,,,,,,,,,,,,23051999.5292,,,,,,,,
country/MKD,2020,,,,,,,,,,,,,,,,,,,694455.1232,,,,,,,,
country/MKD,2021,,,,,,,,,,,,,1714758.997864237,,,,,,1788084.212,,,,,,,,
country/MMR,2018,,312500.0,,,,,,,,,,,,,,,,,,,,1842926.0,,,,,
country/MMR,2019,,259375.0,,,,,,,,,,,,,,,,,,,,1275798.0,,,,,
country/MMR,2020,,260312.5,,,,,,,,,,,,,,,,,,,,2482032.0,,,,,
country/MNE,2016,,,,,,,,,,,,,18172.5788773101,,,,,,1163467.0,,,,,,,,
country/MNE,2017,,,,,,,,,,,,,32054054.378373824,,,,,,,,,,,,,,
country/MNE,2018,,,,,,,,,,,,,3859317.833116964,,,,,,1147464.2401040946,,,,,,,,
country/MNE,2019,,,,,,,,,,,,,464569.27012361726,,,,,,1408289.1572721384,,,,,,,,
country/MNE,2020,,,,16068376.0,,,,,,,,,16765925.264408663,,,,,,2655026.2931037983,,,,,,,,
country/MNE,2021,,,,,,,,,,,,,3233705.3455709666,,,,,,2871808.013293001,,,,,,,,
country/MNG,2015,,3394.348,,,,,,,,,,,,,,,,,,,,,,,,,
country/MNG,2016,,17397.0,,,,,,,,,,,15317017.864953266,,,,,,,,,,,,,,
country/MNG,2017,,,,,,,,,,,,,29875498.03463285,,,,,,,,,,,,,,
country/MNG,2018,,26930000.0,,,,,,,,,4956377.0,,2576419.2139738007,,,,,,,,,,,,,,
country/MNG,2019,,52925289.4261,,,,,,,,,309285.0,,,,,,,,,,,,,,,,
country/MNG,2020,,12497785.0745,,,,,,,,,95930.0,,1731106.9941450367,,,,,,,,,,,,,,
country/MNG,2021,,2441926.2635,,,,,,,,,82099.0,,3696898.587496321,,5309561.2,,,,,,,,,,,,
country/MOZ,2018,,,,,,,,,,,,,,,,,,,,,,824156.0,,,,,
country/MOZ,2019,,,,,10506.0,,,,,,,,,,,,,,,,,,,,,,
country/MOZ,2020,,,,,24635.0,,,,,,,,,,,,,,,,,,,,,51371.0,
country/MOZ,2021,,,,,5708.0,,,,,,,,,,,,,,,,,,,,,8652372.8,20000000.0
country/MUS,2019,,,,,653931.0,,,,,,,,,935695.2000000001,,,,,,,,,,,,,
country/MUS,2020,,,,,,,,,,,,,,,,,,,,,,,,,,472739.0,
country/MUS,2021,,,,,,,,,,,,,,,,,,,,,,,,,,52986.0,
country/MWI,2021,,,,,5232.0,,,,,,6283202.0,,,,,,,,,,,,,,,,
country/MYS,2020,,,,,,,,,,,,,,,,1546139.2000000002,,,,,,,,,,,
country/NAM,2018,22518592.715868067,,,,,,,,,,,,,,,,,,,,,,,,,,
country/NAM,2019,508169.4287123841,,,,,,,,,,,,,,,,,,,,,,,,,,
country/NAM,2020,21212108.412656844,,,,,,,,,,,,,,,,,,,,,,,,,,
country/NAM,2021,3377699.3477569446,,,,,,,,,,,,,,,,,,,,,,,,,,
country/NER,2021,,,,,,,,,,,,,,,,,,,,1957379.97,,,,,,,
country/NGA,2019,4576477.541209716,,,,,,,,,,,,,,,,,,,,,4723326.0,,,,,1760000.0
country/NGA,2020,97443501.58172682,,,207407.59999999998,,,,,,,,,,,,,,,,34033054.6704,,938878.0,,,,,4900000.0
country/NGA,2021,291511.2013857805,,,,,,,,,,3843985.0,,,3300000.0,14636042.8,,,,,74430661.096,,3234396.0,,,,2248478.4,2500000.0
country/NIC,2018,,,,,3941808.0,,,,,,,,,,1889895.2000000002,,,,,,,,377670.4,,,,
country/NIC,2019,,,,,,,,,,,,,,1779999.6,,,,,,,,,,,,,
country/NIC,2020,,,,,,,,,,,,,,1087689.6,,,,,,1744184.645,,,,,,,
country/NIC,2021,,,,,,,,,,,,,,759697.6000000001,,,,,,3758205.1025,,,,,,,
country/NPL,2020,,,233247.1,,,,,,,,,,,,,753690.8,,,,214352.93,,,,,,,
country/NPL,2021,,,,,,,,,,,,,,,,,,,,,,,,229972.0,,,
country/PAK,2015,,10218677.291210713,,,,,,,,,,,,,,,,,,,,,,,,,
country/PAK,2016,,1694980.9454647272,,,,,,,,,,,,,,,,,,,,,,,,,
country/PAK,2017,,101560436.23176786,1312720.0,,,,,,,,,,,,,,,,,,,,,,,,
country/PAK,2018,,45201099.65885714,797136.0,,,,,,,,,,,,,,,,24204722.50039,,,,146008.4,,,,
country/PAK,2019,,34494014.34678572,831933.0,,4752.0,,,,,,,,,,,,,,18741987.16009845,,,,,,,10588682.0,
country/PAK,2020,,52641699.33375238,1725884.0,,,,,,,,3770182.0,,,,,385407.2,,,59117899.94031176,,,,,,,4091281.0,
country/PAK,2021,,101386351.76864286,39837000.0,,,,,,,,,,,4000000.0,,,,,182728856.92290914,,,,,,,77215831.0,
country/PAN,2014,,,,,,,,,,,,,,,,,,363882.75,,,,,,,,,
country/PAN,2017,,,,,,,,,,,,,,,,,,50100000.0,,,,,,,,,
country/PAN,2018,,,,,,,,,,,,,,,,,,12500000.0,11038583.25,,,133508.0,,,,,
country/PAN,2019,,,,,,,,,,,,,,,,,,17920.0,125244.65,,,164946.0,,,,,
country/PAN,2020,,,,,,,14986579.0,250000000.0,,,,,,,,,,50077224.3712,76993252.399,,,154177.0,,,,,
country/PAN,2021,,,,,,,,,,,,,,,,,,11526485.8688,729850.4245,,,,,,,,
country/PER,2013,,,,,,,,,,,,,,,,,,25550000.0,,,,,,,,,
country/PER,2014,,,,,,,,,,,,,,,,,,2707500.0,,,,,,,,,
country/PER,2015,,,,,,,,,,,,,,,,,,,422554.32,,,,,,,,
country/PER,2016,,,,,,,,,,,,,,,,,,,41543100.06,,,,,,,,
country/PER,2017,,,,,,,,,,,,,,,,,,,12076.800000000001,,,,,,,,
country/PER,2018,,,,,,,,,,,,,,,,,,,17828550.36,,,,35286.8,,,,
country/PER,2019,,,,,,,,,,,,,,,,,,,14066006.9848,,,,,,,,
country/PER,2020,,,,,,,,,,,,,,,,,,5905871.0868,28377557.113599997,,,,,,,,
country/PER,2021,,,,,124663.0,,,,,,,,,,,,,736409.2638999999,299953735.9265284,,,,,,,,
country/PHL,2014,,,,,,,,,,,,,,,,,,,980672.4367000004,,,,,,,,
country/PHL,2015,,,,,,,,,,,,,,,,,,,29163800.424490184,,,,,,,,
country/PHL,2016,,,,,,,,,,,,,,,,,,,29750117.980546456,,,,,,,,
country/PHL,2018,,33900.712,4769008.0,,,,,,,,,,,,,,,,558009100.3189827,,,,,,,,
country/PHL,2019,,756713.4826000001,,,1048172.0,,,,,,,,,,,,,,238476235.1938296,,,,,,,,
country/PHL,2020,,420089857.10220003,,,622411.0,,,,,,,,,,,,,,445223595.5941247,,,,,,,,
country/PHL,2021,,150809933.5572,,,2147274.0,,,,,,,,,,,,,,403215222.9896385,,,,,,,33700137.0,
country/PLW,2020,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/PLW,2021,,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/PNG,2014,,426481.98407434195,,,,,,,,,,,,,,,,,,,,,,,,,
country/PNG,2015,,635557.6296636111,,,,,,,,,,,,,,,,,,,,,,,,,
country/PNG,2016,,1989303.0852593556,,,,,,,,,,,,,,,,,,,,,,,,,
country/PNG,2017,,2659280.183737213,,,,,,,,,,,,,,,,,,,,,,,,,
country/PNG,2018,,14084642.02249306,,,,,,,,,,,,,,,,,,,,,,,,,
country/PNG,2019,,5628045.672382096,,,,,,,,,,,,,,,,,,,,,,,,,
country/PNG,2020,,16824123.78723404,,,,,,,,,,,,,,,,,,,,,,,,,
country/PNG,2021,,10936302.410918172,,,,,,,,,,,,,,,,,,,,,,,,,
country/PRY,2018,,,,,,,,,,,,,,,,,,,577948.5599999999,,,,,,,,
country/PRY,2019,,,,,,,,,,,,,,,,,,1714644.6043,,,,,,,,,
country/PRY,2020,,,,,,,,,,,,,,,,,,3908941.5547999996,84819489.57,,,,,,,,
country/PRY,2021,,,,,,,,,,,,,,,,,,13021501.055,6803019.73,,,,,,,,
country/PSE,2020,,,,,,,,,,,,5686624.961959748,,,,,,,,,,,,,,,
country/PSE,2021,,,,,,,,,,,,4761185.934114833,,,,,,,,,,,,,,,
country/RWA,2018,154027.9294405025,,,,7621.0,,,,,,,,,,,,,,,,,19362.0,,,,,
country/RWA,2019,1215034.411707167,,,,135441.0,,,,,,,,,60875.600000000006,,,,,,,,,,,,,
country/RWA,2020,900596.7541482041,,,,268114.0,,,,,,,,,,,,,,,,,,,,,,
country/RWA,2021,1559643.0022295457,,,,99379.0,,,,,,,,,31800.800000000003,,,,,,,,,,,,,2900000.0
country/SDN,2020,16922474.090633772,,,,,,,,,,,,,,,,,,,,,,,,,,
country/SEN,2016,4411.117319061811,,,,,,,,,,,,,,,,,,,,,,,,,,
country/SEN,2017,10941048.512160365,,,,,,,,,,,,,,,,,,,,,,,,,,
country/SEN,2018,22413790.22397745,,,,107261.0,,,,,,,,,,,,,,,,,,,,,,10393344.0
country/SEN,2019,29815242.92669431,,,,1671051.0,,,,,,,,,,,,,,,,,,,,,2455708.0,29661836.0
country/SEN,2020,40624922.47867408,,,,,,,,,,,,,,,,,,,4784346.302669901,,,,,,,12799496.0
country/SEN,2021,18707198.98437263,,,,96734.0,,,,,,,,,,,,,,,16906601.278633166,,,,,,,
country/SLE,2019,,,,,,,,,,,,,,320000.0,,,,,,,,,,,,427842.0,
country/SLE,2020,,,,,,,,,,,,,,180000.0,,,,,,,,,,,,,
country/SLE,2021,,,,,130802.0,,,,,,,,,200000.0,,,,,,,,,,,,,
country/SLV,2019,,,,,6198792.0,,,,,,,,,6559321.0,,,,,,,,,,,,,
country/SLV,2020,,,,,,,,,,,,,,,,,,,2500.0,,,,,,,,13728592.0
country/SLV,2021,,,,,,,,,,,,,,,,,,,3985343.75,,,,,,,,
country/SRB,2015,,,,,,,,,,,,,,,,,,,12582220.000000002,,,,,,,,
country/SRB,2016,,,,,,,,,,,,,57630249.33863119,,,,,,921471.8800000001,,,,,,,,
country/SRB,2017,,,,,,,,,,,,,23337325.547551185,,,,,,13052799.24,,,,,,,,
country/SRB,2018,,,,19132572.0,,,,,,,,1980340.691805451,25142024.05594578,,,,,,47510768.9407,,,,,,,,
country/SRB,2019,,,,34811665.0,,,,,,31344453.200000003,,,,,,,,,19497265.2417,,,,,,,,
country/SRB,2020,,,,16737034.000000002,,,,,,,,,13904229.478213523,,,,,,34161671.3383,,,,,,,,
country/SRB,2021,,,,,,,,,,47894985.6,,,16270919.167654367,,,,,,29792305.7251,,,,,,,,
country/SUR,2013,,,,,,,,,,,,,,,,,,2500000.0,,,,,,,,,
country/SUR,2014,,,,,,,,,,,,,,,,,,417670.24,,,,,,,,,
country/SUR,2016,,,,,,,,,,,,,,,,,,7700000.0,,,,,,,,,
country/SUR,2017,,,,,,,,,,,,,,,,,,472202.088,,,,,,,,,
country/SUR,2019,,,,,,,,,,,,,,,,,,41500.3,47901.5,,,,,,,,
country/SUR,2020,,,,,,,,,,,,,,,,,,394327.19869999995,,,,,,,,,
country/SUR,2021,,,,,,,,,,,,,,,,,,1062953.72,,,,,,,,,
country/SWZ,2020,1412916.3984060304,,,,,,,,,,,,,,,,,,9980.0,,,,,,,,
country/SWZ,2021,2985987.998009084,,,,,,,,,,,,,,,,,,929650.8700000001,,,,,,,,
country/SYC,2015,,,,,,,,,,,,,,,,,,,23450.0,,,,,,,,
country/SYC,2016,175825.90597429927,,,,,,,,,,,,,,,,,,,,,,,,,,
country/TCD,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,2100000.0
country/TCD,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0
country/TCD,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,6400000.0
country/THA,2018,,170789070.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/THA,2019,,111921145.80904976,,,60416.0,,,,,,,,,,,,,,,,,,,,,,
country/THA,2020,,171039185.58441615,,,211583.0,,,,,,57782.0,,,,,,,,,,,,,,,,
country/THA,2021,,215498314.06001642,,,118608.0,,,,,,,,,,,,,,,,,,,,,,
country/TJK,2017,,,,,,,,,,,,,5535057.730412033,,,,,,,,,,,,,,
country/TJK,2018,,,7997694.0,,,,,,,,,,5412487.237574637,,,,,,,,,,,,,,
country/TJK,2019,,,,,,,,,,,,,464628.0735649829,,,,,,,,,,,,,,
country/TJK,2020,,,,,,,,,,,,,23408827.862407517,,,,,,,,,,,,,,
country/TJK,2021,,,,,,,,,,,,,10073308.038466433,,,,,,,,,,,,,,
country/TKM,2017,,,,,,,,,,,,,2184576.8153438345,,,,,,,,,,,,,,
country/TKM,2019,,4290.1132,,,,,,,,,,,,,,,,,,,,,,,,,
country/TKM,2020,,526113.5656,,,,,,,,,,,,,,,,,,,,,,,,,
country/TKM,2021,,805404.8859999999,,,,,,,,,,,,,,,,,495180.906,,,,,,,,
country/TLS,2016,,232927.174,,,,,,,,,,,,,,,,,88.0,,,,,,,,
country/TLS,2018,,,,,,,,,,,,,,,,,,,234247.0,,,,,,,,
country/TLS,2019,,223043.87900000002,,,,,,,,,,,,,,,,,318590.0,,,,,,,,
country/TLS,2020,,221730.372,,,,,,,,,,,,,,,,,126281.0,,,,,,,,
country/TLS,2021,,59603.651,,,,,,,,,,,,,,,,,9882.0,,,,,,,,
country/TUN,2013,15491406.291305915,,,,,,,,,,,,,,,,,,,,,,,,,,
country/TUN,2014,7738848.675259486,,,,,,,,,,,,,,,,,,,,,,,,,,
country/TUN,2015,8247259.373533274,,,,,,,,,,,,,,,,,,,,,,,,,,
country/TUN,2016,6705145.119210107,,,,,,,,,,,,,,,,,,,,,,,,,,
country/TUN,2017,4790740.294300537,,,,,,,,,,,,,,,,,,159751.99,,,,,,,,
country/TUN,2018,8352405.758978798,,,,,,,,,,,,,,,,,,101325834.135,,,,,,,,
country/TUN,2019,21220222.692554247,,,,,,,,,,,,,,,,,,4770625.6279,,,,,,,,
country/TUN,2020,64913070.57834998,,,,,,,,,,,,1092877.9975464698,,,,,,38112502.9029,,,,,,,,
country/TUN,2021,4324623.458457939,,,,,,,,,,,,1892148.0052270615,,,,,,38444414.53439999,,,,,,,,
country/TUR,2013,,,,,,,,,,,,,,,,,,,167500.0,,,,,,,,
country/TUR,2014,,,,,,,,,,,,,,,,,,,32511396.0,,,,,,,,
country/TUR,2015,,,,,,,,,,,,,,,,,,,24719800.0,,,,,,,,
country/TUR,2016,,,,,,,,,,,,,742528814.1552942,,,,,,26671908.0,,,,,,,,
country/TUR,2017,,,,,,,,,,,,,461305092.3134055,,,,,,90710421.0,,,,,,,,
country/TUR,2018,,,300000.0,,,,,,,,,,277617293.5442831,,9441756.0,,,,157733350.0028199,,,,,,,,
country/TUR,2019,,,,,,,,,,,,,17351393.908720482,,,,,,48855584.60210479,,,,,,,,
country/TUR,2020,,,75000000.0,,,45584045.5840456,,,,,,,,,,,,,81975102.3,,,,,,,,
