dcid,year,climateFinanceReceivedDisbursementsOtherOfficialFlowsCurrentUSD
country/MNG,2018,34462796.2139738
country/MNG,2019,53234574.4261
country/MNG,2020,14324822.068645036
country/MNG,2021,11530485.050996322
country/MNE,2016,1181639.57887731
country/MNE,2017,32054054.378373824
country/MNE,2018,5006782.073221059
country/MNE,2019,1872858.4273957557
country/MNE,2020,35489327.55751246
country/MNE,2021,6105513.3588639675
country/MAR,2013,283324792.75
country/MAR,2015,17197026.0
country/MAR,2016,248602388.84448424
country/MAR,2017,48858411.959253386
country/MAR,2018,288432347.94495606
country/MAR,2019,233984319.5708154
country/MAR,2020,379925632.64472693
country/MAR,2021,309971843.4246741
country/MOZ,2018,824156.0
country/MOZ,2019,10506.0
country/MOZ,2020,76006.0
country/MOZ,2021,28658080.8
country/MMR,2018,2155426.0
country/MMR,2019,1535173.0
country/MMR,2020,2742344.5
country/NAM,2018,22518592.715868067
country/NAM,2019,508169.4287123841
country/NAM,2020,21212108.412656844
country/NAM,2021,3377699.3477569446
country/NPL,2020,1201290.83
country/NPL,2021,229972.0
country/NIC,2018,6209373.600000001
country/NIC,2019,1779999.6
country/NIC,2020,2831874.245
country/NIC,2021,4517902.702500001
country/NER,2021,1957379.97
country/NGA,2019,11059803.541209716
country/NGA,2020,137522841.8521268
country/NGA,2021,104485074.49738578
country/MKD,2014,6374.96
country/MKD,2015,304398.8
country/MKD,2016,622234.0
country/MKD,2017,3716785.4270935035
country/MKD,2018,268392.0768
country/MKD,2019,23051999.5292
country/MKD,2020,694455.1232
country/MKD,2021,3502843.2098642373
country/PAK,2015,10218677.291210713
country/PAK,2016,1694980.9454647272
country/PAK,2017,102873156.23176786
country/PAK,2018,70348966.55924714
country/PAK,2019,64661368.506884165
country/PAK,2020,121732353.47406414
country/PAK,2021,405168039.691552
country/PLW,2020,1500000.0
country/PLW,2021,12500.0
country/PAN,2014,363882.75
country/PAN,2017,50100000.0
country/PAN,2018,23672091.25
country/PAN,2019,308110.65
country/PAN,2020,392211232.7702
country/PAN,2021,12256336.2933
country/PNG,2014,426481.98407434195
country/PNG,2015,635557.6296636111
country/PNG,2016,1989303.0852593556
country/PNG,2017,2659280.183737213
country/PNG,2018,14084642.02249306
country/PNG,2019,5628045.672382096
country/PNG,2020,16824123.78723404
country/PNG,2021,10936302.410918172
country/PRY,2018,577948.5599999999
country/PRY,2019,1714644.6043
country/PRY,2020,88728431.1248
country/PRY,2021,19824520.785
country/PER,2013,25550000.0
country/PER,2014,2707500.0
country/PER,2015,422554.32
country/PER,2016,41543100.06
country/PER,2017,12076.800000000001
country/PER,2018,17863837.16
country/PER,2019,14066006.9848
country/PER,2020,34283428.2004
country/PER,2021,300814808.19042844
country/PHL,2014,980672.4367000004
country/PHL,2015,29163800.424490184
country/PHL,2016,29750117.980546456
country/PHL,2018,562812009.0309827
country/PHL,2019,240281120.6764296
country/PHL,2020,865935863.6963246
country/PHL,2021,589872567.5468385
country/RWA,2018,181010.9294405025
country/RWA,2019,1411351.0117071671
country/RWA,2020,1168710.7541482043
country/RWA,2021,4590822.802229546
country/WSM,2017,2000000.0
country/SEN,2016,4411.117319061811
country/SEN,2017,10941048.512160365
country/SEN,2018,32914395.22397745
country/SEN,2019,63603837.92669431
country/SEN,2020,58208764.781343974
country/SEN,2021,35710534.26300579
country/SRB,2015,12582220.000000002
country/SRB,2016,58551721.21863119
country/SRB,2017,36390124.78755119
country/SRB,2018,93765705.68845123
country/SRB,2019,85653383.4417
country/SRB,2020,64802934.81651352
country/SRB,2021,93958210.49275437
country/SYC,2015,23450.0
country/SYC,2016,175825.90597429927
country/SLE,2019,747842.0
country/SLE,2020,180000.0
country/SLE,2021,330802.0
country/ZAF,2018,2710182.0
country/ZAF,2019,4507006.0
country/ZAF,2020,121538054.2110315
country/ZAF,2021,64221784.650937945
country/LKA,2014,534823.0892857143
country/LKA,2015,4866484.3827883275
country/LKA,2016,96914961.40387993
country/LKA,2017,12093064.657185055
country/LKA,2018,30712932.162016604
country/LKA,2019,55028273.922475025
country/LKA,2020,134043197.63832852
country/LKA,2021,144606756.96882522
country/SDN,2020,16922474.090633772
country/SUR,2013,2500000.0
country/SUR,2014,417670.24
country/SUR,2016,7700000.0
country/SUR,2017,472202.088
country/SUR,2019,89401.8
country/SUR,2020,394327.19869999995
country/SUR,2021,1062953.72
country/TJK,2017,5535057.730412033
country/TJK,2018,13410181.237574637
country/TJK,2019,464628.0735649829
country/TJK,2020,23408827.862407517
country/TJK,2021,10073308.038466433
country/TZA,2016,425045.0972685237
country/TZA,2017,560907.79157464
country/TZA,2018,5285847.933766998
country/TZA,2019,21944699.97847435
country/TZA,2020,32038984.803217407
country/TZA,2021,54927172.97908497
country/THA,2018,170789070.0
country/THA,2019,111981561.80904976
country/THA,2020,171308550.58441615
country/THA,2021,215616922.06001642
country/TLS,2016,233015.174
country/TLS,2018,234247.0
country/TLS,2019,541633.879
country/TLS,2020,348011.372
country/TLS,2021,69485.651
country/TUN,2013,15491406.291305915
country/TUN,2014,7738848.675259486
country/TUN,2015,8247259.373533274
country/TUN,2016,6705145.119210107
country/TUN,2017,4950492.284300537
country/TUN,2018,109678239.8939788
country/TUN,2019,25990848.320454247
country/TUN,2020,104118451.47879645
country/TUN,2021,44661185.998085
country/TKM,2017,2184576.8153438345
country/TKM,2019,4290.1132
country/TKM,2020,526113.5656
country/TKM,2021,1300585.792
country/TUR,2013,167500.0
country/TUR,2014,32511396.0
country/TUR,2015,24719800.0
country/TUR,2016,769200722.1552942
country/TUR,2017,552015513.3134055
country/TUR,2018,445092399.54710305
country/TUR,2019,66206978.51082528
country/TUR,2020,202559147.8840456
country/TUR,2021,137937154.01147318
country/UGA,2016,131422.55586810093
country/UGA,2018,378990973.56221944
country/UGA,2019,10570524.421680346
country/UGA,2020,2613416.4
country/UGA,2021,1785644.7498478931
country/UKR,2014,830000.0
country/UKR,2015,1651796.0
country/UKR,2016,56874439.76126036
country/UKR,2017,70121612.79645602
country/UKR,2018,87907164.70595977
country/UKR,2019,186714402.7697262
country/UKR,2020,76307879.53452195
country/UKR,2021,195162482.3646277
country/URY,2014,15131217.0
country/URY,2017,518619.854
country/UZB,2015,394316.01379970333
country/UZB,2016,10595721.50029713
country/UZB,2017,24763746.193260416
country/UZB,2018,153591429.44573337
country/UZB,2019,214160196.54675448
country/UZB,2020,337912022.353841
country/UZB,2021,153986775.24025205
country/VNM,2014,1085929.2780487803
country/VNM,2015,42751290.79338201
country/VNM,2016,10665711.373597948
country/VNM,2017,538522.5918048781
country/VNM,2018,6754326.36497561
country/VNM,2019,98832391.59871934
country/VNM,2020,93186355.49403362
country/VNM,2021,171016028.20398527
country/PSE,2020,5686624.961959748
country/PSE,2021,4761185.934114833
country/ZMB,2016,1878.4983374288734
country/ZMB,2017,4510.147765263943
country/ZMB,2018,1519012.754064193
country/ZMB,2019,940862.5229172774
country/ZMB,2020,1589056.8975559692
country/ZMB,2021,603335.5411302388
country/ZWE,2021,180072.80000000002
