dcid,year,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDCaribbeanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDCentralAmericanBankforEconomicIntegration,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDDevelopmentBankofLatinAmerica,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDEUInstitutions,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDIFAD,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDNorway,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDSpain,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDUnitedKingdom,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDUnitedStates
country/COL,2020,,,,,,,,,,,,,,,96370000.0,,,,,,
country/COL,2021,,,,,,,75000000.0,,,,,,,,321678466.66489995,,,,,,
country/CPV,2019,,,,,,,,,,,,,,,5000000.0,,,,,,
country/CPV,2020,5292123.1559999995,,,,,,,,,,,,,,,,,,,,
country/CPV,2021,,,,,,,,,,,,,,,437500.0,,,,,,
country/CRI,2018,,,,,,,,,,,,,,2304576.0,,,,,,,
country/CRI,2019,,,,,,,,,,,,,,500000.0,,,,,,,
country/CRI,2020,,,,,399160000.0,,,,,,,,,,28708983.787199996,,,,,,
country/CRI,2021,,,,,,,,,,,,,,,24169999.99925,,,,,,
country/CUB,2016,,,,,,,,,,,,,9520000.0,,,,,,,,
country/CUB,2019,,,,,,,,,,,,,3270704.0,,,,,,,,
country/DMA,2021,,,,,,,,,,,,,,42530000.0,,,,,,,
country/DOM,2016,,,,,,,,,,,,,,144000.0,,,,,,,
country/DOM,2017,,,,,,,,,,,,,,,150000000.0,,,,,,
country/DOM,2018,,,,,,,,,,,,,8000000.0,6630000.000000001,34312000.0,,,,,,
country/DOM,2019,,,,,,,,,,,,,,16660000.0,,,,,,,
country/DOM,2021,,,,,,,,,,,,,2470000.0,,21199464.0,,,,,,
country/ECU,2015,,,,,,,,,,,,,35800000.0,,5496000.0,,,,,,
country/ECU,2016,,,,,,,,,,,,,20528000.0,,115875000.0,,,,,,
country/ECU,2017,,,,,,,26050000.0,,,,,,,8464489.719999999,,,,,,,
country/ECU,2018,,,,,,,,,,,,,8000000.0,,,,,,,,
country/ECU,2019,,,,,,,,,,,,,,78045220.0,30000000.0,,,,,,
country/ECU,2020,,,,,,,,,,,,,19915060.0,,31414000.0,,,,,,
country/ECU,2021,,,,,,,99081000.0,,,,,,,11475000.0,241238.40000000002,,,,,,
country/EGY,2016,,,,,,,,,831701.8440782928,,,,,,,,,,,,
country/EGY,2017,,,,,,,,,26562957.9528802,,,,,,,,,,,,
country/EGY,2018,59999445.21516,,,,,,,,12215272.040599601,,,,,,103954000.0,,,,,,
country/EGY,2019,,,,,,,,,8824339.63540076,,,,16994450.5,,150000000.0,,,,,,
country/EGY,2020,,,,,,,,,3259902.64041473,,20602027.0,,,,189360000.0,,,,,,
country/EGY,2021,124359537.10000001,,,,,,,,10889272.589877045,,,,,,39692000.0,,,,,,
country/ETH,2019,,,,,,,,,,,,,2703554.0,,,,,,,,
country/ETH,2020,,,,,,,,,,,,53587127.5,,,,,,,,,
country/FJI,2014,,10000000.0,,,,,,,,,,,,,,,,,,,
country/FJI,2015,,,,,,,,,,,,,,,50000000.0,,,,,,
country/FJI,2019,,,,,,,,,,,,,,,1267200.0,,,,,,
country/FJI,2021,,,,,,,,,,,,,,,6250578.8182193,,,,,,
country/GAB,2013,,,,,,,,,,,,,,,,,61000000.0,,,,
country/GAB,2016,,,,,,,,,,,,,,,17940000.0,,,,,,
country/GAB,2018,,,,,,,,,,,,,5040000.0,,,,,,,,
country/GAB,2019,59008730.137,,,,,,,,,,,,2382668.4,,,,,,,,
country/GAB,2020,60098338.441,,,,,,,,,,,,,,,,,,,,
country/GAB,2021,,,,,,,,,,,,,,,149760.0,,,,,,
country/GEO,2015,,2400000.0,,,,,,,,,,,,,,,,,,,
country/GEO,2016,,1475100.0,,,,,,,,,,,,,13896000.000000002,,,,,,
country/GEO,2017,,21474067.172049,,,,,,,68173.9869236839,,,,,,,,,,,,
country/GEO,2018,,7988846.398,,,,,,,,,,,14562400.0,,,,,,,,
country/GEO,2019,,172914875.326864,,,,,,,59778349.9384305,,,,,,5284740.0,,,,,,
country/GEO,2020,,9902881.78258,,,,,,,,,,,,,16481250.0,,,,,,
country/GEO,2021,,12005547.87265,,,,,,,,,,,,,6568029.0,,,,,,
country/GHA,2018,,,,,,,,,,,,,,,,,,,,,20000000.0
country/GHA,2019,,,,,,,,,,,,5550000.0,,,,,,,,,
country/GIN,2019,,,,,,,,,,,,,,,,,2079046.7157869998,,,,
country/GIN,2021,,,,,,,,,,,,,,,,,4186644.0,,,,
country/GMB,2013,,,,,,,,,,,,,,,,,11220000.0,,,,
country/GMB,2019,,,,,,,,,,,,,1482465.0,,,,,,,,
country/GNB,2019,,,,,,,,,,,,,2996860.0,,,,,,,,
country/GNQ,2019,62069849.93,,,,,,,,,,,,,,,,,,,,
country/GRD,2017,,,,,,,,,,,,,,,495900.0,,,,,,
country/GTM,2017,,,,,,,,,,,,,,,16684000.0,,,,,,
country/GTM,2019,,,,,,,,,,,,,,90300000.0,183400000.0,,,,,,
country/GTM,2020,,,,,,,,,,,,,,,23000000.0,,,,,,
country/GTM,2021,,,,,,,,,,,,,8490900.0,,47241750.0,,,,,,
country/GUY,2020,,,,142052400.0,,,,,,,,,,,,,,,,,
country/HND,2019,,,,,,,,,,,,5368674.5,,,,,,,33583.200000000004,,
country/HND,2021,,,,,150000000.0,,,,,,,,,,,,,,,,
country/HTI,2019,,,,,,,,,,,,,,,,,,,,,7800000.0
country/HTI,2020,,,,,,,,,,,,3360000.0,,,,,,,,,
country/IDN,2014,,,,,,,,,,,,,,,3809351.9141999995,,,,,,
country/IDN,2015,,,,,,,,,,,,,137900000.0,,,,,,,,
country/IDN,2016,,20000800.0,,,,,,,,,,,,,,,,,,,
country/IDN,2017,,,,,,,,,,,,,,,218020000.0,,,,,,
country/IDN,2018,,2260000.0,25162920.0,,,,,,,,,,44240000.0,,164955000.0,,,,,,
country/IDN,2019,,93297975.0,,,,,,,,,,,44485679.0,,457952000.0,,945874.2857142857,,,,
country/IDN,2020,,91790000.0,,,,,,,,,,,,,146080000.0,,32550000.0,,,,
country/IDN,2021,,127791410.0,,,,,,,,,,,,,313863596.0,,15000000.0,,,,
country/IND,2014,,31751000.0,,,,,,,,,,,,,,,,,,,
country/IND,2015,,43070500.0,,,,,,,,,,,,,14800000.0,,,,,,
country/IND,2016,,325260002.823,,,,,,,,,,,,,,,,,,,
country/IND,2017,,169387200.0,,,,,,,,,,,,,545315570.0,,,,,,
country/IND,2018,,290749312.0,555866500.0,,,,,,,,,,,,1216273140.0,,,,,,
country/IND,2019,,238103900.0,,,,,,,,6716668.4,,,,,591720840.0,,,,,,
country/IND,2020,,110851540.0,,,,,,,,,,,19919976.1,,725347900.0,46915400.0,,,,,12000000.0
country/IND,2021,,394487730.639322,175081200.0,,,,,,,,,,68818320.0,,465103722.0,11376571.5,,,,,
country/IRQ,2017,,,,,,,,,,,,,,,64000000.0,,,,,,
country/IRQ,2018,,,,,,,,,,,,,,,191436000.0,,,,,,
country/IRQ,2019,,,,,,,,,,,,,,,13440000.0,,,,,,
country/IRQ,2021,,,,,,,,,,,,,,,847700.0,,,,,,
country/JAM,2016,,,,,,,,,,,,,,,30000000.0,,,,,,
country/JAM,2017,,,,,,,,,,,,,,,5026000.0,,,,,,
country/JAM,2019,,,,,,,,,,,,,,,11880000.0,,,,,,
country/JAM,2020,,,,,,,,,,,,,,,27650000.0,,,,,,
country/JAM,2021,,,,,,,,,,,,,,,9748500.0,,,,,,
country/JOR,2015,,,,,,,,,6596248.648363841,,,,,,,,,,,,
country/JOR,2016,,,,,,,,,35643863.58951672,,,,,,81000000.0,,,,,,
country/JOR,2017,,,,,,,,,5636343.140570399,,,,,,,,,,,,
country/JOR,2019,,,,,,,,,5625392.936303601,,,,,,,,,,,,
country/JOR,2020,,,,,,,,,,,,,,,51601730.0,,,,,,
country/JOR,2021,,,,,,,,,34116918.38930935,,,,,,94297502.418185,,,,,,
country/KAZ,2015,,,,,,,,,35103647.269637346,,,,,,,,,,,,
country/KAZ,2016,,10236780.0,,,,,,,5582777.954365062,,,,,,88007400.0,,,,,,
country/KAZ,2017,,,,,,,,,163401190.993124,,,,,,,,,,,,
country/KAZ,2018,,,,,,,,,1180219.52083087,,,,,,,,,,,,
country/KAZ,2019,,,,,,,,,214594408.35429442,,,,,,,,,,,,
country/KAZ,2020,,11592800.74543,,,,,,,1134657.270143905,,,,,,106250000.0,,,,,,
country/KAZ,2021,,,,,,,,,37251503.9600639,,,,,,16671111.109443998,,,,,,
country/KEN,2016,18826100.0,,,,,,,,,,,,,,,,,,,,
country/KEN,2017,143009.79524985707,,,,,,,,,,,,,,,,,,,,
country/KEN,2019,281713319.19,,,,,,,,,,,,,,,,,,,,
country/KEN,2020,115195694.96754336,,,,,,,,,,,,,,23200000.0,31400000.0,,,,,
country/KGZ,2015,,,,,,,,,7732667.7759290105,,,,,,,,,,,,
country/KGZ,2016,,,,,,,,,3284839.202660617,,,,,,,,,,,,
country/KGZ,2017,,,,,,,,,2410895.475391727,,,,,,,,,,,,
country/KGZ,2018,,,,,,,,,6101734.92269562,,,,,,,,,,,,
country/KGZ,2019,,,,,,,,,5653196.014776668,,,,,,,,,,,,
country/KGZ,2020,,,,,,,,,455840.455840456,,,,,,,,,,,,
country/KGZ,2021,,,,,,,,,2601702.93282876,,,,,,,,,,,,
country/KHM,2018,,,,,,,,,,,,3800000.0,,,,,,,,,
country/KHM,2019,,,,,,,,,,4477779.2,,,,,,,,,,,
country/LAO,2019,,,40000000.0,,,,,,,,,,,,,,,,,,
country/LAO,2020,,,30000000.0,,,,,,,,,,,,,,,,,,
country/LBN,2014,,,,,,,,,,,,,,,303454800.0,,,,,,
country/LBN,2016,,,,,,,,,,,,,,,27984000.0,,,,,,
country/LBN,2017,,,,,,,,,,,,,,,46874720.00000001,,,,,,
country/LBN,2018,,,,,,,,,,,,,,,15417360.0,,,,,,
country/LBN,2021,,,,,,,,,,,,,,,53947800.0,,,,,,
country/LBR,2019,,,,,,,,,,,,,3452017.0,,,,,,,,
country/LBR,2020,,,,,,,,,,,,,,,,4546800.0,,,,,
country/LBR,2021,,,,,,,,,,,,,,,,23393442.0,,,,,
country/LCA,2020,,,,11123000.0,,,,,,,,,,,,,,,,,
country/LKA,2014,,2203000.0,,,,,,,,,,,,,102000000.0,,,,,,
country/LKA,2015,,53003800.0,,,,,,,,,,,,,,,,,,,
country/LKA,2016,,14983400.0,,,,,,,,,,,,,,,,,,,
country/LKA,2017,,87110000.0,,,,,,,,,,,,,,,,,,,
country/LKA,2018,,105001400.0,,,,,,,,,,,11617321.600000001,,8000000.0,,,,,,
country/LKA,2019,,15138664.0,2400000.0,,,,,,,,,,36004646.896,,312750000.0,,,,,,
country/LKA,2020,,4999500.0,,,,,,,,,,,,,,24911180.0,,,,,
country/LKA,2021,,18652400.0,,,,,,,,,,,,,442545773.0,,,,,,
country/MAR,2013,,,,,,,,,,,,,,,67056000.0,,,,,,
country/MAR,2015,,,,,,,,,19079312.257348903,,,,,,234000000.0,,,,,,
country/MAR,2016,5887674.0,,,,,,,,331305.982527922,,,,36064000.0,,100000000.0,,,,,,
country/MAR,2017,,,,,,,,,135272235.37369,,,,,,47780000.0,,,,,,
country/MAR,2018,169102339.41678002,,,,,,,,,,23604390.400000002,,,,,,,,,,
country/MAR,2019,44345988.650000006,,,,,,,,,,,,6191416.04,,457772000.0,,,,,,
country/MAR,2020,160692757.84,,,,,,,,171706125.51225078,,,,,,184850000.0,,,,,,
country/MAR,2021,206732761.26,,,,,,,,3326040.68117313,,,,,,257213732.041353,,,,,,
country/MDA,2016,,,,,,,,,,,,,,,2219520.0,,,,,,
country/MDA,2017,,,,,,,,,,,,,,,10104760.0,,,,,,
country/MDA,2020,,,,,,,,,85470.0854700855,,,,,,,,,,,,
country/MDA,2021,,,,,,,,,119205.298013245,,,,,,,,,,,,
country/MDG,2020,,,,,,,,,,,,,,,,1932000.0,,,,,
country/MEX,2017,,,,,,,150000000.0,,,,,,3372000.0,26280000.0,,,,,,,
country/MEX,2018,,,,,,,,,,,,,,,6720000.0,,,,,,
country/MEX,2019,,,,,,,,,,,,,,52920000.0,249120000.0,,,,,,
country/MEX,2020,,,,,,,,,,,,,,,307112000.0,,,,,,
country/MEX,2021,,,,,,,50000000.0,,,,,,924800.0,144840000.0,83541665.238,,,,,,
country/MKD,2014,,,,,,,,,,,,,,,2839200.0,,,,,,
country/MKD,2019,,,,,,,,,,,,,,,29532000.0,,,,,,
country/MKD,2020,,,,,,,,,,,,,,,22173800.0,,,,,,
country/MKD,2021,,,,,,,,,16273651.8448439,,,,,,14690257.08,,,,,,
country/MLI,2013,,,,,,,,,,,,,,,,,17290000.0,,,,
country/MLI,2019,,,,,,,,,,,,,6737648.0,,,,,,,,
country/MLI,2021,,,,,,,,,,,,,,,,,1618899.1999999997,,,,
country/MNE,2017,,,,,,,,,7439972.945552929,,,,,,,,,,,,
country/MNE,2018,,,,,,,,,578897.674967544,,,,,,3607626.000517,,,,,,
country/MNE,2019,,,,,,,,,27874174.467417434,,,,,,,,,,,,
country/MNE,2020,,,,,,,,,,,,,,,12779200.0,,,,,,
country/MNE,2021,,,,,,,,,3547776.72658467,,,,,,,,,,,,
country/MNG,2016,,,,,,,,,730377.18784253,,,,,,,,,,,,
country/MNG,2018,,43005000.0,,,,,,,,,,33249999.999999996,,,,,,,,,
country/MNG,2019,,27645050.0,,,,,,,509418.65660472395,,,,,,,,,,,,
country/MNG,2020,,10228900.0,,,,,,,31937984.603988588,,,,,,,,,,,,
country/MNG,2021,,,,,,,,,,,,65000000.0,,,17599589.94426,,,,,,
country/MOZ,2018,,,,,,,,,,,,,,,,,,30593.600000000002,,,
country/MOZ,2019,,,,,,,,,,,,,6604014.0,,,,15524420.849797383,,,,
country/MOZ,2020,115998250.32000001,,,,,,,,,,,,,,,,,,,,
country/MRT,2013,,,,,,,,,,,,,,,,,12240000.0,,,,
country/MRT,2021,,,,,,,,,,,,,,,,,837790.8,,,,
country/MWI,2019,,,,,,,,,,,,,10780080.0,,,,,,,,
country/NAM,2018,56341463.219730005,,,,,,,,,,,,,,,,,,,,
country/NAM,2020,62682687.3,,,,,,,,,,,,,,,,,,,,
country/NER,2013,,,,,,,,,,,,,,,,,21080000.0,,,,
country/NER,2019,,,,,,,,,,,,3996417.77678272,25982393.9,,,,,,,,
country/NER,2021,,,,,,,,,,,,4672651.3572,,,,90868666.67,947242.8,,,,
