PreferredSV,DroppedSV,DuplicateName
Annual_Amount_Emissions_Chlorane_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Chlorane_SCC_23_IndustrialProcesses,Annual Emissions of Chlorine in Industrial Processes
Annual_Amount_Emissions_Chlorane_SCC_1_ExternalCombustion,Annual_Amount_Emissions_Chlorine_SCC_1_ExternalCombustion,Annual Emissions of Chlorine in External Combustion
Annual_Amount_Emissions_Chlorane_SCC_2_InternalCombustionEngines,Annual_Amount_Emissions_Chlorine_SCC_2_InternalCombustionEngines,Annual Emissions of Chlorine in Internal Combustion Engines
Annual_Amount_Emissions_Chlorane_SCC_21_StationarySourceFuelCombustion,Annual_Amount_Emissions_Chlorine_SCC_21_StationarySourceFuelCombustion,Annual Emissions of Chlorine in Stationary Source Fuel Combustion
Annual_Amount_Emissions_Chlorane_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Chlorine_SCC_23_IndustrialProcesses,Annual Emissions of Chlorine in Industrial Processes
Annual_Amount_Emissions_Chlorane_SCC_26_WasteDisposalTreatmentAndRecovery,Annual_Amount_Emissions_Chlorine_SCC_26_WasteDisposalTreatmentAndRecovery,Annual Emissions of Chlorine in Waste Disposal Treatment and Recovery
Annual_Amount_Emissions_Chlorane_SCC_28_MiscellaneousAreaSources,Annual_Amount_Emissions_Chlorine_SCC_28_MiscellaneousAreaSources,Annual Emissions of Chlorine in Miscellaneous Area Sources
Annual_Amount_Emissions_Chlorane_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Chlorine_SCC_3_IndustrialProcesses,Annual Emissions of Chlorine in Industrial Processes
Annual_Amount_Emissions_Chlorane_SCC_4_PetroleumAndSolventEvaporation,Annual_Amount_Emissions_Chlorine_SCC_4_PetroleumAndSolventEvaporation,Annual Emissions of Chlorine in Petroleum and Solvent Evaporation
Annual_Amount_Emissions_Chlorane_SCC_5_WasteDisposal,Annual_Amount_Emissions_Chlorine_SCC_5_WasteDisposal,Annual Emissions of Chlorine in Waste Disposal
Annual_Amount_Emissions_Chloroform_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Chloroform_SCC_23_IndustrialProcesses,Annual Emissions of Chloroform in Industrial Processes
Annual_Amount_Emissions_Chromium_6_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Chromium_6_SCC_23_IndustrialProcesses,Annual Emissions of Chromium in Industrial Processes
Annual_Amount_Emissions_Cobalt_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Cobalt_SCC_23_IndustrialProcesses,Annual Emissions of Cobalt in Industrial Processes
Annual_Amount_Emissions_Cyanide_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Cyanide_SCC_23_IndustrialProcesses,Annual Emissions of Cyanide in Industrial Processes
Annual_Amount_Emissions_Fluorane_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Fluorane_SCC_23_IndustrialProcesses,Annual Emissions of Fluorine in Industrial Processes
Annual_Amount_Emissions_Formaldehyde_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Formaldehyde_SCC_23_IndustrialProcesses,Annual Emissions of Formaldehyde in Industrial Processes
Annual_Amount_Emissions_Hexane_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Hexane_SCC_23_IndustrialProcesses,Annual Emissions of Hexane in Industrial Processes
Annual_Amount_Emissions_Lead_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Lead_SCC_23_IndustrialProcesses,Annual Emissions of Lead in Industrial Processes
Annual_Amount_Emissions_Manganese_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Manganese_SCC_23_IndustrialProcesses,Annual Emissions of Manganese in Industrial Processes
Annual_Amount_Emissions_Mercury_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Mercury_SCC_23_IndustrialProcesses,Annual Emissions of Mercury in Industrial Processes
Annual_Amount_Emissions_Methanol_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Methanol_SCC_23_IndustrialProcesses,Annual Emissions of Methanol in Industrial Processes
Annual_Amount_Emissions_Naphthalene_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Naphthalene_SCC_23_IndustrialProcesses,Annual Emissions of Naphthalene in Industrial Processes
Annual_Amount_Emissions_Nickel_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Nickel_SCC_23_IndustrialProcesses,Annual Emissions of Nickel in Industrial Processes
Annual_Amount_Emissions_OnRoadVehicles_NonBiogenicEmissionSource_PM10,Annual_Amount_Emissions_OnRoadVehicles_NonBiogenicEmissionSource_PM2.5,Annual Emissions of Non Biogenic PM2.5 On Road Vehicles
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_22_MobileSources,Annual_Amount_Emissions_OxidesOfNitrogen_SCC_23_IndustrialProcesses,Annual Emissions of Oxides of Nitrogen in Industrial Processes
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_22_MobileSources,Annual_Amount_Emissions_OxidesOfNitrogen_SCC_3_IndustrialProcesses,Annual Emissions of Oxides of Nitrogen in Industrial Processes
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_23_IndustrialProcesses,Annual Emissions of Oxo (Oxochromiooxy) Chromium From Industrial Processes
Annual_Amount_Emissions_Phenol_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Phenol_SCC_23_IndustrialProcesses,Annual Emissions of Phenol in Industrial Processes
Annual_Amount_Emissions_Phosphorus_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Phosphorus_SCC_23_IndustrialProcesses,Annual Emissions of Phosphorus in Industrial Processes
Annual_Amount_Emissions_PM10_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_PM10_SCC_23_IndustrialProcesses,Annual Emissions of PM10 in Industrial Processes
Annual_Amount_Emissions_PM2.5_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_PM2.5_SCC_23_IndustrialProcesses,Annual Emissions of PM2.5 in Industrial Processes
Annual_Amount_Emissions_Pyrene_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Pyrene_SCC_23_IndustrialProcesses,Annual Emissions of Pyrene in Industrial Processes
Annual_Amount_Emissions_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_SCC_23_IndustrialProcesses,Annual Emissions by Industrial Processes
Annual_Amount_Emissions_Selenium_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Selenium_SCC_23_IndustrialProcesses,Annual Emissions of Selenium in Industrial Processes
Annual_Amount_Emissions_SolventUtilization_NonBiogenicEmissionSource_PM2.5,Annual_Amount_Emissions_SolventUtilization_NonBiogenicEmissionSource_SulfurDioxide,Annual Emissions of Non Biogenic Sulfur Dioxide From Solvent Utilization
Annual_Amount_Emissions_Sulfane_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Sulfane_SCC_23_IndustrialProcesses,Annual Emissions of Sulfane in Industrial Processes
Annual_Amount_Emissions_SulfurDioxide_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_SulfurDioxide_SCC_23_IndustrialProcesses,Annual Emissions of Sulfur Dioxide in Industrial Processes
Annual_Amount_Emissions_Toluene_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Toluene_SCC_23_IndustrialProcesses,Annual Emissions of Toluene in Industrial Processes
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_VolatileOrganicCompound_SCC_23_IndustrialProcesses,Annual Emissions of Volatile Organic Compound From Industrial Processes
Annual_Average_Cost_Fuel_ForElectricityGeneration_NaturalGas_ElectricPower,Annual_Average_Cost_Fuel_ForElectricityGeneration_NaturalGas_IndependentPowerProducers,Total Annual Average Cost of Natural Gas for Electricity Generation
Annual_Average_RetailPrice_Electricity,Annual_Average_RetailPrice_Electricity_OtherSector,Annual Average Retail Price of Electricity
Annual_Consumption_Fuel_ForUsefulThermalOutput_NaturalGas,Annual_Consumption_Fuel_ForElectricityGenerationAndThermalOutput_NaturalGas,Annual Consumption of Natural Gas in All Sectors
Annual_Consumption_Fuel_LiquifiedPetroleumGas,Annual_Consumption_Fuel_LiquifiedPetroleumGas_NonEnergyUse,Annual Consumption of Liquefied Petroleum Gas
Annual_Consumption_Fuel_OilRefineries_RefineryGas_EnergyIndustryOwnUse,Annual_Consumption_Fuel_EnergyIndustry_RefineryGas_EnergyIndustryOwnUse,Annual Consumption of Refinery Gas in Energy Industry Own Use
Annual_Consumption_Fuel_Kerosene,Annual_Consumption_Fuel_OtherSector_Kerosene,Annual Consumption of EIA_Kerosene
Annual_Emissions_CarbonDioxide_MineralExtraction,Annual_Emissions_CarbonDioxide_NetForestEmissions,Annual Emissions of Carbon Dioxide in Net Forest
Annual_Emissions_GreenhouseGas_IndustrialWasteLandfills_NonBiogenic,Annual_Emissions_GreenhouseGas_IndustrialWastewaterTreatment_NonBiogenic,Annual Emissions of Non Biogenic Greenhouse Gas From Industrial Waste Landfills
Annual_Generation_Electricity_CombustibleFuel_MainActivityProducer,Annual_Generation_Electricity_CombustibleFuel_MainActivityProducerElectricityPowerPlants,Annual Generation of Electricity From Combustible Fuel
Annual_Generation_Fuel_MotorGasoline,Annual_Generation_Fuel_MotorGasoline_Refinery,Annual Generation of Motor Gasoline
Annual_Generation_Fuel_BituminousCoal,Annual_Generation_Fuel_OtherBituminousCoal,Annual Generation of Bituminous Coal
Annual_Generation_Fuel_RefineryGas,Annual_Generation_Fuel_RefineryGas_Refinery,Annual Generation of Refinery Gas
Annual_Exports_Fuel_MotorGasoline,Annual_Imports_Fuel_MotorGasoline,Annual Exports of Motor Gasoline
Annual_SalesRevenue_Electricity,Annual_SalesRevenue_Electricity_Commercial,Annual Revenue From Retail Sales of Electricity
Count_Death_Male,Count_Death_Male_AsAFractionOf_Count_Person_Male,Male Deaths
Area_Farm_Producer_BlackOrAfricanAmericanAlone,Count_Farm_Producer_BlackOrAfricanAmericanAlone,African American Producers
Area_Farm_Producer_NativeHawaiianOrOtherPacificIslanderAlone,Count_Farm_Producer_NativeHawaiianOrOtherPacificIslanderAlone,Native Hawaiian or Other Pacific Islander Farm Producers
Area_Farm_Producer_TwoOrMoreRaces,Count_Farm_Producer_TwoOrMoreRaces,Multiracial Farm Producers
Count_Household_SingleMotherFamilyHousehold_SingleUnit,Count_Household_SingleMotherFamilyHousehold_MobileHomesAndAllOtherTypesOfUnits,Single Mother Family Households With Mobile Homes And All Other Types Of Units
Count_Household_SingleMotherFamilyHousehold_With1Worker_BelowPovertyLevelInThePast12Months,Count_Household_SingleMotherFamilyHousehold_OwnerOccupied_BelowPovertyLevelInThePast12Months,Single Mother Family Households Below Poverty Level in The Past 12 Months
Count_Household_WithCashAssistanceInThePast12Months_ForeignBorn_PlaceOfBirthAsia,Count_Household_WithCashAssistanceInThePast12Months_ForeignBorn_PlaceOfBirthCaribbean,Foreign Born Households in Asia With Cash Assistance In The Past 12 Months
Count_HousingUnit_HouseholderEducationalAttainmentBachelorsDegreeOrHigher_RenterOccupied,Count_HousingUnit_HouseholderEducationalAttainmentBachelorsDegreeOrHigher_OccupiedHousingUnit,Population With Bachelor's Degree or Higher Occupying Housing Units
Count_HousingUnit_HouseholderRaceTwoOrMoreRaces_OwnerOccupied,Count_HousingUnit_HouseholderRaceTwoOrMoreRaces_RenterOccupied,Housing Units Occupied by Multiracial Population
Count_MedicalConditionIncident_ConditionInfluenza_PediatricMortality,dc/topic/WHOChildMortality,deaths among children
Count_MedicalConditionIncident_ConditionLymeDisease,Count_MedicalConditionIncident_ConditionLymeDisease_ConfirmedCase,number of lyme disease cases
Count_Person_15OrMoreYears_Divorced_AsianAlone,Count_Person_15OrMoreYears_Separated_AsianAlone,Asians Divorced For 15 Years Or More
Count_Person_25To64Years_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_AsAFractionOfCount_Person_25To64Years,Count_Person_25To64Years_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Female_AsAFractionOfCount_Person_25To64Years_Female,Population Aged 25 to 64 Years With Less Than Primary Education
Count_Person_EnrolledInCollegeUndergraduateYears,Count_Person_DetailedEnrolledInCollegeUndergraduateYears,Population Enrolled in College Undergraduate Years
Count_Person_EnrolledInCollegeUndergraduateYears,Count_Person_DetailedEnrolledInCollegeUndergraduateYears,Population: Enrolled in College Undergraduate Years
Count_Person_EnrolledInKindergarten,Count_Person_DetailedEnrolledInKindergarten,Population Enrolled in Kindergarten
Count_Person_EnrolledInKindergarten,Count_Person_DetailedEnrolledInKindergarten,Population: Enrolled in Kindergarten
Count_Person_ForeignBorn_PlaceOfBirthMexico_1OrLessRatioToPovertyLine,Count_Person_ForeignBorn_PlaceOfBirthEasternAsia_2OrMoreRatioToPovertyLine,Foreign-Born Population In Eastern Asia With A 2 Or More Ratio To Poverty Line
Count_Person_MainWorker_AgriculturalLabourers,dc/hlxvn1t8b9bhh,agricultural workers
Count_Student,dc/topic/StudentPopulation,Student Population
Count_UnemploymentInsuranceClaim_ShortTimeCompensation_ScaledForPartTimeUnemploymentBenefits,Count_UnemploymentInsuranceClaim_ShortTimeCompensation_ContinuedClaim_ScaledForPartTimeUnemploymentBenefits,Count of Unemployment Insurance Claim
Count_Establishment_NAICSAgricultureForestryFishingHunting,dc/1j7jmy39fwhw5,"Count of Establishment: Agriculture, Forestry, Fishing And Hunting (NAICS/11)"
Count_Establishment_NAICSWholesaleTrade,dc/2qgvm8lch89n5,Count of Establishment: Wholesale Trade (NAICS/42)
Count_Establishment_NAICSWholesaleTrade,dc/2qgvm8lch89n5,Wholesale Trade
Count_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied,dc/5jy4dp16mtssg,Housing Units Without Mortgage
Count_Establishment_NAICSManagementOfCompaniesEnterprises,dc/9pz1cse6yndtg,Count of Establishment: Management of Companies And Enterprises (NAICS/55)
Count_Establishment_NAICSMiningQuarryingOilGasExtraction,dc/br6elkd593zs1,"Count of Establishment: Mining, Quarrying, And Oil And Gas Extraction (NAICS/21)"
Count_Establishment_NAICSArtsEntertainmentRecreation,dc/dc5hbzngddq37,"Count of Establishment: Arts, Entertainment, And Recreation (NAICS/71)"
dc/9b9gqxj27fqwc,dc/h34ge8t21h9m1,"Housing Units With 3,000 USD or More Mortgage"
Count_Establishment_NAICSEducationalServices,dc/kcns4cvt14zx2,Count of Establishment: Educational Services (NAICS/61)
Count_Establishment_NAICSProfessionalScientificTechnicalServices,dc/mlf5e4m68h2k7,"Count of Establishment: Professional, Scientific, And Technical Services (NAICS/54)"
Count_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied,dc/rkq1jgk08zfs7,Housing Units Without Mortgage
Count_Establishment_NAICSHealthCareSocialAssistance,dc/tz59wt1hkl4y,Count of Establishment: Health Care And Social Assistance (NAICS/62)
Count_Establishment_NAICSAccommodationFoodServices,dc/w8gp902jnk426,Count of Establishment: Accommodation And Food Services (NAICS/72)
Max_Concentration_AirPollutant_PM2.5,Max_Concentration_AirPollutant_SmokePM25,Maximum Concentration Air Pollutant PM 2.5
Mean_BirthWeight_BirthEvent_LiveBirth_MotherNative,Mean_BirthWeight_BirthEvent_LiveBirth_MotherNativityUnknownOrNotStated,Average Live Birth Weight in Grams For USC Mothers
Mean_FamilySize_Household_FamilyHousehold_ForeignBorn_PlaceOfBirthEurope,Mean_FamilySize_Household_FamilyHousehold_ForeignBorn_PlaceOfBirthOceania,Mean Family Size For Foreign Born Family Households Born in Europe
Count_Household_ForeignBorn_PlaceOfBirthEasternAsia,Mean_HouseholdSize_Household_ForeignBorn_PlaceOfBirthEasternAsia,Households of Foreign-Born Population in Eastern Asia
Min_Temperature,dc/topic/Temperatures,minimum temperature
Count_HeatWaveEvent,NumberOfDays_HeatWaveEvent,Heat Wave Events
NumberOfMonths_WetBulbTemperature_35COrMore_RCP85_MaxRelativeHumidity,NumberOfMonths_WetBulbTemperature_35COrMore_RCP85_MinRelativeHumidity,Number of Months Based on RCP 8.5
Percent_TobaccoSmoking_Cigarettes_In_Count_Person_Female,Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_Female,Prevalence of Tobacco Smoking Female Population
Percent_TobaccoSmoking_Cigarettes_In_Count_Person_Male,Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_Male,Prevalence of Tobacco Smoking Male Population
Radiation_Downwelling_ShortwaveRadiation,Mean_Radiation_Downwelling_ShortwaveRadiation,Downwelling Shortwave Radiation
Temperature,dc/topic/Temperatures,Temperature
USStateQuarterlyIndustryGDP_NAICS_72,Count_Establishment_NAICSAccommodationFoodServices,Accommodation and Food Services
