dcid,sentence
Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government,"Amount of Economic Activity: Expenditure Activity, Tertiary Education Expenditure, Government (As Fraction of Amount Economic Activity Expenditure Activity Education Expenditure Government);the amount of economic activity: expenditure, tertiary education expenditure, government (as a fraction of the amount of economic activity, expenditure, activity, education expenditure, government);the amount of economic activity: expenditure, tertiary education expenditure, government (as a percentage of the amount of economic activity, expenditure, activity, education expenditure, government);the amount of economic activity: expenditure, tertiary education expenditure, government (as a proportion of the amount of economic activity, expenditure, activity, education expenditure, government);the amount of economic activity: expenditure, tertiary education expenditure, government (as a share of the amount of economic activity, expenditure, activity, education expenditure, government)"
Amount_EconomicActivity_GrossDomesticProduction_NAICSAccommodationFoodServices_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Accommodation And Food Services (NAICS/72);Amount of economic activity in the accommodation and food services industry;Economic output of the accommodation and food services sector;Gross Domestic Product (GDP) of the Accommodation and Food Services Industry;Gross Domestic Product (GDP) of the accommodation and food services industry;How much the accommodation and food services sector contributes to the GDP.;The GDP contribution of the accommodation and food services field;The GDP of the Accommodation and Food Services Industry;The economic output of the Accommodation and Food Services Industry;The economic output of the accommodation and food services industry;The economic output of the hospitality industry;Value generated by the accommodation and food services industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSAdministrativeSupportWasteManagementRemediationServices_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Administrative And Support And Waste Management Services (NAICS/56);Amount of economic activity in the administrative and support and waste management services industry;Economic output of the administrative and support services sector;Gross Domestic Product (GDP) of the Administrative and Support and Waste Management Services Industry;Gross Domestic Product (GDP) of the administrative and support and waste management services industry;How much the administrative and support and waste management sector contributes to the GDP.;The Administrative and Support and Waste Management Services Industry's contribution to GDP;The Administrative and Support and Waste Management Services Industry's economic output;The Administrative and Support and Waste Management Services Industry's share of GDP;The GDP contribution of the administrative and support and waste management field;The size of the Administrative and Support and Waste Management Services Industry's GDP;The value of the Administrative and Support and Waste Management Services Industry's GDP;Value generated by the administrative and waste management services industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSAgricultureForestryFishingHunting_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Agriculture, Forestry, Fishing And Hunting (NAICS/11);Amount of economic activity in the agriculture, forestry, fishing and hunting industry;Economic output of the agriculture, forestry, fishing, and hunting sector;Gross Domestic Product (GDP) of the Agriculture, Forestry, Fishing and Hunting Industry;Gross Domestic Product (GDP) of the agriculture, forestry, fishing, and hunting industry;How much the agriculture, forestry, fishing, and hunting sector contributes to the GDP.;The GDP contribution of the agriculture, forestry, fishing, and hunting field;The GDP of the Agriculture, Forestry, Fishing and Hunting Industry;The economic output of the agriculture, forestry, fishing, and hunting industries;The economic output of the agriculture, forestry, fishing, and hunting industry;Value generated by the agriculture, forestry, fishing, and hunting industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreation_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Arts, Entertainment, And Recreation (NAICS/71);Amount of economic activity in the arts, entertainment, and recreation industry;Economic output of the arts, entertainment, and recreation sector;Gross Domestic Product (GDP) of the Arts, Entertainment, and Recreation Industry;Gross Domestic Product (GDP) of the arts, entertainment, and recreation industry;How much the arts, entertainment, and recreation sector contributes to the GDP.;The GDP contribution of the arts, entertainment, and recreation field;The economic output of the arts, entertainment, and recreation industry;The total value of goods and services produced by the arts, entertainment, and recreation industry;Value generated by the arts, entertainment, and recreation industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSConstruction_RealValue,"1 The total value of goods and services produced by the construction industry;Amount of Economic Activity (Real Value): Gross Domestic Production, Construction (NAICS/23);Amount of economic activity in the construction industry;Economic output of the construction sector;Gross Domestic Product (GDP) of the Construction Industry;Gross Domestic Product (GDP) of the construction industry;How much the construction sector contributes to the GDP.;The GDP contribution of the construction field;The GDP of the construction industry;The economic output of the construction industry;The total value of goods and services produced by the construction industry;Value generated by the construction industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSEducationalServices_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Educational Services (NAICS/61);Amount of economic activity in the educational services industry;Economic output of the educational services sector;Gross Domestic Product (GDP) of the Educational Services Industry;Gross Domestic Product (GDP) of the educational services industry;How much the educational services sector contributes to the GDP.;The GDP contribution of the educational services field;The economic output of the educational services industry;The total value of goods and services produced by the educational services industry;Value generated by the educational services industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSFinanceInsurance_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Finance And Insurance (NAICS/52);Amount of economic activity in the finance and insurance industry;Economic output of the finance and insurance sector;Gross Domestic Product (GDP) of the Finance and Insurance Industry;Gross Domestic Product (GDP) of the finance and insurance industry;How much the finance and insurance sector contributes to the GDP.;The Finance and Insurance Industry's GDP;The GDP contribution of the finance and insurance field;The GDP of the financial services industry;The economic output of the finance and insurance industry in the US;The economic output of the financial services industry;The financial services industry's contribution to GDP;Value generated by the finance and insurance industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSHealthCareSocialAssistance_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Health Care And Social Assistance (NAICS/62);Amount of economic activity in the health care and social assistance industry;Economic output of the health care and social assistance sector;Gross Domestic Product (GDP) of the Health Care and Social Assistance Industry;Gross Domestic Product (GDP) of the health care and social assistance industry;How much the health care and social assistance sector contributes to the GDP.;The GDP contribution of the health care and social assistance field;The contribution of the healthcare and social assistance industry to the US economy;The economic output of the health care and social assistance industry;The economic output of the healthcare and social assistance industry;The total value of goods and services produced by the health care and social assistance industry;The total value of goods and services produced by the healthcare and social assistance industry;Value generated by the health care and social assistance industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSInformation_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Information (NAICS/51);Amount of economic activity in the information industry;Economic output of the information sector;Gross Domestic Product (GDP) of the Information Industry;Gross Domestic Product (GDP) of the information industry;How much the information sector contributes to the GDP.;The GDP contribution of the information field;The GDP of the information industry;The economic output of the information industry;The total value of goods and services produced by the information industry;Value generated by the information industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSManagementOfCompaniesEnterprises_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Management of Companies And Enterprises (NAICS/55);Amount of economic activity in the management of companies and enterprises industry;Economic output of the management of companies and enterprises sector;Gross Domestic Product (GDP) of the Management of Companies and Enterprises Industry;Gross Domestic Product (GDP) of the management of companies and enterprises industry;How much the management of companies and enterprises sector contributes to the GDP.;The GDP contribution of the management of companies and enterprises field;The economic output of the Management of Companies and Enterprises Industry;The total economic output of the management of companies and enterprises industry;The total value of goods and services produced by the management of companies and enterprises industry;The total value of goods and services produced by the management of companies and enterprises industry in a given year;Value generated by the management of companies and enterprises industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSMiningQuarryingOilGasExtraction_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Mining, Quarrying, And Oil And Gas Extraction (NAICS/21);Amount of economic activity in the mining, quarrying, and oil and gas extraction industry;Economic output of the mining, quarrying, and oil and gas extraction sector;Gross Domestic Product (GDP) of the Mining, Quarrying, and Oil and Gas Extraction Industry;Gross Domestic Product (GDP) of the mining, quarrying, and oil and gas extraction industry;How much the mining, quarrying, and oil and gas extraction sector contributes to the GDP.;The GDP contribution of the mining, quarrying, and oil and gas extraction field;The economic output of the mining, quarrying, and oil and gas extraction industry;The total value of all goods and services produced by the mining, quarrying, and oil and gas extraction industry in a given year;The total value of goods and services produced by the mining, quarrying, and oil and gas extraction industry;The total value of goods and services produced by the mining, quarrying, and oil and gas extraction industry in a given year;Value generated by the mining, quarrying, and oil and gas extraction industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSOtherServices_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Other Services, Except Public Administration (NAICS/81);Amount of economic activity in other services, except public administration industry;Economic output of the other services sector;GDP of non-government services;GDP of other services;GDP of private services;GDP of services excluding public administration;Gross Domestic Product (GDP) of Other Services, Except Public Administration Industry;Gross Domestic Product (GDP) of other services, except public administration industry;How much the other services sector except public administration contributes to the GDP.;Other services GDP;The GDP contribution of the other services field;Value generated by the other services industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSProfessionalScientificTechnicalServices_RealValue,"1 The total value of goods and services produced by the professional, scientific, and technical services industry;Amount of Economic Activity (Real Value): Gross Domestic Production, Professional, Scientific, And Technical Services (NAICS/54);Amount of economic activity in the professional, scientific, and technical services industry;Economic output of the professional, scientific, and technical services sector;Gross Domestic Product (GDP) of the Professional, Scientific, and Technical Services Industry;Gross Domestic Product (GDP) of the professional, scientific, and technical services industry;How much the professional, scientific, and technical services sector contributes to the GDP.;The GDP contribution of the professional, scientific, and technical services field;The total value of goods and services produced by the Professional, Scientific, and Technical Services Industry;The total value of goods and services produced by the professional, scientific, and technical services industry;The total value of goods and services produced by the professional, scientific, and technical services industry in a given year;Value generated by the professional, scientific, and technical services industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSRealEstateRentalLeasing_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Real Estate And Rental And Leasing (NAICS/53);Amount of economic activity in the real estate and rental and leasing industry;Economic output of the real estate and rental and leasing sector;Gross Domestic Product (GDP) of the Real Estate and Rental and Leasing Industry;Gross Domestic Product (GDP) of the real estate and rental and leasing industry;How much the real estate and rental and leasing sector contributes to the GDP.;The GDP contribution of the real estate and rental and leasing field;The economic output of the real estate and rental and leasing industry;The total value of goods and services produced by the real estate and rental and leasing industry;The total value of goods and services produced by the real estate and rental and leasing industry in a given year;Value generated by the real estate and rental and leasing industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSUtilities_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Utilities (NAICS/22);Amount of economic activity in the utilities industry;Economic output of the utilities sector;Gross Domestic Product (GDP) of the Utilities Industry;Gross Domestic Product (GDP) of the utilities industry;How much the utilities sector contributes to the GDP.;The GDP contribution of the utilities field;The economic output of the utilities industry;The total value of goods and services produced by the utilities industry;The total value of goods and services produced by the utilities industry in a given year;Value generated by the utilities industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSWholesaleTrade_RealValue,"Amount of Economic Activity (Real Value): Gross Domestic Production, Wholesale Trade (NAICS/42);Amount of economic activity in the wholesale trade industry;Economic output of the wholesale trade sector;Gross Domestic Product (GDP) of the Wholesale Trade Industry;Gross Domestic Product (GDP) of the wholesale trade industry;How much the wholesale trade sector contributes to the GDP.;The GDP contribution of the wholesale trade field;The GDP of the wholesale trade industry;The total value of all goods and services sold by wholesalers in the United States;The value of all goods and services produced by the wholesale trade industry;The value of all goods and services produced by the wholesale trade industry in a given year;The value of all goods and services sold by wholesalers in a given year;Value generated by the wholesale trade industry"
Amount_EconomicActivity_GrossDomesticProduction_Nominal,GDP;Nominal GDP;Nominal Gross Domestic Production (GDP);Nominal gross domestic production;Nominal measure of domestic production;Nominal size of domestic production;Nominal value of all domestic output;Nominal value of domestic goods and services;Total nominal domestic economic output;Total nominal domestic production;Total nominal output
Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person,Amount of Economic Activity (Nominal): Gross Domestic Production (Per Capita)
Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,Average nominal gross domestic production per person;GDP per capita;GDP per head;GDP per person;Gross domestic product per capita;Nominal GDP per capita;Nominal Gross Domestic Production (GDP) Per Capita
Amount_EconomicActivity_GrossDomesticProduction_RealValue,Amount of Economic Activity (Real Value): Gross Domestic Production
Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity,Gross National Income (PPP);Gross National Income Based on Purchasing Power Parity;Gross National Income at purchasing power parity;Gross National Income based on purchasing power parity;Gross national income based on purchasing power parity;Purchasing power parity (PPP) gross national income (GNI)
Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita,GNI per capita (PPP);GNI per capita (PPP) in international dollars;GNI per capita based on purchasing power parity;GNI per capita based on purchasing power parity (PPP) in international dollars;Gross National Income Based on Purchasing Power Parity Per Capita;Gross National Income per capita based on purchasing power parity;Gross national income based on purchasing power parity per person
Amount_EconomicActivity_GrossValueAdded_ISICAgricultureHuntingForestryFishing_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Agriculture, Hunting, Forestry, Fishing;gross value added (gva) in agriculture, hunting, forestry, and fishing;the real value of economic activity in agriculture, hunting, forestry, and fishing;the real value of economic activity in the agricultural, hunting, forestry, and fishing industries;the real value of economic activity in the agricultural, hunting, forestry, and fishing sectors"
Amount_EconomicActivity_GrossValueAdded_ISICConstruction_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Construction;gross value added (gva) in construction;the amount of economic activity in real terms: gross value added, construction;the real value of economic activity in the building sector;the real value of economic activity: gross value added, construction"
Amount_EconomicActivity_GrossValueAdded_ISICManufacturing_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Manufacturing;the amount of economic activity (real value) in manufacturing;the amount of economic activity in manufacturing, in real terms;the real value of economic activity in manufacturing;the real value of manufacturing activity"
Amount_EconomicActivity_GrossValueAdded_ISICMiningManufacturingUtilities_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Mining, Manufacturing, Utilities;the real value of economic activity is calculated using gross value added, mining, manufacturing, and utilities;the real value of economic activity is expressed in terms of gross value added, mining, manufacturing, and utilities;the real value of economic activity is made up of gross value added, mining, manufacturing, and utilities;the real value of economic activity is measured by gross value added, mining, manufacturing, and utilities"
Amount_EconomicActivity_GrossValueAdded_ISICOtherActivities_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Other Activities;the amount of economic activity in real terms, including gross value added and other activities;the amount of economic activity in real terms: gross value added, other activities;the real value of economic activity, including gross value added and other activities;the real value of economic activity: gross value added, other activities"
Amount_EconomicActivity_GrossValueAdded_ISICTransportStorageCommunications_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Transport, Storage And Communications;the amount of economic activity in the transport, storage, and communications sector;the economic output of the transport, storage, and communications sector;the gross value added of the transport, storage, and communications sector;the real value of economic activity in the transport, storage, and communications sector"
Amount_EconomicActivity_GrossValueAdded_ISICWholesaleRetailTradeRestaurantsHotels_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Wholesale, Retail Trade, Restaurants And Hotels;the real value of economic activity is the amount of money spent on goods and services produced in the wholesale, retail trade, and restaurant and hotel sectors, adjusted for inflation;the real value of economic activity is the sum of the gross value added of the wholesale, retail trade, and restaurant and hotel sectors;the real value of economic activity is the total output of the wholesale, retail trade, and restaurant and hotel sectors, adjusted for inflation;the real value of economic activity is the total value of goods and services produced in the wholesale, retail trade, and restaurant and hotel sectors, adjusted for inflation"
Amount_EconomicActivity_GrossValueAdded_RealValue,Amount of Economic Activity (Real Value): Gross Value Added;gross value added (gva);gross value of output
Amount_Emissions_CarbonDioxide_PerCapita,CO2 Emissions Per Capita;how much co2 does a country produce per person?;how much co2 does the average person in a country emit?;what is the average person's co2 footprint?;what is the co2 emission rate of a country?
Amount_FarmInventory_BarleyForGrain,Amount of Barley Grown;Amount of Farm Inventory: Barley for Grain;Amount of barley cultivated;Amount of barley for grain in farm inventory;Amount of barley grown;Amount of barley harvested;Barley crop;Barley harvest;Barley production;Barley yield;Quantity of barley produced;Total barley grown;Total barley output
Amount_FarmInventory_CornForSilageOrGreenchop,1 Silage production;Amount of Farm Inventory: Corn for Silage or Greenchop;Amount of Silage Produced;Amount of Silage produced;Amount of corn for silage or greenchop in farm inventory;Amount of silage made;Farm silage production;How much silage is produced;Quantity of silage produced;The amount of silage produced;The production of silage;The quantity of silage produced;Total silage output;Total silage production
Amount_FarmInventory_Cotton,Amount of Cotton Grown;Amount of Farm Inventory: Cotton;Amount of cotton harvested;Amount of cotton in farm inventory;Cotton harvest;Cotton production;Cotton yield;Quantity of cotton grown;The amount of cotton grown;Total cotton grown;Total cotton output
Amount_FarmInventory_DryEdibleBeans,Amount of Beans Grown;Amount of Farm Inventory: Dry Edible Beans;Amount of beans harvested;Amount of dry edible beans in farm inventory;Bean output;Quantity of beans grown;The amount of beans produced;The number of beans grown;The quantity of beans grown;The volume of beans harvested;The yield of beans;Total bean production;Total beans grown
Amount_FarmInventory_DurumWheatForGrain,1 The quantity of durum wheat grown;Amount of Durum Wheat Grown;Amount of Farm Inventory: Durum Wheat for Grain;Amount of durum wheat for grain in farm inventory;Amount of durum wheat grown;Amount of durum wheat harvested;Durum wheat output;Durum wheat yield;Production of durum wheat;Quantity of durum wheat cultivated;Quantity of durum wheat grown;Total durum wheat grown;Total durum wheat production
Amount_FarmInventory_Forage,Amount of Farm Inventory: Forage;Amount of Forage Produced;Amount of Forage produced;Amount of forage grown;Amount of forage in farm inventory;Amount of forage made;Farm forage production;Forage output;Forage production;Quantity of forage produced;Total forage output;Total forage production;Total forage yield
Amount_FarmInventory_OatsForGrain,Amount of Farm Inventory: Oats for Grain;Amount of Oats Grown;Amount of oats for grain in farm inventory;Amount of oats grown;Amount of oats harvested;Oat harvest;Oat output;Oat production;Oat yield;Quantity of oats grown;Total oat production;Total oats grown
Amount_FarmInventory_OtherSpringWheatForGrain,Amount of Farm Inventory: Other Spring Wheat for Grain;Amount of Spring Wheat Grown;Amount of other spring wheat for grain in farm inventory;Amount of spring wheat harvested;How much spring wheat is grown;Quantity of spring wheat grown;Spring wheat output;The quantity of spring wheat grown;The quantity of spring wheat that is cultivated;Total spring wheat grown;Total spring wheat production
Amount_FarmInventory_PeanutsForNuts,Amount of Farm Inventory: Peanuts for Nuts;Amount of Peanuts Grown;Amount of peanuts for nuts in farm inventory;Amount of peanuts harvested;How much peanuts are grown?;Peanut crop yield;Peanut output;Peanut production;Peanut yield;Quantity of peanuts grown;Total peanut production;Total peanuts grown
Amount_FarmInventory_PimaCotton,Amount of Farm Inventory: Pima Cotton;Amount of Pima Cotton Grown;Amount of Pima cotton grown;Amount of Pima cotton harvested;Amount of pima cotton in farm inventory;Pima cotton output;Pima cotton production;Pima cotton yield;Quantity of Pima cotton grown;Total Pima cotton grown;Total Pima cotton production
Amount_FarmInventory_Rice,Amount of Rice Grown;Amount of rice harvested;Amount of rice in farm inventory;How much rice is grown;How much rice is produced;Quantity of rice grown;Rice output;The amount of rice grown;The amount of rice produced;Total rice grown;Total rice production
Amount_FarmInventory_SorghumForGrain,Amount of Farm Inventory: Sorghum for Grain;Amount of Sorghum Grown;Amount of sorghum for grain in farm inventory;Amount of sorghum grown;Amount of sorghum harvested;Quantity of sorghum grown;Sorghum harvest;Sorghum output;Sorghum production;Sorghum yield;Total sorghum grown;Total sorghum production
Amount_FarmInventory_SorghumForSilageOrGreenchop,- The total amount of sorghum grown on farms for silage or greenchop;Amount of Farm Inventory: Sorghum for Silage or Greenchop;Amount of Sorghum for Silage or Greenchop grown;Amount of sorghum for silage or greenchop in farm inventory;Farm inventory of sorghum for silage or greenchop;How much sorghum is there for silage or greenchop?;Quantity of sorghum for silage or greenchop in farm inventory;The total amount of sorghum that farmers have on hand for silage or greenchop;The total amount of sorghum that farmers have stockpiled for silage or greenchop;The total amount of sorghum that farmers have stored for silage or greenchop;Total Farm Inventory of Sorghum for Silage or Greenchop;Total inventory of sorghum for silage or greenchop on farms;Total sorghum for silage or greenchop held by farms
Amount_FarmInventory_SugarbeetsForSugar,Amount of Farm Inventory: Sugarbeets for Sugar;Amount of Sugarbeets Grown;Amount of Sugarbeets grown;Amount of sugarbeets for sugar in farm inventory;Amount of sugarbeets grown on farms;Amount of sugarbeets harvested;Quantity of sugarbeets grown;The number of sugarbeets grown;The quantity of sugarbeets cultivated;The quantity of sugarbeets grown;Total amount of sugarbeets grown;Total sugarbeet production
Amount_FarmInventory_SunflowerSeed,Amount of Farm Inventory: Sunflower Seed;Amount of Sunflowerseed Grown;Amount of Sunflowerseed grown;Amount of Sunflowerseed harvested;Amount of sunflower seed in farm inventory;Amount of sunflower seeds grown;Amount of sunflowerseed grown on farms;Amount of sunflowerseed harvested;Quantity of sunflowerseed grown;Sunflowerseed production;Sunflowerseed yield;Total amount of sunflowerseed grown;Total sunflowerseed production
Amount_FarmInventory_UplandCotton,Amount of Farm Inventory: Upland Cotton;Amount of Upland Cotton Grown;Amount of upland cotton in farm inventory;Farm inventory of upland cotton;Quantity of upland cotton in farm inventory;The total amount of upland cotton that is currently stored on farms;The total amount of upland cotton that is stored on farms;Total Farm Inventory of Upland Cotton;Total amount of upland cotton in storage;Total inventory of upland cotton on farms;Total upland cotton held by farms;Upland cotton inventory;Upland cotton stock
Amount_FarmInventory_WheatForGrain,Amount of Farm Inventory: Wheat for Grain;Amount of Wheat Grown;Amount of wheat for grain in farm inventory;Amount of wheat harvested;Quantity of wheat grown;Total wheat grown;Total wheat production;Wheat output;Wheat production;Wheat yield
Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy,Amount of Production in Electricity From Nuclear Sources;Amount of Production: Electricity From Nuclear Sources (As Fraction of Amount Production Energy);the amount of electricity generated by nuclear power;the amount of electricity produced by nuclear energy;the amount of electricity produced by nuclear power plants;the amount of electricity produced from nuclear sources
Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy,"Amount of Production of Electricity From Oil Gas Or Coal Sources As a Fraction of Amount Production Energy;Amount of Production: Electricity From Oil Gas or Coal Sources (As Fraction of Amount Production Energy);the amount of electricity produced from oil, gas, or coal sources as a fraction of the total amount of energy produced;the percentage of electricity produced from oil, gas, or coal sources;the proportion of electricity produced from oil, gas, or coal sources;the share of electricity produced from oil, gas, or coal sources"
Amount_Remittance_InwardRemittance,Total Amount of Inward Remittances;Total amount of inward remittances;Total inward remittances
Amount_Remittance_InwardRemittance_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,Inward Remittances as a Percentage of Nominal Gross Domestic Production;Inward remittances as a percentage of nominal gross domestic production;Inward remittances as a share of GDP;Percentage of GDP from inward remittances;Proportion of GDP from inward remittances;Share of GDP from inward remittances;The percentage of inward remittances to nominal gross domestic product
Amount_Remittance_OutwardRemittance,Total Amount of Outward Remittances;Total amount of outward remittances
Amount_Stock,The aggregate value of all stocks;The sum of all stock prices;The total value of all stocks;The total worth of all stocks;The total worth of all the stocks you own;Total Stock Value;Total stock value
Amount_Stock_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,Stock Value as a Percentage of Nominal Gross Domestic Production (GDP);Stock value as a percentage of nominal gross domestic production;The market capitalization of stocks as a share of GDP;The percentage of GDP that is represented by the stock market;The ratio of stock market capitalization to GDP;The stock market's value as a percentage of GDP;The value of stocks as a percentage of GDP
Amout_FarmInventory_CornForGrain,Amount of Corn Grown;Amount of Farm Inventory: Corn for Grain;Amount of corn for grain in farm inventory;Amount of corn harvested;Corn output;How much corn is grown?;Quantity of corn grown;The number of corns grown;The quantity of corn produced;Total corn grown;Total corn production
AnnualChange_Stocks_Fuel_AviationGasoline,Stocks of Aviation Gasoline;Stocks of Fuel (Annual Change): Aviation Gasoline;aviation gasoline inventories;aviation gasoline inventory;the inventory of aviation gasoline;the stock of aviation gasoline
AnnualChange_Stocks_Fuel_BituminousCoal,Stocks of Bituminous Coal;Stocks of Fuel (Annual Change): EIA_Bituminous Coal;bituminous coal holdings;bituminous coal inventories;bituminous coal reserves;bituminous coal stockpiles
AnnualChange_Stocks_Fuel_BrownCoal,Annual Brown Coal Stocks Change;Stocks of Fuel (Annual Change): Brown Coal;annual change in brown coal stocks;brown coal stocks this year compared to last year;change in brown coal stocks from last year;year-over-year change in brown coal stocks
