entity,variable,date,value
geoId/28,Count_Person_HighRiskIssues,2025,198
geoId/28,Count_Asset_WithRegulatoryOverlap,2025,67
geoId/29,Count_Person_HighRiskIssues,2025,356
geoId/29,Count_Asset_WithRegulatoryOverlap,2025,112
geoId/30,Count_Person_HighRiskIssues,2025,134
geoId/30,Count_Asset_WithRegulatoryOverlap,2025,56
geoId/31,Count_Person_HighRiskIssues,2025,178
geoId/31,Count_Asset_WithRegulatoryOverlap,2025,62
geoId/32,Count_Person_HighRiskIssues,2025,234
geoId/32,Count_Asset_WithRegulatoryOverlap,2025,78
geoId/33,Count_Person_HighRiskIssues,2025,89
geoId/33,Count_Asset_WithRegulatoryOverlap,2025,28
geoId/34,Count_Person_HighRiskIssues,2025,412
geoId/34,Count_Asset_WithRegulatoryOverlap,2025,123
geoId/35,Count_Person_HighRiskIssues,2025,267
geoId/35,Count_Asset_WithRegulatoryOverlap,2025,98
geoId/36,Count_Person_HighRiskIssues,2025,923
geoId/36,Count_Asset_WithRegulatoryOverlap,2025,287
geoId/37,Count_Person_HighRiskIssues,2025,534
geoId/37,Count_Asset_WithRegulatoryOverlap,2025,156
geoId/38,Count_Person_HighRiskIssues,2025,112
geoId/38,Count_Asset_WithRegulatoryOverlap,2025,45
geoId/39,Count_Person_HighRiskIssues,2025,589
geoId/39,Count_Asset_WithRegulatoryOverlap,2025,178
geoId/40,Count_Person_HighRiskIssues,2025,378
geoId/40,Count_Asset_WithRegulatoryOverlap,2025,145
geoId/41,Count_Person_HighRiskIssues,2025,287
geoId/41,Count_Asset_WithRegulatoryOverlap,2025,89
geoId/42,Count_Person_HighRiskIssues,2025,634
geoId/42,Count_Asset_WithRegulatoryOverlap,2025,198
geoId/44,Count_Person_HighRiskIssues,2025,67
geoId/44,Count_Asset_WithRegulatoryOverlap,2025,21
geoId/45,Count_Person_HighRiskIssues,2025,312
geoId/45,Count_Asset_WithRegulatoryOverlap,2025,95
geoId/46,Count_Person_HighRiskIssues,2025,98
geoId/46,Count_Asset_WithRegulatoryOverlap,2025,34
geoId/47,Count_Person_HighRiskIssues,2025,378
geoId/47,Count_Asset_WithRegulatoryOverlap,2025,112
geoId/48,Count_Person_HighRiskIssues,2025,1567
geoId/48,Count_Asset_WithRegulatoryOverlap,2025,534
geoId/49,Count_Person_HighRiskIssues,2025,198
geoId/49,Count_Asset_WithRegulatoryOverlap,2025,67
geoId/50,Count_Person_HighRiskIssues,2025,56
geoId/50,Count_Asset_WithRegulatoryOverlap,2025,18
geoId/51,Count_Person_HighRiskIssues,2025,456
geoId/51,Count_Asset_WithRegulatoryOverlap,2025,134
geoId/53,Count_Person_HighRiskIssues,2025,423
geoId/53,Count_Asset_WithRegulatoryOverlap,2025,128
geoId/54,Count_Person_HighRiskIssues,2025,187
geoId/54,Count_Asset_WithRegulatoryOverlap,2025,67
geoId/55,Count_Person_HighRiskIssues,2025,312
geoId/55,Count_Asset_WithRegulatoryOverlap,2025,98
geoId/56,Count_Person_HighRiskIssues,2025,145
geoId/56,Count_Asset_WithRegulatoryOverlap,2025,56
