Var,Name
who/FINPROTECTION_IMP_NP310_POP,"Population pushed below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban)"
who/FINPROTECTION_IMP_NP365_POP,"Population pushed below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)"
who/FINPROTECTION_IMP_NPRELPL_POP,"Population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)"
who/FINPROTECTION_IMP_P190_POP,"Population pushed further below the $1.90 a day poverty line by household health expenditures (%, national, rural, urban)"
who/FINPROTECTION_IMP_P215_POP,"Population pushed further below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban)"
who/FINPROTECTION_IMP_P310_POP,"Population pushed further below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban)"
who/FINPROTECTION_IMP_P365_POP,"Population pushed further below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)"
who/FINPROTECTION_IMP_PG_190_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%, national, rural, urban)"
who/FINPROTECTION_IMP_PG_215_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of the $2.15 a-day poverty line (%, national, rural, urban)"
who/FINPROTECTION_IMP_PG_310_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of the $ 3.20 a-day poverty line (%, national, rural, urban)"
who/FINPROTECTION_IMP_PG_365_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.65 a-day poverty line (%, national, rural, urban)"
who/FINPROTECTION_IMP_PG_RELPL_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of a relative poverty line - 60% of median daily per capita consumption or income (%, national, rural, urban)"
who/FINPROTECTION_IMP_PRELPL_POP,"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)"
who/GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to the Gonococcal Antimicrobial Resistance Surveillance Programme (WHO-GASP)
who/GASPRSCFM,Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefixime reported to the Gonococcal Antimicrobial Resistance Surveillance Programme (WHO-GASP)
who/GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to Gonococcal Antimicrobial Resistance Surveillance Programme (WHO-GASP)
who/GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to Gonococcal Antimicrobial Resistance Surveillance Programme (WHO-GASP)
who/GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to Gonococcal Antimicrobial Resistance Surveillance Programme (WHO-GASP)
who/GASPTIAZM,Number of isolates tested for azithromycin reported to the Gonococcal Antimicrobial Surveillance Programme (GASP)
who/GASPTICFM,Number of isolates tested for cefixime reported to the Gonococcal Antimicrobial Surveillance Programme (GASP)
who/GASPTICIP,Number of isolates tested for ciprofloxacin reported to the Gonococcal Antimicrobial Surveillance Programme (GASP)
who/GASPTICRO,Number of isolates tested for ceftriaxone reported to the Gonococcal Antimicrobial Surveillance Programme (GASP)
who/GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins reported to the Gonococcal Antimicrobial Surveillance Programme (GASP)
who/GDO_q20,Total number of published dementia research output
who/GDO_q35,Estimated population-based prevalence of depression
who/GDO_q9x1_3,"Dementia-specific hospital beds (per 10,000 population)"
who/GDO_q9x1_4,"Geriatric-specific hospital beds (per 10,000 population)"
who/GDO_q9x1_5,"Total dementia hospital admissions (per 100,000)"
who/GDO_q9x2_1,"Density of residential long-term care facilities (per 100,000 population)"
who/GDO_q9x2_2,Residential long-term care beds (per 10 000 population)
who/GDO_q9x3_1,"Density of hospice centres (per 100,000 population)"
who/GDO_q9x4_1,"Density of adult day centres (per 100,000 population)"
who/GDO_q9x5_1,"Density of outpatient health centres (per 100,000 population)"
who/GHED_CHEGDP_SHA2011,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)
who/GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$
who/GHED_EXTCHE_SHA2011,External health expenditure (EXT) as percentage of current health expenditure (CHE) (%)
who/GHED_EXT_pc_US_SHA2011,External health expenditure (EXT) per capita in US$
who/GHED_GGHE-DCHE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
who/GHED_GGHE-DGDP_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%)
who/GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)
who/GHED_GGHE-D_pc_US_SHA2011,Domestic general government health expenditure (GGHE-D) per capita in US$
who/GHED_OOPSCHE_SHA2011,Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%)
who/GHED_OOP_pc_US_SHA2011,Out-of-pocket expenditure (OOP) per capita in US$
who/GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%)
who/GHED_PVT-D_pc_US_SHA2011,Domestic private health expenditure (PVT-D) per capita in US$
who/GLASSAMC_TC,Total consumption of antibacterials expressed as Defined Daily Doses (DDD) per 1000 inhabitants per day
who/HEMOGLOBINLEVEL_CHILDREN_MEAN,Mean hemoglobin level of children aged 6-59 months
who/HEMOGLOBINLEVEL_NONPREGNANT_MEAN,Mean hemoglobin level of non-pregnant women (aged 15-49 years)
who/HEMOGLOBINLEVEL_PREGNANT_MEAN,Mean hemoglobin level of pregnant women (aged 15-49 years)
who/HEMOGLOBINLEVEL_REPRODUCTIVEAGE_MEAN,Mean hemoglobin level of women of reproductive age (aged 15-49 years)
who/HIV_0000000001,Estimated number of people (all ages) living with HIV
who/HIV_0000000006,Number of people dying from HIV-related causes
who/HIV_0000000007,"HIV testing and counselling facilities, reported number"
who/HIV_0000000008,"HIV Testing and counselling facilities, estimated number per 100 000 adult population"
who/HIV_0000000009,Reported number of people living with HIV who are currently receiving antiretroviral therapy
who/HIV_0000000011,Reported number of children living with HIV who are currently receiving antiretroviral therapy
who/HIV_0000000012,"Reported number of children living with HIV who are currently receiving antiretroviral therapy, month and year of report"
who/HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
who/HIV_0000000020,Estimated number of pregnant women living with HIV
who/HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission
who/HIV_0000000022,Estimated number of people living with HIV who are eligible for antiretroviral therapy according to 2010 guidelines
who/HIV_0000000023,Estimated number of children living with HIV and needing antiretroviral therapy based on WHO methods
who/HIV_0000000024,Estimated antiretroviral therapy coverage among children (0-14 years old) living with HIV (%)
who/HIV_0000000026,Number of new HIV infections
who/HIV_0000000027,Reported number of HIV tests performed where results were received by a person (testing volume)
who/HIV_0000000028,"Estimated number of HIV tests performed where results were received by a person (testing volume), estimated number per 1000 population"
who/HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%)
who/HRH_40,Biomedical engineers density (per 10 000 population)
who/HRH_41,Number of licensed qualified surgeons actively working
who/HRH_42,Number of licensed qualified obstetricians actively working
who/HRH_43,Number of licensed qualified anaesthesiologists actively working
who/HRH_44,Number of biomedical engineers
who/HRH_45,Biomedical technicians density (per 10 000 population)
who/HRH_46,Number of biomedical technicians
who/HWF_0001,"Medical doctors (per 10,000)"
who/HWF_0002,Medical doctors (number)
who/HWF_0003,Generalist medical practitioners (number)
who/HWF_0004,Specialist medical practitioners (number)
who/HWF_0005,Medical doctors not further defined (number)
who/HWF_0006,"Nursing and midwifery personnel (per 10,000)"
who/HWF_0007,Nursing and midwifery personnel (number)
who/HWF_0008,Nursing personnel (number)
who/HWF_0009,Midwifery personnel (number)
who/HWF_0010,"Dentists (per 10,000)"
who/HWF_0011,Dentists (number)
who/HWF_0012,Dental Assistants and Therapists (number)
who/HWF_0013,Dental Prosthetic Technicians (number)
who/HWF_0014,"Pharmacists(per 10,000)"
who/HWF_0015,Pharmacists (number)
who/HWF_0016,Pharmaceutical Technicians and Assistants (number)
who/HWF_0017,Environmental and Occupational Health and Hygiene Professionals (number)
who/HWF_0018,Environmental and Occupational Health Inspectors and Associates (number)
who/HWF_0019,Medical and Pathology Laboratory scientists (number)
who/HWF_0020,Medical and Pathology Laboratory Technicians (number)
who/HWF_0021,Physiotherapists (number)
who/HWF_0022,Physiotherapy Technicians and Assistants (number)
who/HWF_0023,Traditional and Complementary Medicine Professionals (number)
who/HWF_0024,Community Health Workers (number)
who/ICD11_IMPL_LVL,Implementation progress level of the eleventh version of the International Classification of Diseases (ICD-11)
who/IHR01,International Health Regulations (IHR) core capacity index: Legislation
who/IHR02,International Health Regulations (IHR) core capacity index: Coordination
who/IHR03,International Health Regulations (IHR) core capacity index: Surveillance
who/IHR04,International Health Regulations (IHR) core capacity index: Response
who/IHR05,International Health Regulations (IHR) core capacity index: Preparedness
who/IHR06,International Health Regulations (IHR) core capacity index: Risk communication
who/IHR07,International Health Regulations (IHR) core capacity index: Human resources
who/IHR08,International Health Regulations (IHR) core capacity index: Laboratory
who/IHR09,International Health Regulations (IHR) core capacity index: Points of entry
who/IHR10,International Health Regulations (IHR) core capacity index: Zoonosis
who/IHR11,International Health Regulations (IHR) core capacity index: Food safety
who/IHR12,International Health Regulations (IHR) core capacity index: Chemical
who/IHR13,International Health Regulations (IHR) core capacity index: Radionuclear
who/IMMUNIZATION_VACCINATIONCARDSSEEN,Proportion of children 0-59 months of age who had vaccination cards seen during a household survey
who/IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported for any malaria vector species
who/IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported for any malaria vector species
who/IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported for any malaria vector species
who/IR_ORGANOPHOSPHATE_EXTENT,Percentage of sites for which organophosphate resistance was reported for any malaria vector species
who/IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported for any malaria vector species
who/ITU_ICT_1,Percentage of individuals using the Internet
who/ITU_ICT_2,Mobile-cellular telephone subscriptions per 100 inhabitants
who/ITU_IDI,ICT Development Index (IDI)
who/ITU_IDI_RANK,ICT Development Index (IDI) rank
who/LBW_NUMBER,Number of newborns weighing less than 2 500 g (less than 5.51 lbs) at birth (in thousands)
who/LBW_PREVALENCE,Percentage of newborns weighing less than 2 500 g (less than 5.51 lbs) at birth (%)
who/MALARIA_1STLINE_TREATED,"Number of malaria cases treated with any first line treatment courses (including artemisinin-based combination therapies, ACTs)"
who/MALARIA_ACT_TREATED,Number of malaria cases treated with artemisinin-based combination therapies (ACTs)
who/MALARIA_CONF_CASES,Number of confirmed malaria cases
who/MALARIA_EST_CASES,Estimated number of malaria cases
who/MALARIA_EST_DEATHS,Estimated number of malaria deaths
who/MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk)
who/MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population)
who/MALARIA_IMPORTED,Number of imported malaria cases
who/MALARIA_INDIG,Number of indigenous malaria cases
who/MALARIA_IPTP3_COVERAGE,Pregnant women attending antenatal care at least once and receiving at least 3 doses of Intermittent Preventive Treatment of Malaria for Pregnant Women (IPTp3) (%)
who/MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS)
who/MALARIA_ITN_COVERAGE,"Population with access to an insecticide-treated bed net (ITN) for malaria protection (%), modelled"
who/MALARIA_MICR_POS,Number of malaria positive cases by microscopy
who/MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy
who/MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases
who/MALARIA_PRES_CASES,Number of presumed malaria cases
who/MALARIA_PV_INDIG,Number of indigenous P. vivax malaria cases
who/MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT)
who/MALARIA_RDT_TEST,Number of malaria suspects examined by rapid diagnostic test (RDT)
who/MALARIA_SUSPECTS,Number of suspected malaria cases
who/MALARIA_TOTAL_CASES,Total number of malaria cases (presumed + confirmed cases)
who/MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)
who/MH_20,"Mental health service availability: Outpatient visits (per 100,000)"
who/MORTADO,Adolescent mortality rate (per 100 000 population)
who/MORT_300,Distribution of causes of death among children aged < 5 years (%)
who/MORT_MATERNALNUM,Number of maternal deaths
who/M_Est_cig_curr,Estimate of current cigarette smoking prevalence (%)
who/M_Est_cig_curr_std,Estimate of current cigarette smoking prevalence (%) (age-standardized rate)
who/M_Est_smk_curr,Estimate of current tobacco smoking prevalence (%)
who/M_Est_smk_curr_std,Estimate of current tobacco smoking prevalence (%) (age-standardized rate)
who/M_Est_tob_curr,Estimate of current tobacco use prevalence (%)
who/M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate)
who/M_Group,Implementation status of monitoring tobacco use and prevention policies (M measure of the MPOWER package)
who/NCD_CHOL_MEANHDL_A,"Mean high-density lipoprotein (HDL) cholesterol, age-standardized estimate"
who/NCD_CHOL_MEANHDL_C,"Mean high-density lipoprotein (HDL) cholesterol, crude estimate"
who/NCD_CHOL_MEANNONHDL_A,"Mean non high-density lipoprotein (non-HDL) cholesterol, age-standardized estimate"
who/NCD_CHOL_MEANNONHDL_C,"Mean non high-density lipoprotein (non-HDL) cholesterol, crude estimate"
who/NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol, age-standardized estimate"
who/NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol, crude estimate"
who/NCD_DTH_TOT,Total number of deaths attributed to non-communicable diseases (NCD) (in thousands)
who/PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions)
who/PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions)
who/PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%)
who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%)
who/P_Group,Extent to which country smoke-free laws exist
who/P_count_places_sf,Number of places covered by complete smoke-free national legislation
who/TB_new_oth,New tuberculosis cases: other
who/TB_new_sn,New tuberculosis cases: pulmonary smear-negative
who/TB_new_snsuoth,"New tuberculosis cases: Pulmonary, smear-negative/unknown/not done and other new cases"
who/TB_new_sp,"New tuberculosis cases: Pulmonary, smear-positive"
who/TB_new_su,New tuberculosis cases: pulmonary smear unknown/not done
who/TB_newret_oth,Tuberculosis cases and deaths: Treatment history unknown
who/TB_ret_nrel,"Previously treated tuberculosis cases, excluding relapse"
who/TB_ret_oth,Retreatment tuberculosis cases: other
who/TB_ret_rel,Relapse tuberculosis cases (pre-2013 definition)
who/TB_ret_rel_clindx,"Relapse tuberculosis cases: Pulmonary, clinically diagnosed"
who/TB_ret_rel_ep,Relapse tuberculosis cases: extrapulmonary
who/TB_ret_rel_labconf,"Relapse tuberculosis cases: Pulmonary, bacteriologically confirmed"
who/TB_ret_tad,Retreatment tuberculosis cases: treatment after default (pulmonary smear and/or culture positive)
who/TB_ret_taf,Retreatment tuberculosis cases: treatment after failure (pulmonary smear and/or culture positive)
who/TB_rr_mdr,Number of confirmed cases of rifampicin-resistant tuberculosis (RR-TB) and multidrug-resistant tuberculosis (MDR-TB)
who/TB_tot_newrel,Tuberculosis - new and relapse cases
who/TOTENV_1,Deaths attributable to the environment
who/TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population)
who/TOTENV_3,Disease burden attributable to environmental risk factors (number of disability-adjusted life years (DALYs))
who/TOTENV_4,Disease burden attributable to environmental risk factors (number of age-standardized disability-adjusted life years (DALYs) per 100 000 population)
who/TOTENV_5,Deaths attributable to the environment (%)
who/TOTENV_6,Percentage of total disease burden that is attributable to environmental risk factors (% of total number of disability-adjusted life years (DALYs))
who/VACCINEPREVENTABLE_WILDPOLIO,Number of reported cases of poliomyelitis by wild poliovirus (WPV)
who/W-MM_Group,Implementation status of the anti-tobacco mass media campaigns (W measure of the MPOWER package) to reduce demand for tobacco products
who/WHOSIS_000006,Infants exclusively breastfed for the first six months of life (%)
who/WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years)
who/WHOSIS_000014,Stillbirth rate (per 1000 total births)
who/WHOSIS_000015,Life expectancy at age 60 (years)
who/WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)
who/WHS10_8,Estimated level of coverage of deaths that are registered with cause-of-death information. (%)
who/WHS10_9,The percentage of total deaths that has been assigned to ill-defined causes as reported to WHO.
who/WHS2_131,Age-standardized mortality from Noncommunicable diseases (NCD) mortality rate (per 100 000 population)
who/WHS2_138,Deaths due to HIV/AIDS (per 100 000 population)
who/WHS3_41,Diphtheria - number of reported cases
who/WHS3_42,Japanese encephalitis - number of reported cases
who/WHS3_43,Pertussis - number of reported cases
who/WHS3_45,Number of new leprosy cases (Hansen's disease)
who/WHS3_46,Total tetanus - number of reported cases
who/WHS3_49,Poliomyelitis (polio) - number of reported cases
who/WHS3_50,Yellow fever - number of reported cases
who/WHS3_53,Mumps - number of reported cases
who/WHS3_55,Congenital Rubella Syndrome - number of reported cases
who/WHS3_56,Neonatal tetanus - number of reported cases
who/WHS3_57,Rubella - number of reported cases
who/WHS3_62,Measles - number of reported cases
who/WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)
who/WHS4_106,Percentage of children younger than 5 years with symptoms of acute respiratory infection.
who/WHS4_111,"Percentage of women aged 15-49 with a live birth in a given time period, attended at least once during pregnancy by skilled health personnel for reasons related to the pregnancy."
who/WHS4_115,Percentage of births by caesarean section among all live births in a given time period.
who/WHS4_117,The percentage of one-year-olds who have received three doses of hepatitis B containing vaccine in a given year.
who/WHS4_128,The proportion of neonates in a given year that can be considered as having been protected against tetanus as a result of maternal immunization.
who/WHS4_129,The percentage of one-year-olds who have received three doses of Haemophilus influenzae type B containing vaccine in a given year.
who/WHS4_154,The percentage of women aged 15-49 with a live birth in a given time period that received antenatal care four or more times.
who/WHS4_543,The percentage of live births who have received one dose of bacille Calmette-Guérin (BCG) vaccine in a given year.
who/WHS4_544,The percentage of one-year-olds who have received three doses of polio containing vaccine in a given year.
who/WHS5_512,Percentage of the population that relies on solid fuels as the primary source of domestic energy for cooking and heating.
who/WHS6_101,Median percent availability of selected generic medicines in a sample of private health facilities.
who/WHS6_102,The number of hospital beds available per every 10 000 inhabitants in a population.
who/WHS6_116,Median consumer price ratio (ratio of median local unit price to Management Sciences for Health international reference price) of private originator medicines.
who/WHS8_110,The percentage of children under one year of age who have received at least one dose of measles-containing vaccine in a given year.
who/WSH_1,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH))"
who/WSH_10,"Number of diarrhoea deaths from inadequate water, sanitation and hygiene, in low- and middle-income countries."
who/WSH_10_HYG,Number of diarrhoea deaths from inadequate hygiene. (Public health and environment).
who/WSH_10_SAN,"Number of diarrhoea deaths from inadequate sanitation, in low- and middle-income countries."
who/WSH_10_WAT,Number of diarrhoea deaths from inadequate water in low- and middle-income countries.
who/WSH_2,"Water, sanitation and hygiene attributable deaths ('000) in children under 5 years, (Public health and environment)."
who/WSH_20,"Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene, in low- and middle-income countries."
who/WSH_20_HYG,"Attributable fraction of diarrhoea to inadequate hygiene, in low- and middle-income countries."
who/WSH_20_SAN,"Attributable fraction of diarrhoea to inadequate sanitation, in low- and middle-income countries."
who/WSH_20_WAT,"Attributable fraction of diarrhoea to inadequate water, in low- and middle-income countries."
who/WSH_3,"Water, sanitation and hygiene attributable deaths per 100'000 capita"
who/WSH_30,"Number of diarrhoea disability-adjusted life years (DALYs) from inadequate water, sanitation and hygiene"
who/WSH_30_HYG,Number of diarrhoea disability-adjusted life years (DALYs) from inadequate hygiene
who/WSH_30_SAN,Number of diarrhoea disability-adjusted life years (DALYs) from inadequate sanitation in low- and middle-income countries.
who/WSH_30_WAT,Number of diarrhoea disability-adjusted life years (DALYs) from inadequate water in low- and middle-income countries
who/WSH_4,"Water, sanitation and hygiene attributable deaths per 100'000 children under 5 years"
