GROUPING ID,Variable,Legend,SERIES_CODE,SERIES_DESCRIPTION,VARIABLE_CODE,VARIABLE_DESCRIPTION
DC_ENVTECH_IMP.,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),,DC_ENVTECH_IMP,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),DC_ENVTECH_IMP,Amount of tracked imported Environmentally Sound Technologies (current United States dollars)
DC_ENVTECH_INV.,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",Total,DC_ENVTECH_INV,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",DC_ENVTECH_INV@ACTIVITY--ISIC4_A,"Total investment in Environment Sound Technologies, by sector (current United States dollars) [Activity = Agriculture, forestry and fishing]"
DC_ENVTECH_INV.,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",Activity = Mining and quarrying,DC_ENVTECH_INV,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",DC_ENVTECH_INV@ACTIVITY--ISIC4_B,"Total investment in Environment Sound Technologies, by sector (current United States dollars) [Activity = Mining and quarrying]"
DC_ENVTECH_INV.,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",Activity = Manufacturing,DC_ENVTECH_INV,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",DC_ENVTECH_INV@ACTIVITY--ISIC4_C,"Total investment in Environment Sound Technologies, by sector (current United States dollars) [Activity = Manufacturing]"
DC_ENVTECH_INV.,"Total investment in Environment Sound Technologies, by sector (current United States dollars)","Activity = Electricity, gas, steam and air conditioning supply",DC_ENVTECH_INV,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",DC_ENVTECH_INV@ACTIVITY--ISIC4_D,"Total investment in Environment Sound Technologies, by sector (current United States dollars) [Activity = Electricity, gas, steam and air conditioning supply]"
DC_ENVTECH_INV.,"Total investment in Environment Sound Technologies, by sector (current United States dollars)","Activity = Water supply; sewerage, waste management and remediation activities",DC_ENVTECH_INV,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",DC_ENVTECH_INV@ACTIVITY--ISIC4_E,"Total investment in Environment Sound Technologies, by sector (current United States dollars) [Activity = Water supply; sewerage, waste management and remediation activities]"
DC_ENVTECH_INV.,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",Activity = Construction,DC_ENVTECH_INV,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",DC_ENVTECH_INV@ACTIVITY--ISIC4_F,"Total investment in Environment Sound Technologies, by sector (current United States dollars) [Activity = Construction]"
DC_ENVTECH_INV.,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",Activity = Transportation and storage,DC_ENVTECH_INV,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",DC_ENVTECH_INV@ACTIVITY--ISIC4_H,"Total investment in Environment Sound Technologies, by sector (current United States dollars) [Activity = Transportation and storage]"
DC_ENVTECH_INV.,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",Activity = Other service activities,DC_ENVTECH_INV,"Total investment in Environment Sound Technologies, by sector (current United States dollars)",DC_ENVTECH_INV@ACTIVITY--ISIC4_S,"Total investment in Environment Sound Technologies, by sector (current United States dollars) [Activity = Other service activities]"
DC_FIN_CLIMB.,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars)",Total,DC_FIN_CLIMB,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars)",DC_FIN_CLIMB@TYPE_OF_SUPPORT--TOS_ADAPTATION,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars) [Type of support = Adaptation]"
DC_FIN_CLIMB.,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars)",Type of support = Cross-cutting,DC_FIN_CLIMB,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars)",DC_FIN_CLIMB@TYPE_OF_SUPPORT--TOS_CROSS_CUTTING,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars) [Type of support = Cross-cutting]"
DC_FIN_CLIMB.,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars)",Type of support = Mitigation,DC_FIN_CLIMB,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars)",DC_FIN_CLIMB@TYPE_OF_SUPPORT--TOS_MITIGATION,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars) [Type of support = Mitigation]"
DC_FIN_CLIMB.,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars)",Type of support = Other,DC_FIN_CLIMB,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars)",DC_FIN_CLIMB@TYPE_OF_SUPPORT--TOS_OTHER,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars) [Type of support = Other]"
DC_FIN_CLIMM.,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars)",Total,DC_FIN_CLIMM,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars)",DC_FIN_CLIMM@TYPE_OF_SUPPORT--TOS_ADAPTATION,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars) [Type of support = Adaptation]"
DC_FIN_CLIMM.,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars)",Type of support = Cross-cutting,DC_FIN_CLIMM,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars)",DC_FIN_CLIMM@TYPE_OF_SUPPORT--TOS_CROSS_CUTTING,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars) [Type of support = Cross-cutting]"
DC_FIN_CLIMM.,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars)",Type of support = Mitigation,DC_FIN_CLIMM,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars)",DC_FIN_CLIMM@TYPE_OF_SUPPORT--TOS_MITIGATION,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars) [Type of support = Mitigation]"
DC_FIN_CLIMM.,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars)",Type of support = Other,DC_FIN_CLIMM,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars)",DC_FIN_CLIMM@TYPE_OF_SUPPORT--TOS_OTHER,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars) [Type of support = Other]"
DC_FIN_CLIMT.,Total climate-specific financial support provided (Billions of current United States dollars),,DC_FIN_CLIMT,Total climate-specific financial support provided (Billions of current United States dollars),DC_FIN_CLIMT,Total climate-specific financial support provided (Billions of current United States dollars)
DC_FIN_GEN.,Core/general contributions provided to multilateral institutions (Billions of current United States dollars),,DC_FIN_GEN,Core/general contributions provided to multilateral institutions (Billions of current United States dollars),DC_FIN_GEN,Core/general contributions provided to multilateral institutions (Billions of current United States dollars)
DC_FTA_TOTAL.,Total official development assistance (gross disbursement) for technical cooperation (millions of 2021 United States dollars),,DC_FTA_TOTAL,Total official development assistance (gross disbursement) for technical cooperation (millions of 2021 United States dollars),DC_FTA_TOTAL,Total official development assistance (gross disbursement) for technical cooperation (millions of 2021 United States dollars)
DC_ODA_BDVDL.,"Total official development assistance for biodiversity, by donor countries (millions of constant 2021 United States dollars)",,DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2021 United States dollars)",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2021 United States dollars)"
DC_ODA_BDVL.,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2021 United States dollars)",,DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2021 United States dollars)",DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2021 United States dollars)"
DC_ODA_LDCG.,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",,DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)"
DC_ODA_LDCS.,"Net official development assistance (ODA) to LDCs from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)",,DC_ODA_LDCS,"Net official development assistance (ODA) to LDCs from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)",DC_ODA_LDCS,"Net official development assistance (ODA) to LDCs from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)"
DC_ODA_LLDC.,"Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)",,DC_ODA_LLDC,"Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)",DC_ODA_LLDC,"Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)"
DC_ODA_LLDCG.,"Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor countries (%)",,DC_ODA_LLDCG,"Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor countries (%)",DC_ODA_LLDCG,"Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor countries (%)"
DC_ODA_POVDLG.,"Official development assistance grants for poverty reduction, by donor countries (percentage of GNI)",,DC_ODA_POVDLG,"Official development assistance grants for poverty reduction, by donor countries (percentage of GNI)",DC_ODA_POVDLG,"Official development assistance grants for poverty reduction, by donor countries (percentage of GNI)"
DC_ODA_POVG.,Official development assistance grants for poverty reduction (percentage of GNI),,DC_ODA_POVG,Official development assistance grants for poverty reduction (percentage of GNI),DC_ODA_POVG,Official development assistance grants for poverty reduction (percentage of GNI)
DC_ODA_POVLG.,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI)",,DC_ODA_POVLG,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI)",DC_ODA_POVLG,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI)"
DC_ODA_SIDS.,"Net official development assistance (ODA) to small island states (SIDS) from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)",,DC_ODA_SIDS,"Net official development assistance (ODA) to small island states (SIDS) from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)",DC_ODA_SIDS,"Net official development assistance (ODA) to small island states (SIDS) from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)"
DC_ODA_SIDSG.,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",,DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)"
DC_ODA_TOTG.,"Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",,DC_ODA_TOTG,"Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",DC_ODA_TOTG,"Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor countries (%)"
DC_ODA_TOTGGE.,"Official development assistance (ODA) as a percentage of OECD-DAC donors' GNI on grant equivalent basis, by donor countries (%)",,DC_ODA_TOTGGE,"Official development assistance (ODA) as a percentage of OECD-DAC donors' GNI on grant equivalent basis, by donor countries (%)",DC_ODA_TOTGGE,"Official development assistance (ODA) as a percentage of OECD-DAC donors' GNI on grant equivalent basis, by donor countries (%)"
DC_ODA_TOTL.,"Net official development assistance (ODA) from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)",,DC_ODA_TOTL,"Net official development assistance (ODA) from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)",DC_ODA_TOTL,"Net official development assistance (ODA) from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars)"
DC_ODA_TOTLGE.,"Official development assistance (ODA) from OECD-DAC countries on grant equivalent basis, by donor countries (millions of constant 2021 United States dollars)",,DC_ODA_TOTLGE,"Official development assistance (ODA) from OECD-DAC countries on grant equivalent basis, by donor countries (millions of constant 2021 United States dollars)",DC_ODA_TOTLGE,"Official development assistance (ODA) from OECD-DAC countries on grant equivalent basis, by donor countries (millions of constant 2021 United States dollars)"
DC_OSSD_GRT.,Gross receipts by developing countries of official sustainable development grants (millions of United States dollars),,DC_OSSD_GRT,Gross receipts by developing countries of official sustainable development grants (millions of United States dollars),DC_OSSD_GRT,Gross receipts by developing countries of official sustainable development grants (millions of United States dollars)
DC_OSSD_MPF.,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars),,DC_OSSD_MPF,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars),DC_OSSD_MPF,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars)
DC_OSSD_OFFCL.,Gross receipts by developing countries of official concessional sustainable development loans (millions of United States dollars),,DC_OSSD_OFFCL,Gross receipts by developing countries of official concessional sustainable development loans (millions of United States dollars),DC_OSSD_OFFCL,Gross receipts by developing countries of official concessional sustainable development loans (millions of United States dollars)
DC_OSSD_OFFNL.,Gross receipts by developing countries of official non-concessional sustainable development loans (millions of United States dollars),,DC_OSSD_OFFNL,Gross receipts by developing countries of official non-concessional sustainable development loans (millions of United States dollars),DC_OSSD_OFFNL,Gross receipts by developing countries of official non-concessional sustainable development loans (millions of United States dollars)
DC_OSSD_PRVGRT.,Gross receipts by developing countries of private grants (millions of United States dollars),,DC_OSSD_PRVGRT,Gross receipts by developing countries of private grants (millions of United States dollars),DC_OSSD_PRVGRT,Gross receipts by developing countries of private grants (millions of United States dollars)
DC_TOF_AGRL.,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2021 United States dollars)",,DC_TOF_AGRL,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2021 United States dollars)",DC_TOF_AGRL,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2021 United States dollars)"
DC_TOF_HLTHL.,"Total official development assistance to medical research and basic health sectors, gross disbursement, by recipient countries (millions of constant 2021 United States dollars)",,DC_TOF_HLTHL,"Total official development assistance to medical research and basic health sectors, gross disbursement, by recipient countries (millions of constant 2021 United States dollars)",DC_TOF_HLTHL,"Total official development assistance to medical research and basic health sectors, gross disbursement, by recipient countries (millions of constant 2021 United States dollars)"
DC_TOF_HLTHNT.,"Total official development assistance to medical research and basic health sectors, net disbursement, by recipient countries (millions of constant 2021 United States dollars)",,DC_TOF_HLTHNT,"Total official development assistance to medical research and basic health sectors, net disbursement, by recipient countries (millions of constant 2021 United States dollars)",DC_TOF_HLTHNT,"Total official development assistance to medical research and basic health sectors, net disbursement, by recipient countries (millions of constant 2021 United States dollars)"
DC_TOF_INFRAL.,"Total official flows for infrastructure, by recipient countries (millions of constant 2021 United States dollars)",,DC_TOF_INFRAL,"Total official flows for infrastructure, by recipient countries (millions of constant 2021 United States dollars)",DC_TOF_INFRAL,"Total official flows for infrastructure, by recipient countries (millions of constant 2021 United States dollars)"
