GROUPING ID,GROUPING DESCRIPTION,Variable Legend,SELECT,DISPLAY,POPULATION_TYPE,VARIABLE,SERIES,SERIES_Name
EIP_5EIP_NB.001,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 to 24 years old,,,ILO_EIP_5EIP_NB,ilo/EIP_5EIP_NB.AGE--Y15T24,EIP_5EIP_NB,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5EIP_NB.001,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 years old and over,,,ILO_EIP_5EIP_NB,ilo/EIP_5EIP_NB.AGE--Y_GE15,EIP_5EIP_NB,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5EIP_NB.001,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",25 years old and over,,,ILO_EIP_5EIP_NB,ilo/EIP_5EIP_NB.AGE--Y_GE25,EIP_5EIP_NB,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5EIP_NB.002,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Female,,,ILO_EIP_5EIP_NB,ilo/EIP_5EIP_NB.SEX--F__AGE--Y15T24,EIP_5EIP_NB,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5EIP_NB.002,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Male,,,ILO_EIP_5EIP_NB,ilo/EIP_5EIP_NB.SEX--M__AGE--Y15T24,EIP_5EIP_NB,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5EIP_NB.003,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Female,,,ILO_EIP_5EIP_NB,ilo/EIP_5EIP_NB.SEX--F__AGE--Y_GE15,EIP_5EIP_NB,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5EIP_NB.003,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Male,,,ILO_EIP_5EIP_NB,ilo/EIP_5EIP_NB.SEX--M__AGE--Y_GE15,EIP_5EIP_NB,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5EIP_NB.004,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Female,,,ILO_EIP_5EIP_NB,ilo/EIP_5EIP_NB.SEX--F__AGE--Y_GE25,EIP_5EIP_NB,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5EIP_NB.004,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Male,,,ILO_EIP_5EIP_NB,ilo/EIP_5EIP_NB.SEX--M__AGE--Y_GE25,EIP_5EIP_NB,"Persons outside the labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5PLF_NB.001,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 to 24 years old,,,ILO_EIP_5PLF_NB,ilo/EIP_5PLF_NB.AGE--Y15T24,EIP_5PLF_NB,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5PLF_NB.001,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 years old and over,,,ILO_EIP_5PLF_NB,ilo/EIP_5PLF_NB.AGE--Y_GE15,EIP_5PLF_NB,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5PLF_NB.001,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",25 years old and over,,,ILO_EIP_5PLF_NB,ilo/EIP_5PLF_NB.AGE--Y_GE25,EIP_5PLF_NB,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5PLF_NB.002,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Female,,,ILO_EIP_5PLF_NB,ilo/EIP_5PLF_NB.SEX--F__AGE--Y15T24,EIP_5PLF_NB,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5PLF_NB.002,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Male,,,ILO_EIP_5PLF_NB,ilo/EIP_5PLF_NB.SEX--M__AGE--Y15T24,EIP_5PLF_NB,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5PLF_NB.003,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Female,,,ILO_EIP_5PLF_NB,ilo/EIP_5PLF_NB.SEX--F__AGE--Y_GE15,EIP_5PLF_NB,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5PLF_NB.003,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Male,,,ILO_EIP_5PLF_NB,ilo/EIP_5PLF_NB.SEX--M__AGE--Y_GE15,EIP_5PLF_NB,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5PLF_NB.004,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Female,,,ILO_EIP_5PLF_NB,ilo/EIP_5PLF_NB.SEX--F__AGE--Y_GE25,EIP_5PLF_NB,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5PLF_NB.004,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Male,,,ILO_EIP_5PLF_NB,ilo/EIP_5PLF_NB.SEX--M__AGE--Y_GE25,EIP_5PLF_NB,"Potential labour force, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_NB.001,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 to 24 years old,,,ILO_EMP_5NIF_NB,ilo/EMP_5NIF_NB.AGE--Y15T24,EMP_5NIF_NB,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_NB.001,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 years old and over,,,ILO_EMP_5NIF_NB,ilo/EMP_5NIF_NB.AGE--Y_GE15,EMP_5NIF_NB,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_NB.001,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",25 years old and over,,,ILO_EMP_5NIF_NB,ilo/EMP_5NIF_NB.AGE--Y_GE25,EMP_5NIF_NB,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_NB.002,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Female,,,ILO_EMP_5NIF_NB,ilo/EMP_5NIF_NB.SEX--F__AGE--Y15T24,EMP_5NIF_NB,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_NB.002,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Male,,,ILO_EMP_5NIF_NB,ilo/EMP_5NIF_NB.SEX--M__AGE--Y15T24,EMP_5NIF_NB,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_NB.003,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Female,,,ILO_EMP_5NIF_NB,ilo/EMP_5NIF_NB.SEX--F__AGE--Y_GE15,EMP_5NIF_NB,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_NB.003,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Male,,,ILO_EMP_5NIF_NB,ilo/EMP_5NIF_NB.SEX--M__AGE--Y_GE15,EMP_5NIF_NB,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_NB.004,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Female,,,ILO_EMP_5NIF_NB,ilo/EMP_5NIF_NB.SEX--F__AGE--Y_GE25,EMP_5NIF_NB,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_NB.004,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Male,,,ILO_EMP_5NIF_NB,ilo/EMP_5NIF_NB.SEX--M__AGE--Y_GE25,EMP_5NIF_NB,"Informal employment, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_RT.001,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 to 24 years old,,,ILO_EMP_5NIF_RT,ilo/EMP_5NIF_RT.AGE--Y15T24,EMP_5NIF_RT,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_RT.001,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 years old and over,,,ILO_EMP_5NIF_RT,ilo/EMP_5NIF_RT.AGE--Y_GE15,EMP_5NIF_RT,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_RT.001,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",25 years old and over,,,ILO_EMP_5NIF_RT,ilo/EMP_5NIF_RT.AGE--Y_GE25,EMP_5NIF_RT,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_RT.002,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Female,,,ILO_EMP_5NIF_RT,ilo/EMP_5NIF_RT.SEX--F__AGE--Y15T24,EMP_5NIF_RT,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_RT.002,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Male,,,ILO_EMP_5NIF_RT,ilo/EMP_5NIF_RT.SEX--M__AGE--Y15T24,EMP_5NIF_RT,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_RT.003,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Female,,,ILO_EMP_5NIF_RT,ilo/EMP_5NIF_RT.SEX--F__AGE--Y_GE15,EMP_5NIF_RT,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_RT.003,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Male,,,ILO_EMP_5NIF_RT,ilo/EMP_5NIF_RT.SEX--M__AGE--Y_GE15,EMP_5NIF_RT,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_RT.004,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Female,,,ILO_EMP_5NIF_RT,ilo/EMP_5NIF_RT.SEX--F__AGE--Y_GE25,EMP_5NIF_RT,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5NIF_RT.004,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Male,,,ILO_EMP_5NIF_RT,ilo/EMP_5NIF_RT.SEX--M__AGE--Y_GE25,EMP_5NIF_RT,"Informal employment rate, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_NB.001,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 to 24 years old,,,ILO_EMP_5PIF_NB,ilo/EMP_5PIF_NB.AGE--Y15T24,EMP_5PIF_NB,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_NB.001,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 years old and over,,,ILO_EMP_5PIF_NB,ilo/EMP_5PIF_NB.AGE--Y_GE15,EMP_5PIF_NB,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_NB.001,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",25 years old and over,,,ILO_EMP_5PIF_NB,ilo/EMP_5PIF_NB.AGE--Y_GE25,EMP_5PIF_NB,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_NB.002,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Female,,,ILO_EMP_5PIF_NB,ilo/EMP_5PIF_NB.SEX--F__AGE--Y15T24,EMP_5PIF_NB,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_NB.002,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Male,,,ILO_EMP_5PIF_NB,ilo/EMP_5PIF_NB.SEX--M__AGE--Y15T24,EMP_5PIF_NB,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_NB.003,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Female,,,ILO_EMP_5PIF_NB,ilo/EMP_5PIF_NB.SEX--F__AGE--Y_GE15,EMP_5PIF_NB,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_NB.003,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Male,,,ILO_EMP_5PIF_NB,ilo/EMP_5PIF_NB.SEX--M__AGE--Y_GE15,EMP_5PIF_NB,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_NB.004,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Female,,,ILO_EMP_5PIF_NB,ilo/EMP_5PIF_NB.SEX--F__AGE--Y_GE25,EMP_5PIF_NB,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_NB.004,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Male,,,ILO_EMP_5PIF_NB,ilo/EMP_5PIF_NB.SEX--M__AGE--Y_GE25,EMP_5PIF_NB,"Employment outside the formal sector, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_RT.001,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 to 24 years old,,,ILO_EMP_5PIF_RT,ilo/EMP_5PIF_RT.AGE--Y15T24,EMP_5PIF_RT,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_RT.001,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",15 years old and over,,,ILO_EMP_5PIF_RT,ilo/EMP_5PIF_RT.AGE--Y_GE15,EMP_5PIF_RT,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_RT.001,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Age group",25 years old and over,,,ILO_EMP_5PIF_RT,ilo/EMP_5PIF_RT.AGE--Y_GE25,EMP_5PIF_RT,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_RT.002,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Female,,,ILO_EMP_5PIF_RT,ilo/EMP_5PIF_RT.SEX--F__AGE--Y15T24,EMP_5PIF_RT,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_RT.002,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 to 24 years old) by Sex",Male,,,ILO_EMP_5PIF_RT,ilo/EMP_5PIF_RT.SEX--M__AGE--Y15T24,EMP_5PIF_RT,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_RT.003,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Female,,,ILO_EMP_5PIF_RT,ilo/EMP_5PIF_RT.SEX--F__AGE--Y_GE15,EMP_5PIF_RT,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_RT.003,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (15 years old and over) by Sex",Male,,,ILO_EMP_5PIF_RT,ilo/EMP_5PIF_RT.SEX--M__AGE--Y_GE15,EMP_5PIF_RT,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_RT.004,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Female,,,ILO_EMP_5PIF_RT,ilo/EMP_5PIF_RT.SEX--F__AGE--Y_GE25,EMP_5PIF_RT,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_5PIF_RT.004,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) (25 years old and over) by Sex",Male,,,ILO_EMP_5PIF_RT,ilo/EMP_5PIF_RT.SEX--M__AGE--Y_GE25,EMP_5PIF_RT,"Share of employment outside the formal secto, according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EMP_NIFL_RT.001,Informal employment rate,Total,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT,EMP_NIFL_RT,Informal employment rate
EMP_NIFL_RT.002,Informal employment rate by Age group,15 to 19 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T19,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,15 to 24 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,15 years old and over,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,20 to 24 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y20T24,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,25 to 29 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y25T29,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,25 to 34 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y25T34,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,25 to 54 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y25T54,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,25 years old and over,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE25,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,30 to 34 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y30T34,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,35 to 39 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y35T39,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,35 to 44 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y35T44,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,40 to 44 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y40T44,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,45 to 49 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y45T49,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,45 to 54 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y45T54,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,50 to 54 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y50T54,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,55 to 59 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y55T59,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,55 to 64 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y55T64,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,60 to 64 years old,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y60T64,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.002,Informal employment rate by Age group,65 years old and over,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE65,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.003,Informal employment rate (15 to 24 years old) by Disability status,Persons with disability,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__DISABILITY_STATUS--PD,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.003,Informal employment rate (15 to 24 years old) by Disability status,Persons without disability,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y15T24__DISABILITY_STATUS--PWD,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.004,Informal employment rate (15 years old and over) by Disability status,Persons with disability,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__DISABILITY_STATUS--PD,EMP_NIFL_RT,Informal employment rate 
EMP_NIFL_RT.004,Informal employment rate (15 years old and over) by Disability status,Persons without disability,,,ILO_EMP_NIFL_RT,ilo/EMP_NIFL_RT.AGE--Y_GE15__DISABILITY_STATUS--PWD,EMP_NIFL_RT,Informal employment rate 
