,GROUPING ID,GROUPING DESCRIPTION,Variable Legend,SELECT,SERIES_CODE,SERIES_DESCRIPTION,VARIABLE_CODE,VARIABLE_DESCRIPTION,Node
,,,,Do not display in country pages,EN_BIUREP_NAIP,"Number of countries with biennial update reports, non-Annex I Parties (Number)",EN_BIUREP_NAIP@REPORT_ORDINAL--RO_SECOND,"Number of countries with biennial update reports, non-Annex I Parties [Second ordinal]",dcid:sdg/EN_BIUREP_NAIP.REPORT_ORDINAL--RO_SECOND
,,,,Do not display in country pages,EN_BIUREP_NAIP,"Number of countries with biennial update reports, non-Annex I Parties (Number)",EN_BIUREP_NAIP@REPORT_ORDINAL--RO_THIRD,"Number of countries with biennial update reports, non-Annex I Parties [Third ordinal]",dcid:sdg/EN_BIUREP_NAIP.REPORT_ORDINAL--RO_THIRD
,,,,Do not display in country pages,EN_BIUREP_NAIP_DV,"Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties (Number)",EN_BIUREP_NAIP_DV@REPORT_ORDINAL--RO_FIFTH,"Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties [Fifth ordinal]",dcid:sdg/EN_BIUREP_NAIP_DV.REPORT_ORDINAL--RO_FIFTH
,,,,Do not display in country pages,EN_BIUREP_NAIP_DV,"Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties (Number)",EN_BIUREP_NAIP_DV@REPORT_ORDINAL--RO_FIRST,"Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties [First ordinal]",dcid:sdg/EN_BIUREP_NAIP_DV.REPORT_ORDINAL--RO_FIRST
,,,,Do not display in country pages,EN_BIUREP_NAIP_DV,"Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties (Number)",EN_BIUREP_NAIP_DV@REPORT_ORDINAL--RO_FOURTH,"Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties [Fourth ordinal]",dcid:sdg/EN_BIUREP_NAIP_DV.REPORT_ORDINAL--RO_FOURTH
,,,,Do not display in country pages,EN_BIUREP_NAIP_DV,"Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties (Number)",EN_BIUREP_NAIP_DV@REPORT_ORDINAL--RO_SECOND,"Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties [Second ordinal]",dcid:sdg/EN_BIUREP_NAIP_DV.REPORT_ORDINAL--RO_SECOND
,,,,Do not display in country pages,EN_BIUREP_NAIP_DV,"Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties (Number)",EN_BIUREP_NAIP_DV@REPORT_ORDINAL--RO_THIRD,"Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties [Third ordinal]",dcid:sdg/EN_BIUREP_NAIP_DV.REPORT_ORDINAL--RO_THIRD
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Namibia],EN_MAR_BEALIT_BV@COUNTERPART--,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Namibia],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = United Arab Emirates],EN_MAR_BEALIT_BV@COUNTERPART--AE,Beach litter originating from national land-based sources that ends in the beach [Counterpart = United Arab Emirates],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--AE
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Antigua and Barbuda],EN_MAR_BEALIT_BV@COUNTERPART--AG,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Antigua and Barbuda],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--AG
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Anguilla],EN_MAR_BEALIT_BV@COUNTERPART--AI,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Anguilla],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--AI
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Albania],EN_MAR_BEALIT_BV@COUNTERPART--AL,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Albania],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--AL
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Angola],EN_MAR_BEALIT_BV@COUNTERPART--AO,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Angola],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--AO
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Argentina],EN_MAR_BEALIT_BV@COUNTERPART--AR,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Argentina],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--AR
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Australia],EN_MAR_BEALIT_BV@COUNTERPART--AU,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Australia],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--AU
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Aruba],EN_MAR_BEALIT_BV@COUNTERPART--AW,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Aruba],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--AW
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Aland Islands],EN_MAR_BEALIT_BV@COUNTERPART--AX,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Aland Islands],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--AX
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bosnia and Herzegovina],EN_MAR_BEALIT_BV@COUNTERPART--BA,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bosnia and Herzegovina],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BA
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Barbados],EN_MAR_BEALIT_BV@COUNTERPART--BB,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Barbados],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BB
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bangladesh],EN_MAR_BEALIT_BV@COUNTERPART--BD,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bangladesh],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BD
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Belgium],EN_MAR_BEALIT_BV@COUNTERPART--BE,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Belgium],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BE
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bulgaria],EN_MAR_BEALIT_BV@COUNTERPART--BG,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bulgaria],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BG
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bahrain],EN_MAR_BEALIT_BV@COUNTERPART--BH,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bahrain],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BH
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Benin],EN_MAR_BEALIT_BV@COUNTERPART--BJ,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Benin],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BJ
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Brunei Darussalam],EN_MAR_BEALIT_BV@COUNTERPART--BN,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Brunei Darussalam],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BN
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,"Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bonaire, Sint Eustatius and Saba]",EN_MAR_BEALIT_BV@COUNTERPART--BQ,"Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bonaire, Sint Eustatius and Saba]",dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BQ
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Brazil],EN_MAR_BEALIT_BV@COUNTERPART--BR,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Brazil],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BR
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bahamas],EN_MAR_BEALIT_BV@COUNTERPART--BS,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Bahamas],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BS
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Belize],EN_MAR_BEALIT_BV@COUNTERPART--BZ,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Belize],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--BZ
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Canada],EN_MAR_BEALIT_BV@COUNTERPART--CA,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Canada],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CA
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Democratic Republic of the Congo],EN_MAR_BEALIT_BV@COUNTERPART--CD,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Democratic Republic of the Congo],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CD
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Central African Republic],EN_MAR_BEALIT_BV@COUNTERPART--CF,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Central African Republic],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CF
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Congo],EN_MAR_BEALIT_BV@COUNTERPART--CG,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Congo],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CG
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Côte d'Ivoire],EN_MAR_BEALIT_BV@COUNTERPART--CI,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Côte d'Ivoire],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CI
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Chile],EN_MAR_BEALIT_BV@COUNTERPART--CL,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Chile],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CL
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Cameroon],EN_MAR_BEALIT_BV@COUNTERPART--CM,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Cameroon],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CM
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = China],EN_MAR_BEALIT_BV@COUNTERPART--CN,Beach litter originating from national land-based sources that ends in the beach [Counterpart = China],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CN
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Colombia],EN_MAR_BEALIT_BV@COUNTERPART--CO,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Colombia],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CO
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Costa Rica],EN_MAR_BEALIT_BV@COUNTERPART--CR,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Costa Rica],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CR
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Cuba],EN_MAR_BEALIT_BV@COUNTERPART--CU,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Cuba],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CU
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Cabo Verde],EN_MAR_BEALIT_BV@COUNTERPART--CV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Cabo Verde],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CV
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Cyprus],EN_MAR_BEALIT_BV@COUNTERPART--CY,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Cyprus],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--CY
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Germany],EN_MAR_BEALIT_BV@COUNTERPART--DE,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Germany],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--DE
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Djibouti],EN_MAR_BEALIT_BV@COUNTERPART--DJ,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Djibouti],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--DJ
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Denmark],EN_MAR_BEALIT_BV@COUNTERPART--DK,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Denmark],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--DK
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Dominica],EN_MAR_BEALIT_BV@COUNTERPART--DM,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Dominica],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--DM
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Dominican Republic],EN_MAR_BEALIT_BV@COUNTERPART--DO,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Dominican Republic],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--DO
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Algeria],EN_MAR_BEALIT_BV@COUNTERPART--DZ,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Algeria],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--DZ
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Ecuador],EN_MAR_BEALIT_BV@COUNTERPART--EC,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Ecuador],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--EC
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Estonia],EN_MAR_BEALIT_BV@COUNTERPART--EE,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Estonia],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--EE
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Egypt],EN_MAR_BEALIT_BV@COUNTERPART--EG,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Egypt],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--EG
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Western Sahara],EN_MAR_BEALIT_BV@COUNTERPART--EH,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Western Sahara],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--EH
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Eritrea],EN_MAR_BEALIT_BV@COUNTERPART--ER,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Eritrea],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--ER
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Spain],EN_MAR_BEALIT_BV@COUNTERPART--ES,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Spain],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--ES
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Ethiopia],EN_MAR_BEALIT_BV@COUNTERPART--ET,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Ethiopia],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--ET
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Finland],EN_MAR_BEALIT_BV@COUNTERPART--FI,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Finland],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--FI
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Fiji],EN_MAR_BEALIT_BV@COUNTERPART--FJ,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Fiji],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--FJ
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Falkland Islands (Malvinas)],EN_MAR_BEALIT_BV@COUNTERPART--FK,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Falkland Islands (Malvinas)],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--FK
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Micronesia (Federated States of)],EN_MAR_BEALIT_BV@COUNTERPART--FM,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Micronesia (Federated States of)],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--FM
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Faeroe Islands],EN_MAR_BEALIT_BV@COUNTERPART--FO,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Faeroe Islands],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--FO
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = France],EN_MAR_BEALIT_BV@COUNTERPART--FR,Beach litter originating from national land-based sources that ends in the beach [Counterpart = France],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--FR
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Gabon],EN_MAR_BEALIT_BV@COUNTERPART--GA,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Gabon],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GA
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = United Kingdom of Great Britain and Northern Ireland],EN_MAR_BEALIT_BV@COUNTERPART--GB,Beach litter originating from national land-based sources that ends in the beach [Counterpart = United Kingdom of Great Britain and Northern Ireland],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GB
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Georgia],EN_MAR_BEALIT_BV@COUNTERPART--GE,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Georgia],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GE
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = French Guiana],EN_MAR_BEALIT_BV@COUNTERPART--GF,Beach litter originating from national land-based sources that ends in the beach [Counterpart = French Guiana],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GF
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Guernsey],EN_MAR_BEALIT_BV@COUNTERPART--GG,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Guernsey],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GG
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Ghana],EN_MAR_BEALIT_BV@COUNTERPART--GH,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Ghana],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GH
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Greenland],EN_MAR_BEALIT_BV@COUNTERPART--GL,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Greenland],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GL
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Gambia],EN_MAR_BEALIT_BV@COUNTERPART--GM,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Gambia],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GM
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Guinea],EN_MAR_BEALIT_BV@COUNTERPART--GN,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Guinea],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GN
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Guadeloupe],EN_MAR_BEALIT_BV@COUNTERPART--GP,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Guadeloupe],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GP
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Equatorial Guinea],EN_MAR_BEALIT_BV@COUNTERPART--GQ,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Equatorial Guinea],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GQ
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Greece],EN_MAR_BEALIT_BV@COUNTERPART--GR,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Greece],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GR
,,,,Do not display in country pages,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Guatemala],EN_MAR_BEALIT_BV@COUNTERPART--GT,Beach litter originating from national land-based sources that ends in the beach [Counterpart = Guatemala],dcid:sdg/EN_MAR_BEALIT_BV.COUNTERPART--GT
