dc/topic/ILOEMPNIFLRT,Informal Employment Rate previous ILO Definition
dc/topic/ILOEMPNORMNB,"Employment, Normative Approach"
dc/topic/ILOEMPPIFLNB,Employment Outside The Formal Sector previous ILO Definition
dc/topic/ILOEMPPIFLRT,Share of Employment Outside The Formal Sector previous ILO Definition
dc/topic/ILOEMPPTERRT,Part-time Employment Rate
dc/topic/ILOEMPPUBLNB,Public Sector Employment
dc/topic/ILOEMPSNIFRT,Informal Employment in STEM Occupations Rate
dc/topic/ILOEMPSPIFRT,Share of Employment in STEM Occupations Outside The Formal Sector
dc/topic/ILOEMPSTATNB,Employment by Educational Mismatch using Statistical Approach
dc/topic/ILOEMPSTEMNB,Employment in STEM Occupations
dc/topic/ILOEMPTEM1NB,"Employment, Seasonally Adjusted Series"
dc/topic/ILOEMPTEMPNB,Employment previous ILO Definition
dc/topic/ILOEMPTNIFRT,Informal Tourism Sector Employment Rate
dc/topic/ILOEMPTOURNB,Tourism Sector Employment
dc/topic/ILOEMPTPIFRT,Share of Tourism Sector Employment Outside The Formal Sector
dc/topic/ILOFOW5SFPNB,Subsistence Foodstuff Producers current ILO Definition
dc/topic/ILOFOW5SFPRT,Subsistence Foodstuff Production Rate current ILO Definition
dc/topic/ILOGED2LFPRT,Prime-age Labour Force Participation Rate ILO Modelled Estimates
dc/topic/ILOHOWTEMPNB,Mean Weekly Hours Actually Worked Per Employed Person
dc/topic/ILOINJDAYSNB,Number of Days Lost Due To Cases of Occupational Injury With Temporary Incapacity for Work
dc/topic/ILOINJFATLNB,Cases of Fatal Occupational Injury
dc/topic/ILOINJFATLRT,Fatal Occupational Injuries Per 100'000 Workers
dc/topic/ILOINJNFTLNB,Cases of Non-fatal Occupational Injury
dc/topic/ILOINJNFTLRT,Non-fatal Occupational Injuries Per 100'000 Workers
dc/topic/ILOLAC4HRLNBPPP,Hourly Labour Cost Per Employee
dc/topic/ILOLAC4HRLNBUSD,Hourly Labour Cost Per Employee
dc/topic/ILOLAIINSPNB,Number of Labour Inspectors
dc/topic/ILOLAP2LIDRT,Labour Income Distribution ILO Modelled Estimates
dc/topic/ILOLUU5LU2RT,Combined Rate of Time-related Underemployment And Unemployment LU2 current ILO Definition
dc/topic/ILOLUU5LU3RT,Combined Rate of Unemployment And Potential Labour Force LU3 current ILO Definition
dc/topic/ILOLUU5LU4RT,Composite Rate of Labour Underutilization LU4 current ILO Definition
dc/topic/ILOLUUXLU2RT,Combined Rate of Time-related Underemployment And Unemployment LU2 previous ILO Definition
dc/topic/ILOLUUXLU3RT,Combined Rate of Unemployment And Potential Labour Force LU3 previous ILO Definition
dc/topic/ILOLUUXLU4RT,Composite Rate of Labour Underutilization LU4 previous ILO Definition
dc/topic/ILOPOPXWAPNB,Working-age Population
dc/topic/ILOSTRDAYSNB,Number of Days Not Worked Due To Strikes And Lockouts
dc/topic/ILOSTRDAYSRT,Proportion of Days Not Worked Due To Strikes And Lockouts
dc/topic/ILOSTRTSTRNB,Strikes And Lockouts
dc/topic/ILOSTRWORKNB,Workers Involved in Strikes And Lockouts
dc/topic/ILOTRUDEMPRT,Time-related Underemployment Rate
dc/topic/ILOTRUTTRUNB,Time-related Underemployment
dc/topic/ILOUNE5EAPRT,Unemployment Rate current ILO Definition
dc/topic/ILOUNE5UNENB,Unemployment current ILO Definition
dc/topic/ILOUNEDEA1RT,"Unemployment Rate, Seasonally Adjusted Series"
dc/topic/ILOUNEDEAPRT,Unemployment Rate previous ILO Definition
dc/topic/ILOUNETUN1NB,"Unemployment, Seasonally Adjusted Series"
dc/topic/ILOUNETUNENB,Unemployment previous ILO Definition
dc/topic/ILOWBLTWBLRT,Participation Rate in Work-based Learning
