SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Adult_curr_cig_smokers_male,dcid:country/BTN,2019,14.3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/BWA,2017,2.8
dcs:who/Adult_curr_cig_smokers,dcid:country/BWA,2017,12.9
dcs:who/Adult_curr_cig_smokers_male,dcid:country/BWA,2017,23.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/CAN,2021,11
dcs:who/Adult_curr_cig_smokers,dcid:country/CAN,2021,12
dcs:who/Adult_curr_cig_smokers_male,dcid:country/CAN,2021,14
dcs:who/Adult_curr_cig_smokers_female,dcid:country/CHE,2022,20.1
dcs:who/Adult_curr_cig_smokers,dcid:country/CHE,2022,22.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/CHE,2022,24.2
dcs:who/Adult_curr_cig_smokers,dcid:country/CHL,2022,30.3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/CHL,2022,28.6
dcs:who/Adult_curr_cig_smokers_male,dcid:country/CHL,2022,32
dcs:who/Adult_curr_cig_smokers_female,dcid:country/CHN,2018,2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/CHN,2018,50.1
dcs:who/Adult_curr_cig_smokers,dcid:country/CHN,2018,26.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/CIV,2016,16.7
dcs:who/Adult_curr_cig_smokers_female,dcid:country/CIV,2016,0.1
dcs:who/Adult_curr_cig_smokers_female,dcid:country/CMR,2018,0.3
dcs:who/Adult_curr_cig_smokers_male,dcid:country/CMR,2018,9.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/COD,2018,13.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/COD,2018,0.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/COG,2015,14.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/COG,2015,0.5
dcs:who/Adult_curr_cig_smokers_male,dcid:country/COM,2012,18.8
dcs:who/Adult_curr_cig_smokers_female,dcid:country/COM,2012,1.6
dcs:who/Adult_curr_cig_smokers_male,dcid:country/CPV,2020,10.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/CPV,2020,1.5
dcs:who/Adult_curr_cig_smokers,dcid:country/CPV,2020,6.1
dcs:who/Adult_curr_cig_smokers,dcid:country/CRI,2015,8.8
dcs:who/Adult_curr_cig_smokers_male,dcid:country/CRI,2015,13.1
dcs:who/Adult_curr_cig_smokers_female,dcid:country/CRI,2015,4.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/CUB,2019,22.7
dcs:who/Adult_curr_cig_smokers_female,dcid:country/CUB,2019,10.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/CZE,2021,18.2
dcs:who/Adult_curr_cig_smokers,dcid:country/CZE,2021,22.8
dcs:who/Adult_curr_cig_smokers_male,dcid:country/CZE,2021,27.6
dcs:who/Adult_curr_cig_smokers_female,dcid:country/DOM,2019,2.7
dcs:who/Adult_curr_cig_smokers_female,dcid:country/ECU,2018,2.5
dcs:who/Adult_curr_cig_smokers,dcid:country/ECU,2018,10.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/ECU,2018,19.3
dcs:who/Adult_curr_cig_smokers,dcid:country/EGY,2017,18.6
dcs:who/Adult_curr_cig_smokers_female,dcid:country/EGY,2017,0.3
dcs:who/Adult_curr_cig_smokers_male,dcid:country/EGY,2017,35.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/ETH,2016,0.2
dcs:who/Adult_curr_cig_smokers,dcid:country/ETH,2016,2.9
dcs:who/Adult_curr_cig_smokers_male,dcid:country/ETH,2016,5.5
dcs:who/Adult_curr_cig_smokers_male,dcid:country/FJI,2021,36.3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/FJI,2021,11.8
dcs:who/Adult_curr_cig_smokers,dcid:country/FSM,2012,62.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/FSM,2012,69.1
dcs:who/Adult_curr_cig_smokers_female,dcid:country/FSM,2012,46.9
dcs:who/Adult_curr_cig_smokers_male,dcid:country/GAB,2012,22.3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/GAB,2012,2.9
dcs:who/Adult_curr_cig_smokers_male,dcid:country/GEO,2019,44.6
dcs:who/Adult_curr_cig_smokers,dcid:country/GEO,2019,24.8
dcs:who/Adult_curr_cig_smokers_female,dcid:country/GEO,2019,6.8
dcs:who/Adult_curr_cig_smokers_female,dcid:country/GHA,2018,0.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/GHA,2018,3.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/GIN,2018,12.8
dcs:who/Adult_curr_cig_smokers_female,dcid:country/GIN,2018,0.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/GMB,2018,0.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/GMB,2018,15.7
dcs:who/Adult_curr_cig_smokers_female,dcid:country/GNB,2019,0.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/GNB,2019,10.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/GNQ,2011,1.5
dcs:who/Adult_curr_cig_smokers_male,dcid:country/GNQ,2011,26.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/GTM,2015,21.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/GTM,2015,1.5
dcs:who/Adult_curr_cig_smokers,dcid:country/GUY,2016,14.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/GUY,2016,2.8
dcs:who/Adult_curr_cig_smokers_male,dcid:country/GUY,2016,25.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/HND,2019,1.8
dcs:who/Adult_curr_cig_smokers_male,dcid:country/HND,2019,22.5
dcs:who/Adult_curr_cig_smokers_male,dcid:country/HTI,2017,9.6
dcs:who/Adult_curr_cig_smokers_female,dcid:country/HTI,2017,1.7
dcs:who/Adult_curr_cig_smokers_female,dcid:country/IDN,2021,2.1
dcs:who/Adult_curr_cig_smokers,dcid:country/IDN,2021,33.3
dcs:who/Adult_curr_cig_smokers_male,dcid:country/IDN,2021,64.5
dcs:who/Adult_curr_cig_smokers,dcid:country/IRN,2016,10.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/IRN,2016,20.1
dcs:who/Adult_curr_cig_smokers_female,dcid:country/IRN,2016,0.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/IRQ,2018,0.8
dcs:who/Adult_curr_cig_smokers_female,dcid:country/ITA,2022,18.5
dcs:who/Adult_curr_cig_smokers_male,dcid:country/ITA,2022,30.2
dcs:who/Adult_curr_cig_smokers,dcid:country/ITA,2022,24.2
dcs:who/Adult_curr_cig_smokers,dcid:country/KAZ,2021,20
dcs:who/Adult_curr_cig_smokers_female,dcid:country/KAZ,2021,7.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/KAZ,2021,38.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/KGZ,2013,2.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/KGZ,2013,48.2
dcs:who/Adult_curr_cig_smokers,dcid:country/KGZ,2013,25.7
dcs:who/Adult_curr_cig_smokers_female,dcid:country/KHM,2021,2.1
dcs:who/Adult_curr_cig_smokers,dcid:country/KHM,2021,13
dcs:who/Adult_curr_cig_smokers_male,dcid:country/KHM,2021,25.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/KIR,2019,44.6
dcs:who/Adult_curr_cig_smokers_female,dcid:country/KIR,2019,20.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/KOR,2021,5.8
dcs:who/Adult_curr_cig_smokers_male,dcid:country/KOR,2021,30.7
dcs:who/Adult_curr_cig_smokers,dcid:country/KOR,2021,18.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/LAO,2017,43.1
dcs:who/Adult_curr_cig_smokers_female,dcid:country/LAO,2017,4.1
dcs:who/Adult_curr_cig_smokers_female,dcid:country/LBR,2013,0.3
dcs:who/Adult_curr_cig_smokers_male,dcid:country/LBR,2013,9.6
dcs:who/Adult_curr_cig_smokers,dcid:country/LBY,2009,25.1
dcs:who/Adult_curr_cig_smokers,dcid:country/LKA,2020,6.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/LKA,2020,13.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/LKA,2020,0
dcs:who/Adult_curr_cig_smokers_male,dcid:country/LSO,2018,31
dcs:who/Adult_curr_cig_smokers_female,dcid:country/LSO,2018,0.4
dcs:who/Adult_curr_cig_smokers,dcid:country/LTU,2021,34.9
dcs:who/Adult_curr_cig_smokers_male,dcid:country/LTU,2021,49.2
dcs:who/Adult_curr_cig_smokers_female,dcid:country/LTU,2021,20.5
dcs:who/Adult_curr_cig_smokers_male,dcid:country/MDA,2021,48.1
dcs:who/Adult_curr_cig_smokers,dcid:country/MDA,2021,27.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/MDA,2021,6.3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/MDG,2021,1.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/MDG,2021,29.7
dcs:who/Adult_curr_cig_smokers,dcid:country/MHL,2018,22.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/MHL,2018,4.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/MHL,2018,43.3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/MLI,2018,0.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/MLI,2018,12.3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/MMR,2016,1.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/MMR,2016,31.7
dcs:who/Adult_curr_cig_smokers,dcid:country/MNG,2019,23.6
dcs:who/Adult_curr_cig_smokers_male,dcid:country/MNG,2019,42.7
dcs:who/Adult_curr_cig_smokers_female,dcid:country/MNG,2019,4.8
dcs:who/Adult_curr_cig_smokers_male,dcid:country/MOZ,2011,19.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/MOZ,2011,1.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/MRT,2021,15.7
dcs:who/Adult_curr_cig_smokers_female,dcid:country/MRT,2021,1.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/MWI,2020,0.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/MWI,2020,11.3
dcs:who/Adult_curr_cig_smokers,dcid:country/MYS,2019,20.8
dcs:who/Adult_curr_cig_smokers_female,dcid:country/MYS,2019,1.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/MYS,2019,39.6
dcs:who/Adult_curr_cig_smokers_female,dcid:country/NAM,2013,4.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/NAM,2013,18.6
dcs:who/Adult_curr_cig_smokers,dcid:country/NGA,2018,3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/NGA,2018,0.3
dcs:who/Adult_curr_cig_smokers_male,dcid:country/NGA,2018,5.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/NIC,2001,5.2
dcs:who/Adult_curr_cig_smokers_female,dcid:country/NIU,2017,11.5
dcs:who/Adult_curr_cig_smokers_male,dcid:country/NIU,2017,24.6
dcs:who/Adult_curr_cig_smokers,dcid:country/NIU,2017,17.7
dcs:who/Adult_curr_cig_smokers_female,dcid:country/NPL,2019,6.2
dcs:who/Adult_curr_cig_smokers,dcid:country/NPL,2019,14.8
dcs:who/Adult_curr_cig_smokers_male,dcid:country/NPL,2019,24.6
dcs:who/Adult_curr_cig_smokers_male,dcid:country/PAK,2018,21.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/PAK,2018,3.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/PER,2021,13.7
dcs:who/Adult_curr_cig_smokers,dcid:country/PER,2021,8.2
dcs:who/Adult_curr_cig_smokers_female,dcid:country/PER,2021,3.1
dcs:who/Adult_curr_cig_smokers,dcid:country/PHL,2021,17.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/PHL,2021,31.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/PHL,2021,3.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/PNG,2018,38.8
dcs:who/Adult_curr_cig_smokers_female,dcid:country/PNG,2018,22
dcs:who/Adult_curr_cig_smokers_female,dcid:country/POL,2021,18.3
dcs:who/Adult_curr_cig_smokers_male,dcid:country/POL,2021,27.4
dcs:who/Adult_curr_cig_smokers,dcid:country/POL,2021,22.6
dcs:who/Adult_curr_cig_smokers_male,dcid:country/PRK,2017,40.3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/PRK,2017,0
dcs:who/Adult_curr_cig_smokers,dcid:country/PRK,2017,19.2
dcs:who/Adult_curr_cig_smokers_female,dcid:country/PRY,2016,4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/PSE,2022,3.8
dcs:who/Adult_curr_cig_smokers_male,dcid:country/PSE,2022,43.2
dcs:who/Adult_curr_cig_smokers,dcid:country/PSE,2022,23.5
dcs:who/Adult_curr_cig_smokers,dcid:country/QAT,2013,11.2
dcs:who/Adult_curr_cig_smokers_female,dcid:country/QAT,2013,2.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/QAT,2013,18.9
dcs:who/Adult_curr_cig_smokers,dcid:country/RUS,2022,18.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/RUS,2022,7.9
dcs:who/Adult_curr_cig_smokers_male,dcid:country/RUS,2022,33.3
dcs:who/Adult_curr_cig_smokers_male,dcid:country/SAU,2019,24.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/SAU,2019,2.5
dcs:who/Adult_curr_cig_smokers,dcid:country/SAU,2019,15.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/SDN,2016,0.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/SDN,2016,15.2
dcs:who/Adult_curr_cig_smokers,dcid:country/SDN,2016,8.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/SEN,2017,0.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/SEN,2017,12.8
dcs:who/Adult_curr_cig_smokers_female,dcid:country/SGP,2021,3.3
dcs:who/Adult_curr_cig_smokers,dcid:country/SGP,2021,10.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/SGP,2021,17.8
dcs:who/Adult_curr_cig_smokers_female,dcid:country/SLV,2022,2.9
dcs:who/Adult_curr_cig_smokers_male,dcid:country/SLV,2022,10.5
dcs:who/Adult_curr_cig_smokers,dcid:country/SLV,2022,6.3
dcs:who/Adult_curr_cig_smokers,dcid:country/SRB,2019,34.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/SRB,2019,32.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/SRB,2019,36.9
dcs:who/Adult_curr_cig_smokers_male,dcid:country/SUR,2013,29.2
dcs:who/Adult_curr_cig_smokers,dcid:country/SUR,2013,17.2
dcs:who/Adult_curr_cig_smokers_female,dcid:country/SUR,2013,5.8
dcs:who/Adult_curr_cig_smokers_male,dcid:country/SVN,2021,15.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/SVN,2021,12.9
dcs:who/Adult_curr_cig_smokers,dcid:country/SVN,2021,14.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/SYC,2013,34.1
dcs:who/Adult_curr_cig_smokers,dcid:country/SYC,2013,20.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/SYC,2013,7.7
dcs:who/Adult_curr_cig_smokers_female,dcid:country/TCD,2015,0.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/TCD,2015,10.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/TGO,2017,0.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/TGO,2017,7.6
dcs:who/Adult_curr_cig_smokers_female,dcid:country/THA,2021,1.3
dcs:who/Adult_curr_cig_smokers_male,dcid:country/THA,2021,33.7
dcs:who/Adult_curr_cig_smokers,dcid:country/THA,2021,16.9
dcs:who/Adult_curr_cig_smokers_female,dcid:country/TJK,2017,0.5
dcs:who/Adult_curr_cig_smokers,dcid:country/TKM,2018,3.3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/TKM,2018,0.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/TKM,2018,6.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/TLS,2016,4.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/TLS,2016,52.3
dcs:who/Adult_curr_cig_smokers_male,dcid:country/TON,2019,41.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/TON,2019,15.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/TUN,2018,46.6
dcs:who/Adult_curr_cig_smokers_female,dcid:country/TUN,2018,1.6
dcs:who/Adult_curr_cig_smokers_male,dcid:country/TUV,2020,44.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/TUV,2020,15.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/TZA,2018,12.8
dcs:who/Adult_curr_cig_smokers_female,dcid:country/TZA,2018,0.7
dcs:who/Adult_curr_cig_smokers,dcid:country/TZA,2018,6.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/UGA,2016,0.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/UGA,2016,9.8
dcs:who/Adult_curr_cig_smokers_male,dcid:country/USA,2020,14.1
dcs:who/Adult_curr_cig_smokers,dcid:country/USA,2020,12.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/USA,2020,11
dcs:who/Adult_curr_cig_smokers_female,dcid:country/VEN,2011,13.9
dcs:who/Adult_curr_cig_smokers,dcid:country/VEN,2011,19.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/VEN,2011,25.2
dcs:who/Adult_curr_cig_smokers,dcid:country/ZAF,2021,23.9
dcs:who/Adult_curr_cig_smokers_male,dcid:country/ZAF,2021,39.1
dcs:who/Adult_curr_cig_smokers_female,dcid:country/ZAF,2021,9.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/ZMB,2018,19.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/ZMB,2018,0.9
dcs:who/Adult_curr_cig_smokers_male,dcid:country/ZWE,2015,17.4
dcs:who/Adult_curr_cig_smokers_female,dcid:country/ZWE,2015,0.3
