chapter_title,chapter,section,text,note,glossary
Welcome to the climate finance “Wild West”,messy data,8,"<i>Who benefits from such a system?</i> Certainly not the millions of people on the frontlines of climate change who are losing their homes, their livelihoods, and even their lives.",,
Welcome to the climate finance “Wild West”,messy data,8,It doesn’t need to be this way. Incredible progress in our ability to track and share complex data means that we have the ability to track — with precision — every dollar being spent on climate finance. Not doing so is a political choice. And it’s one that must change.,,
Providers keep breaking their promises,promises,9,"Industrialised countries are doing the bare minimum to help developing countries deal with the climate crisis. In 2021, they <a href=""https://www.oecd.org/newsroom/growth-accelerated-in-the-climate-finance-provided-and-mobilised-in-2021-but-developed-countries-remain-short.htm"" target=""_blank"">claimed to have contributed</a> US$89.6 billion That may seem close to the (low) bar they set for themselves in 2009: to provide US$100 billion in annual climate finance to developing countries by 2020.",,"[""Countries particularly exposed to the negative effects of climate change. For example, small islands to rising sea levels.""]"
Providers keep breaking their promises,promises,9,"But that number is almost certainly inflated. Meanwhile, those same countries collectively <a href=""https://milex.sipri.org/sipri"" target=""_blank"">spent 14 times as much (US$1.3 trillion)</a> on their militaries that year.",,
Providers keep breaking their promises,promises,10,"They <a href=""https://www.oecd.org/environment/forward-looking-scenarios-of-climate-finance-provided-and-mobilised-by-developed-countries-in-2021-2025-a53aac3b-en.htm"" target=""_blank"">might meet the US$100 billion goal</a> in 2023 (or perhaps already did, the <a href=""https://www.oecd-ilibrary.org/docserver/e20d2bc7-en.pdf?expires=1700703529&id=id&accname=guest&checksum=5676CCEB856EFC926D4DD8E42DAD6FEA"" target=""_blank"">OECD has hinted</a>, without providing evidence) — but they have already short-changed vulnerable countries by billions of promised dollars. And because of the lack of transparent, standardised, and easily accessible data, those figures obscure the real story.",,
Providers keep breaking their promises,promises,11,The Climate Finance Files reveal that providers are committing and delivering less climate finance than they claim. ,,
Providers keep breaking their promises,promises,11,A lot less. ,,
Providers keep breaking their promises,promises,11,"Climate finance ¶0commitments¶ are <b>vastly</b> overstated. <b>Nearly two-thirds</b> of climate finance commitments ¶1counted¶ by the OECD are never reported as ¶2disbursed¶ or didn’t have much to do with climate to begin with. Between 2013 and 2021, that’s an <b>eye-popping US$343 billion</b>.",,"[""Not the same as pledges. In theory, they are a 'formal obligation,' but don't always materialise."",""Strictly speaking, providers report to the OECD, which publishes the data."",""Actual transfers of resources (unlike commitments, which only reflect an intention to spend)""]"
Providers keep breaking their promises,promises,11,Let’s break that down. ,,
Providers keep breaking their promises,promises,12,"The <a href=""https://www.oecd.org/development/financing-sustainable-development/development-finance-topics/climate-change.htm"" target=""_blank"">total climate finance commitments</a> reported to the OECD by ¶0all providers¶ between 2013 and 2021 are much higher than they actually are. At least $1 in every $5 of climate finance commitments in the OECD’s open dataset between 2013 and 2021 —  worth US$115 billion — is counted as if it were ¶1exclusively¶ related to climate. Instead, it is money spent on things that have little or nothing to do with climate.",Not the same data the OECD uses to track progress toward the US$100 billion pledge (which isn't public).,"[""Bilateral (countries like Italy or Canada) and multilateral (like the World Bank)"",""Projects for which climate is one of multiple objectives (but are anyway counted as 100% climate finance)""]"
Providers keep breaking their promises,promises,13,"The OECD (or its members) choose to present this data as “commitments,” instead of analysing how much is actually disbursed. That’s problematic because providers systematically disburse less money than they commit.",,"[""A 'firm' obligation to provide financing to a certain country or institutions for specified purposes.""]"
Providers keep breaking their promises,promises,13,Only 49% of the climate finance committed by ¶bilateral providers¶ between 2013 and 2021 was reported as disbursed or was meaningfully related to climate. That’s a difference of US$135 billion.,,"[""Countries that provide financing to other countries directly in a one on one relationship.""]"
Providers keep breaking their promises,promises,14,These reporting discrepancies can be considerable and consequential. ,,
Providers keep breaking their promises,promises,14,"For instance, between 2013 and 2021, France reported disbursements for only 43% of what it claimed credit for when reporting climate finance commitments to the OECD (a difference of US$22 billion). Germany reported disbursing only 47% of its commitments (US$34 billion less).",,
Providers keep breaking their promises,promises,14,"Some ¶multilateral institutions¶ don't report disbursement data at all to the OECD, making it difficult (and sometimes impossible) to accurately track. As such, these numbers are incomplete, highlighting the poor state of climate finance reporting.",,"[""Organisations run by multiple countries to work on issues of common interest (e.g. UN and World Bank).""]"
Providers keep breaking their promises,promises,14,"Without an accurate picture of how much providers are contributing, recipient countries are left in the dark, unable to accurately plan or budget for climate projects.",,
Providers keep breaking their promises,promises,14,"Nigeria, for instance, received 76% less than it was promised between 2013 and 2021 (a difference of US$4.5 billion). Senegal received 66% (US$2.8 billion) less and Kenya 52% (US$4.5 billion) less.",,
Providers keep breaking their promises,promises,14,Bad data makes it virtually impossible to hold providers accountable for their climate pledges and responsibilities.,,
Providers keep breaking their promises,promises,14,It also breeds distrust.,,
Providers keep breaking their promises,promises,14,"Given a history littered with broken commitments and perceived donor country hypocrisy, climate-vulnerable countries are losing trust in both climate finance data and donors’ intentions to meet their commitments. Reestablishing that trust will be crucial for negotiations over a new climate finance target for 2025 and beyond (which climate negotiators, to the chagrin of marketers and allies of memorable names, christened “the New Collective Quantified Goal on Climate Finance”).",,
Climate finance isn’t going where it’s needed most,misallocation,15,The world’s most climate-vulnerable countries aren’t getting the climate finance they need.,,
Climate finance isn’t going where it’s needed most,misallocation,15,The world’s 20 most climate-vulnerable countries received a <b>total</b> of US$1.7 billion in climate finance disbursements in 2021. That’s just 6.5% of the ¶US$26.1 billion¶ they need each year to address climate change.,,"[""Climate needs can be met via public, private, or other sources.""]"
Climate finance isn’t going where it’s needed most,misallocation,16,"Cash-strapped countries are being forced to choose between taking steps to curb their own emissions (“¶0mitigation¶”) and adapt to climate change (“¶1adaptation¶”), or invest in other pressing priorities, like feeding, caring for, and educating their people. Let’s look at health spending as an example.",,"[""Reducing the output of heat-trapping greenhouse gases into the atmosphere."",""Adjusting to current or future impacts of climate change.""]"
Climate finance isn’t going where it’s needed most,misallocation,16,"The Democratic Republic of the Congo’s domestic government spending on health in 2020 accounted for just 0.7% of GDP (US$317 million), far below the <a href=""https://data.one.org/topics/health-financing/"" target=""_blank"">recommended 5% of GDP</a>. Meanwhile, the <a href=""https://www.climatepolicyinitiative.org/wp-content/uploads/2022/06/Climate-Finance-Needs-of-African-Countries-1.pdf"" target=""_blank"">DRC needs US$4.8 billion in climate finance</a> per year to implement a green energy transition and adapt to climate change. Yet the DRC received a mere US$182 million in climate finance from international providers in 2021.",,
Climate finance isn’t going where it’s needed most,misallocation,16,"The chart below shows how little money many vulnerable countries are spending on health and climate, highlighting their fiscal constraints to take action on climate without support.",,
Climate finance isn’t going where it’s needed most,misallocation,17,It gets worse: Money is actually flowing <b>out</b> of many ¶debt-distressed¶ countries. That’s because many countries with severe debt problems are paying more to service their debt each year than they receive in climate finance.,,"[""Countries with severe debt problems according to Jensen/UNDP (2022)""]"
Climate finance isn’t going where it’s needed most,misallocation,17,"Of the 46 (out of 54) countries with severe debt problems for which we have debt payment data, 20 paid more in debt payments to lenders between 2019 and 2021 than they received in climate finance. Seven of those countries are in Africa.",,
Debt payments often outstrip climate finance,debt cominance,18,"These countries, in effect, are experiencing negative net climate finance flows.",,
Debt payments often outstrip climate finance,debt cominance,18,"The majority of climate finance providers are guilty of perpetuating this problem. Between 2019 and 2021, 27 out of 42 providers (64%) received more in debt payments from countries with severe debt problems than they provided in climate finance to those same countries.",,
Debt payments often outstrip climate finance,debt cominance,18,"To make matters worse, much of the climate finance those heavily-indebted countries receive is in the form of new debt.",,
Debt payments often outstrip climate finance,debt cominance,18,More than half (58%) of all climate finance disbursed to the 54 countries with severe debt problems between 2019 and 2021 were in the form of loans. Nearly $1 in every $4 of climate finance for those countries was a ¶non-concessional loan¶. That risks deepening those countries’ debt problems and jeopardising their ability to meet their citizens’ needs and tackle climate change in the long run,,"[""Loans at, or close to, market rates.""]"
Debt payments often outstrip climate finance,debt cominance,18,Piling climate debt onto already heavily-indebted countries – particularly if it’s non-concessional – is climate malpractice. Yet that is precisely what providers are doing in many cases when it comes to the types of climate finance they are providing. See for yourself in the data below.,,
Why this matters,implications,19,"Climate change could push more than <a href=""https://documents1.worldbank.org/curated/en/706751601388457990/pdf/Revised-Estimates-of-the-Impact-of-Climate-Change-on-Extreme-Poverty-by-2030.pdf"" target=""_blank"">132 million</a> additional people into ¶extreme poverty¶ by the end of the decade. By 2050, more than 1.6 billion people – including nearly 20% of Africa’s population – <a href=""https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2022/INFORM%20Climate%20Change%20Brochure.pdf"" target=""_blank"">could be exposed</a> to severe droughts. That’s a 400% increase from today.",,"[""The most severe level of poverty. People are unable to meet basic needs, living on less than PPP$2.15 a day.""]"
Why this matters,implications,19,"Everyone, everywhere is better off if climate-vulnerable countries get the help they need to build resilient economies, infrastructure, and social safety nets. To prevent millions of people from falling into poverty. To avoid countless, costly humanitarian crises and conflicts. To avert future carbon emissions. To make the world more peaceful and prosperous.",,
Why this matters,implications,19,Ensuring those countries get the support they need requires accurate tracking of climate finance flows. That will ensure that providers can be held accountable for delivering on their pledges and their fair share of climate finance.,,
A plan for climate action,plan,20,Fighting climate change is hard. Monitoring our actions to fight climate change shouldn’t be. A world in which we can ensure that climate-vulnerable countries have the resources they need to prepare for a climate-changed future is within our grasp.,,
A plan for climate action,plan,20,We just need to seize it. Here’s how.,,
