Query,SV,Place,Exception,EmptyResult,WrongPlace,ChartSVRank,EmbeddingsSVRank
the percentage of the total government budget spent on the military in burundi,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/BDI,,,,0,0
the amount of money the government spends on the military as a percentage of its total budget in burundi,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/BDI,,,,0,0
the proportion of government spending that goes to the military in burundi,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/BDI,,,,0,0
the percentage of government spending on tertiary education in the united states in afghanistan,Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government,country/AFG,,,*,0,0
the amount of money the us government spends on tertiary education as a percentage of its total budget in afghanistan,Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government,country/AFG,,,*,0,0
the proportion of the us government's budget that goes towards tertiary education in afghanistan,Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government,country/AFG,,,*,0,0
the economic output of the accommodation and food services industry in washington,Amount_EconomicActivity_GrossDomesticProduction_NAICSAccommodationFoodServices_RealValue,geoId/53,,,,0,0
the total value of goods and services produced by the accommodation and food services industry in washington,Amount_EconomicActivity_GrossDomesticProduction_NAICSAccommodationFoodServices_RealValue,geoId/53,,,,0,0
the total income generated by the accommodation and food services industry in washington,Amount_EconomicActivity_GrossDomesticProduction_NAICSAccommodationFoodServices_RealValue,geoId/53,,,,0,0
the economic output of the administrative and support and waste management services industry in alabama,Amount_EconomicActivity_GrossDomesticProduction_NAICSAdministrativeSupportWasteManagementRemediationServices_RealValue,geoId/01,,,,0,0
the total value of goods and services produced by the administrative and support and waste management services industry in alabama,Amount_EconomicActivity_GrossDomesticProduction_NAICSAdministrativeSupportWasteManagementRemediationServices_RealValue,geoId/01,,,,0,0
the size of the administrative and support and waste management services industry in alabama,Amount_EconomicActivity_GrossDomesticProduction_NAICSAdministrativeSupportWasteManagementRemediationServices_RealValue,geoId/01,,,,2,1
"the economic output of the agriculture, forestry, fishing, and hunting industry in wyoming",Amount_EconomicActivity_GrossDomesticProduction_NAICSAgricultureForestryFishingHunting_RealValue,geoId/56,,,,0,1
"the total value of goods and services produced by the agriculture, forestry, fishing, and hunting industry in wyoming",Amount_EconomicActivity_GrossDomesticProduction_NAICSAgricultureForestryFishingHunting_RealValue,geoId/56,,,,0,1
"the amount of money generated by the agriculture, forestry, fishing, and hunting industry in wyoming",Amount_EconomicActivity_GrossDomesticProduction_NAICSAgricultureForestryFishingHunting_RealValue,geoId/56,,,,0,1
"the economic output of the arts, entertainment, and recreation industry in south dakota",Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreation_RealValue,geoId/46,,,,0,0
"the total value of goods and services produced by the arts, entertainment, and recreation industry in south dakota",Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreation_RealValue,geoId/46,,,,0,0
"the size of the arts, entertainment, and recreation industry's economy in south dakota",Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreation_RealValue,geoId/46,,,,0,0
the economic output of the construction industry in texas,Amount_EconomicActivity_GrossDomesticProduction_NAICSConstruction_RealValue,geoId/48,,,,0,0
the value of goods and services produced by the construction industry in texas,Amount_EconomicActivity_GrossDomesticProduction_NAICSConstruction_RealValue,geoId/48,,,,0,0
the size of the construction industry in texas,Amount_EconomicActivity_GrossDomesticProduction_NAICSConstruction_RealValue,geoId/48,,,,4,2
the total value of goods and services produced by the educational services industry in the united states in colorado,Amount_EconomicActivity_GrossDomesticProduction_NAICSEducationalServices_RealValue,geoId/08,,,*,0,0
the total economic output of the educational services industry in the united states in colorado,Amount_EconomicActivity_GrossDomesticProduction_NAICSEducationalServices_RealValue,geoId/08,,,*,0,0
the total amount of money generated by the educational services industry in the united states in colorado,Amount_EconomicActivity_GrossDomesticProduction_NAICSEducationalServices_RealValue,geoId/08,,,*,4,2
the size of the finance and insurance industry's economy in washington,Amount_EconomicActivity_GrossDomesticProduction_NAICSFinanceInsurance_RealValue,geoId/53,,,,2,1
the finance and insurance industry's contribution to the economy in washington,Amount_EconomicActivity_GrossDomesticProduction_NAICSFinanceInsurance_RealValue,geoId/53,,,,2,1
the finance and insurance industry's economic output in washington,Amount_EconomicActivity_GrossDomesticProduction_NAICSFinanceInsurance_RealValue,geoId/53,,,,0,0
the total value of goods and services produced by the health care and social assistance industry in the united states in arkansas,Amount_EconomicActivity_GrossDomesticProduction_NAICSHealthCareSocialAssistance_RealValue,geoId/05,,,*,0,0
the amount of money generated by the health care and social assistance industry in the united states in arkansas,Amount_EconomicActivity_GrossDomesticProduction_NAICSHealthCareSocialAssistance_RealValue,geoId/05,,,*,0,0
the economic output of the health care and social assistance industry in the united states in arkansas,Amount_EconomicActivity_GrossDomesticProduction_NAICSHealthCareSocialAssistance_RealValue,geoId/05,,,*,0,0
the size of the information industry's economy in alabama,Amount_EconomicActivity_GrossDomesticProduction_NAICSInformation_RealValue,geoId/01,,,,0,0
the value of the information industry's output in alabama,Amount_EconomicActivity_GrossDomesticProduction_NAICSInformation_RealValue,geoId/01,,,,0,0
the amount of money generated by the information industry in alabama,Amount_EconomicActivity_GrossDomesticProduction_NAICSInformation_RealValue,geoId/01,,,,0,1
the total economic output of the management of companies and enterprises in the us in illinois,Amount_EconomicActivity_GrossDomesticProduction_NAICSManagementOfCompaniesEnterprises_RealValue,geoId/17,,,*,0,0
the total economic activity of the management of companies and enterprises in the us in illinois,Amount_EconomicActivity_GrossDomesticProduction_NAICSManagementOfCompaniesEnterprises_RealValue,geoId/17,,,*,0,0
the total economic value created by the management of companies and enterprises in the us in illinois,Amount_EconomicActivity_GrossDomesticProduction_NAICSManagementOfCompaniesEnterprises_RealValue,geoId/17,,,*,0,0
"the total value of all goods and services produced by the mining, quarrying, and oil and gas extraction industry in a given year in new jersey",Amount_EconomicActivity_GrossDomesticProduction_NAICSMiningQuarryingOilGasExtraction_RealValue,geoId/34,,,,0,0
"the economic output of the mining, quarrying, and oil and gas extraction industry in new jersey",Amount_EconomicActivity_GrossDomesticProduction_NAICSMiningQuarryingOilGasExtraction_RealValue,geoId/34,,,,0,0
"the size of the mining, quarrying, and oil and gas extraction industry's economy in new jersey",Amount_EconomicActivity_GrossDomesticProduction_NAICSMiningQuarryingOilGasExtraction_RealValue,geoId/34,,,,2,2
the total economic output of the united states excluding the public sector in pennsylvania,Amount_EconomicActivity_GrossDomesticProduction_NAICSOtherServices_RealValue,geoId/42,,,*,4,2
the total economic output of the us excluding government services in pennsylvania,Amount_EconomicActivity_GrossDomesticProduction_NAICSOtherServices_RealValue,geoId/42,,,*,2,1
"gdp of other services, excluding public administration in pennsylvania",Amount_EconomicActivity_GrossDomesticProduction_NAICSOtherServices_RealValue,geoId/42,,,,2,1
"the total value of goods and services produced by the professional, scientific, and technical services industry in the united states in maryland",Amount_EconomicActivity_GrossDomesticProduction_NAICSProfessionalScientificTechnicalServices_RealValue,geoId/24,,,*,0,0
"the economic output of the professional, scientific, and technical services industry in the united states in maryland",Amount_EconomicActivity_GrossDomesticProduction_NAICSProfessionalScientificTechnicalServices_RealValue,geoId/24,,,*,0,0
"the market value of all final goods and services produced by the professional, scientific, and technical services industry in the united states in maryland",Amount_EconomicActivity_GrossDomesticProduction_NAICSProfessionalScientificTechnicalServices_RealValue,geoId/24,,,*,0,0
the total value of goods and services produced by the real estate and rental and leasing industry in a given year in arizona,Amount_EconomicActivity_GrossDomesticProduction_NAICSRealEstateRentalLeasing_RealValue,geoId/04,,,,0,0
the size of the real estate and rental and leasing industry's economy in arizona,Amount_EconomicActivity_GrossDomesticProduction_NAICSRealEstateRentalLeasing_RealValue,geoId/04,,,,0,0
the amount of money that the real estate and rental and leasing industry contributes to the overall economy in arizona,Amount_EconomicActivity_GrossDomesticProduction_NAICSRealEstateRentalLeasing_RealValue,geoId/04,,,,0,0
the economic output of the utilities industry in pennsylvania,Amount_EconomicActivity_GrossDomesticProduction_NAICSUtilities_RealValue,geoId/42,,,,0,0
the value of goods and services produced by the utilities industry in pennsylvania,Amount_EconomicActivity_GrossDomesticProduction_NAICSUtilities_RealValue,geoId/42,,,,0,0
the total market value of the utilities industry in pennsylvania,Amount_EconomicActivity_GrossDomesticProduction_NAICSUtilities_RealValue,geoId/42,,,,0,0
the total value of goods and services sold by wholesale businesses in the united states in arkansas,Amount_EconomicActivity_GrossDomesticProduction_NAICSWholesaleTrade_RealValue,geoId/05,,,*,0,0
the total economic output of the wholesale trade industry in the united states in arkansas,Amount_EconomicActivity_GrossDomesticProduction_NAICSWholesaleTrade_RealValue,geoId/05,,,*,0,0
the total amount of money generated by the wholesale trade industry in the united states in arkansas,Amount_EconomicActivity_GrossDomesticProduction_NAICSWholesaleTrade_RealValue,geoId/05,,,*,2,1
the total economic output of the us in a given year in mauritania,Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/MRT,,,*,0,0
the total output of goods and services produced in the us in a year in mauritania,Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/MRT,,,*,8,4
the total economic output of the us in a year in mauritania,Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/MRT,,,*,0,0
gdp per capita in the united states in cyprus,Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person,country/CYP,,,*,7,4
the economic output of the united states per person in cyprus,Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person,country/CYP,,,*,16,13
gdp per capita in the united states in cyprus,Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person,country/CYP,,,*,7,4
gdp per capita in uganda,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,country/UGA,,,,0,0
gdp per person in uganda,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,country/UGA,,,,0,0
gdp per head in uganda,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,country/UGA,,,,0,0
the total economic output of the united states in maryland,Amount_EconomicActivity_GrossDomesticProduction_RealValue,geoId/24,,,*,8,4
the total value of all the goods and services produced in a country in a year in maryland,Amount_EconomicActivity_GrossDomesticProduction_RealValue,geoId/24,,,,-1,-1
the total output of a country's economy in maryland,Amount_EconomicActivity_GrossDomesticProduction_RealValue,geoId/24,,,,0,3
gross national income based on purchasing power parity in guatemala,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity,country/GTM,,,*,-1,0
gni per capita based on purchasing power parity in guatemala,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity,country/GTM,,,*,-1,1
gross national income per capita based on purchasing power parity in guatemala,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity,country/GTM,,,*,-1,1
per capita gross national income based on purchasing power parity in lebanon,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita,country/LBN,,,*,-1,0
gross national income per capita based on purchasing power parity in lebanon,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita,country/LBN,,,*,-1,0
gross national income per person based on purchasing power parity in lebanon,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita,country/LBN,,,*,-1,0
"the value of goods and services produced by the agriculture, hunting, forestry, and fishing industries in nigeria",Amount_EconomicActivity_GrossValueAdded_ISICAgricultureHuntingForestryFishing_RealValue,country/NGA,,,,0,1
"the total economic output of the agriculture, hunting, forestry, and fishing industries in nigeria",Amount_EconomicActivity_GrossValueAdded_ISICAgricultureHuntingForestryFishing_RealValue,country/NGA,,,,0,0
"the monetary value of the goods and services produced by the agriculture, hunting, forestry, and fishing industries in nigeria",Amount_EconomicActivity_GrossValueAdded_ISICAgricultureHuntingForestryFishing_RealValue,country/NGA,,,,0,0
the value of goods and services produced by the construction industry in hungary,Amount_EconomicActivity_GrossValueAdded_ISICConstruction_RealValue,country/HUN,,,,0,1
the total value of construction output in hungary,Amount_EconomicActivity_GrossValueAdded_ISICConstruction_RealValue,country/HUN,,,,4,3
the value added by the construction industry in hungary,Amount_EconomicActivity_GrossValueAdded_ISICConstruction_RealValue,country/HUN,,,,0,1
the value of goods and services produced by the manufacturing industry in equatorial guinea,Amount_EconomicActivity_GrossValueAdded_ISICManufacturing_RealValue,country/GNQ,,,*,10,5
the total output of the manufacturing industry in equatorial guinea,Amount_EconomicActivity_GrossValueAdded_ISICManufacturing_RealValue,country/GNQ,,,,0,0
the economic contribution of the manufacturing industry in equatorial guinea,Amount_EconomicActivity_GrossValueAdded_ISICManufacturing_RealValue,country/GNQ,,,,0,0
"the value of goods and services produced by the mining, manufacturing, and utilities industries in chile",Amount_EconomicActivity_GrossValueAdded_ISICMiningManufacturingUtilities_RealValue,country/CHL,,,,0,0
"the total economic output of the mining, manufacturing, and utilities industries in chile",Amount_EconomicActivity_GrossValueAdded_ISICMiningManufacturingUtilities_RealValue,country/CHL,,,,0,0
"the contribution of the mining, manufacturing, and utilities industries to the economy in chile",Amount_EconomicActivity_GrossValueAdded_ISICMiningManufacturingUtilities_RealValue,country/CHL,,,*,0,0
the value of goods and services produced by the other activities industry in bolivia,Amount_EconomicActivity_GrossValueAdded_ISICOtherActivities_RealValue,country/BOL,,,,0,0
the economic output of the other activities industry in bolivia,Amount_EconomicActivity_GrossValueAdded_ISICOtherActivities_RealValue,country/BOL,,,,4,3
the contribution of the other activities industry to the economy in bolivia,Amount_EconomicActivity_GrossValueAdded_ISICOtherActivities_RealValue,country/BOL,,,,0,0
"the value of goods and services produced by the transport, storage, and communications industries in jordan",Amount_EconomicActivity_GrossValueAdded_ISICTransportStorageCommunications_RealValue,country/JOR,,,,0,0
"the total economic output of the transport, storage, and communications industries in jordan",Amount_EconomicActivity_GrossValueAdded_ISICTransportStorageCommunications_RealValue,country/JOR,,,,0,0
"the amount of money generated by the transport, storage, and communications industries in jordan",Amount_EconomicActivity_GrossValueAdded_ISICTransportStorageCommunications_RealValue,country/JOR,,,,0,0
"the value of goods and services produced by the wholesale, retail trade, restaurants and hotels industry in new zealand",Amount_EconomicActivity_GrossValueAdded_ISICWholesaleRetailTradeRestaurantsHotels_RealValue,country/NZL,,,,0,0
"the total economic output of the wholesale, retail trade, restaurants and hotels industry in new zealand",Amount_EconomicActivity_GrossValueAdded_ISICWholesaleRetailTradeRestaurantsHotels_RealValue,country/NZL,,,,0,0
"the amount of money generated by the wholesale, retail trade, restaurants and hotels industry in new zealand",Amount_EconomicActivity_GrossValueAdded_ISICWholesaleRetailTradeRestaurantsHotels_RealValue,country/NZL,,,,0,0
real gross value added (rgv) in kenya,Amount_EconomicActivity_GrossValueAdded_RealValue,country/KEN,,,,0,0
the amount of carbon dioxide emitted per person in a given country in thailand,Amount_Emissions_CarbonDioxide_PerCapita,country/THA,,,,0,0
the average amount of carbon dioxide emitted per person in a given country in thailand,Amount_Emissions_CarbonDioxide_PerCapita,country/THA,*,,,,
"the total amount of carbon dioxide emitted by the people of a given country, divided by the population of that country in thailand",Amount_Emissions_CarbonDioxide_PerCapita,country/THA,*,,,,
barley grain production in wyoming,Amount_FarmInventory_BarleyForGrain,geoId/56,,,,0,0
barley grain yield in wyoming,Amount_FarmInventory_BarleyForGrain,geoId/56,,,,0,0
barley grain harvest in wyoming,Amount_FarmInventory_BarleyForGrain,geoId/56,,,,0,0
the amount of corn grown for silage or greenchop in oklahoma,Amount_FarmInventory_CornForSilageOrGreenchop,geoId/40,,,,0,0
the quantity of corn grown for silage or greenchop in oklahoma,Amount_FarmInventory_CornForSilageOrGreenchop,geoId/40,,,,0,0
the number of corn plants grown for silage or greenchop in oklahoma,Amount_FarmInventory_CornForSilageOrGreenchop,geoId/40,,,,3,2
cotton production in georgia,Amount_FarmInventory_Cotton,geoId/13,,,,0,0
the amount of cotton grown in georgia,Amount_FarmInventory_Cotton,geoId/13,,,,0,0
the quantity of cotton grown in georgia,Amount_FarmInventory_Cotton,geoId/13,,,,0,0
bean production in oklahoma,Amount_FarmInventory_DryEdibleBeans,geoId/40,,,,0,0
bean yield in oklahoma,Amount_FarmInventory_DryEdibleBeans,geoId/40,,,,0,0
bean crop in oklahoma,Amount_FarmInventory_DryEdibleBeans,geoId/40,,,,1,1
durum wheat grown for grain in minnesota,Amount_FarmInventory_DurumWheatForGrain,geoId/27,,,,1,1
durum wheat grown for grain production in minnesota,Amount_FarmInventory_DurumWheatForGrain,geoId/27,,,,0,0
durum wheat grown for grain use in minnesota,Amount_FarmInventory_DurumWheatForGrain,geoId/27,,,,1,1
forage yield in iowa,Amount_FarmInventory_Forage,geoId/19,,,,0,0
forage production in iowa,Amount_FarmInventory_Forage,geoId/19,,,,0,0
amount of forage grown in iowa,Amount_FarmInventory_Forage,geoId/19,,,,0,0
oat production in oklahoma,Amount_FarmInventory_OatsForGrain,geoId/40,,,,0,0
oat yield in oklahoma,Amount_FarmInventory_OatsForGrain,geoId/40,,,,0,0
oat harvest in oklahoma,Amount_FarmInventory_OatsForGrain,geoId/40,,,,0,0
the amount of other spring wheat grown for grain in wisconsin,Amount_FarmInventory_OtherSpringWheatForGrain,geoId/55,,,,2,2
the quantity of other spring wheat grown for grain in wisconsin,Amount_FarmInventory_OtherSpringWheatForGrain,geoId/55,,,,2,1
the number of other spring wheat grown for grain in wisconsin,Amount_FarmInventory_OtherSpringWheatForGrain,geoId/55,,,,2,2
peanut production in the united states in mississippi,Amount_FarmInventory_PeanutsForNuts,geoId/28,,,*,0,0
the amount of peanuts grown in the us in mississippi,Amount_FarmInventory_PeanutsForNuts,geoId/28,,,*,0,0
the number of peanuts grown in the united states in mississippi,Amount_FarmInventory_PeanutsForNuts,geoId/28,,,*,0,0
pima cotton production in new mexico,Amount_FarmInventory_PimaCotton,geoId/35,,,,0,0
the amount of pima cotton grown in new mexico,Amount_FarmInventory_PimaCotton,geoId/35,,,,0,0
the quantity of pima cotton grown in new mexico,Amount_FarmInventory_PimaCotton,geoId/35,,,,0,0
rice production in california,Amount_FarmInventory_Rice,geoId/06,,,,0,0
rice yield in california,Amount_FarmInventory_Rice,geoId/06,,,,0,0
rice harvest in california,Amount_FarmInventory_Rice,geoId/06,,,,0,0
sorghum production in missouri,Amount_FarmInventory_SorghumForGrain,geoId/29,,,,0,0
sorghum yield in missouri,Amount_FarmInventory_SorghumForGrain,geoId/29,,,,0,0
sorghum acreage in missouri,Amount_FarmInventory_SorghumForGrain,geoId/29,,,,1,1
sorghum grown for silage or greenchop in new hampshire,Amount_FarmInventory_SorghumForSilageOrGreenchop,geoId/33,,,,0,2
sorghum production for silage or greenchop in new hampshire,Amount_FarmInventory_SorghumForSilageOrGreenchop,geoId/33,,,,0,1
the amount of sorghum grown for silage or greenchop in new hampshire,Amount_FarmInventory_SorghumForSilageOrGreenchop,geoId/33,,,,0,0
the number of sugarbeets grown in california,Amount_FarmInventory_SugarbeetsForSugar,geoId/06,,,,2,1
the quantity of sugarbeets grown in california,Amount_FarmInventory_SugarbeetsForSugar,geoId/06,,,,0,0
the volume of sugarbeets grown in california,Amount_FarmInventory_SugarbeetsForSugar,geoId/06,,,,0,0
sunflower seed production in arkansas,Amount_FarmInventory_SunflowerSeed,geoId/05,,,,0,1
sunflower seed yield in arkansas,Amount_FarmInventory_SunflowerSeed,geoId/05,,,,0,0
sunflower seed harvest in arkansas,Amount_FarmInventory_SunflowerSeed,geoId/05,,,,0,1
upland cotton production in louisiana,Amount_FarmInventory_UplandCotton,geoId/22,,,,0,0
upland cotton acreage in louisiana,Amount_FarmInventory_UplandCotton,geoId/22,,,*,1,1
upland cotton yield in louisiana,Amount_FarmInventory_UplandCotton,geoId/22,,,,0,0
wheat production in the united states in illinois,Amount_FarmInventory_WheatForGrain,geoId/17,,,*,0,0
wheat grown for grain in the us in illinois,Amount_FarmInventory_WheatForGrain,geoId/17,,,*,0,0
the amount of wheat grown for grain in the united states in illinois,Amount_FarmInventory_WheatForGrain,geoId/17,,,*,0,0
nuclear power generation in chile,Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy,country/CHL,,,,0,0
nuclear electricity production in chile,Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy,country/CHL,,,,0,0
electricity production from nuclear power in chile,Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy,country/CHL,,,,0,0
"the amount of electricity produced from oil, gas, or coal sources as a fraction of the total amount of energy produced in tanzania",Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy,country/TZA,,,,0,0
"the percentage of electricity produced from oil, gas, or coal sources in tanzania",Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy,country/TZA,,,,0,0
"the share of electricity production from oil, gas, or coal sources in tanzania",Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy,country/TZA,,,,0,0
the total amount of money that is transferred from other countries to the united states in nepal,Amount_Remittance_InwardRemittance,country/NPL,,,*,9,5
the total amount of money that flows into the united states from other countries in nepal,Amount_Remittance_InwardRemittance,country/NPL,,,*,-1,-1
total amount of money that flows into the united states from other countries in nepal,Amount_Remittance_InwardRemittance,country/NPL,,,*,-1,-1
the percentage of inward remittances to nominal gross domestic product in senegal,Amount_Remittance_InwardRemittance_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/SEN,,,,0,0
the percentage of inward remittances to gdp in senegal,Amount_Remittance_InwardRemittance_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/SEN,,,,0,0
the percentage of money sent home by migrants to the size of the economy in senegal,Amount_Remittance_InwardRemittance_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/SEN,,,,0,1
the total amount of money that is remitted from the united states to other countries in barbados,Amount_Remittance_OutwardRemittance,country/BRB,,,*,5,3
the total value of all the stocks in a company or market in sweden,Amount_Stock,country/SWE,,,,0,0
the sum of the market values of all the stocks in a company or market in sweden,Amount_Stock,country/SWE,,,,0,0
the total worth of all the stocks in a company or market in sweden,Amount_Stock,country/SWE,,,,0,0
the percentage of the us gdp that is represented by stock value in chile,Amount_Stock_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/CHL,,,*,0,0
the proportion of the us economy that is made up of stock value in chile,Amount_Stock_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/CHL,,,*,0,0
the amount of stock value in the us economy relative to the total size of the economy in chile,Amount_Stock_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/CHL,,,*,6,3
corn grown for grain in new jersey,Amount_FarmInventory_CornForGrain,geoId/34,,,,1,1
grain corn in new jersey,Amount_FarmInventory_CornForGrain,geoId/34,,,,3,2
