dcid,Name,Description,Override_Alternatives,Curated_Alternatives
Annual_Amount_Emissions_Chlorine_SCC_22_MobileSources,"Annual Amount Emissions Chlorine, MobileSources (22)",Annual Emissions of Chlorine in Mobile Sources,,
Annual_Amount_Emissions_Chlorine_SCC_23_IndustrialProcesses,"Annual Amount Emissions Chlorine, IndustrialProcesses (23)",Annual Emissions of Chlorine in Industrial Processes,,
Annual_Amount_Emissions_Chlorine_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual Amount Emissions Chlorine, WasteDisposalTreatmentAndRecovery (26)",Annual Emissions of Chlorine in Waste Disposal Treatment and Recovery,,
Annual_Amount_Emissions_Chlorine_SCC_28_MiscellaneousAreaSources,"Annual Amount Emissions Chlorine, MiscellaneousAreaSources (28)",Annual Emissions of Chlorine in Miscellaneous Area Sources,,
Annual_Amount_Emissions_Chlorine_SCC_3_IndustrialProcesses,"Annual Amount Emissions Chlorine, IndustrialProcesses (3)",Annual Emissions of Chlorine in Industrial Processes,,
Annual_Amount_Emissions_Chlorine_SCC_4_PetroleumAndSolventEvaporation,"Annual Amount Emissions Chlorine, PetroleumAndSolventEvaporation (4)",Annual Emissions of Chlorine in Petroleum and Solvent Evaporation,,
Annual_Amount_Emissions_Chlorine_SCC_5_WasteDisposal,"Annual Amount Emissions Chlorine, WasteDisposal (5)",Annual Emissions of Chlorine in Waste Disposal,,
Annual_Amount_Emissions_Chloroform_SCC_1_ExternalCombustion,"Annual Amount Emissions Chloroform, ExternalCombustion (1)",Annual Emissions of Chloroform in External Combustion,,
Annual_Amount_Emissions_Chloroform_SCC_2_InternalCombustionEngines,"Annual Amount Emissions Chloroform, InternalCombustionEngines (2)",Annual Emissions of Chloroform Internal Combustion Engines,,
Annual_Amount_Emissions_Chloroform_SCC_21_StationarySourceFuelCombustion,"Annual Amount Emissions Chloroform, StationarySourceFuelCombustion (21)",Annual Emissions of Chloroform in Stationary Source Fuel Combustion,,
Annual_Amount_Emissions_Chloroform_SCC_23_IndustrialProcesses,"Annual Amount Emissions Chloroform, IndustrialProcesses (23)",Annual Emissions of Chloroform in Industrial Processes,,
Annual_Amount_Emissions_Chloroform_SCC_24_SolventUtilization,"Annual Amount Emissions Chloroform, SolventUtilization (24)",Annual Emissions of Chloroform in Solvent Utilization,,
Annual_Amount_Emissions_Chloroform_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual Amount Emissions Chloroform, WasteDisposalTreatmentAndRecovery (26)",Annual Emissions of Chloroform in Waste Disposal Treatment and Recovery,,
Annual_Amount_Emissions_Chloroform_SCC_28_MiscellaneousAreaSources,"Annual Amount Emissions Chloroform, MiscellaneousAreaSources (28)",Annual Emissions of Chloroform in Miscellaneous Area Sources,,
Annual_Amount_Emissions_Chloroform_SCC_3_IndustrialProcesses,"Annual Amount Emissions Chloroform, IndustrialProcesses (3)",Annual Emissions of Chloroform in Industrial Processes,,
Annual_Amount_Emissions_Chloroform_SCC_4_PetroleumAndSolventEvaporation,"Annual Amount Emissions Chloroform, PetroleumAndSolventEvaporation (4)",Annual Emissions of Chloroform in Petroleum and Solvent Evaporation,,
Annual_Amount_Emissions_Chloroform_SCC_5_WasteDisposal,"Annual Amount Emissions Chloroform, WasteDisposal (5)",Annual Emissions of Chloroform in Waste Disposal,,
Annual_Amount_Emissions_Chromium_6_SCC_1_ExternalCombustion,"Annual Amount Emissions Chromium(6+), ExternalCombustion (1)",Annual Emissions of Chromium in External Combustion,,
Annual_Amount_Emissions_Chromium_6_SCC_2_InternalCombustionEngines,"Annual Amount Emissions Chromium(6+), InternalCombustionEngines (2)",Annual Emissions of Chromium in Internal Combustion Engines,,
Annual_Amount_Emissions_Chromium_6_SCC_21_StationarySourceFuelCombustion,"Annual Amount Emissions Chromium(6+), StationarySourceFuelCombustion (21)",Annual Emissions of Chromium in Stationary Source Fuel Combustion,,
Annual_Amount_Emissions_Chromium_6_SCC_22_MobileSources,"Annual Amount Emissions Chromium(6+), MobileSources (22)",Annual Emissions of Chromium in Mobile Sources,,
Annual_Amount_Emissions_Chromium_6_SCC_23_IndustrialProcesses,"Annual Amount Emissions Chromium(6+), IndustrialProcesses (23)",Annual Emissions of Chromium in Industrial Processes,,
