dcid,sentence
dc/topic/ManufacturingEmissionsByGas,Emissions from manufacturing;Emissions from manufacturing;Amount of gases emitted by the manufacturing sector;Total quantity of gases released by the manufacturing industry;The volume of emissions produced by manufacturing activities;Quantity of greenhouse gases emitted by factories and production processes;Total amount of gas emissions from the manufacturing sector;The sum of all gases released by manufacturing activities
dc/topic/MaritalStatus,Marital Status;Marital Status
dc/topic/MaritalStatusBreakdown,Martial Status Breakdown;Martial Status Breakdown;breakdown of marital status
dc/topic/MarriedPopulationByDemographic,Married Population by Demographic;Married Population by Demographic;demographics of the married population;demographics of married people
dc/topic/MaternalHealth,Maternal Health;Maternal health;womens health;health of mothers
dc/topic/MaxTemperature1PercentLikelyAtLeastOncePerDecade,Max Temperature Likely (1%) At Least Once Per Decade;Max Temperature Likely (1%) At Least Once Per Decade;max temperature likely in the decade at one percent chance;maximum temperature once per decade 1%
dc/topic/MaxTemperature1PercentLikelyAtLeastOncePerYear,Max Temperature Likely (1%) At Least Once Per Year;Max Temperature Likely (1%) At Least Once Per Year;max temperature likely in the year at one percent chance;maximum temperature once per year 1%
dc/topic/MaxTemperature5PercentLikelyAtLeastOncePerDecade,Max Temperature Likely (5%) At Least Once Per Decade;Max Temperature Likely (5%) At Least Once Per Decade;max temperature likely in the decade at five percent chance;maximum temperature once per decade 5%
dc/topic/MaxTemperature5PercentLikelyAtLeastOncePerYear,Max Temperature Likely (5%) At Least Once Per Year;Max Temperature Likely (5%) At Least Once Per Year;max temperature likely in the year at five percent chance;maximum temperature once per year 5%
dc/topic/MedianHouseholdIncomeByGender,Median Household Income by Gender;Median Household Income by Gender;household income by gender;gender breakdown of household income
dc/topic/MedianHouseholdIncomeByRace,Median Household Income by Race;Median Household Income by Race;household income by race;racial breakdown of household income
dc/topic/MentalHealth,Mental Health;Mental Health
dc/topic/MentalHealthNotGoodFemalePopulationByAge,Female Population With Poor Mental Health By Age;Female Population With Poor Mental Health By Age
dc/topic/MentalHealthNotGoodMalePopulationByAge,Male Population With Poor Mental Health By Age;Male Population With Poor Mental Health By Age
dc/topic/Military,Military;Military
dc/topic/MilitaryShipsResidents,Military Ships Residents;Military Ships Residents
dc/topic/MinTemperature1PercentLikelyAtLeastOncePerDecade,Min Temperature Likely (1%) At Least Once Per Decade;Min Temperature Likely (1%) At Least Once Per Decade;min temperature likely in the decade at one percent chance;minimum temperature once per decade 1%
dc/topic/MinTemperature1PercentLikelyAtLeastOncePerYear,Min Temperature Likely (1%) At Least Once Per Year;Min Temperature Likely (1%) At Least Once Per Year;min temperature likely in the year at one percent chance;minimum temperature once per year 1%
dc/topic/MinTemperature5PercentLikelyAtLeastOncePerDecade,Min Temperature Likely (5%) At Least Once Per Decade;Min Temperature Likely (5%) At Least Once Per Decade;min temperature likely in the decade at five percent chance;minimum temperature once per decade 5%
dc/topic/MinTemperature5PercentLikelyAtLeastOncePerYear,Min Temperature Likely (5%) At Least Once Per Year;Min Temperature Likely (5%) At Least Once Per Year;min temperature likely in the year at five percent chance;minimum temperature once per year 5%
dc/topic/MobilePhoneOwnership,Mobile Phone Ownership;Mobile Phone Ownership
dc/topic/MobilePhoneUsage,Mobile Phone Usage;Mobile Phone Usage
dc/topic/Mortality,Mortality;Mortality;Death;Issues relating to death
dc/topic/MortalityAmongIncarcerated,Mortality among incarcerated;Mortality among those in jail;deaths among those in jail;deaths of incarcerated;incarcerated deaths
dc/topic/MortalityByGender,Mortality by gender;Mortality by gender;Mortality split by gender;mortality breakdown by gender
dc/topic/MortalityByRace,Mortality by race;Mortality by race;racial breakdown of mortality;deaths by race;mortality breakdown by race
dc/topic/Nationality,Nationality;Nationality
dc/topic/NativeHawaiianAndOtherPacificIslanderAloneFemalePopulationByAge,Native Hawaiian And Other Pacific Islander Female Population By Age;Native Hawaiian And Other Pacific Islander Female Population By Age
dc/topic/NativeHawaiianAndOtherPacificIslanderAloneMalePopulationByAge,Native Hawaiian And Other Pacific Islander Male Population By Age;Native Hawaiian And Other Pacific Islander Male Population By Age
dc/topic/NativeHawaiianAndOtherPacificIslanderAlonePopulationByAge,Native Hawaiian And Other Pacific Islander Population By Age;Native Hawaiian And Other Pacific Islander Population By Age
dc/topic/NaturalDisasters,Natural Disasters;Natural Disasters;disasters
dc/topic/NeglectedTropicalDiseases,Neglected Tropical Diseases;Neglected Tropical Diseases
dc/topic/NeverMarriedFemalePopulationByAge,Never Married Female Population By Age;Never Married Female Population By Age
dc/topic/NeverMarriedMalePopulationByAge,Never Married Male Population By Age;Never Married Male Population By Age
dc/topic/NeverMarriedPopulationByAge,Never Married Population By Age;Never Married Population By Age
dc/topic/NeverMarriedPopulationByDemographic,Never Married Population by Demographic;Never Married Population by Demographic;demographics of the never married population;demographics of people who never married
dc/topic/NitrogenDioxide,Nitrogen Dioxide;Nitrogen Dioxide;NO2;NO2 pollutant
dc/topic/NoHealthInsurance,No Health Insurance;No Health Insurance;people with no health insurance;people without access to health insurance;without health insurance
dc/topic/NoHealthInsuranceByGender,No Health Insurance by gender;No Health Insurance by gender;breakdown of population without health insurance by gender
dc/topic/NoHealthInsuranceByIncome,No Health Insurance by income;No Health Insurance by income;no health insurance split by income;no health insurance across income levels
dc/topic/NoHealthInsuranceByRace,No Health Insurance by race;No Health Insurance by race;racial breakdown of those without health insurance;no health insurance across race;no health insurance by race
dc/topic/NonEnglishLanguageAtHome,Non-English Languages Spoken At Home;Non-English Languages Spoken At Home;non-english at home;non-english language at home;spoken language at home is not English;other languages spoken at home
dc/topic/NoninstitutionalizedGroupQuartersResidents,Noninstitutionalized Group Quarters Residents;Noninstitutionalized Group Quarters Residents
dc/topic/NowMarriedFemalePopulationByAge,Now Married Female Population By Age;Now Married Female Population By Age
dc/topic/NowMarriedMalePopulationByAge,Now Married Male Population By Age;Now Married Male Population By Age
dc/topic/NowMarriedPopulationByAge,Now Married Population By Age;Now Married Population By Age
dc/topic/NumberOfBusinessesByIndustry,Number Of Businesses By Industry;Number Of Businesses By Industry;disribution of number of business across industries
dc/topic/NumberOfBusinessesByOwnership,Number Of Businesses By Ownership;Number Of Businesses By Ownership;disribution of number of business by ownership
dc/topic/NursesAndMidwives,Nurses And Midwives;Nurses And Midwives
dc/topic/NursingFacilitiesResidents,Nursing Facilities Residents;Nursing Facilities Residents
dc/topic/OceanHealth,Ocean Health;Ocean Health;ocean condition
dc/topic/Ozone,Ozone;Ozone;O3;Ozone pollutant;O3 pollutant
dc/topic/PM10,PM10;PM10;pm10 pollutant;pm 10;pm 10 pollutant;10 pm pollutant
dc/topic/PM2.5,PM2.5;PM2.5;pm2.5 pollutant;pm 2.5;pm 2.5 pollutant;2.5 pm pollutant
dc/topic/Parents,Parents;Parents
dc/topic/ParentsEducationalAttainment,Parents Educational Attainment;Parents Educational Attainment;level of education attainment of parents
dc/topic/Parliament,Parliament;Parliament
dc/topic/PhysicalActivity,Physical Activity;Physical Activity
dc/topic/Physicians,Physicians;Physicians
dc/topic/PlaceOfBirth,Place of Birth;Place of Birth
dc/topic/Pollutants,Pollutants;Pollutants
dc/topic/PopulationEnrolledInSchoolTypeByRace,Population Enrolled In School Type By Race;Population Enrolled In School Type By Race;students enrolled in school type by race
dc/topic/PopulationFormerSmoker,Population Former Smoker;Population Former Smoker
dc/topic/PopulationNonsmokingTobaccoUser,Population Nonsmoking Tobacco User;Population Nonsmoking Tobacco User
dc/topic/PopulationNormalWeight,Population Normal Weight;Population Normal Weight
dc/topic/PopulationWithArthritisByAge,Population With Arthritis By Age;Population With Arthritis By Age
dc/topic/PopulationWithCancerByAge,Population With Cancer By Age;Population With Cancer By Age
dc/topic/PopulationWithDementiaByAge,Population With Dementia By Age;Population With Dementia By Age
dc/topic/PopulationWithDiabetesByAge,Population With Diabetes By Age;Population With Diabetes By Age
dc/topic/PopulationWithDiseasesOfHeartByAge,Population With Heart Disease By Age;Population With Heart Disease By Age
dc/topic/PopulationWithKidneyDiseaseByAge,Population With Kidney Disease By Age;Population With Kidney Disease By Age
dc/topic/PopulationWithLungConditionByAge,Population With Lung Condition By Age;Population With Lung Condition By Age
dc/topic/PopulationWithMentalHealthNotGoodByAge,Population With Poor Mental Health By Age;Population With Poor Mental Health By Age
dc/topic/PopulationWithStrokeByAge,Population With Stroke By Age;Population With Stroke By Age
dc/topic/Poverty,Poverty;Poverty
dc/topic/PovertyByGender,Poverty By Gender;Poverty By Gender;poverty across genders;poverty breakdown by gender
dc/topic/PovertyByLanguageSpokenAtHome,Poverty By Language Spoken At Home;Poverty By Language Spoken At Home;poverty breakdown by language spoken at home
dc/topic/PovertyByRace,Poverty By Race;Poverty By Race;poverty breakdown by race
dc/topic/PovertyByResidency,Poverty By Residency;Poverty By Residency;poverty breakdown by residency
dc/topic/PowerEmissionsByGas,Emissions from power;Emissions from power;Amount of gases emitted by the power sector;Total quantity of gases released by the power industry;The volume of emissions produced by electricity generation activities;Quantity of greenhouse gases emitted by power plants and energy production processes;Total amount of gas emissions from the power sector;The sum of all gases released by power generation activities
dc/topic/Precipitation,Precipitation;Precipitation;high rainfall;major snow event;major precipitation
dc/topic/PreventativeHealth,Preventative Health;Preventative Health
dc/topic/PreventativeHealthAndBehavior,Preventative health and behavior;Preventative health and behavior
dc/topic/PrivateHealthInsuranceType,Private health insurance;Private health insurance;people with private health insurance;health insurance private type
dc/topic/ProductionConsumptionandWaste,Production and Consumption Waste;Production and Consumption Waste;Waste due to production and consumption
dc/topic/ProjectedClimateExtremes,Projected Climate Extremes;Projected Climate Extremes;Climate Extremes;projected temperature
dc/topic/PublicHealthInsuranceType,Public health insurance;Public health insurance;people with public health insurance;health insurance public type
dc/topic/Race,Race;Race;population by race
dc/topic/Rainfall,Rainfall;Rainfall;rain
dc/topic/Religion,Religion;Religion
dc/topic/Remittance,Remittance;Remittance;remittances
dc/topic/RentalHouses,Rental Houses;Rental Housing;housing rentals;rental housing units
dc/topic/RiverineFlood,Riverine Flood;Riverine Flood
dc/topic/RoadTrafficDeaths,Road Traffic Deaths;Road Traffic Deaths
dc/topic/RuralFemalePopulationByAge,Rural Female Population By Age;Rural Female Population By Age
dc/topic/RuralMalePopulationByAge,Rural Male Population By Age;Rural Male Population By Age
dc/topic/RuralPopulationByAge,Rural Population By Age;Rural Population By Age
dc/topic/SDGBiodiversity,Biodiversity;Biodiversity;SDG biodiversity;bio diversity;SDG bio diversity
dc/topic/SDGReforestations,Reforestation;Reforestation;SDG reforestation;reforesting
dc/topic/SDG_1,End poverty;End poverty in all its forms;SDG end poverty;SDG poverty
dc/topic/Sanitation,Sanitation;Sanitation
dc/topic/SchoolType,School Type;School Type;type of school;types of schools
dc/topic/Schools,Schools;Schools;school
dc/topic/SeparatedFemalePopulationByAge,Separated Female Population By Age;Separated Female Population By Age
dc/topic/SeparatedMalePopulationByAge,Separated Male Population By Age;Separated Male Population By Age
dc/topic/SeparatedPopulationByAge,Separated Population By Age;Separated Population By Age
dc/topic/SmokePM2.5,Smoke PM2.5;Smoke PM2.5;smoke particulate matter 2.5;particulate matter 2.5
dc/topic/Snowfall,Snowfall;Snowfall
dc/topic/SocialSupport,Social Support;Social Support
dc/topic/SolarConsumption,Solar Consumption;Solar Consumption
dc/topic/SolarPotential,Solar Potential;Solar Potential;Solar potential
dc/topic/Storm,Storm;Storm
dc/topic/Stroke,Stroke;Stroke;stroke attack;heart attack
dc/topic/StrokeFemalePopulationByAge,Female Population With Stroke By Age;Female Population With Stroke By Age
dc/topic/StrokeMalePopulationByAge,Male Population With Stroke By Age;Male Population With Stroke By Age
dc/topic/StudentEnrollmentLevels,Student Enrollment Levels;Student Enrollment Levels;enrollement levels of students;number of students enrolled;students currently enrolled
dc/topic/StudentLunchEligibility,Student Lunch Eligibility;Student Lunch Eligibility;lunch eligibility of students;students eligible for lunch
dc/topic/StudentPopulation,Student Population;Student Population;Students
dc/topic/StudentPopulationDemographics,Student Population Demographics;Student Population Demographics;Student demographics
dc/topic/StudentTeacherRatio,Student Teacher Ratio;Student Teacher Ratio;ratio of students to teachers
dc/topic/StudentsInCollege,Students in College;Students in College;undergraduate students;undergrad students;undergrads;college students
dc/topic/StudentsInGraduateOrProfessionalSchool,race breakdown of students in Graduate or Professional School
