sentence,dcid
"Count Person: Age Years 51 To 61, Measurement Denominator Count_ Person, Program Type Public Housing",Count_Person_Years51To61_PublicHousing_AsAFractionOf_Count_Person
"Count Person: Age Years 51 To 61, Measurement Denominator Count_ Person, Program Type Rent Sup Rap",Count_Person_Years51To61_RentSupRAP_AsAFractionOf_Count_Person
"Count Person: Age Years 51 To 61, Measurement Denominator Count_ Person, Program Type S2 36 Bmir",Count_Person_Years51To61_S236BMIR_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Disability Status With Disability, Measurement Denominator Count_ Person",Count_Person_Years62Onwards_WithDisability_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers",Count_Person_Years62Onwards_WithDisability_HousingChoiceVouchers_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Mod Rehab",Count_Person_Years62Onwards_WithDisability_ModRehab_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Project Based Section 8",Count_Person_Years62Onwards_WithDisability_ProjectBasedSection8_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2",Count_Person_Years62Onwards_WithDisability_ProjectRentalAssistanceContractSection202_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1",Count_Person_Years62Onwards_WithDisability_ProjectRentalAssistanceContractSection811_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Public Housing",Count_Person_Years62Onwards_WithDisability_PublicHousing_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Rent Sup Rap",Count_Person_Years62Onwards_WithDisability_RentSupRAP_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type S2 36 Bmir",Count_Person_Years62Onwards_WithDisability_S236BMIR_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Measurement Denominator Count_ Person",Count_Person_Years62Onwards_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers",Count_Person_Years62Onwards_HousingChoiceVouchers_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Measurement Denominator Count_ Person, Program Type Mod Rehab",Count_Person_Years62Onwards_ModRehab_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Measurement Denominator Count_ Person, Program Type Project Based Section 8",Count_Person_Years62Onwards_ProjectBasedSection8_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2",Count_Person_Years62Onwards_ProjectRentalAssistanceContractSection202_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1",Count_Person_Years62Onwards_ProjectRentalAssistanceContractSection811_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Measurement Denominator Count_ Person, Program Type Public Housing",Count_Person_Years62Onwards_PublicHousing_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Measurement Denominator Count_ Person, Program Type Rent Sup Rap",Count_Person_Years62Onwards_RentSupRAP_AsAFractionOf_Count_Person
"Count Person: Age Years 62 Onwards, Measurement Denominator Count_ Person, Program Type S2 36 Bmir",Count_Person_Years62Onwards_S236BMIR_AsAFractionOf_Count_Person
"Count Person: Age Years 85 Onwards, Measurement Denominator Count_ Person",Count_Person_Years85Onwards_AsAFractionOf_Count_Person
"Count Person: Age Years 85 Onwards, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers",Count_Person_Years85Onwards_HousingChoiceVouchers_AsAFractionOf_Count_Person
"Count Person: Age Years 85 Onwards, Measurement Denominator Count_ Person, Program Type Mod Rehab",Count_Person_Years85Onwards_ModRehab_AsAFractionOf_Count_Person
"Count Person: Age Years 85 Onwards, Measurement Denominator Count_ Person, Program Type Project Based Section 8",Count_Person_Years85Onwards_ProjectBasedSection8_AsAFractionOf_Count_Person
"Count Person: Age Years 85 Onwards, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2",Count_Person_Years85Onwards_ProjectRentalAssistanceContractSection202_AsAFractionOf_Count_Person
"Count Person: Age Years 85 Onwards, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1",Count_Person_Years85Onwards_ProjectRentalAssistanceContractSection811_AsAFractionOf_Count_Person
"Count Person: Age Years 85 Onwards, Measurement Denominator Count_ Person, Program Type Public Housing",Count_Person_Years85Onwards_PublicHousing_AsAFractionOf_Count_Person
"Count Person: Age Years 85 Onwards, Measurement Denominator Count_ Person, Program Type Rent Sup Rap",Count_Person_Years85Onwards_RentSupRAP_AsAFractionOf_Count_Person
"Count Person: Age Years 85 Onwards, Measurement Denominator Count_ Person, Program Type S2 36 Bmir",Count_Person_Years85Onwards_S236BMIR_AsAFractionOf_Count_Person
"Count Person: Age Years Less Than 62, Disability Status With Disability, Measurement Denominator Count_ Person",Count_Person_YearsLessThan62_WithDisability_AsAFractionOf_Count_Person
"Count Person: Age Years Less Than 62, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers",Count_Person_YearsLessThan62_WithDisability_HousingChoiceVouchers_AsAFractionOf_Count_Person
"Count Person: Age Years Less Than 62, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Mod Rehab",Count_Person_YearsLessThan62_WithDisability_ModRehab_AsAFractionOf_Count_Person
"Count Person: Age Years Less Than 62, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Project Based Section 8",Count_Person_YearsLessThan62_WithDisability_ProjectBasedSection8_AsAFractionOf_Count_Person
"Count Person: Age Years Less Than 62, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2",Count_Person_YearsLessThan62_WithDisability_ProjectRentalAssistanceContractSection202_AsAFractionOf_Count_Person
"Count Person: Age Years Less Than 62, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1",Count_Person_YearsLessThan62_WithDisability_ProjectRentalAssistanceContractSection811_AsAFractionOf_Count_Person
"Count Person: Age Years Less Than 62, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Public Housing",Count_Person_YearsLessThan62_WithDisability_PublicHousing_AsAFractionOf_Count_Person
"Count Person: Age Years Less Than 62, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Rent Sup Rap",Count_Person_YearsLessThan62_WithDisability_RentSupRAP_AsAFractionOf_Count_Person
"Count Person: Age Years Less Than 62, Disability Status With Disability, Measurement Denominator Count_ Person, Program Type S2 36 Bmir",Count_Person_YearsLessThan62_WithDisability_S236BMIR_AsAFractionOf_Count_Person
"Count Person: Disability Status With Disability, Measurement Denominator Count_ Person",Count_Person_WithDisability_AsAFractionOf_Count_Person
"Count Person: Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers",Count_Person_WithDisability_HousingChoiceVouchers_AsAFractionOf_Count_Person
"Count Person: Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Mod Rehab",Count_Person_WithDisability_ModRehab_AsAFractionOf_Count_Person
"Count Person: Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Project Based Section 8",Count_Person_WithDisability_ProjectBasedSection8_AsAFractionOf_Count_Person
"Count Person: Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2",Count_Person_WithDisability_ProjectRentalAssistanceContractSection202_AsAFractionOf_Count_Person
"Count Person: Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1",Count_Person_WithDisability_ProjectRentalAssistanceContractSection811_AsAFractionOf_Count_Person
"Count Person: Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Public Housing",Count_Person_WithDisability_PublicHousing_AsAFractionOf_Count_Person
"Count Person: Disability Status With Disability, Measurement Denominator Count_ Person, Program Type Rent Sup Rap",Count_Person_WithDisability_RentSupRAP_AsAFractionOf_Count_Person
"Count Person: Disability Status With Disability, Measurement Denominator Count_ Person, Program Type S2 36 Bmir",Count_Person_WithDisability_S236BMIR_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person",Count_Person_HispanicOrLatino_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers",Count_Person_HispanicOrLatino_HousingChoiceVouchers_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers, Race Black Or African American Alone",Count_Person_HispanicOrLatino_HousingChoiceVouchers_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers, Race White Alone",Count_Person_HispanicOrLatino_HousingChoiceVouchers_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Mod Rehab",Count_Person_HispanicOrLatino_ModRehab_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Mod Rehab, Race Black Or African American Alone",Count_Person_HispanicOrLatino_ModRehab_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Mod Rehab, Race White Alone",Count_Person_HispanicOrLatino_ModRehab_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Based Section 8",Count_Person_HispanicOrLatino_ProjectBasedSection8_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Based Section 8, Race Black Or African American Alone",Count_Person_HispanicOrLatino_ProjectBasedSection8_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Based Section 8, Race White Alone",Count_Person_HispanicOrLatino_ProjectBasedSection8_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2",Count_Person_HispanicOrLatino_ProjectRentalAssistanceContractSection202_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2, Race Black Or African American Alone",Count_Person_HispanicOrLatino_ProjectRentalAssistanceContractSection202_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2, Race White Alone",Count_Person_HispanicOrLatino_ProjectRentalAssistanceContractSection202_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1",Count_Person_HispanicOrLatino_ProjectRentalAssistanceContractSection811_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1, Race Black Or African American Alone",Count_Person_HispanicOrLatino_ProjectRentalAssistanceContractSection811_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1, Race White Alone",Count_Person_HispanicOrLatino_ProjectRentalAssistanceContractSection811_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Public Housing",Count_Person_HispanicOrLatino_PublicHousing_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Public Housing, Race Black Or African American Alone",Count_Person_HispanicOrLatino_PublicHousing_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Public Housing, Race White Alone",Count_Person_HispanicOrLatino_PublicHousing_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Rent Sup Rap",Count_Person_HispanicOrLatino_RentSupRAP_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Rent Sup Rap, Race Black Or African American Alone",Count_Person_HispanicOrLatino_RentSupRAP_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Rent Sup Rap, Race White Alone",Count_Person_HispanicOrLatino_RentSupRAP_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type S2 36 Bmir",Count_Person_HispanicOrLatino_S236BMIR_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type S2 36 Bmir, Race Black Or African American Alone",Count_Person_HispanicOrLatino_S236BMIR_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type S2 36 Bmir, Race White Alone",Count_Person_HispanicOrLatino_S236BMIR_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Race Black Or African American Alone",Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Hispanic Or Latino, Measurement Denominator Count_ Person, Race White Alone",Count_Person_HispanicOrLatino_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers, Race American Indian Or Alaska Native Alone",Count_Person_NotHispanicOrLatino_HousingChoiceVouchers_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers, Race Asian__ Native Hawaiian Or Other Pacific Islander Alone",Count_Person_NotHispanicOrLatino_HousingChoiceVouchers_AsianOrNativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers, Race Black Or African American Alone",Count_Person_NotHispanicOrLatino_HousingChoiceVouchers_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers, Race White Alone",Count_Person_NotHispanicOrLatino_HousingChoiceVouchers_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Mod Rehab, Race American Indian Or Alaska Native Alone",Count_Person_NotHispanicOrLatino_ModRehab_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Mod Rehab, Race Asian__ Native Hawaiian Or Other Pacific Islander Alone",Count_Person_NotHispanicOrLatino_ModRehab_AsianOrNativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Mod Rehab, Race Black Or African American Alone",Count_Person_NotHispanicOrLatino_ModRehab_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Mod Rehab, Race White Alone",Count_Person_NotHispanicOrLatino_ModRehab_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Based Section 8, Race American Indian Or Alaska Native Alone",Count_Person_NotHispanicOrLatino_ProjectBasedSection8_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Based Section 8, Race Asian__ Native Hawaiian Or Other Pacific Islander Alone",Count_Person_NotHispanicOrLatino_ProjectBasedSection8_AsianOrNativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Based Section 8, Race Black Or African American Alone",Count_Person_NotHispanicOrLatino_ProjectBasedSection8_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Based Section 8, Race White Alone",Count_Person_NotHispanicOrLatino_ProjectBasedSection8_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2, Race American Indian Or Alaska Native Alone",Count_Person_NotHispanicOrLatino_ProjectRentalAssistanceContractSection202_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2, Race Asian__ Native Hawaiian Or Other Pacific Islander Alone",Count_Person_NotHispanicOrLatino_ProjectRentalAssistanceContractSection202_AsianOrNativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2, Race Black Or African American Alone",Count_Person_NotHispanicOrLatino_ProjectRentalAssistanceContractSection202_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2, Race White Alone",Count_Person_NotHispanicOrLatino_ProjectRentalAssistanceContractSection202_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1, Race American Indian Or Alaska Native Alone",Count_Person_NotHispanicOrLatino_ProjectRentalAssistanceContractSection811_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1, Race Asian__ Native Hawaiian Or Other Pacific Islander Alone",Count_Person_NotHispanicOrLatino_ProjectRentalAssistanceContractSection811_AsianOrNativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1, Race Black Or African American Alone",Count_Person_NotHispanicOrLatino_ProjectRentalAssistanceContractSection811_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1, Race White Alone",Count_Person_NotHispanicOrLatino_ProjectRentalAssistanceContractSection811_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Public Housing, Race American Indian Or Alaska Native Alone",Count_Person_NotHispanicOrLatino_PublicHousing_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Public Housing, Race Asian__ Native Hawaiian Or Other Pacific Islander Alone",Count_Person_NotHispanicOrLatino_PublicHousing_AsianOrNativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Public Housing, Race Black Or African American Alone",Count_Person_NotHispanicOrLatino_PublicHousing_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Public Housing, Race White Alone",Count_Person_NotHispanicOrLatino_PublicHousing_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Rent Sup Rap, Race American Indian Or Alaska Native Alone",Count_Person_NotHispanicOrLatino_RentSupRAP_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Rent Sup Rap, Race Asian__ Native Hawaiian Or Other Pacific Islander Alone",Count_Person_NotHispanicOrLatino_RentSupRAP_AsianOrNativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Rent Sup Rap, Race Black Or African American Alone",Count_Person_NotHispanicOrLatino_RentSupRAP_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type Rent Sup Rap, Race White Alone",Count_Person_NotHispanicOrLatino_RentSupRAP_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type S2 36 Bmir, Race American Indian Or Alaska Native Alone",Count_Person_NotHispanicOrLatino_S236BMIR_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type S2 36 Bmir, Race Asian__ Native Hawaiian Or Other Pacific Islander Alone",Count_Person_NotHispanicOrLatino_S236BMIR_AsianOrNativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type S2 36 Bmir, Race Black Or African American Alone",Count_Person_NotHispanicOrLatino_S236BMIR_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Program Type S2 36 Bmir, Race White Alone",Count_Person_NotHispanicOrLatino_S236BMIR_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Race American Indian Or Alaska Native Alone",Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Race Asian__ Native Hawaiian Or Other Pacific Islander Alone",Count_Person_NotHispanicOrLatino_AsianOrNativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Race Black Or African American Alone",Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person
"Count Person: Ethnicity Not Hispanic Or Latino, Measurement Denominator Count_ Person, Race White Alone",Count_Person_NotHispanicOrLatino_WhiteAlone_AsAFractionOf_Count_Person
"Count Person: Household Head Status Female, Household Member Status With Children, Measurement Denominator Count_ Person",Count_Person_Female_WithChildren_AsAFractionOf_Count_Person
"Count Person: Household Head Status Female, Household Member Status With Children, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers",Count_Person_Female_WithChildren_HousingChoiceVouchers_AsAFractionOf_Count_Person
