PreferredSV,DroppedSV,DuplicateName
dc/topic/sdg_1.5.3,dc/topic/sdg_13.1.2,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030
dc/topic/sdg_1.5.3,dc/topic/sdg_13.1.2,sdg Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030
dc/topic/sdg_1.5.3,dc/topic/sdg_13.1.2,sustainable development goal Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030
dc/topic/sdg_1.5.4,dc/topic/sdg_13.1.3,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
dc/topic/sdg_1.5.4,dc/topic/sdg_13.1.3,sdg Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
dc/topic/sdg_1.5.4,dc/topic/sdg_13.1.3,sustainable development goal Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
dc/topic/sdg_4.7.1,dc/topic/sdg_13.3.1,(b) curricula
dc/topic/sdg_4.7.1,dc/topic/sdg_13.3.1,(c) teacher education
dc/topic/sdg_4.7.1,dc/topic/sdg_13.3.1,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies
dc/topic/sdg_4.7.1,dc/topic/sdg_13.3.1,and (d) student assessment
dc/topic/sdg_4.7.1,dc/topic/sdg_13.3.1,sdg Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies
dc/topic/sdg_4.7.1,dc/topic/sdg_13.3.1,sustainable development goal Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies
dc/topic/sdg_14,dc/topic/sdg_1.4,sdg 14
dc/topic/sdg_14,dc/topic/sdg_1.4,sdg14
dc/topic/sdg_14.1,dc/topic/sdg_1.4.1,sdg 141
dc/topic/sdg_14.1,dc/topic/sdg_1.4.1,sdg141
dc/topic/sdg_14.2,dc/topic/sdg_1.4.2,sdg 142
dc/topic/sdg_14.2,dc/topic/sdg_1.4.2,sdg142
dc/topic/sdg_15,dc/topic/sdg_1.5,sdg 15
dc/topic/sdg_15,dc/topic/sdg_1.5,sdg15
dc/topic/sdg_15.1,dc/topic/sdg_1.5.1,sdg 151
dc/topic/sdg_15.1,dc/topic/sdg_1.5.1,sdg151
dc/topic/sdg_15.2,dc/topic/sdg_1.5.2,sdg 152
dc/topic/sdg_15.2,dc/topic/sdg_1.5.2,sdg152
dc/topic/sdg_15.3,dc/topic/sdg_1.5.3,sdg 153
dc/topic/sdg_15.3,dc/topic/sdg_1.5.3,sdg153
dc/topic/sdg_15.4,dc/topic/sdg_1.5.4,sdg 154
dc/topic/sdg_15.4,dc/topic/sdg_1.5.4,sdg154
dc/topic/sdg_15.8,dc/topic/sdg_15.6.1,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
dc/topic/sdg_15.a.1,dc/topic/sdg_15.b.1,(a) Official development assistance on conservation and sustainable use of biodiversity
dc/topic/sdg_15.a.1,dc/topic/sdg_15.b.1,and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments
dc/topic/sdg_15.a.1,dc/topic/sdg_15.b.1,sdg (a) Official development assistance on conservation and sustainable use of biodiversity
dc/topic/sdg_15.a.1,dc/topic/sdg_15.b.1,sustainable development goal (a) Official development assistance on conservation and sustainable use of biodiversity
dc/topic/sdg_10.6.1,dc/topic/sdg_16.8.1,Proportion of members and voting rights of developing countries in international organizations
dc/topic/sdg_10.6.1,dc/topic/sdg_16.8.1,sdg Proportion of members and voting rights of developing countries in international organizations
dc/topic/sdg_10.6.1,dc/topic/sdg_16.8.1,sustainable development goal Proportion of members and voting rights of developing countries in international organizations
dc/topic/sdg_10.3.1,dc/topic/sdg_16.b.1,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
dc/topic/sdg_10.3.1,dc/topic/sdg_16.b.1,sdg Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
dc/topic/sdg_10.3.1,dc/topic/sdg_16.b.1,sustainable development goal Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
dc/topic/sdg_17.11,dc/topic/sdg_17.1.1,sdg 1711
dc/topic/sdg_17.11,dc/topic/sdg_17.1.1,sdg1711
dc/topic/sdg_17.12,dc/topic/sdg_17.1.2,sdg 1712
dc/topic/sdg_17.12,dc/topic/sdg_17.1.2,sdg1712
