sentence,dcid
Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,dc/topic/sdg_3.5.2
Ambient Air Pollution,dc/topic/AmbientAirPollution
American Indian And Alaska Native Female Population By Age,dc/topic/AmericanIndianAndAlaskaNativeAloneFemalePopulationByAge
American Indian And Alaska Native Male Population By Age,dc/topic/AmericanIndianAndAlaskaNativeAloneMalePopulationByAge
American Indian And Alaska Native Population By Age,dc/topic/AmericanIndianAndAlaskaNativeAlonePopulationByAge
Amount in United States dollars committed to public-private partnerships for infrastructure,dc/topic/sdg_17.17.1
Amount of Barley grown for Grain production,Amount_FarmInventory_BarleyForGrain
Amount of Carbon Dioxide (CO2) Emissions from Net Wetlands,Annual_Emissions_CarbonDioxide_NetWetlandEmissions
Amount of Carbon Dioxide (CO2) Emissions from Oil and Gas Production,Annual_Emissions_CarbonDioxide_OilAndGasProduction
Amount of Carbon Dioxide (CO2) Emissions from Oil and Gas Refining,Annual_Emissions_CarbonDioxide_OilAndGasRefining
Amount of Carbon Dioxide (CO2) Emissions from Open Burning of Waste,Annual_Emissions_CarbonDioxide_OpenBurningWaste
Amount of Carbon Dioxide (CO2) Emissions from Pulp and Paper Manufacturing,Annual_Emissions_CarbonDioxide_PulpAndPaperManufacturing
Amount of Carbon Dioxide (CO2) Emissions from Rock Quarry,Annual_Emissions_CarbonDioxide_RockQuarry
Amount of Carbon Dioxide (CO2) Emissions from Sand Quarry,Annual_Emissions_CarbonDioxide_SandQuarry
Amount of Carbon Dioxide (CO2) Emissions from Solid Fuel Transformation,Annual_Emissions_CarbonDioxide_SolidFuelTransformation
Amount of Carbon Dioxide Emissions from Steel Manufacturing,Annual_Emissions_CarbonDioxide_SteelManufacturing
Amount of Carbon Dioxide Emissions from Transportation,Annual_Emissions_CarbonDioxide_Transportation
Amount of Carbon Dioxide Emissions from Waste Management,Annual_Emissions_CarbonDioxide_WasteManagement
Amount of Corn grown for Silage (green fodder) or Greenchop,Amount_FarmInventory_CornForSilageOrGreenchop
Amount of Corn grown for grain production,Amout_FarmInventory_CornForGrain
Amount of Dry Edible Bean grown,Amount_FarmInventory_DryEdibleBeans
Amount of Durum Wheat grown for grain production,Amount_FarmInventory_DurumWheatForGrain
Amount of Forage grown,Amount_FarmInventory_Forage
Amount of GDP for Accommodation and Food Services,USStateQuarterlyIndustryGDP_NAICS_72
"Amount of GDP for Administrative Support, Waste Management and Remediation Services",USStateQuarterlyIndustryGDP_NAICS_56
"Amount of GDP for Agriculture, Forestry, Fishing And Hunting",USStateQuarterlyIndustryGDP_NAICS_11
"Amount of GDP for Arts, Entertainment, and Recreation",USStateQuarterlyIndustryGDP_NAICS_71
Amount of GDP for Construction,USStateQuarterlyIndustryGDP_NAICS_23
Amount of GDP for Educational Services,USStateQuarterlyIndustryGDP_NAICS_61
Amount of GDP for Finance and Insurance,USStateQuarterlyIndustryGDP_NAICS_52
Amount of GDP for Health Care and Social Assistance,USStateQuarterlyIndustryGDP_NAICS_62
Amount of GDP for Information,USStateQuarterlyIndustryGDP_NAICS_51
Amount of GDP for Management of Companies and Enterprises,USStateQuarterlyIndustryGDP_NAICS_55
Amount of GDP for Manufacturing,USStateQuarterlyIndustryGDP_NAICS_311_316&322_326
"Amount of GDP for Mining, Quarrying, Oil Gas Extraction",USStateQuarterlyIndustryGDP_NAICS_21
"Amount of GDP for Professional, Scientific, and Technical Services",USStateQuarterlyIndustryGDP_NAICS_54
Amount of GDP for Real Estate and Rental and Leasing,USStateQuarterlyIndustryGDP_NAICS_53
Amount of GDP for Retail Trade,USStateQuarterlyIndustryGDP_NAICS_44_45
Amount of GDP for Transportation and Warehousing,USStateQuarterlyIndustryGDP_NAICS_48_49
Amount of GDP for Utilities,USStateQuarterlyIndustryGDP_NAICS_22
Amount of GDP for Wholesale Trade,USStateQuarterlyIndustryGDP_NAICS_42
Amount of Greenhouse Gas Emissions,Annual_Emissions_GreenhouseGas
Amount of Greenhouse Gas Emissions from Agriculture,Annual_Emissions_GreenhouseGas_Agriculture
Amount of Greenhouse Gas Emissions from Aluminum Production,Annual_Emissions_GreenhouseGas_AluminumProduction
Amount of Greenhouse Gas Emissions from Ammonia Manufacturing,Annual_Emissions_GreenhouseGas_AmmoniaManufacturing_NonBiogenic
Amount of Greenhouse Gas Emissions from Bauxite Mining,Annual_Emissions_GreenhouseGas_BauxiteMining
Amount of Greenhouse Gas Emissions from Cement Production,Annual_Emissions_GreenhouseGas_CementProduction;Annual_Emissions_GreenhouseGas_CementProduction_NonBiogenic
Amount of Greenhouse Gas Emissions from Copper Mining,Annual_Emissions_GreenhouseGas_CopperMining
Amount of Greenhouse Gas Emissions from Cropland Fire,Annual_Emissions_GreenhouseGas_CroplandFire
Amount of Greenhouse Gas Emissions from Electricity Generation,Annual_Emissions_GreenhouseGas_ElectricityGeneration;Annual_Emissions_GreenhouseGas_ElectricityGeneration_NonBiogenic
Amount of Greenhouse Gas Emissions from Electricity Generation from Thermal Power Plant,Annual_Emissions_GreenhouseGas_ElectricityGenerationFromThermalPowerPlant
Amount of Greenhouse Gas Emissions from Electronics Manufacture,Annual_Emissions_GreenhouseGas_ElectronicsManufacture_NonBiogenic
Amount of Greenhouse Gas Emissions from Enteric Fermentation,Annual_Emissions_GreenhouseGas_EntericFermentation
Amount of Greenhouse Gas Emissions from Fluorinated GHG Production,Annual_Emissions_GreenhouseGas_FluorinatedGHGProduction_NonBiogenic
Amount of Greenhouse Gas Emissions from Forest Clearing,Annual_Emissions_GreenhouseGas_ForestClearing
Amount of Greenhouse Gas Emissions from Forest Fire,Annual_Emissions_GreenhouseGas_ForestFire
Amount of Greenhouse Gas Emissions from Forestry and Land Use,Annual_Emissions_GreenhouseGas_ForestryAndLandUse
Amount of Greenhouse Gas Emissions from Fuel Combustion for Aviation,Annual_Emissions_GreenhouseGas_FuelCombustionForAviation
Amount of Greenhouse Gas Emissions from Fuel Combustion for Cooking,Annual_Emissions_GreenhouseGas_FuelCombustionForCooking
Amount of Greenhouse Gas Emissions from Fuel Combustion for Railways,Annual_Emissions_GreenhouseGas_FuelCombustionForRailways
Amount of Greenhouse Gas Emissions from Fuel Combustion for Refrigeration and Air Conditioning,Annual_Emissions_GreenhouseGas_FuelCombustionForRefrigerationAirConditioning
Amount of Greenhouse Gas Emissions from Fuel Combustion for Residential and Commercial Onsite Heating,Annual_Emissions_GreenhouseGas_FuelCombustionForResidentialCommercialOnsiteHeating
Amount of Greenhouse Gas Emissions from Fuel Combustion for Road Vehicles,Annual_Emissions_GreenhouseGas_FuelCombustionForRoadVehicles
Amount of Greenhouse Gas Emissions from Fuel Combustion in Buildings,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings
Amount of Greenhouse Gas Emissions from Glass Production,Annual_Emissions_GreenhouseGas_GlassProduction_NonBiogenic
Amount of Greenhouse Gas Emissions from Hydrogen Production,Annual_Emissions_GreenhouseGas_HydrogenProduction_NonBiogenic
Amount of Greenhouse Gas Emissions from Industrial Waste Landfills,Annual_Emissions_GreenhouseGas_IndustrialWasteLandfills_NonBiogenic
Amount of Greenhouse Gas Emissions from Industrial Wastewater Treatment,Annual_Emissions_GreenhouseGas_IndustrialWastewaterTreatment_NonBiogenic
Amount of Greenhouse Gas Emissions from Iron Mining,Annual_Emissions_GreenhouseGas_IronMining
Amount of Greenhouse Gas Emissions from Iron and Steel Production,Annual_Emissions_GreenhouseGas_IronAndSteelProduction_NonBiogenic
Amount of Greenhouse Gas Emissions from Lime Production,Annual_Emissions_GreenhouseGas_LimeProduction_NonBiogenic
Amount of Greenhouse Gas Emissions from Managed Soils,Annual_Emissions_GreenhouseGas_ManagedSoils
Amount of Greenhouse Gas Emissions from Manufacturing,Annual_Emissions_GreenhouseGas_Manufacturing
Amount of Greenhouse Gas Emissions from Manure Management,Annual_Emissions_GreenhouseGas_ManureManagement
Amount of Greenhouse Gas Emissions from Maritime Shipping,Annual_Emissions_GreenhouseGas_MaritimeShipping
Amount of Greenhouse Gas Emissions from Maritime Transport,Annual_Emissions_GreenhouseGas_MaritimeTransport
Amount of Greenhouse Gas Emissions from Mineral Extraction,Annual_Emissions_GreenhouseGas_MineralExtraction
Amount of Greenhouse Gas Emissions from Miscellaneous Use Of Carbonates,Annual_Emissions_GreenhouseGas_MiscellaneousUseOfCarbonates_NonBiogenic
Amount of Greenhouse Gas Emissions from Municipal Landfills,Annual_Emissions_GreenhouseGas_MunicipalLandfills_NonBiogenic
Amount of Greenhouse Gas Emissions from Nitric Acid Production,Annual_Emissions_GreenhouseGas_NitricAcidProduction_NonBiogenic
Amount of Greenhouse Gas Emissions from Oil And Gas,Annual_Emissions_GreenhouseGas_OilAndGas
Amount of Greenhouse Gas Emissions from Oil And Gas Production,Annual_Emissions_GreenhouseGas_OilAndGasProduction
Amount of Greenhouse Gas Emissions from Open Burning Waste,Annual_Emissions_GreenhouseGas_OpenBurningWaste
Amount of Greenhouse Gas Emissions from Petrochemical Production,Annual_Emissions_GreenhouseGas_PetrochemicalProduction;Annual_Emissions_GreenhouseGas_PetrochemicalProduction_NonBiogenic
Amount of Greenhouse Gas Emissions from Petroleum Refining,Annual_Emissions_GreenhouseGas_PetroleumRefining;Annual_Emissions_GreenhouseGas_PetroleumRefining_NonBiogenic
Amount of Greenhouse Gas Emissions from Pulp And Paper Manufacturing,Annual_Emissions_GreenhouseGas_PulpAndPaperManufacturing;Annual_Emissions_GreenhouseGas_PulpAndPaperManufacturing_NonBiogenic
Amount of Greenhouse Gas Emissions from Rice Cultivation,Annual_Emissions_GreenhouseGas_RiceCultivation
Amount of Greenhouse Gas Emissions from Rock Quarry,Annual_Emissions_GreenhouseGas_RockQuarry
Amount of Greenhouse Gas Emissions from Sand Quarry,Annual_Emissions_GreenhouseGas_SandQuarry
Amount of Greenhouse Gas Emissions from Savanna Fire,Annual_Emissions_GreenhouseGas_SavannaFire
Amount of Greenhouse Gas Emissions from Shrubland Fire,Annual_Emissions_GreenhouseGas_ShrublandFire
Amount of Greenhouse Gas Emissions from Solid Fuel Transformation,Annual_Emissions_GreenhouseGas_SolidFuelTransformation
Amount of Greenhouse Gas Emissions from Solid Waste Disposal,Annual_Emissions_GreenhouseGas_SolidWasteDisposal
Amount of Greenhouse Gas Emissions from Stationary Combustion,Annual_Emissions_GreenhouseGas_StationaryCombustion_NonBiogenic
Amount of Greenhouse Gas Emissions from Steel Manufacturing,Annual_Emissions_GreenhouseGas_SteelManufacturing
Amount of Greenhouse Gas Emissions from Transportation,Annual_Emissions_GreenhouseGas_Transportation
Amount of Greenhouse Gas Emissions from Underground Coal Mines,Annual_Emissions_GreenhouseGas_UndergroundCoalMines_NonBiogenic
Amount of Greenhouse Gas Emissions from Waste Management,Annual_Emissions_GreenhouseGas_WasteManagement
Amount of Greenhouse Gas Emissions from Wastewater Treatment And Discharge,Annual_Emissions_GreenhouseGas_WastewaterTreatmentAndDischarge
Amount of Inward Remittance,Amount_Remittance_InwardRemittance
Amount of Jute or mesta grown,Amount_FarmInventory_JuteOrMesta
Amount of Methane Emissions from Agriculture,Annual_Emissions_Methane_Agriculture
Amount of Methane Emissions from Biological Treatment Of Solid Waste And Biogenic,Annual_Emissions_Methane_BiologicalTreatmentOfSolidWasteAndBiogenic
Amount of Methane Emissions from Coal Mining,Annual_Emissions_Methane_CoalMining
Amount of Methane Emissions from Cropland Fire,Annual_Emissions_Methane_CroplandFire
Amount of Methane Emissions from Enteric Fermentation,Annual_Emissions_Methane_EntericFermentation
Amount of Methane Emissions from Fossil Fuel Operations,Annual_Emissions_Methane_FossilFuelOperations
Amount of Methane Emissions from Fuel Combustion For Domestic Aviation,Annual_Emissions_Methane_FuelCombustionForDomesticAviation
Amount of Methane Emissions from Fuel Combustion For International Aviation,Annual_Emissions_Methane_FuelCombustionForInternationalAviation
Amount of Non Biogenic Greenhouse Gas Emissions,Annual_Emissions_GreenhouseGas_NonBiogenic
Amount of Non Biogenic Hydrofluorocarbon Emissions,Annual_Emissions_Hydrofluorocarbon_NonBiogenic
Amount of Non Biogenic Hydrofluoroether Emissions,Annual_Emissions_Hydrofluoroether_NonBiogenic
Amount of Oats grown for grain production,Amount_FarmInventory_OatsForGrain
Amount of Outward Remittance,Amount_Remittance_OutwardRemittance
Amount of Sorghum grown for grain production,Amount_FarmInventory_SorghumForGrain
Amount of Sorghum grown for silage or greenchop,Amount_FarmInventory_SorghumForSilageOrGreenchop
Amount of Sugarbeets grown for sugar production,Amount_FarmInventory_SugarbeetsForSugar
Amount of Wheat grown for grain production,Amount_FarmInventory_WheatForGrain
Amount of Winter Wheat grown for Grain production,AmountFarmInventory_WinterWheatForGrain
Amount of cotton grown,Amount_FarmInventory_Cotton
Amount of electricity exported in a year,Annual_Exports_Electricity
Amount of exported aviation gasoline,Annual_Exports_Fuel_AviationGasoline
Amount of exported bituminous coal,Annual_Exports_Fuel_BituminousCoal
Amount of exported brown coal,Annual_Exports_Fuel_BrownCoal
Amount of exported charcoal,Annual_Exports_Fuel_Charcoal
Amount of exported coke oven coke,Annual_Exports_Fuel_CokeOvenCoke
Amount of exported crude oil,Annual_Exports_Fuel_CrudeOil
Amount of exported diesel oil,Annual_Exports_Fuel_DieselOil
Amount of exported fuel oil,Annual_Exports_Fuel_FuelOil
Amount of exported fuelwood,Annual_Exports_Fuel_Fuelwood
Amount of exported hard coal,Annual_Exports_Fuel_HardCoal
Amount of exported kerosene,Annual_Exports_Fuel_Kerosene
Amount of exported kerosene jet fuel,Annual_Exports_Fuel_KeroseneJetFuel
Amount of exported liquefied petroleum gas,Annual_Exports_Fuel_LiquifiedPetroleumGas
Amount of exported lubricants,Annual_Exports_Fuel_Lubricants
Amount of exported motor gasoline,Annual_Exports_Fuel_MotorGasoline
Amount of exported naphtha,Annual_Exports_Fuel_Naphtha
Amount of exported natural gas,Annual_Exports_Fuel_NaturalGas
Amount of exported natural gas liquids,Annual_Exports_Fuel_NaturalGasLiquids
Amount of exported paraffin waxes,Annual_Exports_Fuel_ParaffinWaxes
Amount of exported petroleum coke,Annual_Exports_Fuel_PetroleumCoke
Amount of exported white spirit,Annual_Exports_Fuel_WhiteSpirit
Amount of fossil-fuel subsidies (production and consumption) per unit of GDP,dc/topic/sdg_12.c.1
Amount of gases emitted by agricultural sector,dc/topic/AgricultureEmissionsByGas
Amount of gases emitted by the manufacturing sector,dc/topic/ManufacturingEmissionsByGas
Amount of gases emitted by the power sector,dc/topic/PowerEmissionsByGas
Amount of gases emitted by the transportation sector,dc/topic/TransportationEmissionsByGas
Amount of imported Electronic Components,Imports_EconomicActivity_ElectronicComponents
Amount of imported Iron And Steel,Imports_EconomicActivity_IronAndSteel
Amount of imported Pharmaceutical,Imports_EconomicActivity_Pharmaceutical
Amount of imported crude oils,Imports_EconomicActivity_CrudeOils
Amount of peanut grown,Amount_FarmInventory_PeanutsForNuts
Amount of pima cotton grown,Amount_FarmInventory_PimaCotton
Amount of pulses grown,Amount_FarmInventory_Pulses
Amount of rice grown,Amount_FarmInventory_Rice
Amount of sunflower seed grown,Amount_FarmInventory_SunflowerSeed
Amount of upland Cotton grown,Amount_FarmInventory_UplandCotton
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,dc/topic/sdg_6.a.1
Amount of wheat grown,Amount_FarmInventory_Wheat
Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,dc/topic/sdg_13.a.1
"Annual Electricity Usage in Paper, Pulp and Print Industry",Annual_Consumption_Electricity_PaperPulpPrintIndustry
"Annual amount of Nickel emissions from waste disposal, treatment and recovery",Annual_Amount_Emissions_Nickel_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of Oxides Of Nitrogen emissions from waste disposal, treatment and recovery",Annual_Amount_Emissions_OxidesOfNitrogen_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of Oxochromiooxy Chromium emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of PM10 emissions from non-biogenic, miscellaneous emission sources",Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_PM10
"Annual amount of PM10 emissions from waste disposal, treatment and recovery",Annual_Amount_Emissions_PM10_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of PM2.5 emissions from non-biogenic, miscellaneous emission sources",Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_PM2.5
"Annual amount of PM2.5 emissions from waste disposal, treatment and recovery",Annual_Amount_Emissions_PM2.5_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of acetaldehyde emissions from Waste Disposal, Treatment, and Recovery",Annual_Amount_Emissions_Acetaldehyde_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of ammonia emissions from non-biogenic, miscellaneous emission sources",Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_Ammonia
"Annual amount of carbon monoxide emissions from non-biogenic, miscellaneous emission sources",Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_CarbonMonoxide
"Annual amount of emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of hexane emissions from waste disposal, treatment and recovery",Annual_Amount_Emissions_Hexane_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of lead emissions from waste disposal, treatment and recovery",Annual_Amount_Emissions_Lead_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of manganese emissions from waste disposal, treatment and recovery",Annual_Amount_Emissions_Manganese_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of mercury emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_Mercury_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of methanol emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_Methanol_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of naphthalene emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_Naphthalene_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of oxides of nitrogen emissions from non-biogenic, miscellaneous emission sources",Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_OxidesOfNitrogen
"Annual amount of phenol emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_Phenol_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of phosphorus emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_Phosphorus_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of pyrene emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_Pyrene_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of selenium emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_Selenium_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of sulfane emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_Sulfane_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of sulfur dioxide emissions from non-biogenic, miscellaneous emission sources",Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_SulfurDioxide
"Annual amount of sulfur dioxide emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_SulfurDioxide_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of toluene emissions from waste disposal, treatment, and recovery",Annual_Amount_Emissions_Toluene_SCC_26_WasteDisposalTreatmentAndRecovery
"Annual amount of volatile organic compound emissions from non-biogenic, miscellaneous emission sources",Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_VolatileOrganicCompound
Annual growth rate of real GDP per capita,dc/topic/sdg_8.1.1
Annual growth rate of real GDP per employed person,dc/topic/sdg_8.2.1
Annual inflation rate as measured by the consumer price index,sdg/FP_CPI_TOTL_ZG
Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),dc/topic/sdg_11.6.2
Area of Farm Growing Corn for Silage Or Greenchop,Area_Farm_CornForSilageOrGreenchop
Area of Farm Growing Cotton,Area_Farm_Cotton
Area of Farm Irrigated Land,Area_Farm_IrrigatedLand
Area of Farm with Cropland,Area_Farm_Cropland
Area of Farms Growing Corn,Area_Farm_CornForGrain
Area of Farms Growing Potatoes,Area_Farm_Potatoes
Area of Farms growing Forage crop,Area_Farm_Forage
Area of Wet Bulb Temperature Event,Area_WetBulbTemperatureEvent
Area of Wildland Fires,Area_WildlandFireEvent
Area of farms,Area_Farm
Area of farms growing Sorghum For Grain,Area_Farm_SorghumForGrain
Area of farms growing Sorghum For Silage Or Greenchop,Area_Farm_SorghumForSilageOrGreenchop
Area of farms growing Sugarbeets For Sugar,Area_Farm_SugarbeetsForSugar
Area of farms growing Sunflower Seed,Area_Farm_SunflowerSeed
Area of farms growing Sweet Potatoes,Area_Farm_SweetPotatoes
Area of farms growing Upland Cotton,Area_Farm_UplandCotton
Area of farms growing Vegetables Harvested For Sale,Area_Farm_VegetablesHarvestedForSale
Area of farms growing Wheat For Grain,Area_Farm_WheatForGrain
Area of farms growing Winter Wheat For Grain,Area_Farm_WinterWheatForGrain
Area of farms growing barley for grain production,Area_Farm_BarleyForGrain
Area of farms growing dry edible beans,Area_Farm_DryEdibleBeans
Area of farms growing durum wheat for grain production,Area_Farm_DurumWheatForGrain
Area of farms growing oats for grain production,Area_Farm_OatsForGrain
Area of farms growing orchards,Area_Farm_Orchards
Area of farms growing peanuts,Area_Farm_PeanutsForNuts
Area of farms growing pima cotton,Area_Farm_PimaCotton
Area of farms growing rice,Area_Farm_Rice
Area of farms with american indians or alaska natives farmers,Area_Farm_Producer_AmericanIndianOrAlaskaNativeAlone
Area of farms with asians as farmers,Area_Farm_Producer_AsianAlone
Area of farms with blacks or african americans farmers,Area_Farm_Producer_BlackOrAfricanAmericanAlone
Area of farms with hispanics or latinos farmers,Area_Farm_Producer_HispanicOrLatino
Area of farms with native hawaiians or other pacific islanders farmers,Area_Farm_Producer_NativeHawaiianOrOtherPacificIslanderAlone
Area of farms with two or more races farmers,Area_Farm_Producer_TwoOrMoreRaces
Area of farms with whites farmers,Area_Farm_Producer_WhiteAlone
Area of flood event,Area_FloodEvent
Area of forest,Area_LandCover_Forest
Area of tree covered land,Area_LandCover_Tree
Arthritis,dc/topic/Arthritis
Asian Female Population By Age,dc/topic/AsianAloneFemalePopulationByAge
Asian Male Population By Age,dc/topic/AsianAloneMalePopulationByAge
Asian Or Pacific Islander Female Population By Age,dc/topic/AsianOrPacificIslanderFemalePopulationByAge
Asian Or Pacific Islander Male Population By Age,dc/topic/AsianOrPacificIslanderMalePopulationByAge
Asian Or Pacific Islander Population By Age,dc/topic/AsianOrPacificIslanderPopulationByAge
Asian Population By Age,dc/topic/AsianAlonePopulationByAge
"Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress",dc/topic/sdg_17.4
Asthma,dc/topic/Asthma
