dcid,sentence
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDKyrgyzstan,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Kyrgyzstan;Climate finance provided;Climate finance commitments provided to Kyrgyzstan for adaptation in current USD
custom/statvar_16,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Lao People's Democratic Republic;Climate finance provided;Climate finance commitments provided to Lao People's Democratic Republic for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDLebanon,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Lebanon;Climate finance provided;Climate finance commitments provided to Lebanon for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDLesotho,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Lesotho;Climate finance provided;Climate finance commitments provided to Lesotho for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDLiberia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Liberia;Climate finance provided;Climate finance commitments provided to Liberia for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDLibya,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Libya;Climate finance provided;Climate finance commitments provided to Libya for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMadagascar,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Madagascar;Climate finance provided;Climate finance commitments provided to Madagascar for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMalawi,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Malawi;Climate finance provided;Climate finance commitments provided to Malawi for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMalaysia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Malaysia;Climate finance provided;Climate finance commitments provided to Malaysia for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMaldives,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Maldives;Climate finance provided;Climate finance commitments provided to Maldives for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMali,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Mali;Climate finance provided;Climate finance commitments provided to Mali for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMarshallIslands,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Marshall Islands;Climate finance provided;Climate finance commitments provided to Marshall Islands for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMauritania,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Mauritania;Climate finance provided;Climate finance commitments provided to Mauritania for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMauritius,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Mauritius;Climate finance provided;Climate finance commitments provided to Mauritius for adaptation in current USD
custom/statvar_17,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Melanesia, regional;Climate finance provided;Climate finance commitments provided to Melanesia, regional for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMexico,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Mexico;Climate finance provided;Climate finance commitments provided to Mexico for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMicronesia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Micronesia;Climate finance provided;Climate finance commitments provided to Micronesia for adaptation in current USD
custom/statvar_18,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Micronesia, regional;Climate finance provided;Climate finance commitments provided to Micronesia, regional for adaptation in current USD"
custom/statvar_19,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Middle Africa, regional;Climate finance provided;Climate finance commitments provided to Middle Africa, regional for adaptation in current USD"
custom/statvar_20,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Middle East, regional;Climate finance provided;Climate finance commitments provided to Middle East, regional for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMoldova,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Moldova;Climate finance provided;Climate finance commitments provided to Moldova for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMongolia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Mongolia;Climate finance provided;Climate finance commitments provided to Mongolia for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMontenegro,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Montenegro;Climate finance provided;Climate finance commitments provided to Montenegro for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMontserrat,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Montserrat;Climate finance provided;Climate finance commitments provided to Montserrat for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMorocco,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Morocco;Climate finance provided;Climate finance commitments provided to Morocco for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMozambique,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Mozambique;Climate finance provided;Climate finance commitments provided to Mozambique for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDMyanmar,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Myanmar;Climate finance provided;Climate finance commitments provided to Myanmar for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDNamibia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Namibia;Climate finance provided;Climate finance commitments provided to Namibia for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDNauru,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Nauru;Climate finance provided;Climate finance commitments provided to Nauru for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDNepal,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Nepal;Climate finance provided;Climate finance commitments provided to Nepal for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDNicaragua,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Nicaragua;Climate finance provided;Climate finance commitments provided to Nicaragua for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDNiger,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Niger;Climate finance provided;Climate finance commitments provided to Niger for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDNigeria,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Nigeria;Climate finance provided;Climate finance commitments provided to Nigeria for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDNiue,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Niue;Climate finance provided;Climate finance commitments provided to Niue for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDNorthMacedonia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - North Macedonia;Climate finance provided;Climate finance commitments provided to North Macedonia for adaptation in current USD
custom/statvar_21,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - North of Sahara, regional;Climate finance provided;Climate finance commitments provided to North of Sahara, regional for adaptation in current USD"
custom/statvar_22,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Oceania, regional;Climate finance provided;Climate finance commitments provided to Oceania, regional for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDPakistan,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Pakistan;Climate finance provided;Climate finance commitments provided to Pakistan for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDPalau,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Palau;Climate finance provided;Climate finance commitments provided to Palau for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDPanama,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Panama;Climate finance provided;Climate finance commitments provided to Panama for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDPapuaNewGuinea,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Papua New Guinea;Climate finance provided;Climate finance commitments provided to Papua New Guinea for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDParaguay,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Paraguay;Climate finance provided;Climate finance commitments provided to Paraguay for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDPeru,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Peru;Climate finance provided;Climate finance commitments provided to Peru for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDPhilippines,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Philippines;Climate finance provided;Climate finance commitments provided to Philippines for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDRwanda,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Rwanda;Climate finance provided;Climate finance commitments provided to Rwanda for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDSaintHelena,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Saint Helena;Climate finance provided;Climate finance commitments provided to Saint Helena for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDSaintKittsandNevis,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Saint Kitts and Nevis;Climate finance provided;Climate finance commitments provided to Saint Kitts and Nevis for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDSaintLucia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Saint Lucia;Climate finance provided;Climate finance commitments provided to Saint Lucia for adaptation in current USD
