dcid,Name,Description,Override_Alternatives,Curated_Alternatives
sdg/AG_LND_RMM,Proportion of agricultural land area that has achieved an acceptable or desirable level of risk mitigation mechanisms,Proportion of agricultural land area that has achieved an acceptable or desirable level of risk mitigation mechanisms,,
sdg/AG_LND_SDGRD,Proportion of agricultural land area that has achieved an acceptable or desirable level of soil degradation,Proportion of agricultural land area that has achieved an acceptable or desirable level of soil degradation,,
sdg/AG_LND_SUST,Proportion of agricultural area under productive and sustainable agriculture,Proportion of agricultural area under productive and sustainable agriculture,,
sdg/AG_LND_TOTL,Land area,Land area,,
sdg/AG_PRD_AGVAS,Agriculture value added share of GDP,Agriculture value added share of GDP,,
sdg/AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity,Prevalence of moderate or severe food insecurity,,
sdg/AG_PRD_FIESMS.AGE--Y_GE15__SEX--F,Prevalence of moderate or severe food insecurity [Age = 15 years old and over | Sex = Female],Prevalence of moderate or severe food insecurity [Age = 15 years old and over | Sex = Female],,
sdg/AG_PRD_FIESMS.AGE--Y_GE15__SEX--M,Prevalence of moderate or severe food insecurity [Age = 15 years old and over | Sex = Male],Prevalence of moderate or severe food insecurity [Age = 15 years old and over | Sex = Male],,
sdg/AG_PRD_FIESMSN,Number of moderately or severely food insecure people,Number of moderately or severely food insecure people,,
sdg/AG_PRD_FIESMSN.AGE--Y_GE15__SEX--F,Number of moderately or severely food insecure people [Age = 15 years old and over | Sex = Female],Number of moderately or severely food insecure people [Age = 15 years old and over | Sex = Female],,
sdg/AG_PRD_FIESMSN.AGE--Y_GE15__SEX--M,Number of moderately or severely food insecure people [Age = 15 years old and over | Sex = Male],Number of moderately or severely food insecure people [Age = 15 years old and over | Sex = Male],,
sdg/AG_PRD_FIESS,Prevalence of severe food insecurity,Prevalence of severe food insecurity,,
sdg/AG_PRD_FIESS.AGE--Y_GE15__SEX--F,Prevalence of severe food insecurity [Age = 15 years old and over | Sex = Female],Prevalence of severe food insecurity [Age = 15 years old and over | Sex = Female],,
sdg/AG_PRD_FIESS.AGE--Y_GE15__SEX--M,Prevalence of severe food insecurity [Age = 15 years old and over | Sex = Male],Prevalence of severe food insecurity [Age = 15 years old and over | Sex = Male],,
sdg/AG_PRD_FIESSN,Number of severely food insecure people,Number of severely food insecure people,,
sdg/AG_PRD_FIESSN.AGE--Y_GE15__SEX--F,Number of severely food insecure people [Age = 15 years old and over | Sex = Female],Number of severely food insecure people [Age = 15 years old and over | Sex = Female],,
sdg/AG_PRD_FIESSN.AGE--Y_GE15__SEX--M,Number of severely food insecure people [Age = 15 years old and over | Sex = Male],Number of severely food insecure people [Age = 15 years old and over | Sex = Male],,
sdg/AG_PRD_ORTIND,Agriculture orientation index for government expenditures,Agriculture orientation index for government expenditures,,
sdg/AG_PRD_XSUBDY,Agricultural export subsidies,Agricultural export subsidies,,
sdg/AG_XPD_AGSGB,Agriculture share of Government Expenditure,Agriculture share of Government Expenditure,,
sdg/BN_CAB_XOKA_GD_ZS,Current account balance as a proportion of GDP,Current account balance as a proportion of GDP,,
sdg/BN_KLT_PTXL_CD,"Portfolio investment, net","Portfolio investment, net",,
sdg/BX_KLT_DINV_WD_GD_ZS,"Foreign direct investment, net inflows, as a proportion of GDP","Foreign direct investment, net inflows, as a proportion of GDP",,
sdg/BX_TRF_PWKR,Volume of remittances as a proportion of total GDP,Volume of remittances as a proportion of total GDP,,
sdg/DC_ENVTECH_EXP,Amount of tracked exported Environmentally Sound Technologies,Amount of tracked exported Environmentally Sound Technologies,,
sdg/DC_ENVTECH_IMP,Amount of tracked imported Environmentally Sound Technologies,Amount of tracked imported Environmentally Sound Technologies,,
sdg/DC_ENVTECH_INV,Total investment in Environment Sound Technologies,Total investment in Environment Sound Technologies,,
sdg/DC_ENVTECH_INV.ACTIVITY--ISIC4_A,"Total investment in Environment Sound Technologies [Activity = Agriculture, forestry and fishing]","Total investment in Environment Sound Technologies [Activity = Agriculture, forestry and fishing]",,
sdg/DC_ENVTECH_INV.ACTIVITY--ISIC4_B,Total investment in Environment Sound Technologies [Activity = Mining and quarrying],Total investment in Environment Sound Technologies [Activity = Mining and quarrying],,
sdg/DC_ENVTECH_INV.ACTIVITY--ISIC4_C,Total investment in Environment Sound Technologies [Activity = Manufacturing],Total investment in Environment Sound Technologies [Activity = Manufacturing],,
sdg/DC_ENVTECH_INV.ACTIVITY--ISIC4_D,"Total investment in Environment Sound Technologies [Activity = Electricity, gas, steam and air conditioning supply]","Total investment in Environment Sound Technologies [Activity = Electricity, gas, steam and air conditioning supply]",,
sdg/DC_ENVTECH_INV.ACTIVITY--ISIC4_E,"Total investment in Environment Sound Technologies [Activity = Water supply; sewerage, waste management and remediation activities]","Total investment in Environment Sound Technologies [Activity = Water supply; sewerage, waste management and remediation activities]",,
sdg/DC_ENVTECH_INV.ACTIVITY--ISIC4_F,Total investment in Environment Sound Technologies [Activity = Construction],Total investment in Environment Sound Technologies [Activity = Construction],,
sdg/DC_ENVTECH_INV.ACTIVITY--ISIC4_H,Total investment in Environment Sound Technologies [Activity = Transportation and storage],Total investment in Environment Sound Technologies [Activity = Transportation and storage],,
sdg/DC_ENVTECH_INV.ACTIVITY--ISIC4_S,Total investment in Environment Sound Technologies [Activity = Other service activities],Total investment in Environment Sound Technologies [Activity = Other service activities],,
sdg/DC_ENVTECH_REXP,Amount of tracked re-exported Environmentally Sound Technologies,Amount of tracked re-exported Environmentally Sound Technologies,,
sdg/DC_ENVTECH_RIMP,Amount of tracked re-imported Environmentally Sound Technologies,Amount of tracked re-imported Environmentally Sound Technologies,,
sdg/DC_ENVTECH_TT,Total trade of tracked Environmentally Sound Technologies,Total trade of tracked Environmentally Sound Technologies,,
sdg/DC_FIN_CLIMB,"Climate-specific financial support provided via bilateral, regional and other channels","Climate-specific financial support provided via bilateral, regional and other channels",,
sdg/DC_FIN_CLIMB.TYPE_OF_SUPPORT--TOS_ADAPTATION,"Climate-specific financial support provided via bilateral, regional and other channels [Type of support = Adaptation]","Climate-specific financial support provided via bilateral, regional and other channels [Type of support = Adaptation]",,
sdg/DC_FIN_CLIMB.TYPE_OF_SUPPORT--TOS_CROSS_CUTTING,"Climate-specific financial support provided via bilateral, regional and other channels [Type of support = Cross-cutting]","Climate-specific financial support provided via bilateral, regional and other channels [Type of support = Cross-cutting]",,
sdg/DC_FIN_CLIMB.TYPE_OF_SUPPORT--TOS_MITIGATION,"Climate-specific financial support provided via bilateral, regional and other channels [Type of support = Mitigation]","Climate-specific financial support provided via bilateral, regional and other channels [Type of support = Mitigation]",,
sdg/DC_FIN_CLIMB.TYPE_OF_SUPPORT--TOS_OTHER,"Climate-specific financial support provided via bilateral, regional and other channels [Type of support = Other]","Climate-specific financial support provided via bilateral, regional and other channels [Type of support = Other]",,
sdg/DC_FIN_CLIMM,Climate-specific financial support provided via multilateral channels,Climate-specific financial support provided via multilateral channels,,
sdg/DC_FIN_CLIMM.TYPE_OF_SUPPORT--TOS_ADAPTATION,Climate-specific financial support provided via multilateral channels [Type of support = Adaptation],Climate-specific financial support provided via multilateral channels [Type of support = Adaptation],,
sdg/DC_FIN_CLIMM.TYPE_OF_SUPPORT--TOS_CROSS_CUTTING,Climate-specific financial support provided via multilateral channels [Type of support = Cross-cutting],Climate-specific financial support provided via multilateral channels [Type of support = Cross-cutting],,
sdg/DC_FIN_CLIMM.TYPE_OF_SUPPORT--TOS_MITIGATION,Climate-specific financial support provided via multilateral channels [Type of support = Mitigation],Climate-specific financial support provided via multilateral channels [Type of support = Mitigation],,
sdg/DC_FIN_CLIMM.TYPE_OF_SUPPORT--TOS_OTHER,Climate-specific financial support provided via multilateral channels [Type of support = Other],Climate-specific financial support provided via multilateral channels [Type of support = Other],,
sdg/DC_FIN_CLIMT,Total climate-specific financial support provided,Total climate-specific financial support provided,,
sdg/DC_FIN_GEN,Core/general contributions provided to multilateral institutions,Core/general contributions provided to multilateral institutions,,
sdg/DC_FIN_TOT,Total financial support provided,Total financial support provided,,
sdg/DC_FTA_TOTAL,Total official development assistance for technical cooperation,Total official development assistance for technical cooperation,,
sdg/DC_ODA_BDVDL,Total official development assistance for biodiversity,Total official development assistance for biodiversity,,
sdg/DC_ODA_BDVL,Total official development assistance for biodiversity,Total official development assistance for biodiversity,,
sdg/DC_ODA_LDCG,Net official development assistance to LDCs as a percentage of OECD-DAC donors' GNI,Net official development assistance to LDCs as a percentage of OECD-DAC donors' GNI,,
sdg/DC_ODA_LDCS,Net official development assistance to LDCs from OECD-DAC countries,Net official development assistance to LDCs from OECD-DAC countries,,
sdg/DC_ODA_LLDC,Net official development assistance to landlocked developing countries from OECD-DAC countries,Net official development assistance to landlocked developing countries from OECD-DAC countries,,
sdg/DC_ODA_LLDCG,Net official development assistance to landlocked developing countries as a percentage of OECD-DAC donors' GNI,Net official development assistance to landlocked developing countries as a percentage of OECD-DAC donors' GNI,,
sdg/DC_ODA_POVDLG,Official development assistance grants for poverty reduction,Official development assistance grants for poverty reduction,,
sdg/DC_ODA_POVLG,Official development assistance grants for poverty reduction,Official development assistance grants for poverty reduction,,
sdg/DC_ODA_SIDS,Net official development assistance to small island states from OECD-DAC countries,Net official development assistance to small island states from OECD-DAC countries,,
sdg/DC_ODA_SIDSG,Net official development assistance to small island states as a percentage of OECD-DAC donors' GNI,Net official development assistance to small island states as a percentage of OECD-DAC donors' GNI,,
sdg/DC_ODA_TOTG,Net official development assistance as a percentage of OECD-DAC donors' GNI,Net official development assistance as a percentage of OECD-DAC donors' GNI,,
sdg/DC_ODA_TOTGGE,Official development assistance as a percentage of OECD-DAC donors' GNI on grant equivalent basis,Official development assistance as a percentage of OECD-DAC donors' GNI on grant equivalent basis,,
sdg/DC_ODA_TOTL,Net official development assistance from OECD-DAC countries,Net official development assistance from OECD-DAC countries,,
sdg/DC_ODA_TOTLGE,Official development assistance from OECD-DAC countries on grant equivalent basis,Official development assistance from OECD-DAC countries on grant equivalent basis,,
sdg/DC_OSSD_GRT,Gross receipts by developing countries of official sustainable development grants,Gross receipts by developing countries of official sustainable development grants,,
sdg/DC_OSSD_MPF,Gross receipts by developing countries of mobilised private finance - on an experimental basis,Gross receipts by developing countries of mobilised private finance - on an experimental basis,,
sdg/DC_OSSD_OFFCL,Gross receipts by developing countries of official concessional sustainable development loans,Gross receipts by developing countries of official concessional sustainable development loans,,
sdg/DC_OSSD_OFFNL,Gross receipts by developing countries of official non-concessional sustainable development loans,Gross receipts by developing countries of official non-concessional sustainable development loans,,
sdg/DC_OSSD_PRVGRT,Gross receipts by developing countries of private grants,Gross receipts by developing countries of private grants,,
sdg/DC_TOF_AGRL,Total official flows for agriculture,Total official flows for agriculture,,
sdg/DC_TOF_HLTHL,"Total official development assistance to medical research and basic health sectors, gross disbursement","Total official development assistance to medical research and basic health sectors, gross disbursement",,
sdg/DC_TOF_HLTHNT,"Total official development assistance to medical research and basic health sectors, net disbursement","Total official development assistance to medical research and basic health sectors, net disbursement",,
sdg/DC_TOF_INFRAL,Total official flows for infrastructure,Total official flows for infrastructure,,
sdg/DC_TOF_SCHIPSL,Total official flows for scholarships,Total official flows for scholarships,,
sdg/DC_TOF_TRDCMDL,Total official flows for Aid for Trade,Total official flows for Aid for Trade,,
sdg/DC_TOF_TRDCML,Total official flows for Aid for Trade,Total official flows for Aid for Trade,,
sdg/DC_TOF_TRDDBMDL,Total official flows for Aid for Trade,Total official flows for Aid for Trade,,
sdg/DC_TOF_TRDDBML,Total official flows for Aid for Trade,Total official flows for Aid for Trade,,
sdg/DC_TOF_WASHL,Total official development assistance for water supply and sanitation,Total official development assistance for water supply and sanitation,,
sdg/DC_TRF_TOTDL,Total assistance for development,Total assistance for development,,
sdg/DC_TRF_TOTL,Total assistance for development,Total assistance for development,,
sdg/DI_ILL_IN.ILLICIT_FINANCIAL_FLOWS--IFF_ETF_TIP,Total value of inward illicit financial flows [Illicit Financial Flows = Trafficking in persons],Total value of inward illicit financial flows [Illicit Financial Flows = Trafficking in persons],,
sdg/DI_ILL_IN.ILLICIT_FINANCIAL_FLOWS--IFF_ILM_DRG,Total value of inward illicit financial flows [Illicit Financial Flows = Drug trafficking],Total value of inward illicit financial flows [Illicit Financial Flows = Drug trafficking],,
sdg/DI_ILL_IN.ILLICIT_FINANCIAL_FLOWS--IFF_ILM_SOM,Total value of inward illicit financial flows [Illicit Financial Flows = Smuggling of migrants],Total value of inward illicit financial flows [Illicit Financial Flows = Smuggling of migrants],,
sdg/DI_ILL_OUT.ILLICIT_FINANCIAL_FLOWS--IFF_ILM_DRG,Total value of outward illicit financial flows [Illicit Financial Flows = Drug trafficking],Total value of outward illicit financial flows [Illicit Financial Flows = Drug trafficking],,
sdg/DI_ILL_OUT.ILLICIT_FINANCIAL_FLOWS--IFF_ILM_SOM,Total value of outward illicit financial flows [Illicit Financial Flows = Smuggling of migrants],Total value of outward illicit financial flows [Illicit Financial Flows = Smuggling of migrants],,
sdg/DP_DOD_DLD2_CR_CG_Z1,"Gross public sector debt, Central Government, as a proportion of GDP","Gross public sector debt, Central Government, as a proportion of GDP",,
sdg/DT_DOD_DECT_GN_ZS,External debt stocks as a proportion of GNI,External debt stocks as a proportion of GNI,,
sdg/DT_TDS_DECT,Debt service as a proportion of exports of goods and services,Debt service as a proportion of exports of goods and services,,
sdg/EG_ACS_ELEC,Proportion of population with access to electricity,Proportion of population with access to electricity,,
sdg/EG_ACS_ELEC.URBANISATION--R,Proportion of population with access to electricity [Location = Rural],Proportion of population with access to electricity [Location = Rural],,
sdg/EG_ACS_ELEC.URBANISATION--U,Proportion of population with access to electricity [Location = Urban],Proportion of population with access to electricity [Location = Urban],,
sdg/EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology,Proportion of population with primary reliance on clean fuels and technology,,
sdg/EG_EGY_CLEAN.URBANISATION--R,Proportion of population with primary reliance on clean fuels and technology [Location = Rural],Proportion of population with primary reliance on clean fuels and technology [Location = Rural],,
sdg/EG_EGY_CLEAN.URBANISATION--U,Proportion of population with primary reliance on clean fuels and technology [Location = Urban],Proportion of population with primary reliance on clean fuels and technology [Location = Urban],,
sdg/EG_EGY_PRIM,Energy intensity level of primary energy,Energy intensity level of primary energy,,
sdg/EG_EGY_RNEW,Installed renewable electricity-generating capacity,Installed renewable electricity-generating capacity,,
sdg/EG_EGY_RNEW.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_BIOENERGY,Installed renewable electricity-generating capacity [Type of renewable technology = Bioenergy],Installed renewable electricity-generating capacity [Type of renewable technology = Bioenergy],,
sdg/EG_EGY_RNEW.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_GEOTHERMAL,Installed renewable electricity-generating capacity [Type of renewable technology = Geothermal energy],Installed renewable electricity-generating capacity [Type of renewable technology = Geothermal energy],,
sdg/EG_EGY_RNEW.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_HYDROPOWER,Installed renewable electricity-generating capacity [Type of renewable technology = Hydropower],Installed renewable electricity-generating capacity [Type of renewable technology = Hydropower],,
sdg/EG_EGY_RNEW.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_MARINE,Installed renewable electricity-generating capacity [Type of renewable technology = Marine energy],Installed renewable electricity-generating capacity [Type of renewable technology = Marine energy],,
sdg/EG_EGY_RNEW.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_SOLAR,Installed renewable electricity-generating capacity [Type of renewable technology = Solar energy],Installed renewable electricity-generating capacity [Type of renewable technology = Solar energy],,
sdg/EG_EGY_RNEW.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_WIND,Installed renewable electricity-generating capacity [Type of renewable technology = Wind energy],Installed renewable electricity-generating capacity [Type of renewable technology = Wind energy],,
sdg/EG_FEC_RNEW,Renewable energy share in the total final energy consumption,Renewable energy share in the total final energy consumption,,
sdg/EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,
sdg/EG_IFF_RANDN.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_BIOENERGY,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Bioenergy]","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Bioenergy]",,
sdg/EG_IFF_RANDN.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_GEOTHERMAL,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Geothermal energy]","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Geothermal energy]",,
sdg/EG_IFF_RANDN.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_HYDROPOWER,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Hydropower]","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Hydropower]",,
sdg/EG_IFF_RANDN.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_MARINE,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Marine energy]","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Marine energy]",,
sdg/EG_IFF_RANDN.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_MULTIPLE,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Multiple renewables]","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Multiple renewables]",,
sdg/EG_IFF_RANDN.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_SOLAR,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Solar energy]","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Solar energy]",,
sdg/EG_IFF_RANDN.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_WIND,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Wind energy]","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [Type of renewable technology = Wind energy]",,
sdg/EG_TBA_H2CO,Proportion of transboundary basins with an operational arrangement for water cooperation,Proportion of transboundary basins with an operational arrangement for water cooperation,,
sdg/EG_TBA_H2COAQ,Proportion of transboundary aquifers with an operational arrangement for water cooperation,Proportion of transboundary aquifers with an operational arrangement for water cooperation,,
sdg/EG_TBA_H2CORL,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation,,
sdg/EN_ADAP_COM.REPORT_ORDINAL--RO_FIRST,Number of countries with adaptation communications [Report Ordinal = First],Number of countries with adaptation communications [Report Ordinal = First],,
sdg/EN_ADAP_COM.REPORT_ORDINAL--RO_SECOND,Number of countries with adaptation communications [Report Ordinal = Second],Number of countries with adaptation communications [Report Ordinal = Second],,
sdg/EN_ATM_CO2,Carbon dioxide emissions from fuel combustion,Carbon dioxide emissions from fuel combustion,,
sdg/EN_ATM_CO2.ACTIVITY--ISIC4_C10T32X19,Carbon dioxide emissions from fuel combustion [Activity = Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment],Carbon dioxide emissions from fuel combustion [Activity = Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment],,
sdg/EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP,Carbon dioxide emissions per unit of GDP PPP,,
sdg/EN_ATM_CO2MVA.ACTIVITY--ISIC4_C,Carbon dioxide emissions per unit of manufacturing value added [Activity = Manufacturing],Carbon dioxide emissions per unit of manufacturing value added [Activity = Manufacturing],,
sdg/EN_ATM_GHGT_AIP,Total greenhouse gas emissions without LULUCF for Annex I Parties,Total greenhouse gas emissions without LULUCF for Annex I Parties,,
sdg/EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties,Total greenhouse gas emissions without LULUCF for non-Annex I Parties,,
sdg/EN_ATM_PM25,Annual mean levels of fine particulate matter,Annual mean levels of fine particulate matter,,
sdg/EN_ATM_PM25.URBANISATION--CITY,Annual mean levels of fine particulate matter [Location = City],Annual mean levels of fine particulate matter [Location = City],,
sdg/EN_ATM_PM25.URBANISATION--R,Annual mean levels of fine particulate matter [Location = Rural],Annual mean levels of fine particulate matter [Location = Rural],,
sdg/EN_ATM_PM25.URBANISATION--TSUB,Annual mean levels of fine particulate matter [Location = Town and semi-dense area],Annual mean levels of fine particulate matter [Location = Town and semi-dense area],,
sdg/EN_ATM_PM25.URBANISATION--U,Annual mean levels of fine particulate matter [Location = Urban],Annual mean levels of fine particulate matter [Location = Urban],,
sdg/EN_BIUREP_AIP.REPORT_ORDINAL--RO_FIFTH,"Number of countries with biennial reports, Annex I Parties [Report Ordinal = Fifth]","Number of countries with biennial reports, Annex I Parties [Report Ordinal = Fifth]",,
sdg/EN_BIUREP_NAIP.REPORT_ORDINAL--RO_FIFTH,"Number of countries with biennial update reports, non-Annex I Parties [Report Ordinal = Fifth]","Number of countries with biennial update reports, non-Annex I Parties [Report Ordinal = Fifth]",,
sdg/EN_BIUREP_NAIP.REPORT_ORDINAL--RO_FIRST,"Number of countries with biennial update reports, non-Annex I Parties [Report Ordinal = First]","Number of countries with biennial update reports, non-Annex I Parties [Report Ordinal = First]",,
sdg/EN_BIUREP_NAIP.REPORT_ORDINAL--RO_FOURTH,"Number of countries with biennial update reports, non-Annex I Parties [Report Ordinal = Fourth]","Number of countries with biennial update reports, non-Annex I Parties [Report Ordinal = Fourth]",,
sdg/EN_BIUREP_NAIP.REPORT_ORDINAL--RO_SECOND,"Number of countries with biennial update reports, non-Annex I Parties [Report Ordinal = Second]","Number of countries with biennial update reports, non-Annex I Parties [Report Ordinal = Second]",,
sdg/EN_BIUREP_NAIP.REPORT_ORDINAL--RO_THIRD,"Number of countries with biennial update reports, non-Annex I Parties [Report Ordinal = Third]","Number of countries with biennial update reports, non-Annex I Parties [Report Ordinal = Third]",,
sdg/EN_EWT_COLLPCAP,"Electronic waste collected, per capita","Electronic waste collected, per capita",,
sdg/EN_EWT_COLLR,Proportion of electronic waste collected,Proportion of electronic waste collected,,
