DCID	Starter Summary	The Carl Sagan inspired prompt	Strict
geoId/0477000	Tucson is a city in Pima County, Arizona, United States. The population in Tucson was 546,574 in 2022. The median age in Tucson was 34.2 in 2021. The median income in Tucson was $27,334 in 2021. The unemployment rate in Tucson was 4% in 2023. The percentage of people with obesity in Tucson was 34.9% in 2021. The percentage of people who binge drink in Tucson was 16.5% in 2021. The percentage of people who smoke in Tucson was 17.8% in 2021.	Tucson, a city in Arizona's Pima County, has a population of 546,574 residents. The city's median age is 34.2 years, and in 2021, the median income reached $27,334. The unemployment rate dipped to 4% in 2023, indicating a recovering economy. While health challenges persist, with 34.9% of the population affected by obesity in 2021, Tucson has a lower smoking rate of 17.8% compared to Phoenix.	Tucson, a city located in Arizona's Pima County, had a population of 546,574 in 2022. The median age in Tucson was 34.2 years in 2021, with a median income of $27,334 that same year. In 2023, the city's unemployment rate was 4%. Additionally, in 2021, 34.9% of Tucson's population was classified as obese, 16.5% reported binge drinking, and 17.8% were smokers.
geoId/05	Arkansas is a state in United States. The population in Arkansas was 3,045,637 in 2022. The median age in Arkansas was 38.3 in 2021. The median income in Arkansas was $27,980 in 2021. The unemployment rate in Arkansas was 3.1% in 2023. The life expectancy in Arkansas was 73.8 in 2020. The percentage of people with obesity in Arkansas was 38.39% in 2021. The percentage of people who binge drink in Arkansas was 14.41% in 2021. The percentage of people who smoke in Arkansas was 20.77% in 2021.	 Arkansas, a state nestled in the American South, is home to over 3 million residents with a median age of 38.3 years. In 2021, residents earned a median income of $27,980.  Recent years have seen positive economic signs, with an unemployment rate of just 3.1% in 2023. While average life expectancy stands at 73.8 years, the state faces health challenges with 38.39% of the population affected by obesity, 14.41% engaging in binge drinking, and 20.77% identifying as smokers.	Arkansas, a state in the southern United States, had a population of 3,045,637 in 2022. The median age in 2021 was 38.3 years, with a median income of $27,980. In 2023, Arkansas's unemployment rate stood at 3.1%. Life expectancy in the state was 73.8 years in 2020. Additionally, in 2021, 38.39% of the population was classified as obese, 14.41% reported binge drinking, and 20.77% were smokers.
geoId/06	California is a state in United States. The population in California was 39,029,342 in 2022. The median age in California was 37 in 2021. The median income in California was $36,281 in 2021. The unemployment rate in California was 4.9% in 2023. The life expectancy in California was 79 in 2020. The percentage of people with obesity in California was 28.76% in 2021. The percentage of people who binge drink in California was 15.77% in 2021. The percentage of people who smoke in California was 11.47% in 2021.	California, a populous state on the U.S. West Coast, boasts a population of nearly 40 million residents with a median age of 37 years. In 2021, the median income stood at $36,281. While the unemployment rate dipped to 4.9% in 2023, California enjoys a longer life expectancy of 79 years. However, health concerns persist, with 28.76% of the population affected by obesity, 15.77% engaging in binge drinking, and 11.47% identified as smokers.	California, a state on the U.S. west coast, had a population of 39,029,342 in 2022. The median age in 2021 was 37 years, with a median income of $36,281 that year. In 2023, California's unemployment rate stood at 4.9%. Life expectancy in 2020 was 79 years. Additionally, in 2021, 28.76% of the population was classified as obese, 15.77% reported binge drinking, and 11.47% were smokers.
geoId/0602000	Anaheim is a city in Orange County, California, United States. The population in Anaheim was 344,461 in 2022. The median age in Anaheim was 35.3 in 2021. The median income in Anaheim was $32,837 in 2021. The unemployment rate in Anaheim was 3.8% in 2023. The percentage of people with obesity in Anaheim was 28.6% in 2021. The percentage of people who binge drink in Anaheim was 15.4% in 2021. The percentage of people who smoke in Anaheim was 11.9% in 2021.	 Anaheim, a vibrant city within California's Orange County, is home to 344,461 residents. The city's median age is 35.3 years, and in 2021, the median income reached $32,837. The unemployment rate dipped to an encouraging 3.8% in 2023. While health concerns persist, with 28.6% of the population affected by obesity in 2021, Anaheim has a lower smoking rate of 11.9% compared to the state average.	Anaheim, a city located in Orange County, California, had a population of 344,461 in 2022. The median age in Anaheim was 35.3 years in 2021, with a median income of $32,837 that same year. In 2023, the city's unemployment rate was 3.8%. Additionally, in 2021, 28.6% of Anaheim's population was classified as obese, 15.4% reported binge drinking, and 11.9% were smokers.
geoId/0603526	Bakersfield is a city in Kern County, California, United States. The population in Bakersfield was 410,647 in 2022. The median age in Bakersfield was 31.3 in 2021. The median income in Bakersfield was $31,767 in 2021. The unemployment rate in Bakersfield was 6.1% in 2023. The percentage of people with obesity in Bakersfield was 35.2% in 2021. The percentage of people who binge drink in Bakersfield was 15.9% in 2021. The percentage of people who smoke in Bakersfield was 15.6% in 2021.	 Bakersfield, a city in California's Kern County, is home to over 410,000 residents with a youthful median age of 31.3 years. In 2021, the median income stood at $31,767. While the unemployment rate remained higher at 6.1% in 2023, Bakersfield enjoys a longer life expectancy of 79 years. However, health concerns persist, with 35.2% of the population affected by obesity, 15.9% engaging in binge drinking, and 15.6% identified as smokers.	Bakersfield, a city located in Kern County, California, had a population of 410,647 in 2022. In 2021, the median age was 31.3 years, and the median income was $31,767. Bakersfield's unemployment rate stood at 6.1% in 2023. Additionally, in 2021, 35.2% of the population was classified as obese, 15.9% reported binge drinking, and 15.6% were smokers.
geoId/0613392	Chula Vista is a city in San Diego County, California, United States. The population in Chula Vista was 279,170 in 2022. The median age in Chula Vista was 36.3 in 2021. The median income in Chula Vista was $37,511 in 2021. The unemployment rate in Chula Vista was 4.7% in 2023. The percentage of people with obesity in Chula Vista was 24.9% in 2021. The percentage of people who binge drink in Chula Vista was 17.4% in 2021. The percentage of people who smoke in Chula Vista was 10.5% in 2021.	Chula Vista, a city nestled in California's San Diego County, is home to 279,170 residents with a median age of 36.3 years. In 2021, the median income reached $37,511. The unemployment rate dipped to an encouraging 4.7% in 2023. While health concerns persist, with 24.9% of the population affected by obesity in 2021, Chula Vista boasts a significantly lower smoking rate of 10.5% compared to the state average.	Chula Vista, a city in San Diego County, California, had a population of 279,170 in 2022. The median age in 2021 was 36.3 years, with a median income of $37,511 that year. In 2023, Chula Vista's unemployment rate stood at 4.7%. Additionally, in 2021, 24.9% of the population was classified as obese, 17.4% reported binge drinking, and 10.5% were smokers.
geoId/0627000	Fresno is a city in Fresno County, California, United States. The population in Fresno was 545,567 in 2022. The median age in Fresno was 31.7 in 2021. The median income in Fresno was $27,435 in 2021. The unemployment rate in Fresno was 6.3% in 2023. The percentage of people with obesity in Fresno was 37.3% in 2021. The percentage of people who binge drink in Fresno was 13.7% in 2021. The percentage of people who smoke in Fresno was 15.5% in 2021.	 Fresno, a city located in California's Fresno County, is home to over 545,000 residents with a youthful median age of 31.7 years. In 2021, the median income stood at $27,435. While the unemployment rate remained higher at 6.3% in 2023, Fresno enjoys a longer life expectancy of 79 years. However, health concerns persist, with 37.3% of the population affected by obesity, 13.7% engaging in binge drinking, and 15.5% identified as smokers.	Fresno, a city located in Fresno County, California, had a population of 545,567 in 2022. The median age in Fresno was 31.7 years in 2021, with a median income of $27,435 that year. In 2023, the unemployment rate stood at 6.3%. Additionally, in 2021, 37.3% of Fresno's population was classified as obese, 13.7% reported binge drinking, and 15.5% were smokers.
geoId/0636770	Irvine is a city in Orange County, California, United States. The population in Irvine was 313,685 in 2022. The median age in Irvine was 33.8 in 2021. The median income in Irvine was $55,547 in 2021. The unemployment rate in Irvine was 4% in 2023. The percentage of people with obesity in Irvine was 21% in 2021. The percentage of people who binge drink in Irvine was 14.9% in 2021. The percentage of people who smoke in Irvine was 7.5% in 2021.	Irvine, a city in California's Orange County, is home to 313,685 residents. With a median age of 33.8 years, the city maintains a youthful population. In 2021, the median income reached $55,547, indicating a strong economy. The unemployment rate dipped to a reassuring 4% in 2023, further solidifying Irvine's economic progress. While 21% of the population faces obesity, Irvine boasts a significantly lower smoking rate of 7.5% compared to the state average.	Irvine, a city in Orange County, California, had a population of 313,685 in 2022. The median age in 2021 was 33.8 years, with a median income of $55,547. In 2023, Irvine's unemployment rate was 4%. Additionally, in 2021, 21% of the population was classified as obese, 14.9% reported binge drinking, and 7.5% were smokers.
geoId/0643000	Long Beach is a city in Los Angeles County, California, United States. The population in Long Beach was 451,307 in 2022. The median age in Long Beach was 35.9 in 2021. The median income in Long Beach was $33,731 in 2021. The unemployment rate in Long Beach was 4.7% in 2023. The percentage of people with obesity in Long Beach was 29.3% in 2021. The percentage of people who binge drink in Long Beach was 14.9% in 2021. The percentage of people who smoke in Long Beach was 12% in 2021.	Long Beach, a coastal city in Los Angeles County, California, is home to 451,307 residents. With a median age of 35.9 years, the city has a relatively balanced age distribution. In 2021, the median income stood at $33,731. The unemployment rate dipped to an encouraging 4.7% in 2023, showcasing economic progress. While health concerns persist, with 29.3% of the population affected by obesity in 2021, Long Beach has a lower smoking rate of 12% compared to the state average.	Long Beach, a city in Los Angeles County, California, had a population of 451,307 in 2022. The median age in 2021 was 35.9 years, with a median income of $33,731. In 2023, Long Beach's unemployment rate stood at 4.7%. Additionally, in 2021, 29.3% of the population was classified as obese, 14.9% reported binge drinking, and 12% were smokers.
geoId/0644000	Los Angeles is a city in Los Angeles County, California, United States. The population in Los Angeles was 3,822,238 in 2022. The median age in Los Angeles was 36.2 in 2021. The median income in Los Angeles was $31,822 in 2021. The unemployment rate in Los Angeles was 5.3% in 2023. The percentage of people with obesity in Los Angeles was 29.5% in 2021. The percentage of people who binge drink in Los Angeles was 14.9% in 2021. The percentage of people who smoke in Los Angeles was 11.8% in 2021.	 Los Angeles, the bustling heart of Los Angeles County, is home to 3,822,238 residents. With a median age of 36.2 years, the city maintains a diverse age demographic. In 2021, the median income stood at $31,822. While the unemployment rate dipped to 5.3% in 2023, indicating economic progress, health concerns persist, with 29.5% of the population affected by obesity in 2021. Los Angeles has a lower smoking rate of 11.8% compared to the state average.	Los Angeles, a city within Los Angeles County, California, had a population of 3,822,238 in 2022. In 2021, the median age was 36.2 years, and the median income was $31,822. The city's unemployment rate in 2023 stood at 5.3%. Additionally, in 2021, 29.5% of the population was classified as obese, 14.9% reported binge drinking, and 11.8% were smokers.
geoId/0653000	Oakland is a city in Alameda County, California, United States. The population in Oakland was 430,553 in 2022. The median age in Oakland was 36.9 in 2021. The median income in Oakland was $43,043 in 2021. The unemployment rate in Oakland was 5% in 2023. The percentage of people with obesity in Oakland was 30.5% in 2021. The percentage of people who binge drink in Oakland was 14.7% in 2021. The percentage of people who smoke in Oakland was 12% in 2021.	 Oakland, a city in Alameda County, California, is home to 430,553 residents. With a median age of 36.9 years, the city maintains a diverse age demographic. The median income in Oakland is $43,043, and the unemployment rate dipped to 5% in 2023, indicating economic progress. However, health concerns persist, with 30.5% of the population affected by obesity in 2021.	Oakland, a city in Alameda County, California, had a population of 430,553 in 2022. The median age was 36.9 years in 2021, with a median income of $43,043 that year. In 2023, Oakland's unemployment rate stood at 5%. Additionally, in 2021, 30.5% of the population was classified as obese, 14.7% reported binge drinking, and 12% were smokers.
geoId/0662000	Riverside is a city in Riverside County, California, United States. The population in Riverside was 320,764 in 2022. The median age in Riverside was 31.9 in 2021. The median income in Riverside was $30,590 in 2021. The unemployment rate in Riverside was 4.8% in 2023. The percentage of people with obesity in Riverside was 36.2% in 2021. The percentage of people who binge drink in Riverside was 16.1% in 2021. The percentage of people who smoke in Riverside was 13.2% in 2021.	Riverside, a city in Riverside County, California, is home to 320,764 residents. With a median age of 31.9 years, the city maintains a youthful population. In 2021, the median income stood at $30,590. While the unemployment rate dipped to 4.8% in 2023, indicating economic progress, health concerns persist, with 36.2% of the population affected by obesity in 2021. Riverside has a lower smoking rate of 13.2% compared to the state average.	Riverside, a city in Riverside County, California, had a population of 320,764 in 2022. The median age in 2021 was 31.9 years, with a median income of $30,590. In 2023, Riverside's unemployment rate stood at 4.8%. Additionally, in 2021, 36.2% of the population was classified as obese, 16.1% reported binge drinking, and 13.2% were smokers.
geoId/0664000	Sacramento is a city in Sacramento County, California, United States. The population in Sacramento was 528,001 in 2022. The median age in Sacramento was 35.2 in 2021. The median income in Sacramento was $35,811 in 2021. The unemployment rate in Sacramento was 4.8% in 2023. The percentage of people with obesity in Sacramento was 32.7% in 2021. The percentage of people who binge drink in Sacramento was 14.5% in 2021. The percentage of people who smoke in Sacramento was 13.7% in 2021.	 Sacramento, the capital city of California, is home to 528,001 residents. With a median age of 35.2 years, the city maintains a balanced age demographic. In 2021, the median income stood at $35,811. While the unemployment rate dipped to a positive 4.8% in 2023, indicating economic progress, health concerns persist, with 32.7% of the population affected by obesity in 2021. Sacramento has a lower smoking rate of 13.7% compared to the state average.	Sacramento, a city within Sacramento County, California, had a population of 528,001 in 2022. The median age in Sacramento was 35.2 years in 2021, with a median income of $35,811. In 2023, the unemployment rate stood at 4.8%. Additionally, in 2021, 32.7% of the population was classified as obese, 14.5% reported binge drinking, and 13.7% were smokers.
geoId/0666000	San Diego is a city in San Diego County, California, United States. The population in San Diego was 1,381,162 in 2022. The median age in San Diego was 35.4 in 2021. The median income in San Diego was $41,491 in 2021. The unemployment rate in San Diego was 4.1% in 2023. The percentage of people with obesity in San Diego was 23.2% in 2021. The percentage of people who binge drink in San Diego was 18.1% in 2021. The percentage of people who smoke in San Diego was 10.5% in 2021.	 San Diego, a coastal city in California, is home to 1,381,162 residents. With a median age of 35.4 years, the city maintains a balanced age demographic. In 2021, the median income stood at $41,491. While the unemployment rate dipped to 4.1% in 2023, indicating economic progress, health concerns persist, with 23.2% of the population affected by obesity in 2021. San Diego has a lower smoking rate of 10.5% compared to the state average.	San Diego, a city located in San Diego County, California, had a population of 1,381,162 in 2022. The median age in 2021 was 35.4 years, with a median income of $41,491. In 2023, the city's unemployment rate stood at 4.1%. Additionally, in 2021, 23.2% of San Diego's population was classified as obese, 18.1% reported binge drinking, and 10.5% were smokers.
geoId/0667000	San Francisco is a city in San Francisco County, California, United States. The population in San Francisco was 808,437 in 2022. The median age in San Francisco was 38.7 in 2021. The median income in San Francisco was $59,017 in 2021. The unemployment rate in San Francisco was 3.5% in 2023. The percentage of people with obesity in San Francisco was 19.1% in 2021. The percentage of people who binge drink in San Francisco was 16.4% in 2021. The percentage of people who smoke in San Francisco was 9.2% in 2021.	San Francisco, a vibrant city in California, is home to 808,437 residents. With a median age of 38.7 years, the city skews slightly older. In 2021, the median income stood at $59,017. While the unemployment rate dipped to 3.5% in 2023, indicating economic progress, health concerns persist, with 19.1% of the population affected by obesity in 2021. San Francisco has a lower smoking rate of 9.2% compared to the state average.	San Francisco, a consolidated city-county in California, had a population of 808,437 in 2022. The median age in 2021 was 38.7 years, with a median income of $59,017. The city's unemployment rate in 2023 stood at 3.5%. Additionally, in 2021, 19.1% of the population was classified as obese, 16.4% reported binge drinking, and 9.2% were smokers.
geoId/0668000	San Jose is a city in Santa Clara County, California, United States. The population in San Jose was 971,233 in 2022. The median age in San Jose was 37.5 in 2021. The median income in San Jose was $46,298 in 2021. The unemployment rate in San Jose was 4% in 2023. The percentage of people with obesity in San Jose was 20.6% in 2021. The percentage of people who binge drink in San Jose was 13.8% in 2021. The percentage of people who smoke in San Jose was 8.7% in 2021.	 San Jose, a city nestled in California's Santa Clara County, is home to 971,233 residents. With a median age of 37.5 years, the city maintains a youthful balance. In 2021, the median income stood at $46,298, showcasing a strong economy. The unemployment rate dipped to an encouraging 4% in 2023, further solidifying San Jose's economic progress. While health concerns persist, with 20.6% of the population affected by obesity in 2021, San Jose boasts a significantly lower smoking rate of 8.7% compared to the state average.	San Jose, a city in Santa Clara County, California, had a population of 971,233 in 2022. The median age in 2021 was 37.5 years, with a median income of $46,298. In 2023, the city's unemployment rate stood at 4%. Additionally, in 2021, 20.6% of San Jose's population was classified as obese, 13.8% reported binge drinking, and 8.7% were smokers.
geoId/0669000	Santa Ana is a city in Orange County, California, United States. The population in Santa Ana was 308,189 in 2022. The median age in Santa Ana was 33 in 2021. The median income in Santa Ana was $28,617 in 2021. The unemployment rate in Santa Ana was 3.8% in 2023. The percentage of people with obesity in Santa Ana was 31.6% in 2021. The percentage of people who binge drink in Santa Ana was 14.6% in 2021. The percentage of people who smoke in Santa Ana was 13.4% in 2021.	Santa Ana, a city in California's Orange County, is home to 308,189 residents. With a median age of 33 years, the city maintains a youthful population. In 2021, the median income stood at $28,617. While the unemployment rate dipped to a positive 3.8% in 2023, indicating economic progress, health concerns persist, with 31.6% of the population affected by obesity in 2021.	Santa Ana, a city in Orange County, California, had a population of 308,189 in 2022. The median age in 2021 was 33 years, with a median income of $28,617.  In 2023, Santa Ana's unemployment rate was 3.8%. Additionally, in 2021, 31.6% of the population was classified as obese, 14.6% reported binge drinking, and 13.4% were smokers.
geoId/0675000	Stockton is a city in San Joaquin County, California, United States. The population in Stockton was 321,819 in 2022. The median age in Stockton was 33 in 2021. The median income in Stockton was $29,198 in 2021. The unemployment rate in Stockton was 7.2% in 2023. The percentage of people with obesity in Stockton was 34.4% in 2021. The percentage of people who binge drink in Stockton was 14% in 2021. The percentage of people who smoke in Stockton was 15% in 2021.	Stockton, a city in California's San Joaquin County, is home to 321,819 residents. With a median age of 33 years, the city maintains a youthful population. In 2021, the median income stood at $29,198. While the unemployment rate was higher at 7.2% in 2023, health concerns persist, with 34.4% of the population affected by obesity, 14% engaging in binge drinking, and 15% identifying as smokers.	Stockton, a city in San Joaquin County, California, had a population of 321,819 in 2022. The median age in 2021 was 33 years, with a median income of $29,198. In 2023, Stockton's unemployment rate stood at 7.2%. Additionally, in 2021, 34.4% of the population was classified as obese, 14% reported binge drinking, and 15% were smokers.
